순번,키워드,표제어,설명,출처
52,가,공고문안,"국방전자조달시스템에서 입찰공고문안은 크게 2가지 방법으로 게시된다. 방위사업청 계약(중앙조달)의 경우 OZ 뷰어를 활용하여 시스템상에서 출력이 가능하며, 각 군부대 계약(부대조달)의 경우 입찰공고문이 한글 문서(hwp) 형태로 작성되어 첨부파일로 등록된다. 첨부파일로 등록된 입찰공고문과 시스템상 공고문의 내용이 상이한 경우, 관계법령을 준용하여 첨부파일로 등록된 입찰공고문의 내용을 우선으로 한다.",정보화기획담당관
53,가,공급확약서,방위사업청 계약(중앙조달)에 있어 계약업체가 대상 물품의 규격에 일치하는 제품의 공급을 확약하는 증명서를 말한다. 방위사업관리규정에 따라 물품구매계약의 경우 계약특수조건에 공급확약서가 포함되어야 한다.,방위사업관리규정 제414조
54,가,공동계약,공사계약·제조계약 또는 그 밖의 계약에서 계약상대자를 둘 이상으로 하여 체결하는 계약을 말한다.,국계법 제25조
55,가,공동수급체,구성원을 2인 이상으로 하여 수급인이 당해계약을 공동으로 수행하기 위하여 잠정적으로 결성한 실체를 말한다.,계약예규 8. 제2조
56,가,공동수급체 대표자,공동수급체의 구성원 중에서 대표자로 선정된 자를 말한다.,계약예규 8. 제2조
57,가,공동수급협정서,공동계약에 있어서 공동수급체구성원 상호간의 권리·의무 등 공동계약의 수행에 관한 중요사항을 규정한 계약서를 말한다.,계약예규 8. 제2조
58,가,공동이행방식,공동계약의 유형 중 하나로 공동수급체 구성원이 일정 출자비율에 따라 연대하여 공동으로 계약을 이행하는 공동계약을 말한다.,계약예규 8. 제2조의2
59,가,공사감독관,"계약된 공사의 수행과 품질의 확보 및 향상을 위하여 공사 감독 업무를 수행하기 위해 정부가 임명한 기술직원 또는 그의 대리인을 말한다. 다만, 「건설기술관리법」에 의하여 책임감리를 하는 공사에 있어서는 당해공사의 감리를 수행하는 감리원을 말한다.","계약예규 9. 제2조, 제16조"
60,가,공사금액,"시설부대비(용역비, 보상비 등)를 제외한 추정금액을 말하며, 전차공사가 설계변경 등으로 계약금액이 증감된 경우에는 증감된 금액을 당초 추정금액에 가감한 금액을 말한다.",계약업무처리훈령
61,가,공사번호,국방전자조달시스템에서 사용하는 공사번호는 시설공사 입찰에서 각 조달품목(공사)을 구별하기 위해 시스템에서 부여하는 번호로 국내조달의 판단번호와 유사한 의미를 갖고 있다. 공사번호는 번호부여연도(4자리) + '-' + 일련번호(5자리)로 구성된다.,정보화기획담당관
62,가,공사시방서,"공사에 쓰이는 재료, 설비, 시공체계, 시공기준 및 시공기술에 대한 기술설명서와 이에 적용되는 행정명세서로서, 설계도면에 대한 설명 또는 설계도면에 기재하기 어려운 기술적인 사항을 표시해 놓은 도서를 말한다.",계약예규 9. 제2조
63,가,공사이행보증서,"공사계약에 있어서 계약상대자가 계약상의 의무를 이행하지 못하는 경우 계약상대자를 대신하여 계약상의 의무를 이행할 것을 보증하되, 이를 보증한 기관이 의무를 이행하지 아니하는 경우에는 일정금액을 납부할 것을 보증하는 증서를 말한다.",국계법 시행령 제2조
64,가,공인인증서,"「전자서명법」에 의해 공인인증기관으로부터 조달업체 대표자, 입찰대리인 또는 기관 명의로 발급 받은 모든 개인인증서 및 기관인증서를 말한다. 다만, 공인인증서에는 개인 및 기관을 확인할 수 있는 정보가 포함되어 있어야 한다.",국방전자조달시스템 이용에 관한 약관 제2조
65,가,공종,"공사의 특성에 따라 작업단계(예:가설공사, 기초공사, 토공, 철근콘크리트, 마감공사 등)별로 구분되는 것을 말한다.",계약예규 1. 제20조
66,가,과업내용서,"발주기관과 계약상대자가 최종적으로 합의한 사업의 범위를 구체적으로 기재한 문서로서, 계약당사자의 업무범위를 정의하는 문서를 말하며, 과업내용 변경의 기준서로서의 역할을 한다.",계약예규 11. 제49조
67,가,관급재료,방산원가에서 관급재료는 계약의 이행을 위하여 정부가 계약상대자에게 지급하는 재료를 말한다.,방산원가대상물자의원가계산에관한규칙 제2조
68,가,관급품,방산원가에서 관급품은 계약의 이행을 위하여 정부가 국내 또는 국외에서 조달하여 계약상대자에게 지급하는 재료ㆍ부품 등과 관계 법령에 따라 계약상대자가 정부로부터 대여 또는 양도받거나 보조금을 교부받아 구입한 기계장치ㆍ치공구(治工具)ㆍ검사용계기 등을 말한다.,방산원가대상물자의원가계산에관한규칙 제2조
