,입찰명,발주기관,낙찰자(상호)
1886,스마트폰거치대 등 3종 구매,육군본부,해성사
5159,노후비품 가전제품 구매,공군군수사령부,주식회사 소나타시스템즈
5713,00부대 어린이집 가전제품(카메라) 등 10종 구매,제5보병사단,국일기업
6041,'16년 마트용 물품봉투 제조,국군재정관리단,(주)대진씨앤씨
6666,"마트 판매비품(냉장고,냉동고) 제조",국군재정관리단,주식회사 진우전자
6865,인쇄소모용품 76종(문구류) 구매,국방출판지원단,하이테크툴(주)
7976,신병교육 행정용품(문구류) 구매,제5보병사단,고은상사
8180,어린이집 가전제품 22종 구매,제9965부대,소망상사
8477,스마트 노트 등 85종,제9181부대,이즈컴넷
8531,16년 신병교육 문구 구매,제17보병사단,대신유통
11254,17-마트 판매비품(워크인쿨러 냉장고) 제조 납품,국군재정관리단,(주)일양오피오
11255,17-마트 판매 비품(수직형냉동고) 제조 납품,국군재정관리단,주식회사 터보코리아
12680,스마트 보드 등 5종 제조설치,국군재정관리단,엔에스테크윈 주식회사
13284,17년 마트 판매비품 냉장고/냉동고 제조 납품,국군재정관리단,주식회사 터보코리아
13832,가전제품(TV 41대) 구매설치납품,자운대근무지원연대,주식회사 성운이엔지
15580,"BTL 숙소 가전제품(냉장고, 세탁기) 구매",공군제11전투비행단,이지시스템(EG system)
16039,'17년 마트용 물품봉투 제조 납품,국군재정관리단,주식회사 새한폴리머
17914,군 마트 냉장·냉동고 구매,국군복지단,주식회사 더그린
21269,스마트 노트 등 59종 구매,해군교육사령부,주식회사 진성하이텍
21282,18-항공과학고 스마트교실 교육망 개선사업,국군재정관리단,한일통신 주식회사
21459,18-마트판매비품 워크인쿨러 등 2종 제조 납품,국군재정관리단,씨알케이 주식회사
22888,18-군 마트 물품봉투 제조,국군재정관리단,(주)대진씨앤씨
23329,18-마트판매비품 대형냉장고 등 5종 제조 납품,국군재정관리단,주식회사 터보코리아
23968,냉장고 등 가전제품 3종 구매,제20전투비행단,모아상사
24558,18년 일반비품 가전제품 구매,국군의무사령부,주식회사 쿤스트에프케이
27174,마트 냉장고 등 4종 구매,국군복지단,경일산업개발 주식회사
27176,마트 냉난방기 구매 설치,국군복지단,루아리
28148,부대개편 비품(가전제품) 구매,제7군단,예원
28632,스마트해군 홍보 수건 등 3종,해군본부,주식회사 예운
30807,직영휴양시설 물품(가전제품) 구매,국군복지단,주식회사 이음
30900,마트 계산대 의자 등 7종 구매,국군복지단,영민산업
32520,캐릭터 차량용 스마트폰 거치대 400개,해군본부,이레
33056,19년 마트용 물품봉투 제조(201910015-E),국군재정관리단,주식회사 케이아이피
36945,마트판매비품 워크인쿨러 구매,국군복지단,열매
36967,20-스마트 교육환경 구축(208161-A),국군재정관리단,요다정보기술(주)
38378,20-위임 00부대 여과자제 및 전기온수기 납품/설치,제7보병사단,칠성유통
39265,간부숙소 통합비품 구매(가전제품),육군 제8군단,백명종합상사
44437,스마트 관제탑 성능개선 물품구매,제20전투비행단,주식회사 우성텔레콤
48009,스마트폰 가슴밴드형 거치대 등 3종 구매,해군본부,낙원상사
49246,간부숙소 가전제품(냉장고 등 4종)구매,공군제19전투비행단,(유)삼륜토건
49249,간부숙소 가전제품(냉장고 등 4종)구매,공군제19전투비행단,(유)삼륜토건
51465,21-00원 기초생활용품(주방용품) 구매,합동군사대학교,영화산업
51466,21-00원 기초생활용품(침구류) 구매,합동군사대학교,골드상사
59805,24년 학군사관 모집홍보물품(생활용품 7종세트) 구매,육군학생군사학교,주식회사 피노핀
59810,24년 학군사관 모집홍보물품(생활용품 7종세트) 구매,육군학생군사학교,주식회사 피노핀
60563,23년도 마트 판매용 종이봉투 제조,국군복지단,삼화프린팅(주)
63519,23-D-마트 쇼핑용 종이봉투 제조(2310053-F),국군재정관리단,희망더하기
64626,23-D-마트 냉난방기 구매,국군재정관리단,라이커블
67638,24-N-스마트쉽 무선네트워크 구축 금융리스,국군재정관리단,미래에셋캐피탈(주)
68150,24-09-312  취사기구(스마트 야채절단기 등) 14품목,공군교육사령부,정화기획
68941,24-D-마트용 종이봉투 제조,국군재정관리단,주식회사 상일이앤피
