,입찰명,발주기관,낙찰자(상호)
6,00부대 체육시설 비품구매(고소작업대 등 9종),제1보병사단,주연ICT
88,CCTV(지상전술전자장비),제9181부대,엑사정보기술 주식회사
186,국방정보보호 교육환경 개선용 마이크 구매,4284부대,에이스
227,다목적체육관 관급자재 무대장치 제조설치,제55보병사단,삼신개발(주)
270,00부대 창설사업 CCTV 제조설치(16-222),제2307부대,(합)진광전기소방
291,000사업 핸드형 네트워크 분석기 구매,제3707부대,대지이앤씨산업 주식회사
310,마이크로웨이브 신시사이저 구매,공군군수사령부,주식회사 아이에스오토
320,물자취급 장비(롤테이너 등 5개 품목),제25보병사단,이아이엔티
332,'16년 물자취급 장비 구매(롤테이너 등 5종),제2167부대,은명사
389,군 상용차량 후방카메라 구매,제6보병사단,(주)오성인피니티
402,물자취급 장비 5종 구매,제6955부대,준하이테크
437,연천지역 차량 후방카메라 설치납품,제5보병사단,주식회사 세오
540,공병장비 크라샤 구매,제7보병사단,포빌리언
676,16-동-감시카메라(CCTV) 제조 설치,국군재정관리단,지에이치정보통신주식회사
697,횡성역 유류공급시설 CCTV 카메라 제조 설치,국군재정관리단,(주)극동정보통신
731,00지역 감시용 CCTV제조설치,국군재정관리단,(주)유비쿼터스통신
832,CCTV영상 녹화용 DVR 구매,제2작전사령부,경남테크
836,전산운영(비디오월) 물품 구매,제2632부대,하나 상사
849,체육관/강당 방송시설 음향장비 설치납품(정정),제7851부대,우성무역
975,16-해-지원시설 CCTV 제조 설치,해군제3함대사령부,폴그린테크 주식회사
985,CCTV광링크 등 5종,제7001부대,가나안상사
998,00부대 네트워크 장비 구매설치,육군교육사령부,애드온스마트 주식회사
1054,디지털 인쇄장비 구매 및 설치,육군인사사령부,이안OA
1057,OO부대 전산장비(PC) 구매,국군재정관리단,주식회사 이엠텍아이엔씨
1136,4분기 교육장비 구매,육군항공학교,드림으뜸상사
1164,인쇄장비(입력편집기등 5종)구매,국군재정관리단,주식회사 에이그램
1195,CCTV 영상 저장매체 구매,국군재정관리단,글로벌정보통신 주식회사
1199,16-작-감시카메라(CCTV) 제조 설치,국군재정관리단,(주)벨류데이터
1236,공병장비 능력 보강을 위한 부수기재 구매의뢰,제1862부대,주식회사 티앤제이커뮤니케이션
1242,열영상 감시 CCTV 영상공유 변환장비 구매사업,국군재정관리단,주식회사 우형정보통신
1295,00중대 및 00진지 경게용 CCTV 설치납품,제1보병사단,주식회사 에이브이아이미디어
1394,카메라(CCTV)등 2품목 구매/설치,제9691부대,현대위성네트워크 주식회사
1410,(16-318)항공장구[고공낙하산(PD)],공군제17전투비행단,대륙씨엠아이 주식회사
1481,16-잠수함 전투복 제조 납품,국군재정관리단,주식회사 라일락
1529,전산부수장비 구매,국방대학교,아로유통
1534,00학교 교육장비(프롬프터 등 2종) 구매,국군의무학교,(주)한일종합상사
1570,00부대 어린이집 비품 구매(코팅기 등 330항목),제2167부대,투명한 감자만두
1578,전산장비·용품 구매,제1891부대,주식회사코드원
1815,K10신형제독장치 부품,일반장비계약팀 (구:19.09.16),비전산업
1816,CCTV POLE 제조설치,국군재정관리단,알티하이텍
1842,00사단 CCTV 제조설치,국군재정관리단,(주)솔로몬기술단기술사사무소
1845,16년 체력단련장 장비 및 비품 구매,국군복지단,주식회사 성산종합기계
1889,4분기 교육 비품 및 장비구매,육군부사관학교,제이&제이상사
1934,차리다련장 2차 시설공사 관급자재(CCTV),제5군단사령부,(주)텔미전자
1965,00부대 경계용 CCTV 제조설치,국군재정관리단,(사)장애인인권센터ICT사업단
1968,디지털 무전기용 계측기 구매,제7016부대,(주)장수커뮤니케이션즈
2007,차기다련장 2차사업 CCTV 제조 설치,국군재정관리단,정립전자(장애인근로사업장)
2045,CCTV카메라 등 2품목,제9196부대,파인정보통신 주식회사
2069,4분기 교육예산(무선기가폰 등 61종),육군기계화학교,마이크로트렌드
2087,CCTV 및 관제장비 제조설치 납품,제7821부대,주식회사 디피엔
2152,00지역 상황실 구축장비(모니터 등 9종) 구매설치납품,국방부계룡대근무지원단,에스더 기획
2191,무선네트워크 보안장비 보강사업,국군재정관리단,주식회사 티플러스
2208,유류저장시설 CCTV 구매 및 설치,공군제11전투비행단,에스정보통신 주식회사
2231,스마트예비군훈련장 네트워크 장비 설치납품,제6128부대,신아시스템 주식회사
2264,일반물자(차량용 냉동고 등 00종) 구매,제7789부대,주식회사 이음
2306,OO연대 CCTV 설치납품,육군 52보병사단,주식회사 리버스톤미디어
2339,전산장비구매,국군재정관리단,주식회사 이노씨앤정보통신
2341,16-덕-2차 경계용카메라(CCTV) 제조 설치,국군재정관리단,주식회사 드림테크
2342,16-목-경계용카메라(CCTV) 제조 설치,국군재정관리단,신화전자(주)
2348,16-덕-3차 경계용카메라(CCTV) 제조 설치,국군재정관리단,주식회사 에스엠플러스정보통신
2386,렉스턴 에어크리너 등 45항목 구매(해파)(기동),육군군수사령부,안보종합상사
2420,00부대 네트워크 장비 구매,제7821부대,주식회사 이노씨앤정보통신
2583,통신장비 노트북(BTCS A1용) 구매,국군재정관리단,(주)케이디정보기술
2772,00아파트 CCTV 제조 설치납품,제5897부대,한국이미지시스템(주)
2812,2016년 의무장비(냉장고 시약보관용) 구매,국군의무사령부,주식회사 아베오비전코리아
2835,네트워크 장비 구매사업 리스,국군재정관리단,시스코시스템즈캐피탈코리아대부(유)
2855,16-덕-경계용카메라(CCTV) 제조 납품,국군재정관리단,주식회사 금산
2907,의무장비(7차) 냉장고 혈액은행용 대형 구매,국군수도병원,엠넷글로벌
2910,보급창고 CCTV(관급자재) 제조설치 납품,공군제10전투비행단,주식회사 씨아이시스템
2956,교육용장비 구매,국방정신전력원,나무기업
3013,항공장비 오실로스코프 구매(물품),육군군수사령부,주식회사 에이치앤아이씨
3018,00아파트 CCTV제조 설치납품,제5897부대,첨단정보통신  주식회사
3058,의무장비(6차) 치과유니트 및 의자 구매,국군수도병원,덴탑정보기술(주)
