,입찰명,발주기관,낙찰자(상호)
67168,K1전차 센서조립체 구매,육군종합정비창,주식회사 비티솔루션
67172,"23-N-탐지기,금속결함탐지용,전기식 제조",국군재정관리단,엠제이엠
67288,K9자주포 볼트 등 21종 구매,육군종합정비창,삼강운수
67294,(기동) 2.5톤차량 베어링 등 8종 구매,육군종합정비창,주안산업
67304,"K200 나사,기계용 등 8종 구매",육군종합정비창,코비상사
67305,K1전차 나사 등 15종 구매,육군종합정비창,에스케이(SK)산업
67307,K1전차 베어링 등 3종 구매,육군종합정비창,대아테크
67309,K1전차 베어링 등 4종 구매,육군종합정비창,다미유통
67310,K1전차 베어링 등 9종 구매,육군종합정비창,뉴테크코리아 주식회사
67311,"K200 너트, 평면형 등 10종 구매",육군종합정비창,현대정밀가스켓
67337,K1전차 부품키트 등 4종 구매,육군종합정비창,지앤와이일렉텍(주)
67338,K1전차 볼트 등 2종 구매,육군종합정비창,월드정밀
67339,K1전차 가스켓 등 9종 구매,육군종합정비창,현대정밀가스켓
67441,K9자주포 베어링 등 4종 구매,육군종합정비창,코타
67465,"23-2 분석기-충전기,배터리용(RF8) 구매",공군제1전투비행단,K.B테크
67579,과학화경계시스템 UPS 배터리 구매,제1862부대,지앤지(G&G)
67655,15비 항공관제레이더 관급자재 자동제어설치공사,공군제15특수임무비행단,주식회사 우리아이텍
67692,25사단 사단 군수지원대대 개편사업 관급자재(크레인),제25보병사단,주식회사 에코테크
67693,25사단 72여단 군수지원대대 개편 관급자재(크레인),제25보병사단,새숨환경
67694,25사단 71여단 군수지원대대 개편 관급자재(크레인),제25보병사단,제이케이이앤씨 주식회사
67990,항공기 배터리 충·방전기 구매,제2작전사령부,주식회사 인스툴
68207,K1전차 베어링 구매,육군종합정비창,세진테크
68209,K9자주포 실린더조립체 구매,육군종합정비창,인성테크
68211,K1전차 베어링 등 2종 구매,육군종합정비창,동백상사
68494,K21 베어링 등 2종 구매,육군종합정비창,덕산베아링
68515,"부품키트,포구초속측정기용(K55A1용)",화력총괄계약팀,(주)디에스티
68555,"K200 나사,캡식,6각 머리형 등 10종 구매",육군종합정비창,엠에스산업
68556,"(기동) 5톤차량 튜브,곡선형,금속제 등 7품목 구매",육군종합정비창,대명 ENG
