,입찰명,발주기관,낙찰자(상호)
3,13-본-국대-01 00학교 가구 및 비품 제조설치,국군재정관리단,주식회사 디에스나이키
4,00부대 중대시설 조명기구 제조납품(16-314),제2307부대,주식회사 한서
6,00부대 체육시설 비품구매(고소작업대 등 9종),제1보병사단,주연ICT
29,4개 개편부대 조명등 제조납품(정정공고),수도기계화보병사단,주식회사 효선전기
30,공병여단 장간조립교 자재 제조납품,제2군단,전일목재산업 주식회사
33,00부대 복지회관 신축 냉난방기 구매설치,특수전사령부,주식회사 파이런텍
52,인쇄용지8종 제조/구매,국방출판지원단,세풍지업상사
69,시설공사 관급자재(조명기구)제조 납품,국방부근무지원단,(주)베크룩스
72,종교센타 리모델링 관급자재(조명기구) 제조납품,국방부근무지원단,주식회사 해인엘이디
82,00지역 아파트 리모델링 시설공사(가구),국군지휘통신사령부,에스알주식회사
177,00학교 생도피복(맞춤피복) 제조,국군간호사관학교,주식회사 나루지엠에스
227,다목적체육관 관급자재 무대장치 제조설치,제55보병사단,삼신개발(주)
228,다목적체육관 관급자재(AV설비) 제조설치,제55보병사단,(주)에스티씨
233,3개소 취사장 대형냉장고 제조설치,수도기계화보병사단,(주)쿨테이너
234,112공병 병영생활관 개수 조명기구 제조납품,제2군단,주식회사 일광조명
239,인쇄용지 3종 제조/구매,국방출판지원단,세풍지업상사
243,가구류(책상 등 14종) 제조,제9965부대,주식회사동양가구산업
246,LED형광등 구매(507개),제9보병사단사령부,신화랜드
251,16년 교육시설(유격장) 자재구매,제7보병사단,사내종합설비
256,교도소 침대생산자재(철재류) 제조납품,국군재정관리단,주식회사 디에스나이키
262,관급자재 조명기구 제조 납품,공군제11전투비행단,(주)라이팅경도
270,00부대 창설사업 CCTV 제조설치(16-222),제2307부대,(합)진광전기소방
295,16-본-공-5 도서관 리모델링 관급자재(조명기구),공군사관학교,(주)하나룩스
301,00급양대 조명기구 제조,국군재정관리단,광성전기산업주식회사
319,주머니난로(보온대) 제조납품,육군훈련소,주식회사 제이씨리빙
321,102대대 LED 등기구 납품,육군 제1군단,남도상사
328,00부대 합성수지제창 / 합성수지도어 제조설치,국군재정관리단,경원건설 주식회사
335,112공병 병영생활관 개수 PW창호 제조납품,제2군단,(주)피엔에스홈즈
336,112공병 생활관 개수 진공온수보일러 제조설치납품,제2군단,삼양히트테크
338,군관사 및 독신숙소 LED등기구 구매,제2작전사령부,주식회사 동영
349,16-해-물류창고 조명기구 구매(1),해군제3함대사령부,금호전기조명(주)
436,ATCIS 상용HW 유지보수 물품 구매,육군 제1군단,클릭바이 엠알오
457,"지뢰보호의, 보호헬멧 제조구매",제7보병사단,투알엘 (2RL)
476,고속고무보트 제조 납품,국군재정관리단,에스지생활안전 주식회사
491,고무보트 2종 제조납품,국군재정관리단,주식회사 우성아이비
522,차기다련장 2차사업 조명기구 제조,국군재정관리단,(사)한국척수장애인협회ENG사업소
589,고속고무보트 7인승 제조,제9965부대,주식회사 우성아이비
617,합판 등 군수비품 5종 구매,제9보병사단사령부,국제
644,가구류(침대 등 30종) 제조,국군재정관리단,주식회사 늘푸름
646,통신센터 관급자재-냉난방기 제조/구매(설치포함),공군제15특수임무비행단,주식회사씨엔이
676,16-동-감시카메라(CCTV) 제조 설치,국군재정관리단,지에이치정보통신주식회사
684,'17년 대기배출시설 소모품 구매(연간 단가계약),국방부근무지원단,코아이엔티
687,00소초 풋살경기장 인조잔디 제조설치납품,제1보병사단,대교에코필드 주식회사
695,00병원 의무비품(옷장 등 9종) 제조,국군재정관리단,파트너OA가구
697,횡성역 유류공급시설 CCTV 카메라 제조 설치,국군재정관리단,(주)극동정보통신
731,00지역 감시용 CCTV제조설치,국군재정관리단,(주)유비쿼터스통신
816,시설대대 도로표지용 도료(백색)(16-311),공군제1전투비행단,주식회사 비와이에이치
