,입찰명,발주기관,낙찰자(상호)
7597,"통,탄산가스용 334EA",해군군수사령부,에이스철물건자재주식회사
10785,가스튀김기 2대,해군사관학교,대광산업
12087,오일스프레이 노즐 등 72종,해군제2수리창,국제안보상사
14647,생선가스,급식유류계약팀,주식회사 한맥식품
14648,생선가스,급식유류계약팀,(주)태림에프웰
14649,생선가스,급식유류계약팀,주식회사 만구
15151,가스취사밥솥 구매,제3170부대,대명종합상사
15158,화공약품(음료용 방청제 등 9종) 구매,국방부계룡대근무지원단,우진통상
24224,생선가스,급식유류계약팀,(주)태림에프웰
24227,생선가스,급식유류계약팀,주식회사 한맥식품
24228,생선가스,급식유류계약팀,(주)서울식품
24865,가스 튀김기 등 5품목,제9181부대,내일환경관리
25560,오일스프레이 노즐 등 67종,해군제2수리창,세일상사
33131,생선가스,급식유류계약팀,주식회사 한맥식품
33132,생선가스,급식유류계약팀,(주)서울식품
33133,생선가스,급식유류계약팀,주식회사 부산어묵
41478,생선가스,급식유류계약팀,(주)서울식품
41479,생선가스,급식유류계약팀,주식회사 부산어묵
41480,생선가스,급식유류계약팀,주식회사 남부식품
42935,가스자동밥솥(소형) 1품목 구매,육군군수사령부,주식회사 코스모스
44949,스프레이 그리스 등 49종 구매,해군제2수리창,파코상사
49665,"가열기,수중식,액체연료연소식 1종 구매",해군군수사령부,윤테크
50544,자율운영 부식(가스오부시 등 222종) 구매,자운대근무지원연대,주식회사 유노미아
51560,"가스자동밥솥,소형 1항목 구매",육군군수사령부,이에스티(EST)
51735,'23년 1~3월 부대조달 부식(돈가스 3종) 제조/구매,제 2167부대,(주)디아이
57539,가스자동밥솥 등 3항목 구매(일반물자),육군군수사령부,주식회사 르몽드인터내셔널
60353,‘24년 1~3월 부대조달 부식(돈가스 5품목) 제조/구매,제 2167부대,(주)진푸드시스템
60761,가스튀김기 등 2품목 구매/설치(도서지역),제9196부대,마리컴퍼니_인천
61848,‘23년 10~12월 부대조달 부식(미니돈가스) 제조/구매,제 2167부대,주식회사 대흥푸드
62457,가스튀김기(2구) 등 2종 구매,제8385부대,(주)동건
63425,‘23년 7~9월 부대조달 부식(미니돈가스) 제조/구매,제 2167부대,주식회사 대흥푸드
65906,4~6월 부대조달부식(치즈롤돈가스 등 4종) 구매,제 2167부대,주식회사상아에프에스
67119,가스자동밥솥 등 3항목 구매(일반물자),육군군수사령부,주영산업
67275,(긴급) 오일스프레이(좌) 등 44종,해군군수사령부,에스제이유통
68392,‘25년 1~3월 부대조달 부식(돈가스 6품목) 제조/구매,제 2167부대,지푸드(G-FOOD)
69467,‘24년10~12월 부대조달부식(돈가스 8품목) 제조/구매,제 2167부대,지푸드(G-FOOD)
71403,‘24년 7~9월 부대조달 부식(돈가스 8품목) 제조/구매,제 2167부대,(주)진푸드시스템
73150,가스튀김기 등 7종 구매,공군군수사령부,한톨유통
74011,‘24년 4~6월 부대조달 부식(돈가스 7품목) 제조/구매,제 2167부대,(주)진푸드시스템
