,입찰명,발주기관,낙찰자(상호)
670,오일 씰 인넷 등 279종,공군군수사령부,희망테크
1333,실린더 해드 가스켓 등 32종 구매(연평도 납품),연평부대,태광이엔씨
1383,수면계 가스켓 등 30종,해군작전사령부,주식회사 우영물산
1393,고무가스켓 등 17종 구매,해군제3함대사령부,대건상사
1650,엔진오일필터 등 43종 구매,제8385부대,(주)동건
1894,아반떼HD 엔진오일필터 등 89종 구매,제2002부대,에스에이리테일
2505,엔진오일 등 33종 구매,제7001부대,경남테크
2686,엔진용윤활유,급식유류계약팀,에스케이엔무브 주식회사
3327,가스켓 등 6품목,해군제1수리창,금성종합상사
3489,브레이크 드럼 등 166종,공군군수사령부,삼호상사
3537,고압가스 구매 / 용기정비,5군수지원사령부,주식회사신라충전소
3647,자연 통풍관 가스켓 등 15품목,해군제1수리창,영동상사
3916,엔진오일 등 163품목 구매,제9691부대,지니종합상사
4102,엔진오일 등 3종,제20전투비행단,스카이몰
4456,오일필터 등 130종,제20전투비행단,흙사랑
4605,"튜브 조립체,오일 여과기용 등 15항목 제조(궤도)",육군군수사령부,성도산업
4980,오일필터 등 88종,제9181부대,효성유통
5362,브레이크 드럼 등 130종,공군군수사령부,삼호상사
5580,오일씰 등 13종,해군군수사령부,우일정공
5891,'16년 가스터빈엔진 정비,유도무기계약팀 (구:19.09.16),현대산기 주식회사
7022,"수송대대 가솔린 엔진오일 등 51종(16-36, 37, 50)",공군 제8전투비행단,한국타이어 삼광점
7094,기어용윤활유,급식유류계약팀,대성석유화학(주)
7126,가스켓 등 15종,해군군수사령부,태륭산업기계
7228,엔진용윤활유,급식유류계약팀,에스케이엔무브 주식회사
7397,윤활유 필터 등 10종 구매,제9911부대,VOK(비전오브코리아)
7745,비석면 가스켓 등 3종,해군군수사령부,주식회사 유림넷
8067,가스켓 링 등 16종,해군군수사령부,범한산업 주식회사
8521,00함 가스터빈 유압시동기 패널 정비,해군군수사령부,정현테크
9256,오일씰 등 12품목,해군제1수리창,삼동유통상사
9379,현창 가스켓 등 21품목,해군제1수리창,남부상사
9718,가스켓본드 등 59종,제9911부대,(주)협성산업
9793,상용장비(엔진오일필터 000종) 구매,제7789부대,경기종합상사
10128,후지제록스 디지털 오일 필터 등 19종,해군교육사령부,선진
10143,오일필터 등 137품목 구매,제9691부대,서윤산업
10145,오일필터 등 139종,제7001부대,(주)원진
10629,"밸브 조립체,니들형,압축가스라인용 등 32종",해군군수사령부,범한산업 주식회사
