,입찰명,발주기관코드,발주기관,4종_Pick,4종_Remove,8종_Pick,8종_Remove
0,치과 장비운영소모품 구매(구치 블록 등 5품목),MDJ,국군대전병원,블록,,치과,
1,17-3차 일반 및 의무비품(산소유량계 등 10품목) 구매,MDG,국군의무사령부,유량계,,의무,
2,2017년 의무장비 비디오기도삽관기 구매,MDG,국군의무사령부,삽,,의무,
3,'18-10차 의무비품(의무병실용 싱크대) 구매,MDG,국군의무사령부,싱크대,,의무,
4,'18년 의료용산소 충전 및 용기검사(밸브교체),LIK,제2군수지원여단,밸브,,의료,
5,국군양주병원 의무비품(LED 후두경) 구매,MDG,국군의무사령부,LED,,"병원, 의무",
6,국군양주병원 의무비품(LED 후두경) 구매,MDG,국군의무사령부,LED,,"병원, 의무",
7,국군양주병원 의무비품(LED 후두경) 구매,MDG,국군의무사령부,LED,,"병원, 의무",
8,국군양주병원 의무비품(LED 후두경) 구매,MDG,국군의무사령부,LED,,"병원, 의무",
9,수도병원 수변전설비(분전반),MDG,국군의무사령부,분전반,,병원,
10,19-8차 의무장비 비디오 기도 삽관기 구매,MDD,국군수도병원,삽,,의무,
11,2019년 의무장비(비디오기도삽관기) 구매-재투자,MDG,국군의무사령부,삽,,의무,
12,치과장비운영소모품(지르코니아 블록 등 9종),MDJ,국군대전병원,블록,,치과,
13,코로나19 긴급조달의무장비 비디오기도삽관기 구매,MDD,국군수도병원,삽,,의무,
14,20년 3차 의무장비(모래분사기등 2종)구매,MDD,국군수도병원,모래,,의무,
15,"20년 의료용 산소 구매 및 용기안전검사,밸브교체",LGI,제3군수지원여단,밸브,,의료,
16,의료용산소 구매 및 용기검사(밸브교체),LIK,제2군수지원여단,밸브,,의료,
17,21년 재투자 의무장비 구매 (1차 비디오 기도삽관기),MDD,국군수도병원,삽,,의무,
18,"21년 의료용품(의료가스,용기안전감시및밸브교체)구매",LGP,제1군수지원사령부,밸브,,의료,
19,"21년 의료용 산소 구매 및 용기안전검사,밸브교체",LGI,제3군수지원여단,밸브,,의료,
20,21년 의료용산소 구매 및 용기검사(밸브교체),LIK,제2군수지원여단,밸브,,의료,
21,2022 재투자 의무장비(비디오삽관기) 구매,MDD,국군수도병원,삽,,의무,
22,22년 의무비품 구매 3-9차(제작목재),MDD,국군수도병원,목재,,의무,
23,22년 의무비품 구매 2-6차(제작목재),MDD,국군수도병원,목재,,의무,
24,"22년 의료용품(산소,용기안전검사 및 밸브교체)구매",LGP,제1군수지원사령부,밸브,,의료,
25,22년 1-6차 의무비품 구매(제작목재),MDD,국군수도병원,목재,,의무,
26,"튜브,배수용,외과용 등 9항목 구매(의무)",LCF,육군군수사령부,배수,,"외과, 의무",
27,23년 의무비품 구매 4-4차(제작목재),MDD,국군수도병원,목재,,의무,
28,23년 의무장비(비디오기도삽관기) 구매,MDG,국군의무사령부,삽,,의무,
29,23년 의무장비(비디오기도삽관기) 구매,MDG,국군의무사령부,삽,,의무,
30,의약품(방수밴드 등 128품목 구매 납품),SFD,제9227부대,방수,,의약품,
31,23년 의무비품 구매 1-5차(제작목재),MDD,국군수도병원,목재,,의무,
32,23년 의무장비(비디오기도삽관기) 구매,MDG,국군의무사령부,삽,,의무,
33,23년 의무장비(비디오기도삽관기) 구매,MDG,국군의무사령부,삽,,의무,
34,의무장비(비디오 기도삽관기) 구매,SFC,제9691부대,삽,,의무,
35,24년 의무장비(비디오기도삽관기) 구매,MDG,국군의무사령부,삽,,의무,
36,24년 27차 의료기재(실리콘인솔 등 7품목) 구매,LFC,육군훈련소,실리콘,,의료,
37,24-4차 의무비품(의료용싱크대 등 2종) 구매,MDG,국군의무사령부,싱크대,,"의료, 의무",
38,의무 환자응답스위치 등 11품목 구매,LDH,육군종합정비창,스위치,,"의무, 환자",
