,입찰명,발주기관,낙찰자(상호)
43,2017년 환자급식용 식재료 구매,국군대전병원,다해푸드
47,'17년 환자급식(증후식류) 식품 구매,국군수도병원,주식회사 삼우인더스트리
48,'17년 환자급식(부식류) 식품 구매,국군수도병원,주식회사 에스피씨삼립
78,'17년 환자치료식 부·후식 및 증식 계약,국군의무사령부,주식회사 에스피씨삼립
79,'17년 환자치료식 부·후식 및 증식 계약,국군의무사령부,주식회사 에스피씨삼립
81,'17년 환자치료식 부·후식 및 증식 계약,국군의무사령부,주식회사 에스피씨삼립
1203,의료기재(정맥주사 실습 팔 모형 등 2종),제5738부대,와이파이컴퍼니
7063,'16년 부식분배용 위생 및 포장재료 구매,제7789부대,한성산업
7078,'16년 부식분배용 위생 및 포장재료 구매,제7789부대,한성산업
7107,의약품(싸이로카인 스프레이 등 193종)구매,제5738부대,이안상사
9237,18년 환자급식(증후식류) 납품,국군수도병원,미가온
9238,18년 환자급식(부식류) 식품 구매,국군수도병원,주식회사 에스피씨삼립
12024,50% 포도당 주사액 등 107종(의약품),제7001부대,주식회사 한스피엠아이
14733,17-6차 일반의무비품(전기밥솥 등 3건) 구매,국군의무사령부,주식회사 이음
15879,치과기재(미니그레이시 큐렛 외 73종)구매,국방부계룡대근무지원단,주식회사 부영상사
16132,상처용 드레싱 패드 등 15항목 구매(의무),육군군수사령부,주식회사 나루지엠에스
17587,상처용드레싱 패드 등 15항목 구매(의무),육군군수사령부,"한신메디칼대전,충청지사"
19640,특수수술재료(연조직재건용 콜라겐 보충제) 2차 구매,국군의무사령부,주식회사 굿메드
19641,특수수술재료(생물학적 드레싱류) 2차 구매,국군의무사령부,유한회사 엔디클릭
20222,의약품(아바미스 나잘 스프레이 등 59종) 구매,해군사관학교,주식회사 연승약품
21735,의약품(아바미스 나잘 스프레이 등 107종) 구매,해군사관학교,윤진메디칼주식회사
22079,의약품 등(코푸시럽 등 87종) 구매,제8385부대,제이팜주식회사
23162,50% 포도당주사액 등 105종(의약품),제7001부대,주식회사 재현약품
25794,18년 환자치료식(부후식 및 증식) 구매,국군의무사령부,주식회사 대선에프에스
25921,의약품 시네츄라 시럽 등 99품목 구매 납품,제9227부대,온케어메디홀주식회사
26286,의약품(시네츄라시럽 외 14종)구매,국방부계룡대근무지원단,(주)석호약품
26592,환자급식용 식재료 구매,국군대전병원,주식회사푸드라인
26849,20년 환자치료 식재료 구매(부·후식 증식 등),국군수도병원,미가온
27813,19-1차 의무 교육비품구매(정맥주사 실습모형 등 6종),국군대전병원,엠씨아이컴퍼니(주)
29101,19년 특수수술재료(콜라겐사용조직 보충재),국군대전병원,더윈메디
29169,181차 의약품(레메론정 등) 구매,국군수도병원,주식회사 새보람메디칼
29693,특수수술재료(흡수성이식용Mesh) 2차 구매,국군의무사령부,주식회사 굿메드
29874,특수수술재료(콜라겐사용조직보충제) 2차 구매,국군의무사령부,주식회사 굿메드
32505,100차 의약품(메론정 등 18종) 구매,국군수도병원,주식회사 카카오팜
33210,의무물자(정맥주사세트 등 7종) 구매(20196020-C),국군재정관리단,주식회사 발렌베리
33652,"환자급식용식재료 구매(농·축·수산물,공산품 474종)",국군대전병원,다해푸드
33883,특수수술재료(콜라겐 흡수성 창상피복제) 구매,국군의무사령부,(주)썬메디텍
33889,특수수술재료(콜라겐 흡수성 창상피복제) 구매,국군의무사령부,(주)썬메디텍
34770,19년 환자치료 식재료 구매(부·후식 및 증식),국군수도병원,에이치케이푸드
35046,7차 의약품 수시품목 구매(포도당가 엔에이 등 38종),국군수도병원,서울의약 주식회사
35182,19년 환자급식용 부후식 및 증식 식재료 구매,국군의무사령부,주식회사 대선에프에스
35854,"21년 환자 치료 식재료(부식,증?후식류등) 납품",국군수도병원,한샘유통 주식회사
37867,의무용품(까스활명수 등 79품목) 구매,연평부대,(주)파이안약품
38325,특수수술재료(생물학적 드레싱류) 2차 구매,국군의무사령부,주마메디칼
42949,특수수술재료(생물학적드레싱류-B) 구매,국군의무사령부,주식회사 굿메드
43416,의약품 에스트라 아토베리어크림 등 47종 구매 납품,제3283부대,네오썬팜
43706,"환자급식재료 납품계약(농·축·수산물,공산품 472종)",국군대전병원,에이치케이푸드
43736,2020년 환자치료식 부/후식 및 증식 구매,국군의무사령부,주식회사 대선에프에스
45675,5%포도당 생리식염수 등 84종(의약품),제7001부대,주식회사 한서팜
45715,드레싱폼 등 2품목 구매(의무),육군군수사령부,희현코퍼레이션
46366,"붕대,외과용(스프린트10CM(4인치)) 등 6항목 구매",육군군수사령부,주식회사 천화
46715,멸균드레싱밴드 등 99품목 구매(의무),육군군수사령부,일조약품
47064,두부진찰등 등 4항목 구매(의무),육군군수사령부,동명상사
49331,'21년 특수수술재료(생물학적 드레싱류(1)) 구매,국군의무사령부,더윈메디
49682,주사처치용 미니밴드 1항목 구매(의무),육군군수사령부,제이엠케이
49753,'21년 환자치료식 부·후식 및 증식 구매,국군의무사령부,주식회사 대선에프에스
50538,(217009-E)특수수술재료(생물학적 드레싱류(2))구매,국군재정관리단,주식회사 정현
50577,창상드레싱 1항목 구매(의무),육군군수사령부,타임리스(TIMELESS)
51452,"21년 환자급식재료(농·축·수산물,공산품 455종)",국군대전병원,(주)진영씨엔씨
53038,의약품 및 의료물품(까스활명수 등 106종 구매),제9911부대,주식회사 닥터리츠
54807,상처드레싱패드 1품목 구매(의무),육군군수사령부,마로니에
60663,의약품(코푸시럽 20ml등 105품목) 구매,제3283부대,송은메디칼
64177,2023 국군수도병원 특수영양식 36품목 구매 계약,국군수도병원,주식회사금성푸드서비스
64192,2023 국군수도병원 특수영양식 36품목 구매 계약,국군수도병원,주식회사금성푸드서비스
64193,2023 국군수도병원 특수영양식 36품목 구매 계약,국군수도병원,주식회사금성푸드서비스
64299,2023년 국군수도병원 특수수술재료(드레싱재료1) 구매,국군수도병원,주식회사 코어메드
64301,2023 국군수도병원 특수수술재료(골이식재료1) 구매,국군수도병원,주식회사 엠투메디칼
64647,2023 특수수술재료(골이식재료2 BIO BMP)구매,국군수도병원,주식회사 위플메드
65290,2023 국군수도병원 특수수술재료(드레싱재료 2) 구매,국군수도병원,한스테크
65529,환자치료식재료(농산품 491종) 연간계약,국군대전병원,(주)비룡푸드
66951,창상드레싱 등 4항목 구매(의무),육군군수사령부,수컴퍼니
