,입찰명,발주기관,낙찰자(상호)
2101,잠수함 수소가스 센서 등 2종 구매,제9121부대,성수로케트
2113,산소분석기 1종,해군군수사령부,유더블유티
3583,산소 분석기 센서 등 5종,해군작전사령부,효원
3933,드럼셋트마이크 등 3종 구매,제8385부대,대광종합상사
5487,유류시험장비(그리스침입도 시험기 등 3종) 구매,국군재정관리단,주식회사 성진이엔디
6247,산소 분석기 센서 등 9종,해군작전사령부,동명종합상사
8629,(16-007)일반의무장비획득(산소소생기외 3품목),공군제17전투비행단,MK메디칼
9614,복합가스측정기 등 8종 구매,제8385부대,정우종합건자재
9766,복합가스측정기 등 8종,해군군수사령부,클릭바이 엠알오
10388,복합가스측정기,해군제1수리창,세광철물
11387,산소 센서 등 39종,해군작전사령부,대성
12173,경호경계장비(가스총 등 6종) 구매,제9965부대,현대안전산업
12466,유류시험장비(가스성분 분석기 등 2종) 구매,국군재정관리단,(주)동건
15976,2017년 의무장비 산소소생기자동식 병원용 구매,국군의무사령부,주식회사한국소방안전
16685,윤활유 냉매 압축기용 등 4종,해군군수사령부,대한냉동
17021,오일압력센서 등 65품목,제9181부대,케이엔피 트레이드
17288,오일 필터용 소자 1항목 구매(항공),육군군수사령부,주식회사 서한산업
17478,산소분석기 센서 등 2건,해군작전사령부,드림컴퍼니
18227,18-오일 오염도 분석기 구매,국군재정관리단,주식회사화인시스텍
18236,복합가스측정기 등 2종 구매,제9911부대,유진시스템
18334,복합가스 측정기 구매,제8385부대,칼라투
18629,윤활유 고온센서 등 4종,해군제3함대사령부,에스에이치상사
19731,복함가스측정기 구매,국군화생방방호사령부,주식회사 예인컴퍼니
19793,냉각기 1단 윤활유 쿨러 1종,해군군수사령부,정일티엠씨
20511,유압유 플러싱장비 제조설치 납품,국군재정관리단,주식회사 쓰리알
21488,"냉각기,윤활유 1종",해군군수사령부,범한산업 주식회사
21684,"탐지기, 가스용",해군제1수리창,천곡철물상사
21871,"하우징,오일 냉각기용 등 21종",해군군수사령부,메트로마린서비스
22728,오일방지장치,기동화력계약팀 (구:19.09.16),건일테크
22840,K1전차 차폐가스켓트등13종구매,육군종합정비창,주식회사 천명
25147,산소포화도 측정기 1항목 구매(물자),육군군수사령부,주식회사 알앤피파트너스
25804,압축기 오일 등 47종 구매,제8385부대,서울유통
26914,가스탐지기 구매,제9691부대,한신기계
26940,가스탐지기 구매,공군군수사령부,주식회사 제이디글로벌
27303,19-34차 의무장비 고유량 산소치료기 구매,국군수도병원,주식회사 엠텍헬스케어
27314,질소조정기 구매,제5738부대,선진
27489,혈액가스분석기 3대 구매,해군군수사령부,광명실업
27987,00장비 유압유(MIL-PRF-83282)구매,제1891부대,경기종합상사
28070,의무장비(산소호흡기) 구매(20196299-D),국군재정관리단,주식회사 동영상사
28617,자주포용 유압유 오염도 측정장비 구매,제2군수지원여단,주식회사 삼영필텍
28711,"윤활유, 공기 압축기용 84PL 구매",해군군수사령부,장안루브텍
29335,19-12차(3) 의무장비 혈액가스분석기 소형 구매,국군수도병원,주식회사백운
29487,19-8차 의무장비(6.고유량 산소공급기) 구매,국군수도병원,유어스 컴퍼니
29540,유압유 플러싱 장비,기동화력계약팀 (구:19.09.16),주식회사 경성엠티
30055,가스탐지기,해군제1수리창,삼동유통상사
30650,"윤활유, 냉매 압축기용 등 7종 구매",해군군수사령부,장안루브텍
31330,가스 크로마토그래피 질량분석기 구매(20196084-D),국군재정관리단,동성켐텍
31664,K1전차 차폐가스켓트등28종 구매,육군종합정비창,금성특수산업
32809,냉각기 1단 윤활유 쿨러 BHH-175 등 2종,해군군수사령부,엠앤티 M&T
33300,전환 저장 충전장치 산소용 구매(20199054-D),국군재정관리단,케이에스상사
33466,휴대용 화학 질량분석기용 헬륨가스 구매,국군화생방방호사령부,클릭바이 엠알오
33502,오일캔압축기 구매,제5738부대,경일산업개발 주식회사
34190,"탐지기,가스용 등 8종",해군군수사령부,동해종합상사
34210,산소포화도 측정기 1품목 구매(물품)(20196018-A),국군재정관리단,주식회사 더그린
34518,"소자,오일필터용 등 2항목 구매(항공)",육군군수사령부,지에스산업
34766,감속기 윤활유쿨러 1종,해군군수사령부,세종상사
35749,유압유플러싱장비,지상공통전력운영계약팀,주식회사 아산에스앤테크
