,입찰명,발주기관,낙찰자(상호)
240,전산소모품 구매,국군의무사령부,주식회사 유피소프트
1333,실린더 해드 가스켓 등 32종 구매(연평도 납품),연평부대,태광이엔씨
1391,전산소모품 구매(토너 등),국군체육부대,더팜
1693,복사기 토너/드럼 16종 구매,제8385부대,강원상사
2295,"유류탱크 신축 이너겐 소화설비 제조, 설치",공군제11전투비행단,(주)세정이엔지
2314,드럼받침대 구매,제3170부대,진용산업
3522,3/4분기 전산소모품 구매,5군수지원사령부,강원전자 주식회사
3620,드럼 의자 등 5종 구매,국방부계룡대근무지원단,엠넷글로벌
3710,전산소모품 구매,국방정보본부,주식회사 대승솔루션
3909,전산운영용품 구매(토너/드럼),국방부근무지원단,주식회사 유피소프트
5274,ML-8900N토너/드럼(슈퍼재생)등 9항목 제조(물자),육군군수사령부,주식회사 서트
5395,전산소모품(스캐너 등 00종) 구매,5군수지원사령부,가자OA
5454,(16-155)취사기구(가스자동취반기외 6품목),공군제17전투비행단,주식회사씨엔이
6884,프린터 드럼 등 311종,해군 기동함대사령부,성현스토어
7188,화생방 연구 재료 가스 구매,국군화생방방호사령부,엠에스동민특수가스(주)
7426,알곤가스 등 6종 구매(공병검사비 포함),제8385부대,해동가스(주)
7803,아산화질소 1항목 구매(물품),육군군수사령부,단일시스켐 주식회사
7931,1/4분기 흑백토너(SL-3320ND) 등 전산소모품 구매,육군종합군수학교,빛모아
8169,LBP-6535K 토너/드럼(슈퍼재생) 등 7항목 제조,육군군수사령부,협성교역
8530,장비운영소모품 의료가스 구매,국군수도병원,동양산업가스 주식회사
9513,복사기드럼 등 10종,해군본부,현대상사
9589,17-11차 전산소모품 구매(17-12차통합),제7보병사단,전우사
10459,전산소모품(토너 등 88종) 구매,공군군수사령부,대진통상
11365,인쇄기 드럼(CT351050) 등 23품목 구매,제9691부대,주식회사 형제공구사
11664,17-9차 전산소모품 구매,제7보병사단,주식회사 나라네트워크
12438,17-7차 전산소모품 구매,제7보병사단,주식회사 나라네트워크
13888,1A부대 전산소모품 구매,제1891부대,뉴스트롱
14263,17-5차 전산소모품 구매,제7보병사단,전우사
15247,17-4차 전산소모품 구매,제7보병사단,주식회사 나라네트워크
16270,17-3차 일반 및 의무비품(산소유량계 등 10품목) 구매,국군의무사령부,(주)이삭메디칼
16482,뚜껑 밸브용 가스실린더 배출구용 4EA,해군군수사령부,백산
16995,에어컨가스 자동주입기 등 15품목 구매,제9해병여단,은우산업
17213,알곤가스 등 6종 구매(공병검사비 포함),제8385부대,(주)동화산업가스
17967,'18년도 4분기 전산소모품 구매,방위사업청(운영지원과),마이크로큐닉스(주)
18063,악기(셋트드럼 등 4종),공군군수사령부,주식회사 프리버드부산
18103,사이버지식정보방 전산소모품 구매,제7보병사단,주식회사 예일컴퍼니
19120,'18-10차 일반비품(자동주유기 단식) 구매,국군의무사령부,유진시스템
19415,드럼세탁기 등 3종,해군작전사령부,대선테크
19713,지형분석실 전산소모품 구매,육군 제8군단,다보상사
20034,가스온수기 등 5건 구매,육군훈련소,영원종합상사
21760,가스온수기 및 보일러 구매,육군훈련소,(주)충남설비
21772,18-1차 전산소모품 구매,국방전산정보원,(주)유플렉스이텍
22179,침대가스쇼바 수선등 2종,해군군수사령부,퍼스트OA사무가구 우드메탈
22753,드럼세탁기 등 3품목 구매 납품,제9227부대,준호상사
22824,취사기구(가스렌지등 70종) 구매,제9965부대,주영
23326,전산소모품,공군군수사령부,(주)에이치케이비즈
23339,전산소모품,공군군수사령부,(주)에이치케이비즈
23603,18-2차 전산소모품 구매,제7보병사단,전우사
23952,"18-021,18-025 전산소모품 구매",공군제38전투비행전대,썬정보기술
24583,알곤가스 등 6종 구매(공병검사비 포함),제8385부대,한국탄산화학 주식회사
24783,정품토너 및 드럼 구매,국방부근무지원단,알림기획
25392,별걸이형 드럼세탁기 등 2종,해군작전사령부,영성기업사
25930,18-1차 전산소모품 구매,제7보병사단,주식회사 천광
26255,"뚜껑, 밸브용, 가스실린더 배출구용 32EA",해군군수사령부,조은테크
27597,프린터드럼 등 24종 구매,합동군사대학교,해피몰
27919,드럼세탁기 등 8종,해군작전사령부,대선테크
28211,드럼세탁기,제7001부대,영광상사
28239,"19-3차, 10차 전산소모품 구매",제7보병사단,소이컴퍼니
28884,아세틸렌 실린더 구매,제9911부대,잡스
29309,19-8차 전산소모품 구매,제7보병사단,주식회사 서울피엔씨
29767,드럼세탁기 구매,제9911부대,성동공조
29821,프린터드럼 등 37종 구매,합동군사대학교,건양체육산업
31340,프린터 드럼 등 31종,합동군사대학교,제이퍼블리코
32580,"세탁기 2종(드럼, 통돌이) 설치납품",국방부계룡대근무지원단,엠에스테크
