,입찰명,발주기관,낙찰자(상호)
337,00부대 간부숙소 신축 가스보일러 제조설치납품,육군항공사령부,도시가스114 주식회사
442,선박 보조연료탱크 제조 설치,국군재정관리단,주식회사 동신하이텍
1053,00지역 가스보일러 철거 및 설치납품 (70세대),제60보병사단,주식회사 성진이엔디
1082,오일 펌프 1종,해군군수사령부,대한냉동
1598,"펌프,연료 분사기용 1종",해군군수사령부,세종상사
1617,카고 연료유 펌프 제조,국군재정관리단,(주)신신기계
1668,연료 공급 펌프 등 8종,공군군수사령부,지와이테크놀리지
2295,"유류탱크 신축 이너겐 소화설비 제조, 설치",공군제11전투비행단,(주)세정이엔지
2584,럭키타운아파트 가스보일러 설치납품,제3707부대,(주)우림에너지
2684,오리콘 전기연료펌프등27종구매,육군종합정비창,주식회사 비케이반도체
2819,가스보일러(가정용) 구매(철거 및 설치포함),공군제15특수임무비행단,국일기업
3794,윤활유 펌프 등 2종(2-2),해군제2수리창,지니종합상사
4605,"튜브 조립체,오일 여과기용 등 15항목 제조(궤도)",육군군수사령부,성도산업
4612,오일펌프 등 2종,해군군수사령부,미래상사
5021,선박 보조연료탱크 제조 납품,국군재정관리단,주식회사 씨알테크
5185,오일 펌프 1종,해군군수사령부,KE테크
5274,ML-8900N토너/드럼(슈퍼재생)등 9항목 제조(물자),육군군수사령부,주식회사 서트
5295,"호스조립체,연료용 등 127항목 제조(기장)",육군군수사령부,주식회사 에스피스틸
5662,"공업용가스 구매 및 용기검사, 밸브교체",제2167부대,한국수소(주)
6006,연료유이송펌프 66GPM,함정계약팀 (구:19.09.16),(주)삼신기연
6094,연료유 공급펌프 61GPM 제조,국군재정관리단,호암정공
6544,연료 탱크 2종 제조,공군군수사령부,대성산업
6607,"핸들링 돌리, 중앙 외부 연료 탱크용 제조",공군군수사령부,에스엘티
6770,"부대조달 화공가스 납품 및 용기검사, 밸브 교체",제2167부대,가스엔
7043,"튜브,연료용 등 113항목 제조(기장)",육군군수사령부,주식회사 씨알테크
7220,항공유 펌프 3세트 구매,국군재정관리단,라바열융합기술
