,입찰명,발주기관코드,발주기관,4종_Pick,4종_Remove,9종_Pick,9종_Remove
0,긴급 영선보수자재 구매(UPS배터리),MCN,국방부근무지원단,보수,,배터리,
1,00지역 시설공사 관급자재(알루미늄패널) 제조 납품,MCN,국방부근무지원단,"공사, 시설, 제조",,관급자재,
2,00지역 시설공사 관급자재(GHP) 설치납품,MCN,국방부근무지원단,"공사, 시설",,관급자재,
3,관급자재-글라스울징크 판넬 제조.구매(설치포함),HCR,공군제15특수임무비행단,"제조, 판넬",,관급자재,
4,시설공사 관급자재(화물용엘리베이터)제조 설치납품,MCN,국방부근무지원단,"공사, 시설, 제조, 제조 설치",,관급자재,
5,시설공사 관급자재(조명기구)제조 납품,MCN,국방부근무지원단,"공사, 시설, 제조, 조명기구",,관급자재,
6,시설공사 관급자재(분전반)제조 납품,MCN,국방부근무지원단,"공사, 분전반, 시설, 제조",,관급자재,
7,관급자재(전관방송 및 AV설비) 제조 설치납품,MCN,국방부근무지원단,"제조, 제조 설치",,관급자재,
8,종교센타 리모델링 관급자재(조명기구) 제조납품,MCN,국방부근무지원단,"제조, 조명기구",,관급자재,
9,차기다련장 3차 811정비대대 시설공사_크레인,LNG,육군 제1군단,"공사, 시설",,정비,
10,조명기구(차량정비고),SFG,제9181부대,조명기구,,정비,
11,16-59-1 관급자재[글라스울샌드위치 판넬 구매(설치)],HDM,공군제17전투비행단,판넬,,관급자재,
12,다목적체육관 관급자재 무대장치 제조설치,LNS,제55보병사단,"제조, 제조설치",,관급자재,
13,다목적체육관 관급자재(AV설비) 제조설치,LNS,제55보병사단,"제조, 제조설치",,관급자재,
14,"관급자재 수배전반, 분전반 제조 구매",HDK,공군제11전투비행단,"분전반, 제조",,관급자재,
15,16-공-본-17 관급자재(전관방송 AV포함) 제조설치,UMM,국군재정관리단,"제조, 제조설치",,관급자재,
16,시설유지보수 자재 구매,HDK,공군제11전투비행단,"보수, 시설",,유지보수,
17,시설유지보수 자재 구매,HDK,공군제11전투비행단,"보수, 시설",,유지보수,
18,관급자재 조명기구 제조 납품,HDK,공군제11전투비행단,"제조, 조명기구",,관급자재,
19,금학산 케이블카 엔진교체,LMK,제6보병사단,케이블,,엔진,
20,심정모터펌프 등 펌프류 구매(16-291),LMK,제6보병사단,펌프,,모터,
21,"부품키트, 걸쇠용 등 2항목 제조(물자)",LCF,육군군수사령부,제조,,부품,
22,16-본-공-5 도서관 리모델링 관급자재(조명기구),HCL,공군사관학교,조명기구,,관급자재,
23,131사업(2차) 관급자재(출입통제시스템) 제조설치,MCM,4284부대,"제조, 제조설치",,관급자재,
24,16-해-항공정비실습장 크레인 제조 설치,SCR,해군제3함대사령부,"제조, 제조 설치",,정비,
25,16-공-본-17 관급자재(통합배선) 제조설치,UMM,국군재정관리단,"제조, 제조설치",,관급자재,
26,차기다련장 3차 시설사업 관급자재(크레인) 설치납품,LFK,육군종합군수학교,시설,,관급자재,
27,차기다련장 3차 시설사업 관급자재(보일러) 설치납품,LFK,육군종합군수학교,"보일러, 시설",,관급자재,
28,ATCIS 상용HW 유지보수 물품 구매,LNG,육군 제1군단,보수,,유지보수,
29,16-본-공-5 관급자재(화강석) 제조,UMM,국군재정관리단,제조,,관급자재,
30,00부대 간부숙소 신축 관급자재 콘크리트파일 제조,LCP,육군항공사령부,"신축, 제조, 콘크리트",,관급자재,
31,00부대 간부숙소 신축 관급자재 콘크리트파일 제조,LCP,육군항공사령부,"신축, 제조, 콘크리트",,관급자재,
32,00부대 간부숙소 신축 관급자재 콘크리트파일 제조,LCP,육군항공사령부,"신축, 제조, 콘크리트",,관급자재,
33,00부대 간부숙소 신축 관급자재 콘크리트파일 제조,LCP,육군항공사령부,"신축, 제조, 콘크리트",,관급자재,
34,00부대 심정모터펌프 교체 자재구매,LHG,제1862부대,펌프,,모터,
35,통신센터 관급자재-전열교환기 제조.구매 (설치포함),HCR,공군제15특수임무비행단,제조,,관급자재,
36,통합작전 통신센터 관급자재-통합배선 제조 설치,HCR,공군제15특수임무비행단,"제조, 제조 설치",,관급자재,
37,통합작전 통신센터 관급자재-AV설비 제조 설치,HCR,공군제15특수임무비행단,"제조, 제조 설치",,관급자재,
38,통신센터 관급자재-냉난방기 제조/구매(설치포함),HCR,공군제15특수임무비행단,제조,,관급자재,
39,통신센터 관급자재-태양광발전장치 제조 설치,HCR,공군제15특수임무비행단,"제조, 제조 설치",,관급자재,
40,16-439 시설자재(황동나사식 볼배브 등 101종) 구매,HCM,공군교육사령부,시설,,나사,
41,시설 유지보수 자재 구매,HDK,공군제11전투비행단,"보수, 시설",,유지보수,
42,사격장 바닥(4개소) 시설유지 완충패드 구매,LKM,제2632부대,시설,,패드,
43,00부대 관급자재(조명기구) 제조 설치,UMM,국군재정관리단,"제조, 제조 설치, 조명기구",,관급자재,
44,"푸시 로드,엔진 포핏 밸브용 등 14종",SCF,해군군수사령부,밸브,,엔진,
45,냉각수펌프(다단볼류트 모터펌프(60HP)) 제조설치,MCS,국방부계룡대근무지원단,"제조, 제조설치, 펌프",,모터,
46,무열대 체력단련장 물탱크 및 모터펌프 교체,LHQ,제2작전사령부,펌프,,모터,
47,00학교 이전사업 관급자재(디자인휀스) 제조설치,UMM,국군재정관리단,"제조, 제조설치",,관급자재,
48,자주포 정비고 크레인 제조설치,LNQ,제17보병사단,"제조, 제조설치",,정비,
49,관급자재(진공보일러) 제조,SFM,제3170부대,"보일러, 제조",,관급자재,
50,00부대 차기다련장 관급자재(수배전반/분전반) 제조,UMM,국군재정관리단,"분전반, 제조",,관급자재,
51,00부대 차기다련장 시설공사 관급자재(조명기구) 제조,UMM,국군재정관리단,"공사, 시설, 제조, 조명기구",,관급자재,
52,무전기 회로카드조립체 4항목 제조(물품),LCF,육군군수사령부,제조,,조립체,
53,차리다련장 2차 시설공사 관급자재(CCTV),LMR,제5군단사령부,"공사, 시설",,관급자재,
54,차리다련장 2차 시설공사 관급자재(AV설비),LMR,제5군단사령부,"공사, 시설",,관급자재,
55,00부대 이전사업 관급자재(타일 4종) 설치납품,MDG,국군의무사령부,타일,,관급자재,
56,00부대 시설공사 관급자재(AV설비) 설치(1),UMM,국군재정관리단,"공사, 시설",,관급자재,
57,00부대 시설공사 관급자재(AV설비) 설치(1),UMM,국군재정관리단,"공사, 시설",,관급자재,
58,00부대 시설공사 관급자재(AV설비) 설치(3),UMM,국군재정관리단,"공사, 시설",,관급자재,
59,00부대 시설공사 관급자재(AV설비) 설치(2),UMM,국군재정관리단,"공사, 시설",,관급자재,
