,입찰명,발주기관코드,발주기관,2종_Pick,2종_Remove,4종_Pick,4종_Remove
0,13-본-국대-01 00학교 가구 및 비품 제조설치,UMM,국군재정관리단,"가구, 비품",,"제조, 제조설치",
1,00부대 중대시설 조명기구 제조납품(16-314),LGT,제2307부대,조명,,"시설, 제조, 조명기구",
2,00부대 체육시설 비품구매(고소작업대 등 9종),LNF,제1보병사단,"비품, 체육",,시설,
3,4개 개편부대 조명등 제조납품(정정공고),LNR,수도기계화보병사단,조명,,제조,
4,공병여단 장간조립교 자재 제조납품,LHK,제2군단,공병,,제조,
5,00부대 복지회관 신축 냉난방기 구매설치,LCH,특수전사령부,냉난방,,신축,
6,인쇄용지8종 제조/구매,UAC,국방출판지원단,인쇄,,제조,
7,시설공사 관급자재(조명기구)제조 납품,MCN,국방부근무지원단,조명,,"공사, 시설, 제조, 조명기구",
8,종교센타 리모델링 관급자재(조명기구) 제조납품,MCN,국방부근무지원단,조명,,"제조, 조명기구",
9,00지역 아파트 리모델링 시설공사(가구),MDF,국군지휘통신사령부,가구,,"공사, 시설, 아파트",
10,00학교 생도피복(맞춤피복) 제조,MDW,국군간호사관학교,피복,,제조,
11,다목적체육관 관급자재 무대장치 제조설치,LNS,제55보병사단,체육,,"제조, 제조설치",
12,다목적체육관 관급자재(AV설비) 제조설치,LNS,제55보병사단,체육,,"제조, 제조설치",
13,3개소 취사장 대형냉장고 제조설치,LNR,수도기계화보병사단,냉장고,,"제조, 제조설치",
14,112공병 병영생활관 개수 조명기구 제조납품,LHK,제2군단,"공병, 조명",,"생활관, 제조, 조명기구",
15,인쇄용지 3종 제조/구매,UAC,국방출판지원단,인쇄,,제조,
16,가구류(책상 등 14종) 제조,MDR,제9965부대,"가구, 책상",,제조,
17,LED형광등 구매(507개),LPM,제9보병사단사령부,형광등,,LED,
18,16년 교육시설(유격장) 자재구매,LHN,제7보병사단,교육,,시설,
19,교도소 침대생산자재(철재류) 제조납품,UMM,국군재정관리단,침대,,"제조, 철재",
20,관급자재 조명기구 제조 납품,HDK,공군제11전투비행단,조명,,"제조, 조명기구",
21,00부대 창설사업 CCTV 제조설치(16-222),LGT,제2307부대,TV,,"제조, 제조설치",
22,16-본-공-5 도서관 리모델링 관급자재(조명기구),HCL,공군사관학교,조명,,조명기구,
23,00급양대 조명기구 제조,UMM,국군재정관리단,조명,,"제조, 조명기구",
24,주머니난로(보온대) 제조납품,LFC,육군훈련소,보온,,제조,
25,102대대 LED 등기구 납품,LNG,육군 제1군단,등기구,,LED,
26,00부대 합성수지제창 / 합성수지도어 제조설치,UMM,국군재정관리단,지도,,"제조, 제조설치, 합성수지",
27,112공병 병영생활관 개수 PW창호 제조납품,LHK,제2군단,공병,,"생활관, 제조, 창호",
28,112공병 생활관 개수 진공온수보일러 제조설치납품,LHK,제2군단,공병,,"보일러, 생활관, 제조, 제조설치",
29,군관사 및 독신숙소 LED등기구 구매,LHQ,제2작전사령부,등기구,,LED,
30,16-해-물류창고 조명기구 구매(1),SCR,해군제3함대사령부,조명,,조명기구,
31,ATCIS 상용HW 유지보수 물품 구매,LNG,육군 제1군단,물품,,보수,
32,"지뢰보호의, 보호헬멧 제조구매",LHN,제7보병사단,보호의,,제조,
33,고속고무보트 제조 납품,UMM,국군재정관리단,보트,,제조,
34,고무보트 2종 제조납품,UMM,국군재정관리단,보트,,제조,
35,차기다련장 2차사업 조명기구 제조,UMM,국군재정관리단,조명,,"제조, 조명기구",
36,고속고무보트 7인승 제조,MDR,제9965부대,보트,,제조,
37,합판 등 군수비품 5종 구매,LPM,제9보병사단사령부,비품,,합판,
38,가구류(침대 등 30종) 제조,UMM,국군재정관리단,"가구, 침대",,제조,
39,통신센터 관급자재-냉난방기 제조/구매(설치포함),HCR,공군제15특수임무비행단,냉난방,,제조,
40,16-동-감시카메라(CCTV) 제조 설치,UMM,국군재정관리단,"TV, 카메라",,"제조, 제조 설치",
41,'17년 대기배출시설 소모품 구매(연간 단가계약),MCN,국방부근무지원단,소모품,,시설,
42,00소초 풋살경기장 인조잔디 제조설치납품,LNF,제1보병사단,풋살,,"제조, 제조설치",
43,00병원 의무비품(옷장 등 9종) 제조,UMM,국군재정관리단,비품,,제조,
44,횡성역 유류공급시설 CCTV 카메라 제조 설치,UMM,국군재정관리단,"TV, 카메라",,"시설, 제조, 제조 설치",
45,00지역 감시용 CCTV제조설치,UMM,국군재정관리단,TV,,"제조, 제조설치",
46,시설대대 도로표지용 도료(백색)(16-311),HDC,공군제1전투비행단,표지,,"도료, 시설",
47,00부대개편사업 조명기구 제조납품,LNM,제5181부대,조명,,"제조, 조명기구",
48,신교대 취사식당 신축 관통형냉장고 제조 설치납품,LHC,제1729부대,냉장고,,"신축, 제조, 제조 설치",
49,체육관/강당 방송시설 음향장비 설치납품(정정),LMC,제7851부대,체육,,시설,
50,5공병 121대대 생활관 온수보일러 설치납품,LMR,제5군단사령부,공병,,"보일러, 생활관",
51,광케이블 등 12종,SCH,해군작전사령부,광케이블,,케이블,
52,00학교이전 가구 제조설치,UMM,국군재정관리단,가구,,"제조, 제조설치",
53,컨테이너 제조 구매,SFL,제3283부대,컨테이너,,제조,
54,컨테이너 제조 구매,SFL,제3283부대,컨테이너,,제조,
55,17년 복지시설 소모품 구매(연간 단가계약),MCN,국방부근무지원단,소모품,,시설,
56,16-해-지원시설 CCTV 제조 설치,SCR,해군제3함대사령부,TV,,"시설, 제조, 제조 설치",
57,16-해-비상소화펌프(250GPM) 5EA 구매,UMM,국군재정관리단,소화,,펌프,
58,00부대 이전사업 합성수지도어 제조설치,UMM,국군재정관리단,지도,,"제조, 제조설치, 합성수지",
59,00학교 생도피복(운동복) 제조 납품,UMM,국군재정관리단,"운동복, 피복",,제조,
60,백단화(남) 등 3종 제조(구매),SCL,해군사관학교,백단화,,제조,
61,"스웨이징 슬리브,와이어로프용 등 7종",SCF,해군군수사령부,로프,,와이어로프,
62,"스웨이징 슬리브,와이어로프용 등 7종",SCF,해군군수사령부,로프,,와이어로프,
63,교도소 침대 생산자재(철재류) 제조납품 3차,UMM,국군재정관리단,침대,,"제조, 철재",
64,00부대 관급자재(조명기구) 제조 설치,UMM,국군재정관리단,조명,,"제조, 제조 설치, 조명기구",
65,16-작-감시카메라(CCTV) 제조 설치,UMM,국군재정관리단,"TV, 카메라",,"제조, 제조 설치",
66,생도피복(가방류) 제조납품,UMM,국군재정관리단,피복,,제조,
67,1101공병단 혼합골재구매,LMD,제7821부대,공병,,골재,
68,스탠딩 책상 제조 구매,LCN,육군사관학교,책상,,제조,
69,생도모집 홍보품(포스트잇) 제조 납품,LFN,육군3사관학교,포스트잇,,제조,
70,16-본-국-02 00병원 전력및조명자동제어 제조설치,UMM,국군재정관리단,조명,,"제조, 제조설치",
71,16-진-자전거거치대 14EA 제조설치,UMM,국군재정관리단,거치대,,"제조, 제조설치",
72,16-잠수함 전투복 제조 납품,UMM,국군재정관리단,전투복,,제조,
73,LED 조명 등 4종(16-278),HDC,공군제1전투비행단,조명,,LED,
74,00병원 의무비품(책상 등 33종) 제조설치,UMM,국군재정관리단,"비품, 책상",,"제조, 제조설치",
75,17년 생도피복(운동복류) 제조납품,UMM,국군재정관리단,"운동복, 피복",,제조,
76,비상소화펌프 60GPM,SCF,해군군수사령부,소화,,펌프,
77,비상소화펌프 60GPM,SCF,해군군수사령부,소화,,펌프,
78,풋살경기장 바닥재 구매설치(3),UMM,국군재정관리단,풋살,,바닥재,
79,직장어린이집 가구 제조설치,LMN,제6955부대,"가구, 어린이",,"제조, 제조설치",
80,CCTV POLE 제조설치,UMM,국군재정관리단,TV,,"제조, 제조설치",
81,00부대 차기다련장 시설공사 관급자재(조명기구) 제조,UMM,국군재정관리단,조명,,"공사, 시설, 제조, 조명기구",
82,의자 등 9종 제조 납품,UMM,국군재정관리단,의자,,제조,
83,00사단 CCTV 제조설치,UMM,국군재정관리단,TV,,"제조, 제조설치",
84,16-남-B 제습기(건식) 제조 설치,UMM,국군재정관리단,제습기,,"제조, 제조 설치",
85,BTL 임시숙영시설 냉난방기 설치 납품,LPK,제8기동사단,냉난방,,시설,
86,무전기 회로카드조립체 4항목 제조(물품),LCF,육군군수사령부,"무전기, 물품",,제조,
87,헌병피복(수사관외투 등 7종) 제조,UMM,국군재정관리단,피복,,제조,
88,만종리 훈련장 사무비품 제조설치,LGQ,제36보병사단,비품,,"제조, 제조설치",
89,2016년 문서낭 등 0종 제조 구매,LKS,육군인사사령부,문서,,제조,
90,차리다련장 2차 시설공사 관급자재(CCTV),LMR,제5군단사령부,TV,,"공사, 시설",
91,00부대 경계용 CCTV 제조설치,UMM,국군재정관리단,TV,,"제조, 제조설치",
92,"어린이집 폐쇄형배전반, 분전반 제조 설치",HDK,공군제11전투비행단,어린이,,"분전반, 제조, 제조 설치",
93,어린이집 조명기구 제조 납품,HDK,공군제11전투비행단,"어린이, 조명",,"제조, 조명기구",
