,입찰명,발주기관코드,발주기관,1종_Pick,1종_Remove,10종_Pick,10종_Remove
0,식자재 구매(일반미 등 174품목),SFH,제9196부대,식자재,,일반,
1,음식물쓰레기 처리용역(17년도),HDP,공군제19전투비행단,음식,,"용역, 처리",
2,17년 체력단련장 식자재 납품업체 선정,UAB,국군복지단,식자재,,체력,
3,도서(등뼈 실학) 등 94종,SCH,해군작전사령부,등뼈,,도서,
4,일반우유 등 18종,SCH,해군작전사령부,우유,,일반,
5,일반우유 등 18종,SCH,해군작전사령부,우유,,일반,
6,일반우유 등 18종,SCH,해군작전사령부,우유,,일반,
7,급식사업(사골곰탕 제조),UMM,국군재정관리단,"곰탕, 급식, 사골",,사업,
8,체력단련장 식자재 000종 구매,LKS,육군인사사령부,식자재,,체력,
9,체력단련장 식자재 000종 구매,LKS,육군인사사령부,식자재,,체력,
10,체력단련장 식자재 000종 구매,LKS,육군인사사령부,식자재,,체력,
11,16-030(음식물쓰레기 처리기),UHD,공군 작사예하 방포사예하 제3여단,음식,,처리,
12,시리얼(초코맛후레이크),EHC,급식유류계약팀,"시리얼, 초코",,레이크,
13,시리얼(초코맛후레이크),EHC,급식유류계약팀,"시리얼, 초코",,레이크,
14,시리얼(초코맛후레이크),EHC,급식유류계약팀,"시리얼, 초코",,레이크,
15,시리얼(초코맛후레이크),EHC,급식유류계약팀,"시리얼, 초코",,레이크,
16,시리얼(옥수수맛후레이크),EHC,급식유류계약팀,"시리얼, 옥수수",,레이크,
17,시리얼(옥수수맛후레이크),EHC,급식유류계약팀,"시리얼, 옥수수",,레이크,
18,시리얼(옥수수맛후레이크),EHC,급식유류계약팀,"시리얼, 옥수수",,레이크,
19,일반우유 등 19종,SCH,해군작전사령부,우유,,일반,
20,16-백령도 도서전투부식 구매,SFH,제9196부대,부식,,도서,
21,체력단련장 식자재 000종 구매,LKS,육군인사사령부,식자재,,체력,
22,체력단련장 식자재 000종 구매,LKS,육군인사사령부,식자재,,체력,
23,체력단련장 식자재 000종 구매,LKS,육군인사사령부,식자재,,체력,
24,일반우유 등 18종,SCH,해군작전사령부,우유,,일반,
25,일반우유 등 18종,SCH,해군작전사령부,우유,,일반,
26,일반우유 등 18종,SCH,해군작전사령부,우유,,일반,
27,체력단련장 식자재(배추김치 등 5품목) 구매,SFC,제9691부대,"김치, 배추, 식자재",,체력,
28,음식물쓰레기 위탁용역,LHD,제21보병사단,음식,,용역,
29,7급양대 이전사업 자산취득비(리치트럭 등 6개),LMH,제7군단,리치,,사업,
30,17-2차 광전 컨버터 구매사업,MDF,국군지휘통신사령부,버터,,사업,
31,광전 컨버터 구매사업,MDF,국군지휘통신사령부,버터,,사업,
32,간부식당 식자재 계약(일반),HFD,공군제38전투비행전대,"부식, 식자재",,일반,
33,체력단련장 식자재 000종 구매,LKS,육군인사사령부,식자재,,체력,
34,체력단련장 식자재 000종 구매,LKS,육군인사사령부,식자재,,체력,
35,체력단련장 식자재 000종 구매,LKS,육군인사사령부,식자재,,체력,
36,17-제주-도서전투부식 구매,SEE,제9해병여단,부식,,도서,
37,시리얼(초코맛후레이크),EHC,급식유류계약팀,"시리얼, 초코",,레이크,
38,시리얼(초코맛후레이크),EHC,급식유류계약팀,"시리얼, 초코",,레이크,
39,시리얼(초코맛후레이크),EHC,급식유류계약팀,"시리얼, 초코",,레이크,
40,시리얼(초코맛후레이크),EHC,급식유류계약팀,"시리얼, 초코",,레이크,
41,시리얼(옥수수맛후레이크),EHC,급식유류계약팀,"시리얼, 옥수수",,레이크,
42,시리얼(옥수수맛후레이크),EHC,급식유류계약팀,"시리얼, 옥수수",,레이크,
