,입찰명,발주기관코드,발주기관,1종_Pick,1종_Remove,7종_Pick,7종_Remove
0,인버터 알곤용접기 등 156종,SDF,제5738부대,버터,,용접기,
1,수중부식측정기 등 16종 구매,UMM,국군재정관리단,부식,,측정기,
2,부품대대 - AC파워소스/AC전원공급기 등 2품목 구매,HCR,공군제15특수임무비행단,소스,,공급기,
3,"축,어깨형 등 76항목 제조(자주포)",LCF,육군군수사령부,깨,,자주포,
4,세미트레일러,HDQ,제20전투비행단,미트,,트레일러,
5,00부대 배부식 송풍기 구매,DSS,국군제1068부대,부식,,송풍기,
6,25톤 세미트레일러,EHA,일반장비계약팀 (구:19.09.16),미트,,트레일러,
7,과학화경계시스템 자재(치킨넷 등) 구매,LNF,제1보병사단,치킨,,시스템,
8,조정기 컨버터등16종 구매,LDH,육군종합정비창,버터,,조정기,
9,함정용 음식물 분쇄기 1종 구매,SCF,해군군수사령부,음식,,함정,
10,과학화경계시스템 물품(치킨넷) 구매,LPM,제9보병사단사령부,치킨,,시스템,
11,세미트레일러 제조구매,MCS,국방부계룡대근무지원단,미트,,트레일러,
12,인버터 미그 용접기 스풀건 등 3종,SCR,해군제3함대사령부,버터,,용접기,
13,22년 과학화경계시스템 광망보호 치킨넷 구매,LPG,제5보병사단,치킨,,시스템,
14,22-국-차량용 DC컨버터 제조,UMM,국군재정관리단,버터,,차량,
15,함정용 음식물 분쇄기 6EA 구매,SCF,해군군수사령부,음식,,함정,
16,"리치트럭, 4000LB지게차 구매",LHG,제1862부대,리치,,지게차,
17,차량관리용품(불스원유막제거제 등 6종) 구매,MCS,국방부계룡대근무지원단,원유,,차량,
18,00회관 엘리베이터 인버터 교체,MCX,자운대근무지원연대,버터,,엘리베이터,
