,입찰명,발주기관,낙찰자(상호)
69,시설공사 관급자재(조명기구)제조 납품,국방부근무지원단,(주)베크룩스
72,종교센타 리모델링 관급자재(조명기구) 제조납품,국방부근무지원단,주식회사 해인엘이디
227,다목적체육관 관급자재 무대장치 제조설치,제55보병사단,삼신개발(주)
228,다목적체육관 관급자재(AV설비) 제조설치,제55보병사단,(주)에스티씨
262,관급자재 조명기구 제조 납품,공군제11전투비행단,(주)라이팅경도
295,16-본-공-5 도서관 리모델링 관급자재(조명기구),공군사관학교,(주)하나룩스
310,마이크로웨이브 신시사이저 구매,공군군수사령부,주식회사 아이에스오토
436,ATCIS 상용HW 유지보수 물품 구매,육군 제1군단,클릭바이 엠알오
447,노트패드 등 64종,해군본부,신정상사
498,노트패드 등 35종,해군본부,알파
646,통신센터 관급자재-냉난방기 제조/구매(설치포함),공군제15특수임무비행단,주식회사씨엔이
1196,00부대 관급자재(조명기구) 제조 설치,국군재정관리단,(사)한국척수장애인협회ENG사업소
1333,실린더 해드 가스켓 등 32종 구매(연평도 납품),연평부대,태광이엔씨
1453,노트패드 등 196종,해군교육사령부,주식회사 우영물산
1655,젤 마우스 패드 등 222종 구매,해군사관학교,오피스브릿지
1744,중거리카메라 부품구매,제1보병사단,투명한 감자만두
1752,노트 패드 등 75종,해군본부,나이스안전산업
1815,K10신형제독장치 부품,일반장비계약팀 (구:19.09.16),비전산업
1839,00부대 차기다련장 시설공사 관급자재(조명기구) 제조,국군재정관리단,주식회사 봉화조명정보기술
1866,무전기 회로카드조립체 4항목 제조(물품),육군군수사령부,주식회사 애덱스
1931,노트패드 등 437종 구매,제8385부대,(주)동건
1934,차리다련장 2차 시설공사 관급자재(CCTV),제5군단사령부,(주)텔미전자
2040,실린더 조립체(공기식) 등 2종 구매,국군재정관리단,연세대학교 연세유업
2093,세절기 중간기어 등 220종,제9181부대,컴바이컴 동수점
2209,휠로워조립체 3항목 제조(물품),육군군수사령부,우주항공산업 주식회사
2427,덮개조립체 등 24항목 구매(기장),육군군수사령부,그린스틸
2431,카메라배터리 등 14종 구매,제8385부대,영동문구센타
2537,00부대 창고 신축공사 관급자재 조명기구 제조 설치,국군재정관리단,(사)꿈드래장애인협회 꿈드래작업장
2716,00부대 창고 신축공사 관급자재 냉난방기 구매 설치,국군재정관리단,주식회사 기온테크
2807,'16년 보온대(핫패드) 구매,제9965부대,주식회사 서진컨설팅
2910,보급창고 CCTV(관급자재) 제조설치 납품,공군제10전투비행단,주식회사 씨아이시스템
3013,항공장비 오실로스코프 구매(물품),육군군수사령부,주식회사 에이치앤아이씨
3039,공사용 관급자재(조명기구) 제조,제9해병여단,주식회사 성안
3089,우측 덮개 조립체 등 4항목 구매(총포),육군군수사령부,밀레니엄옵틱칼시스템 주식회사
3234,디지털인쇄기 부품 및 소모품(토너검정등 14종) 구매,공군본부,주식회사 스크린에이치디코리아
3359,지지대 조립체 등 8항목 제조(물품),육군군수사령부,한성정공
3361,탄통조립체 등 2항목 구매(물품),육군군수사령부,태륭산업기계
3401,보드 테스터 유지보수,제20전투비행단,주식회사 시스텍
3518,석면함유 건축물 개선(관급자재) 조명기구 구매 설치,공군제15특수임무비행단,주식회사 엘에스조명
3923,25톤 덤프 에어컨필터 등 13항목 구매(기장),육군군수사령부,안보종합상사
4029,"받침대, 엔진 지지용 등 2종",해군군수사령부,KE테크
4043,공병전투도자유지부품,일반장비계약팀 (구:19.09.16),창진ENG(주)
4260,덮개조립체 등 112항목 제조(궤도),육군군수사령부,三晸하이테크
4318,니콘 카메라 배터리 등 45종,해군본부,진영상사
4399,ATCIS 케이블조립체 등 16항목 제조(물품),육군군수사령부,주식회사 디와이콤
4626,"실린더 조립체, 공기식, 잠수장비용 등 2종",해군군수사령부,이현
4687,풋살장 3개소 관급자재(인조잔디 및 충진재) 설치납품,육군제53보병사단,주식회사 폴리그라스코리아
4837,AM무전기부품(구매),통신장비계약팀 (구:19.09.16),충무정밀(주)
4839,TV모듈레이터 2EA,해군교육사령부,피앤에스
4856,스파이더 회로카드조립체 등 10항목 제조(물품),육군군수사령부,주식회사 에스디텍
4858,열상 장비(TAS-970K) 회로카드조립체 제조(물품),육군군수사령부,株式會社 이노텍
4860,광대역 안테나 로프조립체 등 5항목 제조(물품),육군군수사령부,알티하이텍
4861,무전기세트 케이블조립체 5항목 제조(물품),육군군수사령부,시온테크
4862,무전기세트 확성기조립체 등 9항목 제조(물품),육군군수사령부,시온테크
4995,항공부속 덮개 조립체 등 7항목 제조(물품),육군군수사령부,대동공업사
4997,"ATCIS 케이블조립체,전력용 등 12항목 구매(물품)",육군군수사령부,시온테크
4998,PRC-999K 무전기 축전식 전지 6항목 구매(물품),육군군수사령부,주식회사 서원
5215,작전지원과 에어컨 등 7종(16-125),공군 제8전투비행단,주식회사 제이와이파트너스
5226,디지털인쇄기 부품 및 소모품(토너검정등 14종) 구매,공군본부,신도디에스판매 (주)
5350,소부대무전기(PRC-96K)부품류(구매),통신장비계약팀 (구:19.09.16),주식회사 삼지티엔씨
5352,BTCS 회로카드조립체 등 7항목 구매(물품),육군군수사령부,주식회사 세운하이테크
5353,감시장비  방향조정 조립체 등 21항목 구매(물품),육군군수사령부,주식회사 세운하이테크
5379,실린더 조립체 등 29항목 구매(기장),육군군수사령부,두영이엔시
5403,K10제독차 파워팩 조립체 등 10항목 구매(물자),육군군수사령부,대광테크
5469,회전톱 고정용 받침대 등 90종,해군군수사령부,상상에이트 주식회사
5657,"교판(공병 보도조립체,교량용)",일반장비계약팀 (구:19.09.16),주식회사 동양목재
5691,마우스패드 등 846종,해군군수사령부,태산건영
5704,백보드 조립체 등 9종 구매,공군군수사령부,지비아이 코리아 (GBI KOREA)
5782,00비 병사식당 신축 관급자재 냉난방기 구매 설치,국군재정관리단,삼화시스템공조주식회사
5789,실린더 조립체 등 18항목 제조(생산능력)(궤도),육군군수사령부,삼호정밀
