,입찰명,발주기관,낙찰자(상호)
1,장거리 이동 신병 도시락 제조납품,육군훈련소,주식회사 엘엔에프 농업회사법인
37,모듬두텁떡 등 6종 제조,제3170부대,주식회사 장원식품
55,'17년 설날 경축특식(과자세트) 구매(제조),제7789부대,성도교역
167,16-59-1 관급자재[글라스울샌드위치 판넬 구매(설치)],공군제17전투비행단,드림산업
217,배추김치(포기) 등 20종 제조,해군군수사령부,남경식품(참그린김치)
218,배추김치(포기) 등 20종 제조,해군군수사령부,남경식품(참그린김치)
219,배추김치(포기) 등 20종 제조,해군군수사령부,고려냉장식품 주식회사
220,배추김치(포기) 등 20종 제조,해군군수사령부,(주) 자연에프엔에스
221,배추김치(포기) 등 20종 제조,해군군수사령부,(주) 자연에프엔에스
222,배추김치(포기) 등 20종 제조,해군군수사령부,남경식품(참그린김치)
223,배추김치(포기) 등 20종 제조,해군군수사령부,남경식품(참그린김치)
224,배추김치(포기) 등 20종 제조,해군군수사령부,남경식품(참그린김치)
225,배추김치(포기) 등 20종 제조,해군군수사령부,영주식품
351,갓김치 등 8종 제조 납품,제9911부대,농업회사법인 늘만나식품 주식회사
2300,음식물쓰레기 처리기 제조 설치,공군제11전투비행단,주식회사 오성에스씨
2438,"밸브,버섯형,엔진용 등 5종",해군군수사령부,씨지 트레이드
2585,콩나물 구매(제조 또는 구매),제2167부대,엠플러스에프엔씨 주식회사
2673,휘장류 및 견장류 제조 구매,육군사관학교,(주)충무용사촌
2693,콩나물(제조 또는 구매),제7789부대,주식회사 참고을
2828,배추 포기김치 등 8종 제조 구매,제9911부대,(주)한일코리아
2829,배추 포기김치 등 8종 제조 구매,제9911부대,(주)한일코리아
2849,'16년 무청시래기 구매(제조),제7789부대,농업회사법인 주식회사 청춘오가닉
2850,'16년 무청시래기 구매(제조),제7789부대,농업회사법인 주식회사 청춘오가닉
2851,'16년 무청시래기 구매(제조),제7789부대,농업회사법인 주식회사 청춘오가닉
3171,"밸브,버섯형,엔진용 등 4종",해군군수사령부,채움아이씨티
3187,소고기 육포 제조 납품,제9965부대,(주)항진축산제2공장
3368,급식사업(사골곰탕 제조),국군재정관리단,주식회사 모전식품
3461,"밸브,버섯형,엔진용 등 2종",해군군수사령부,정우상사
3480,국군의날 경축특식(빵세트) 제조(구매),제7789부대,주식회사 에스피씨삼립
3517,"밸브,버섯형,엔진용 등 3종",해군군수사령부,주식회사 슈플라스
3586,"밸브,버섯형,엔진용 등 4종",해군군수사령부,성인산업주식회사
3587,"밸브,버섯형,엔진용 1종",해군군수사령부,수연상사
3747,리미트로라 스위치 등 19종 구매,해군제3함대사령부,한림상사
3799,추석 경축특식(과자세트) 구매(제조),제7789부대,주식회사 이니스
3997,"밸브,버섯형,엔진용 등 2종",해군군수사령부,주식회사 부영상사
4380,격오지 독서카페(120동) 제조설치,국군재정관리단,주식회사 디에스나이키
4438,샌드위치판넬 등 21종 구매,제7001부대,주광유통
4505,"밸브,버섯형,엔진용 등 6종",해군군수사령부,에이스철물건자재주식회사
5298,"암,백미러용 등 11항목 제조(기장)",육군군수사령부,주식회사 에스피스틸
5396,증식용 떡 및 케이크 제조납품,제2236부대,농업회사법인주식회사 시루와 떡메
5786,16년 생일자 떡 케이크 제조납품,제2군단,농업회사법인주식회사 시루와 떡메
5787,16년 영내자 증식용 떡 제조납품,제2군단,농업회사법인주식회사 시루와 떡메
6166,락카스프레이 등 21종 1519점,공군제5공중기동비행단,비전부산
6346,"잠금밸브,스프링용 등 16항목 구매(기장)",육군군수사령부,삼호정밀
6414,"스프링,소용돌이형 등 37항목 제조(궤도)",육군군수사령부,(주)서부에스코
6918,철재류 스프링강선등87종구매,육군종합정비창,주식회사 우경엔텍
7037,락카스프레이 등 71종,제9181부대,오상종합상사
7634,16년 생수 구매(제조 또는 구매),제2167부대,스파클주식회사
7761,배추썰은 포기김치 등 8종 제조 납품,제9911부대,에스와이푸드 주식회사
7844,포기김치 등 3종 제조 납품,제9911부대,농업회사법인 합자회사 이화종합식품
7996,쌀떡볶이 구매(구매 또는 제조),제2167부대,농가식품
8105,배추김치(포기) 등 10종 제조,해군군수사령부,(주) 자연에프엔에스
8106,배추김치(포기) 등 10종 제조,해군군수사령부,남경식품(참그린김치)
8107,배추김치(포기) 등 10종 제조,해군군수사령부,남경식품(참그린김치)
8108,배추김치(포기) 등 10종 제조,해군군수사령부,고려냉장식품 주식회사
8109,배추김치(포기) 등 10종 제조,해군군수사령부,고려냉장식품 주식회사
8110,배추김치(포기) 등 10종 제조,해군군수사령부,고려냉장식품 주식회사
8111,배추김치(포기) 등 10종 제조,해군군수사령부,고려냉장식품 주식회사
