,입찰명,발주기관코드,발주기관,3종_Pick,3종_Remove,9종_Pick,9종_Remove
0,오일 씰 인넷 등 279종,HCF,공군군수사령부,오일,,씰,
1,실린더 해드 가스켓 등 32종 구매(연평도 납품),SFN,연평부대,가스,,가스켓,
2,수면계 가스켓 등 30종,SCH,해군작전사령부,가스,,가스켓,
3,고무가스켓 등 17종 구매,SCR,해군제3함대사령부,가스,,가스켓,
4,엔진오일필터 등 43종 구매,SCP,제8385부대,오일,,"엔진, 오일필터, 필터",
5,아반떼HD 엔진오일필터 등 89종 구매,SDG,제2002부대,오일,,"엔진, 오일필터, 필터",
6,엔진오일 등 33종 구매,SCN,제7001부대,오일,,엔진,
7,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
8,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
9,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
10,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
11,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
12,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
13,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
14,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
15,가스켓 등 6품목,HCC,해군제1수리창,가스,,가스켓,
16,브레이크 드럼 등 166종,HCF,공군군수사령부,드럼,,브레이크,
17,고압가스 구매 / 용기정비,LKP,5군수지원사령부,가스,,정비,
18,자연 통풍관 가스켓 등 15품목,HCC,해군제1수리창,가스,,가스켓,
19,엔진오일 등 163품목 구매,SFC,제9691부대,오일,,엔진,
20,엔진오일 등 3종,HDQ,제20전투비행단,오일,,엔진,
21,오일필터 등 130종,HDQ,제20전투비행단,오일,,"오일필터, 필터",
22,"튜브 조립체,오일 여과기용 등 15항목 제조(궤도)",LCF,육군군수사령부,오일,,조립체,
23,오일필터 등 88종,SFG,제9181부대,오일,,"오일필터, 필터",
24,브레이크 드럼 등 130종,HCF,공군군수사령부,드럼,,브레이크,
25,오일씰 등 13종,SCF,해군군수사령부,오일,,씰,
26,'16년 가스터빈엔진 정비,EGG,유도무기계약팀 (구:19.09.16),가스,,"엔진, 정비",
27,"수송대대 가솔린 엔진오일 등 51종(16-36, 37, 50)",HDF,공군 제8전투비행단,오일,,엔진,
28,기어용윤활유,EHC,급식유류계약팀,윤활유,,기어,
29,기어용윤활유,EHC,급식유류계약팀,윤활유,,기어,
30,기어용윤활유,EHC,급식유류계약팀,윤활유,,기어,
31,기어용윤활유,EHC,급식유류계약팀,윤활유,,기어,
32,기어용윤활유,EHC,급식유류계약팀,윤활유,,기어,
33,가스켓 등 15종,SCF,해군군수사령부,가스,,가스켓,
34,가스켓 등 15종,SCF,해군군수사령부,가스,,가스켓,
35,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
36,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
37,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
38,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
39,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
40,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
41,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
42,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
43,윤활유 필터 등 10종 구매,SCQ,제9911부대,윤활유,,필터,
44,비석면 가스켓 등 3종,SCF,해군군수사령부,가스,,가스켓,
45,가스켓 링 등 16종,SCF,해군군수사령부,가스,,가스켓,
46,00함 가스터빈 유압시동기 패널 정비,SCF,해군군수사령부,가스,,정비,
47,오일씰 등 12품목,HCC,해군제1수리창,오일,,씰,
48,현창 가스켓 등 21품목,HCC,해군제1수리창,가스,,가스켓,
49,가스켓본드 등 59종,SCQ,제9911부대,가스,,가스켓,
50,상용장비(엔진오일필터 000종) 구매,LMS,제7789부대,오일,,"엔진, 오일필터, 필터",
51,후지제록스 디지털 오일 필터 등 19종,SCK,해군교육사령부,오일,,필터,
52,오일필터 등 137품목 구매,SFC,제9691부대,오일,,"오일필터, 필터",
53,오일필터 등 139종,SCN,제7001부대,오일,,"오일필터, 필터",
54,"밸브 조립체,니들형,압축가스라인용 등 32종",SCF,해군군수사령부,가스,,조립체,
55,엔진오일 등 88종 구매,SDG,제2002부대,오일,,엔진,
56,발칸 평판형오일리스베어링등6종구매,LDH,육군종합정비창,오일,,베어링,
57,"1톤 봉고 오일필터 등 120항목 구매(기장, 해파)",LCF,육군군수사령부,오일,,"오일필터, 필터",
58,가스켓 등 219품목,SFG,제9181부대,가스,,가스켓,
59,발칸 오일리스베어링등2종구매,LDH,육군종합정비창,오일,,베어링,
60,"윤활유, 엔진용 등 2종",SCF,해군군수사령부,윤활유,,엔진,
61,가스켓 링 등 8종,SCF,해군군수사령부,가스,,가스켓,
62,"냉각기,윤활유식,엔진용 등 2종",SCF,해군군수사령부,윤활유,,엔진,
63,엔진오일 등 81품목,SFL,제3283부대,오일,,엔진,
64,반 가스켓 세트 등 14종,SDQ,해군제2수리창,가스,,가스켓,
65,4행정 엔진오일 구매,SCN,제7001부대,오일,,엔진,
66,가스켓류(아라미드 재질),EGC,함정계약팀 (구:19.09.16),가스,,가스켓,
67,가스켓 링 등 17종,SCF,해군군수사령부,가스,,가스켓,
68,엔진오일필터 등 95품목,SFG,제9181부대,오일,,"엔진, 오일필터, 필터",
69,가스켓 등 19품목,HCC,해군제1수리창,가스,,가스켓,
70,가스켓 셋트 등 25종 구매,SCR,해군제3함대사령부,가스,,가스켓,
71,헤드가스켓 등 5품목,HCC,해군제1수리창,가스,,가스켓,
72,가스켓 제거제 등 158품목,HCC,해군제1수리창,가스,,가스켓,
73,엔진오일 등 136품목 구매,SFD,제9227부대,오일,,엔진,
74,가스켓류(추진기관용),EGC,함정계약팀 (구:19.09.16),가스,,가스켓,
75,아반테HD 오일필터 등 188품목,SEE,제9해병여단,오일,,"오일필터, 필터",
76,오일씰 등 69종,SCF,해군군수사령부,오일,,씰,
77,가스켓 등 15종,SDQ,해군제2수리창,가스,,가스켓,
78,가스켓 등 15종,SDQ,해군제2수리창,가스,,가스켓,
79,오일필터등 31종 구매,SCQ,제9911부대,오일,,"오일필터, 필터",
80,아웃보드모터오일,EHC,급식유류계약팀,오일,,모터,
81,105밀리 탄구전 마개용 와샤(고무가스켓)구매,UMM,국군재정관리단,가스,,가스켓,
82,기어용윤활유,EHC,급식유류계약팀,윤활유,,기어,
83,기어용윤활유,EHC,급식유류계약팀,윤활유,,기어,
84,기어용윤활유,EHC,급식유류계약팀,윤활유,,기어,
85,기어용윤활유,EHC,급식유류계약팀,윤활유,,기어,
86,기어용윤활유,EHC,급식유류계약팀,윤활유,,기어,
87,비석면가스켓 등 15종,SCF,해군군수사령부,가스,,가스켓,
88,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
89,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
90,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
91,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
92,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
93,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
94,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
95,엔진용윤활유,EHC,급식유류계약팀,윤활유,,엔진,
96,가스켓 등 8종,SCF,해군군수사령부,가스,,가스켓,
97,가스켓 등 8종,SCF,해군군수사령부,가스,,가스켓,
98,"냉각기,윤활유식,엔진용 등 18항목 구매(기장)",LCF,육군군수사령부,윤활유,,엔진,
99,노즐팁가스켓 등 44종 구매,SCR,해군제3함대사령부,가스,,가스켓,
100,가스켓 제거기 등 206품목,HCC,해군제1수리창,가스,,가스켓,
101,수송대대 오일필터 등 128품목(17-020),HDF,공군 제8전투비행단,오일,,"오일필터, 필터",
102,오일필터 등 419품목 구매,SFD,제9227부대,오일,,"오일필터, 필터",
103,"오일필터 엘리먼트 등 84항목 구매(해파, 기장)",LCF,육군군수사령부,오일,,"오일필터, 필터",
104,오일 필터용 소자 1항목 구매(항공),LCF,육군군수사령부,오일,,필터,
105,오일필터 등 48품목 구매,SFC,제9691부대,오일,,"오일필터, 필터",
106,오일필터 등 110품목 구매 납품,SFD,제9227부대,오일,,"오일필터, 필터",
107,오일씰 등 20종,SCR,해군제3함대사령부,오일,,씰,
108,고무가스켓 등 45품목,HCC,해군제1수리창,가스,,가스켓,
109,오일필터 등 148종 구매 납품,SFH,제9196부대,오일,,"오일필터, 필터",
