,입찰명,발주기관,낙찰자(상호)
3347,도서(가스기능사 필기) 등 34종,해군작전사령부,오피스웨이 기장점
3489,브레이크 드럼 등 166종,공군군수사령부,삼호상사
4254,제트유(JP-5_도서) 1종,해군군수사령부,(주)진세상사
5362,브레이크 드럼 등 130종,공군군수사령부,삼호상사
7188,화생방 연구 재료 가스 구매,국군화생방방호사령부,엠에스동민특수가스(주)
8609,'16년 5비 체력단련장 하이신(부생연료1호) 납품 계약,공군제5공중기동비행단,디에이치에너지 주식회사
8629,(16-007)일반의무장비획득(산소소생기외 3품목),공군제17전투비행단,MK메디칼
8633,체력단련장-부생연료-#7,공군제15특수임무비행단,주식회사 주원
15448,체력단련장 유류(부생연료유 1호) 구매,제20전투비행단,주식회사 주원
16270,17-3차 일반 및 의무비품(산소유량계 등 10품목) 구매,국군의무사령부,(주)이삭메디칼
16984,도서(가스 기능사 실기 총정리) 등 199종,해군교육사령부,신영물류
17252,체력단련장 17년도 부생연료 기지조달 계약,공군제5공중기동비행단,주식회사 지원에너지
17282,체력단련장 - 부생연료 구매(17-08) (수정1),공군제15특수임무비행단,운성상사(주)
19120,'18-10차 일반비품(자동주유기 단식) 구매,국군의무사령부,유진시스템
19393,발칸열영상야간조준기 질소충전세트,유도무기계약팀 (구:19.09.16),주식회사 엠티에스시스템즈
23481,연구활동 재료(가스)(헬륨 등 12종) 구매,국군화생방방호사령부,가스엔
25963,"의무장비(의료가스공급장치 1,000병상용)구매설치",국군재정관리단,삼성메디엔지니어링 주식회사
26120,체력단련장 - 부생연료(하이신) 구매,공군제15특수임무비행단,(주)한양에너지
28799,"윤활유, 일반용 1종 구매",해군군수사령부,극동윤활유
38471,브레이크 오일 등 212품목 구매,제9227부대,이지시스템(EG system)
41580,00부대 인쇄재료(잉크 및 드럼) 구매,국군제1068부대,예원
42317,체력단련장(골프장) 부생연료(하이신) 구매,공군제15특수임무비행단,(주)엠케이이앤씨
42847,'20년 체력단련장 연료 납품,공군제18전투비행단,기업주유소
43290,체력단련장 등유 등 3종 구매,공군제11전투비행단,백두산주유소
47434,브레이크오일교환기 등 3종 구매,해군군수사령부,햇임이상사
48176,브레이크오일 교환기 1종 구매,해군군수사령부,씨앤엘
48967,브레이크 드럼 등 16항목 구매(기장),육군군수사령부,주식회사 세정엠티엘
49306,00부대 인쇄잉크 및 드럼 등 구매,국군제1068부대,해오름
50715,브레이크 드럼 등 16항목 구매(기장),육군군수사령부,에코스타
53348,브레이크 오일교환기 구매,제1군수지원사령부,광진그린에너지앤루브
56138,(화공) 중크롬산소다 등 5종 구매,육군종합정비창,마창케미칼 주식회사
57539,가스자동밥솥 등 3항목 구매(일반물자),육군군수사령부,주식회사 르몽드인터내셔널
57755,오일필터 등 398품목 구매(도서지역),제9196부대,주식회사 삼신정보통신
58057,브레이크오일교환기 등 3종 구매,해군군수사령부,스타커넥트
58249,22-1차 일반비품(가스레인지) 구매,국군의무사령부,팔복5112
58529,오일펜스 1항목 구매(일반물자),육군군수사령부,제이에이치 테크
58879,연구재료 가스 17종 구매(연간 단가계약),국군화생방방호사령부,한국탄산화학 주식회사
60761,가스튀김기 등 2품목 구매/설치(도서지역),제9196부대,마리컴퍼니_인천
62113,가스테이블 3구 등 13품목 구매(도서지역),제9196부대,영흥기업
65387,연료 탱크 조립체 등 2항목 일반제조(기장),육군군수사령부,거성와이비 주식회사
66415,연구활동 재료(가스) 구매,국군화생방방호사령부,(주)유니온가스
66496,23-02-052 브레이크 오일 등 10품목 구매,공군교육사령부,말그미 홈즈
67119,가스자동밥솥 등 3항목 구매(일반물자),육군군수사령부,주영산업
68304,전산운영용품(잉크 및 드럼) 구매,국군제1068부대,주식회사 태광종합관리
68684,"윤활유,일반용 9DR 구매",해군군수사령부,엑모스카인즈케미칼
68949,계룡대체력단련장 비품(가스히터 등 6종) 구매,육군인사사령부,가람주식회사
68954,24-B-산소발생기 구매 납품(도서지역),제9196부대,예화
69416,24-B-연료여과기필터 등 180품목 구매 납품(도서지역),제9196부대,주식회사 대한플랜트
69904,브레이크오일교환기 2EA 구매,해군군수사령부,더블유엠
72734,24-N-항공유 서비스펌프 50GPM 50PSI 2EA 제조,국군재정관리단,주식회사 주호산업
73797,연구활동재료(가스)구매,국군화생방방호사령부,일성가스
