,입찰명,발주기관코드,발주기관,2종_Pick,2종_Remove,8종_Pick,8종_Remove
0,고양병원 PACS 서버 저장공간 확충용 HDD 구매,MDG,국군의무사령부,서버,,병원,
1,수도병원 의무비품(3차) 6종 구매,UMM,국군재정관리단,비품,,"병원, 의무",
2,의무장비 운영소모품 32종 구매(16-32차),LFC,육군훈련소,소모품,,의무,
3,"16-24차 의료기재, 일반의무장비 운영소모품 부대구매",LHG,제1862부대,소모품,,"의료, 의무",
4,의무비품(5차) 구매,MDD,국군수도병원,비품,,의무,
5,의무비품(4차) 구매,MDD,국군수도병원,비품,,의무,
6,의무비품(3차) 구매 부대계약,MDD,국군수도병원,비품,,의무,
7,2017년 임상병리 소모품 구매(연간 단가계약),MCN,국방부근무지원단,소모품,,병리,
8,의료기재(금연구역 표지판 등 85종)구매,SDF,제5738부대,표지,,의료,
9,의료기재소모품(Curettes 외 142종)구매,MCS,국방부계룡대근무지원단,소모품,,의료,
10,의무장비 운영소모품 21종 구매(16-29차),LFC,육군훈련소,소모품,,의무,
11,의무비품(2차) 구매,MDD,국군수도병원,비품,,의무,
12,의료기재(침대(조절식 3단) 등 18종),SDF,제5738부대,침대,,의료,
13,위생장갑 등 9종 구매,SCQ,제9911부대,장갑,,위생,
14,2016년 의무장비(냉장고 시약보관용) 구매,MDG,국군의무사령부,냉장고,,의무,
15,의료기재및 장비소모품(ADSON forcep외 145종) 구매,MCS,국방부계룡대근무지원단,소모품,,의료,
16,의무장비(7차) 냉장고 혈액은행용 대형 구매,MDD,국군수도병원,냉장고,,의무,
17,의무장비(6차) 치과유니트 및 의자 구매,MDD,국군수도병원,의자,,"의무, 치과",
18,00부대 교육비품(초음파 외상환자 진단 팬텀) 구매,MDQ,국군의무학교,"교육, 비품",,"외상, 환자",
19,방독면(K5) 안경,EHC,급식유류계약팀,방독면,,안경,
20,방독면(K5) 안경,EHC,급식유류계약팀,방독면,,안경,
21,방독면(K5) 안경,EHC,급식유류계약팀,방독면,,안경,
22,수도병원 의무비품 3단침대 등 2종 구매,UMM,국군재정관리단,"비품, 침대",,"병원, 의무",
23,의무장비운영 소모품 구매(6월),LPM,제9보병사단사령부,소모품,,의무,
24,항-16-031 환자대기용 장의자 등 21종,HCL,공군사관학교,의자,,환자,
25,`16-00부대 응급구조사 교과서 구매,MDQ,국군의무학교,교과서,,응급,
26,의무장비 소모품 구매(연간 단가계약),MCN,국방부근무지원단,소모품,,의무,
27,의무비품 48종 구매,UMM,국군재정관리단,비품,,의무,
28,의무장비 운영소모품 34종 구매(16-11차),LFC,육군훈련소,소모품,,의무,
29,2016년 의무장비(침대자동식 중환자실용),MDG,국군의무사령부,침대,,"의무, 환자",
30,2016년 의무장비(침대자동식 중환자실용),MDG,국군의무사령부,침대,,"의무, 환자",
31,2016년 의무장비(침대자동식 중환자실용),MDG,국군의무사령부,침대,,"의무, 환자",
32,2016년 의무장비(침대자동식 중환자실용),MDG,국군의무사령부,침대,,"의무, 환자",
33,'16년 부식분배용 위생 및 포장재료 구매,LMS,제7789부대,포장재,,위생,
34,'16년 부식분배용 위생 및 포장재료 구매,LMS,제7789부대,포장재,,위생,
35,'16년 부식분배용 위생 및 포장재료 구매,LMS,제7789부대,포장재,,위생,
36,'16년 부식분배용 위생 및 포장재료 구매,LMS,제7789부대,포장재,,위생,
37,응급치료키트 등 11항목 구매(물품),LCF,육군군수사령부,물품,,"응급, 치료",
38,00부대 부대조달 의무물자 기재 및 소모품 구매(3차),LPK,제8기동사단,소모품,,의무,
39,의무장비(혈액용 냉동고) 구매,MDJ,국군대전병원,냉동고,,의무,
40,의무장비(4차) 소독물품포장기 구매,MDD,국군수도병원,물품,,의무,
41,대전병원 생화학자동분석기 소모품 60종 구매,UMM,국군재정관리단,소모품,,병원,
42,장비운영소모품 외과장비(24차) 구매,MDD,국군수도병원,소모품,,외과,
