,입찰명,발주기관코드,발주기관,2종_Pick,2종_Remove,9종_Pick,9종_Remove
0,시설공사 관급자재(조명기구)제조 납품,MCN,국방부근무지원단,조명,,관급자재,
1,종교센타 리모델링 관급자재(조명기구) 제조납품,MCN,국방부근무지원단,조명,,관급자재,
2,다목적체육관 관급자재 무대장치 제조설치,LNS,제55보병사단,체육,,관급자재,
3,다목적체육관 관급자재(AV설비) 제조설치,LNS,제55보병사단,체육,,관급자재,
4,관급자재 조명기구 제조 납품,HDK,공군제11전투비행단,조명,,관급자재,
5,16-본-공-5 도서관 리모델링 관급자재(조명기구),HCL,공군사관학교,조명,,관급자재,
6,마이크로웨이브 신시사이저 구매,HCF,공군군수사령부,마이크로웨이브,,신시사이저,
7,ATCIS 상용HW 유지보수 물품 구매,LNG,육군 제1군단,물품,,유지보수,
8,노트패드 등 64종,SCG,해군본부,노트,,패드,
9,노트패드 등 35종,SCG,해군본부,노트,,패드,
10,통신센터 관급자재-냉난방기 제조/구매(설치포함),HCR,공군제15특수임무비행단,냉난방,,관급자재,
11,00부대 관급자재(조명기구) 제조 설치,UMM,국군재정관리단,조명,,관급자재,
12,실린더 해드 가스켓 등 32종 구매(연평도 납품),SFN,연평부대,실린더,,가스켓,
13,노트패드 등 196종,SCK,해군교육사령부,노트,,패드,
14,젤 마우스 패드 등 222종 구매,SCL,해군사관학교,마우스,,패드,
15,중거리카메라 부품구매,LNF,제1보병사단,카메라,,부품,
16,노트 패드 등 75종,SCG,해군본부,노트,,패드,
17,K10신형제독장치 부품,EHA,일반장비계약팀 (구:19.09.16),제독,,부품,
18,K10신형제독장치 부품,EHA,일반장비계약팀 (구:19.09.16),제독,,부품,
19,K10신형제독장치 부품,EHA,일반장비계약팀 (구:19.09.16),제독,,부품,
20,00부대 차기다련장 시설공사 관급자재(조명기구) 제조,UMM,국군재정관리단,조명,,관급자재,
21,무전기 회로카드조립체 4항목 제조(물품),LCF,육군군수사령부,"무전기, 물품",,조립체,
22,노트패드 등 437종 구매,SCP,제8385부대,노트,,패드,
23,차리다련장 2차 시설공사 관급자재(CCTV),LMR,제5군단사령부,TV,,관급자재,
24,실린더 조립체(공기식) 등 2종 구매,UMM,국군재정관리단,실린더,,조립체,
25,세절기 중간기어 등 220종,SFG,제9181부대,세절기,,기어,
26,휠로워조립체 3항목 제조(물품),LCF,육군군수사령부,물품,,조립체,
27,덮개조립체 등 24항목 구매(기장),LCF,육군군수사령부,덮개,,조립체,
28,카메라배터리 등 14종 구매,SCP,제8385부대,카메라,,배터리,
29,00부대 창고 신축공사 관급자재 조명기구 제조 설치,UMM,국군재정관리단,조명,,관급자재,
30,00부대 창고 신축공사 관급자재 냉난방기 구매 설치,UMM,국군재정관리단,냉난방,,관급자재,
31,'16년 보온대(핫패드) 구매,MDR,제9965부대,보온,,패드,
32,보급창고 CCTV(관급자재) 제조설치 납품,HDG,공군제10전투비행단,TV,,관급자재,
33,항공장비 오실로스코프 구매(물품),LCF,육군군수사령부,"물품, 스코프",,오실로스코프,
34,공사용 관급자재(조명기구) 제조,SEE,제9해병여단,조명,,관급자재,
35,우측 덮개 조립체 등 4항목 구매(총포),LCF,육군군수사령부,덮개,,조립체,
36,디지털인쇄기 부품 및 소모품(토너검정등 14종) 구매,HCG,공군본부,"소모품, 인쇄, 토너",,부품,
37,디지털인쇄기 부품 및 소모품(토너검정등 14종) 구매,HCG,공군본부,"소모품, 인쇄, 토너",,부품,
38,지지대 조립체 등 8항목 제조(물품),LCF,육군군수사령부,물품,,조립체,
39,탄통조립체 등 2항목 구매(물품),LCF,육군군수사령부,물품,,조립체,
40,보드 테스터 유지보수,HDQ,제20전투비행단,보드,,유지보수,
41,석면함유 건축물 개선(관급자재) 조명기구 구매 설치,HCR,공군제15특수임무비행단,조명,,관급자재,
42,25톤 덤프 에어컨필터 등 13항목 구매(기장),LCF,육군군수사령부,에어컨,,필터,
43,"받침대, 엔진 지지용 등 2종",SCF,해군군수사령부,침대,,엔진,
44,공병전투도자유지부품,EHA,일반장비계약팀 (구:19.09.16),공병,,부품,
45,공병전투도자유지부품,EHA,일반장비계약팀 (구:19.09.16),공병,,부품,
46,공병전투도자유지부품,EHA,일반장비계약팀 (구:19.09.16),공병,,부품,
47,덮개조립체 등 112항목 제조(궤도),LCF,육군군수사령부,덮개,,조립체,
48,니콘 카메라 배터리 등 45종,SCG,해군본부,카메라,,배터리,
49,ATCIS 케이블조립체 등 16항목 제조(물품),LCF,육군군수사령부,물품,,조립체,
50,"실린더 조립체, 공기식, 잠수장비용 등 2종",SCF,해군군수사령부,실린더,,조립체,
51,풋살장 3개소 관급자재(인조잔디 및 충진재) 설치납품,LKG,육군제53보병사단,풋살,,관급자재,
52,AM무전기부품(구매),EHB,통신장비계약팀 (구:19.09.16),무전기,,"부품, 전기부품",
53,AM무전기부품(구매),EHB,통신장비계약팀 (구:19.09.16),무전기,,"부품, 전기부품",
54,AM무전기부품(구매),EHB,통신장비계약팀 (구:19.09.16),무전기,,"부품, 전기부품",
55,AM무전기부품(구매),EHB,통신장비계약팀 (구:19.09.16),무전기,,"부품, 전기부품",
56,AM무전기부품(구매),EHB,통신장비계약팀 (구:19.09.16),무전기,,"부품, 전기부품",
57,AM무전기부품(구매),EHB,통신장비계약팀 (구:19.09.16),무전기,,"부품, 전기부품",
58,AM무전기부품(구매),EHB,통신장비계약팀 (구:19.09.16),무전기,,"부품, 전기부품",
59,TV모듈레이터 2EA,SCK,해군교육사령부,TV,,모듈,
60,스파이더 회로카드조립체 등 10항목 제조(물품),LCF,육군군수사령부,물품,,조립체,
61,열상 장비(TAS-970K) 회로카드조립체 제조(물품),LCF,육군군수사령부,물품,,조립체,
62,광대역 안테나 로프조립체 등 5항목 제조(물품),LCF,육군군수사령부,"로프, 물품",,조립체,
63,무전기세트 케이블조립체 5항목 제조(물품),LCF,육군군수사령부,"무전기, 물품",,조립체,
64,무전기세트 확성기조립체 등 9항목 제조(물품),LCF,육군군수사령부,"무전기, 물품",,조립체,
65,항공부속 덮개 조립체 등 7항목 제조(물품),LCF,육군군수사령부,"덮개, 물품",,조립체,
66,"ATCIS 케이블조립체,전력용 등 12항목 구매(물품)",LCF,육군군수사령부,물품,,조립체,
67,PRC-999K 무전기 축전식 전지 6항목 구매(물품),LCF,육군군수사령부,"무전기, 물품",,전지,
68,작전지원과 에어컨 등 7종(16-125),HDF,공군 제8전투비행단,에어컨,,전지,
69,디지털인쇄기 부품 및 소모품(토너검정등 14종) 구매,HCG,공군본부,"소모품, 인쇄, 토너",,부품,
70,디지털인쇄기 부품 및 소모품(토너검정등 14종) 구매,HCG,공군본부,"소모품, 인쇄, 토너",,부품,
71,소부대무전기(PRC-96K)부품류(구매),EHB,통신장비계약팀 (구:19.09.16),무전기,,부품,
72,소부대무전기(PRC-96K)부품류(구매),EHB,통신장비계약팀 (구:19.09.16),무전기,,부품,
73,소부대무전기(PRC-96K)부품류(구매),EHB,통신장비계약팀 (구:19.09.16),무전기,,부품,
74,소부대무전기(PRC-96K)부품류(구매),EHB,통신장비계약팀 (구:19.09.16),무전기,,부품,
