,입찰명,발주기관,낙찰자(상호)
183,"급식유통센터 운용물자(플라스틱상자, 파레트) 구매",5군수지원사령부,티피씨 주식회사
450,상용 샌드박스 서버(HW) 구매,4284부대,하나린
814,데스크 미니 청소기 등 70종,제9227부대,삼원티앤아이
1305,17년도 생도피복(학년장류 등) 구매,육군3사관학교,신성산업
1737,복지회관 식당 비품구매(반찬냉장고 등 17종),제2632부대,대신 바이오
1763,17년도 생도피복(예식용품류) 구매,육군3사관학교,미모
2196,민군물자(태권도 미트 등 000종) 구매,제7789부대,금호전기조명(주)
2408,현장감식용 카메라 등 6종 구매,국군재정관리단,유한회사 한빛기업
3172,절취스프링 노트 등 177종,해군본부,현대상사
3526,스프링노트 등 376종 구매,해군사관학교,행복한 동자네
3588,김치냉장고 등 3종,해군작전사령부,주식회사 유민기업
3632,미니수첩 등 107종,해군작전사령부,에이스철물건자재주식회사
5179,반찬냉장고 등 4종,제9181부대,조인
6987,16년 부식 재포장재료 구매,제2167부대,주식회사 심우
7063,'16년 부식분배용 위생 및 포장재료 구매,제7789부대,한성산업
7078,'16년 부식분배용 위생 및 포장재료 구매,제7789부대,한성산업
7285,건조마우스프레스(사진용)등 2품목,제9691부대,주연ICT
7311,김치냉장고 등 12종,제9227부대,한솔ENT
7345,샐러드용 찬받드 냉장고 4EA,제7001부대,주식회사 서진컨설팅
7808,비강지혈거즈1항묵 구매(물품),육군군수사령부,에스비네트웍스
8647,미니 수정테이프 등 153종,해군본부,(주)에스티에스 충남지사
8874,김치냉장고 2대,해군작전사령부,(주) 건영패밀리
9266,18년 국방컨벤션 소모품 구매(예식용장감 등 134종),국방부근무지원단,주식회사 이노코리아
9521,사각스프링수첩 등 사무용품 구매,제9911부대,오피스넥스(의정부점)
9741,간부식당 신축비품 등 13종 제조/구매,제20전투비행단,(주)대우금속개발
10007,스프링노트 등 179종,해군본부,씨엠(주)
10077,스프링노트 등 814종 구매,해군사관학교,주식회사 대창
10802,교육비품(정맥주사 혈관세트 등 4종) 구매,국군의무학교,성도
11449,18년 학군후보생 군장품(표지장류) 제조납품,국군재정관리단,주식회사 흥선
12217,김치냉장고 2대 구매,제8385부대,대광종합상사
12380,3분기 식품검사 재료 및 소모품 구매,제7789부대,랩피온
12389,생도피복(예식용품류) 제조구매,육군3사관학교,한일상사
12570,미니수정테이프 등 20종,제7001부대,참조은
13251,`17-00학교 교육비품(정맥주사 모형 등 4종) 구매,국군의무학교,(주)동성메디칼
13932,부식류 재포장재료,제1군수지원사령부,주식회사 유니케이
14066,부식류 포장재료 구매,제7789부대,주식회사유일화학
14311,공군교육사령부 장교/간부식당 김치류 구매,공군교육사령부,남경식품(참그린김치)
14333,민간위탁부식 도수운반진지 피복 구매(운동복),수도방위사령부,(주)피엘엔코
14347,홍보물품(미니선풍기 등 2종) 구매,제8385부대,우리테크
14381,`17-00학교 학용품(스프링노트 등 5종) 구매,국군의무학교,샬롬
14733,17-6차 일반의무비품(전기밥솥 등 3건) 구매,국군의무사령부,주식회사 이음
15058,공군교육사령부 장교/간부 식당 식자재 구매,공군교육사령부,주식회사 신세계푸드
15146,스프링노트 등 154종,해군교육사령부,석천산업
15348,17-부식운반용기 등 3종 구매,국군재정관리단,주식회사 지산네트웍스
16554,"구명식량 11,357BX",해군군수사령부,더존식품
16629,`17-00학교 교육비품(정맥주사 모형) 구매,국군의무학교,성도
18295,김치냉장고 등 2종,해군작전사령부,오피스웨이 기장점
19725,일회용드레싱 포셉킷 1품목 구매(물품),육군군수사령부,제이디건설기계 주식회사
19795,특수피복(폭발물처리반 작전복 등 4종) 구매,해군군수사령부,다보상사
19871,캔식품검사기 등 4항목 구매(물품),육군군수사령부,사라의료기
20203,공군교육사령부 장교/간부식당 식자재 구매,공군교육사령부,(주) 현대그린푸드  영남센터
20900,18년 생도피복(예식용품류) 구매계약,육군3사관학교,제일 몰
20901,18년 생도피복(예식용품 양말류)제조 구매계약,육군3사관학교,서한섬유
20927,18-공군 컨테이너형 독서 카페 제조 설치,국군재정관리단,대교콘테이너
22188,18년도 공군교육사령부 김치류 완제품 제조납품,공군교육사령부,주식회사 정우식품
23090,부식류 재포장재료 구매,제7789부대,동진상사
23250,김치냉장고 3EA,해군 기동함대사령부,주식회사 복은
23348,18년 부식 재포장재료 구매,제2167부대,주식회사 심우
24534,미니 풀테이프 284품목,제9181부대,시흥하역
25882,냉찜질기 등 20항목 구매(물품),육군군수사령부,PHOTOhi
26181,스프링노트 등 242종 구매,해군교육사령부,해비치
26486,미니수첩 등 134종 구매,해군교육사령부,지앤제이(G&J)커리어
26570,18-1차 훈련용품(스프츠테이프 등 18종) 구매,국군체육부대,진영상사
26614,욕지도 000전진기지대 급식계약,해군제3함대사령부,삼손식품
27014,인쇄소모용품(스프레이파우더 등 17종) 구매,국방출판지원단,청일산업
27195,2020년 생도피복 (군장류),국군간호사관학교,큰마음 유한회사
27401,스프링노트 등 99종 구매,해군사관학교,주식회사팔공물산
27813,19-1차 의무 교육비품구매(정맥주사 실습모형 등 6종),국군대전병원,엠씨아이컴퍼니(주)
28016,19년도 공군교육사령부 축산류 식자재 구매,공군교육사령부,농업회사법인 주식회사 세명축산
28035,공군교육사령부 장교/간부 식당 식자재 구매,공군교육사령부,(주) 현대그린푸드  영남센터
28787,실린더 버터플라이 밸브 등 55종,공군군수사령부,삼호상사
29124,57기 생도 피복구매 (예식용품),육군3사관학교,동명상회
30828,미니수첩 등 24종 구매,해군교육사령부,가람상사
31253,19년 식자재 재포장재료 구매계약,제1군수지원사령부,씨에스시스템
31474,19년도 공군교육사령부 김치류 완제품 제조납품,공군교육사령부,(주)동진푸드
31745,19년 부식류 재포장재료 구매,육군제7789부대,칼라투
32249,부식류 재포장재료(제조 또는 구매),제2군수지원여단,경북상사
32729,19-073 스프링노트 등 4품목,공군교육사령부,하늘정보시스템
33228,미니수첩 등 523종 구매,제8385부대,복영시스템
33545,미니손목받침대 등 62종 구매,제5738부대,한성산업
33789,실린더 버터플라이밸브 등 42종,공군군수사령부,반석상사
33883,특수수술재료(콜라겐 흡수성 창상피복제) 구매,국군의무사령부,(주)썬메디텍
33889,특수수술재료(콜라겐 흡수성 창상피복제) 구매,국군의무사령부,(주)썬메디텍
34130,김치냉장고 스탠드형 6EA,해군 기동함대사령부,유진시스템
34236,"구명식량 10,000BX 구매",해군군수사령부,유한회사 나라찬
35034,냉찜질기 등 7품목 구매(물품),육군군수사령부,재경상사
35969,20-K-내피자켓 구매,제9181부대,이즈컴넷
36041,김치냉장고 등 2종 구매,해군사관학교,주식회사 태촌실업
36822,21년 생도 58기 피복구매(예식용품류),육군3사관학교,윤서상사
37091,스프링 절취노트 등 523종 구매,해군작전사령부,(주)원진
37170,냉난방인버터 구매,제8385부대,엠플러스코리아(Mpluskorea)
37180,실린더 버터플라이 밸브 56종,공군군수사령부,삼호상사
38378,20-위임 00부대 여과자제 및 전기온수기 납품/설치,제7보병사단,칠성유통
38803,20년 부식류 재포장재료 구매,제1군수지원사령부,SS종합상사
39781,20년도 공군교육사령부 김치류 완제품 제조납품,공군교육사령부,농업회사법인 비에스푸드 주식회사
39874,20년 부식류 재포장재료 구매,육군제7789부대,와이에스컴퍼니
