,입찰명,발주기관,낙찰자(상호)
267,고양병원 PACS 서버 저장공간 확충용 HDD 구매,국군의무사령부,주식회사코드원
520,수도병원 의무비품(3차) 6종 구매,국군재정관리단,드림팩토리
553,의무장비 운영소모품 32종 구매(16-32차),육군훈련소,엠넷글로벌
727,"16-24차 의료기재, 일반의무장비 운영소모품 부대구매",제1862부대,미림교역
847,의무비품(5차) 구매,국군수도병원,서울이앤피
848,의무비품(4차) 구매,국군수도병원,해원산업
858,의무비품(3차) 구매 부대계약,국군수도병원,지투비나라
961,2017년 임상병리 소모품 구매(연간 단가계약),국방부근무지원단,케이투메디칼
1016,의료기재(금연구역 표지판 등 85종)구매,제5738부대,와이파이컴퍼니
1211,의료기재소모품(Curettes 외 142종)구매,국방부계룡대근무지원단,(주)이삭메디칼
1284,의무장비 운영소모품 21종 구매(16-29차),육군훈련소,주식회사 엔에이치
1963,의무비품(2차) 구매,국군수도병원,한림헬스케어
2417,의료기재(침대(조절식 3단) 등 18종),제5738부대,남북의료기상사
2466,위생장갑 등 9종 구매,제9911부대,주식회사 경성이엔씨
2812,2016년 의무장비(냉장고 시약보관용) 구매,국군의무사령부,주식회사 아베오비전코리아
2830,의료기재및 장비소모품(ADSON forcep외 145종) 구매,국방부계룡대근무지원단,MK메디칼
2907,의무장비(7차) 냉장고 혈액은행용 대형 구매,국군수도병원,엠넷글로벌
3058,의무장비(6차) 치과유니트 및 의자 구매,국군수도병원,덴탑정보기술(주)
3546,00부대 교육비품(초음파 외상환자 진단 팬텀) 구매,국군의무학교,주식회사 에스티에스
3737,방독면(K5) 안경,급식유류계약팀,다운옵틱
3809,수도병원 의무비품 3단침대 등 2종 구매,국군재정관리단,주식회사 다윤테크
4307,의무장비운영 소모품 구매(6월),제9보병사단사령부,정주애드
4681,항-16-031 환자대기용 장의자 등 21종,공군사관학교,MK메디칼
5044,`16-00부대 응급구조사 교과서 구매,국군의무학교,한국서점
5558,의무장비 소모품 구매(연간 단가계약),국방부근무지원단,주식회사 서경약품
5784,의무비품 48종 구매,국군재정관리단,성모메디칼
5988,의무장비 운영소모품 34종 구매(16-11차),육군훈련소,MK메디칼
6706,2016년 의무장비(침대자동식 중환자실용),국군의무사령부,So Med
6719,2016년 의무장비(침대자동식 중환자실용),국군의무사령부,So Med
7063,'16년 부식분배용 위생 및 포장재료 구매,제7789부대,한성산업
7078,'16년 부식분배용 위생 및 포장재료 구매,제7789부대,한성산업
7234,응급치료키트 등 11항목 구매(물품),육군군수사령부,주식회사 부영상사
7342,00부대 부대조달 의무물자 기재 및 소모품 구매(3차),제8기동사단,정주애드
7454,의무장비(혈액용 냉동고) 구매,국군대전병원,주식회사 일신바이오브랜치
7617,의무장비(4차) 소독물품포장기 구매,국군수도병원,(주)하이엠디
7730,대전병원 생화학자동분석기 소모품 60종 구매,국군재정관리단,미소커뮤니케이션
7815,장비운영소모품 외과장비(24차) 구매,국군수도병원,주마메디칼
7891,병리장비 운영소모품 46종 구매,국군재정관리단,(유)목양
7946,수도병원 외과장비소모품(4) 10종 구매,국군재정관리단,주영메딕스
7985,수도병원 외과장비소모품(2) 24종 구매,국군재정관리단,태린메디칼 주식회사
7986,수도병원 외과장비소모품(1) 37종 구매,국군재정관리단,그린 메드
7987,수도병원 외과장비소모품(3) 66종 구매,국군재정관리단,주식회사 메디시온
8034,병리장비 운영소모품 37종 구매,국군재정관리단,모아엠피(주)
8035,병리장비 운영소모품 39종 구매,국군재정관리단,(주)이삭메디칼
8036,병리장비 운영소모품 20종 구매,국군재정관리단,주식회사매직브이
8037,병리장비 운영소모품 63종 구매,국군재정관리단,주식회사 재현약품
8038,병리장비 운영소모품 23종 구매,국군재정관리단,태린메디칼 주식회사
8039,병리장비 운영소모품 89종 구매,국군재정관리단,주식회사 사람과사람들
8151,병원장비 소모품 109종 구매,국군재정관리단,한스메디칼
8173,수술용 칼 5항목 구매(물품),육군군수사령부,주식회사 아르키
8265,"항-16-002, 003 냉장고 극저온식 병원용 등 4종",공군사관학교,온케어메디홀주식회사
8318,병리장비 운영소모품 60종 구매,국군재정관리단,청우약품주식회사
8319,병리장비 운영소모품 47종 구매,국군재정관리단,에스엘(SL)상사
8320,병리장비 운영소모품 38종 구매,국군재정관리단,주식회사 케이에스
8321,방사선장비 운영소모품 13종 구매,국군재정관리단,주식회사 제이인터내셔널
8322,외과장비 운영소모품 72종 구매,국군재정관리단,주마메디칼
8323,외과장비 운영소모품 29종 구매,국군재정관리단,한스메디칼
8324,외과장비 운영소모품 61종 구매,국군재정관리단,나이스메디텍
8325,병리장비 운영소모품 43종 구매,국군재정관리단,(유)목양
8326,병리장비 운영소모품 62종 구매,국군재정관리단,주식회사 동영상사
8327,병리장비 운영소모품 84종 구매,국군재정관리단,주식회사 동영상사
8328,의무장비 운영소모품 166종 구매,국군재정관리단,(유)목양
8497,대전병원 생화학 자동 분석기 소모품 20종 구매,국군재정관리단,(주)성광메디피아
8498,대전병원 자동 뇨 분석기 등 소모품 46종 구매,국군재정관리단,에스엘(SL)상사
8499,대전병원 효소면역 측정기 소모품 33종 구매,국군재정관리단,MK메디칼
8500,대전병원 병원장비 소모품 71종 구매,국군재정관리단,제일공사
8502,대전병원 외과장비 소모품 5종 구매,국군재정관리단,라바열융합기술
8503,대전병원 보장구 50종 구매,국군재정관리단,주식회사 에스티앤지
8504,대전병원 병리재료 소모품 67종 구매,국군재정관리단,아이비케이 주식회사
8530,장비운영소모품 의료가스 구매,국군수도병원,동양산업가스 주식회사
