,입찰명,발주기관,낙찰자(상호)
5333,'16년 이동마트차량 제작사업,국군재정관리단,주식회사 광림
10847,(육성) 창원 스마트체계시스템 구축,제6128부대,위팩트(WIFECT)
21282,18-항공과학고 스마트교실 교육망 개선사업,국군재정관리단,한일통신 주식회사
32520,캐릭터 차량용 스마트폰 거치대 400개,해군본부,이레
39327,20-이동마트 차량 제조,국군재정관리단,주식회사 와풀
45355,스마트 항공기지 무선 네트워크 구축(218152-A),국군재정관리단,엘케이테크넷(주)
45989,(216317-F)스마트지휘통제실 비디오월구축(리스물건),국군재정관리단,주식회사한국픽셀
47330,21-국-이동마트 차량 제작,국군재정관리단,주식회사 와풀
55686,22-국-이동마트차량 제조,국군재정관리단,주식회사 금강특장차
61458,23-D-이동마트차량 제조(2310260-F),국군재정관리단,주식회사 금강특장차
68044,굴삭기 어테치먼트 회전링크 및 스마트크랩 구매,제2작전사령부,유한회사 히타치코리아
68150,24-09-312  취사기구(스마트 야채절단기 등) 14품목,공군교육사령부,정화기획
68221,스마트 북 제작 플랫폼 구매,국방출판지원단,지니하우스
71098,24-D-이동마트 차량(3.5톤) 제조,국군재정관리단,주식회사 와풀
73242,24-D-이동마트차량 제조,국군재정관리단,주식회사 와풀
