0,대분류,중분류,소분류
16-K-액화석유가스(LPG)(강화도서),피복·생활·사무,사무/문구,문구·사무기기
마이크로폰  고성능식 3EA,기타,기타,기타
16년 대전병원 병 건강검진 재료 구매,기타,기타,기타
16년 대전병원 의료기재(치과재료) 구매,의료·의약·위생,의료장비/소모,의료장비·키트
16년 대전병원 기타의약품 구매,의료·의약·위생,의료장비/소모,의료장비·키트
16년 대전병원 핵의약품(체내검사용) 구매,의료·의약·위생,의료장비/소모,의료장비·키트
16년 대전병원 핵의약품(체내검사용) 구매,의료·의약·위생,의료장비/소모,의료장비·키트
16년 대전병원 핵의약품(체내검사용) 구매,의료·의약·위생,의료장비/소모,의료장비·키트
16년 대전병원 핵의학품(체외검사용) 구매,기타,기타,기타
16년 대전병원 핵의학품(체외검사용) 구매,기타,기타,기타
황산등59종구매,기타,기타,기타
16년 가스터빈엔진 정비,화학·소재,가스/냉매,가스·냉매
16년 가스터빈엔진 정비,화학·소재,가스/냉매,가스·냉매
바닥광택기,기타,기타,기타
소총용 어댑터류,기타,기타,기타
병기수지제품류,화학·소재,도료/접착,도료·접착
병기수지제품류,화학·소재,도료/접착,도료·접착
꼬질대류,기타,기타,기타
수입솔류,피복·생활·사무,청소/환경,청소·위생
00부대 간부식당 식자재 계약(농수산 가공품 등),급식·식품,식자재,식자재
정비피복(방진화) 구매,건설·시설,현장안전/표지,현장안전·표지
분석기(회로망용) 구매,공구·설비,측정/시험,계측기
16-K-액화석유가스(LPG)(소형저장탱크),화학·소재,가스/냉매,가스·냉매
16-K-액화석유가스(LPG)(인천/강화),화학·소재,가스/냉매,가스·냉매
16-K-액화석유가스(LPG)(김포),화학·소재,가스/냉매,가스·냉매
가지 등 306종 구매(추자도),기타,기타,기타
감자 등 170종 구매(거문도),기타,기타,기타
가지 등 181종 구매(안마도),기타,기타,기타
16년 천마 응축기 조립체 정비,기타,기타,기타
1/4분기 교육/실습재료 구매,기타,기타,기타
마술용품 등 126종,기타,기타,기타
키보드 2단 스탠드 등 38종,IT·통신장비,PC/주변기기,PC·주변기기
키보드 2단 스탠드 등 38종,IT·통신장비,PC/주변기기,PC·주변기기
용접장갑 등 122품목,공구·설비,용접/가공,용접·절단
시설대대 스틸그레이팅 등 27종(16-005),기타,기타,기타
카트리지 필터 100개,차량·기동,차량/부품,차량부품·소모
핫도그 등 50종 구매,기타,기타,기타
이온음료 등 4종 구매,급식·식품,식자재,식자재
멸균흰우유 등 3종 구매,기타,기타,기타
분석기세트 3종 구매,공구·설비,측정/시험,계측기
체육기구류(당구대 등 22종)설치 납품,기타,기타,기타
소석회살포기 5항목 구매(물자),기타,기타,기타
25톤 덤프 육각 너트 등 126항목 구매(기장),건설·시설,자재/철물,자재·철물
로디우스 볼트 등 52항목 구매(기장),건설·시설,자재/철물,자재·철물
봉고 연료필터 등 42항목 구매(기장),차량·기동,차량/부품,차량부품·소모
국방 빅데이터 플랫폼 기반 구축사업 리스계약,기타,기타,기타
인쇄용지 2종 구매,기타,기타,기타
E/O Gas 카트리지 등 124종,기타,기타,기타
메탄올등19종구매,기타,기타,기타
실리콘등11종구매,건설·시설,자재/철물,자재·철물
건조제등48종구매,기타,기타,기타
부분순간냉각제등19종구매,기타,기타,기타
부분순간냉각제등19종구매,기타,기타,기타
전도성접착제등3종구매,화학·소재,도료/접착,도료·접착
전도성접착제등3종구매,화학·소재,도료/접착,도료·접착
볼형손잡이 등 381종 구매,기타,기타,기타
훈련용 통신기 등 21종 구매,기타,기타,기타
포장두부 등 5종 구매,기타,기타,기타
냉동오리고기 등 5종 구매,기타,기타,기타
떡볶이 구매(구매 또는 제조),기타,기타,기타
떡볶이 구매(구매 또는 제조),기타,기타,기타
USB 684개,기타,기타,기타
핫바 구매,기타,기타,기타
스키드로더 후레쉬 에어필터 등 207항목 구매(기장),차량·기동,차량/부품,차량부품·소모
굴삭기 파이프 등 281항목 구매(기장),기타,기타,기타
열화상카메라 등 2종 구매,IT·통신장비,CCTV/출입통제,영상감시·출입
표면조도측정기 구매,공구·설비,측정/시험,계측기
00부대(6진) 정비반 물품 구매(5차),기타,기타,기타
PMS공정형 및 이동형 중계기 등 0종 제조 설치납품,IT·통신장비,무선/위성/안테나,무전·위성·안테나
국군간호사관학교 교과서 35종 구매,기타,기타,기타
대전병원 병원장비 소모품 71종 구매,기타,기타,기타
00함 가스터빈 유압시동기 패널 정비,화학·소재,가스/냉매,가스·냉매
대전병원 효소면역 측정기 소모품 33종 구매,공구·설비,측정/시험,계측기
대전병원 자동 뇨 분석기 등 소모품 46종 구매,공구·설비,측정/시험,계측기
대전병원 생화학 자동 분석기 소모품 20종 구매,공구·설비,측정/시험,계측기
화강석(여장석) 4종 제조,기타,기타,기타
오렌지 등 9종 구매,기타,기타,기타
오렌지 등 9종 구매,기타,기타,기타
어묵탕(용기) 구매(구매 또는 제조),기타,기타,기타
차량정비용(타이어/밧데리) 연간단가계약,차량·기동,차량/부품,차량부품·소모
핫바,기타,기타,기타
쌈무,기타,기타,기타
깐메추리알,기타,기타,기타
포장순대,기타,기타,기타
단무지,기타,기타,기타
생우동,기타,기타,기타
단호박샐러드,기타,기타,기타
고구마샐러드,기타,기타,기타
메밀국수,기타,기타,기타
모짜렐라치즈,기타,기타,기타
슬라이스치즈,기타,기타,기타
스파게티면,기타,기타,기타
핫도그,기타,기타,기타
사과푸딩,기타,기타,기타
망고푸딩,기타,기타,기타
요거트푸딩,기타,기타,기타
국수,기타,기타,기타
콘푸라이트,건설·시설,현장안전/표지,현장안전·표지
마카로니,기타,기타,기타
돈까스소스,기타,기타,기타
칠리소스,기타,기타,기타
데리야끼소스,기타,기타,기타
두반장소스,기타,기타,기타
스파게티소스,기타,기타,기타
캡사이신소스,기타,기타,기타
굴소스,기타,기타,기타
진간장,기타,기타,기타
초콜릿가공품,기타,기타,기타
카스타드,기타,기타,기타
마가렛트,기타,기타,기타
후레쉬베리,기타,기타,기타
초코파이,기타,기타,기타
초코바,기타,기타,기타
에너지바,기타,기타,기타
몽쉘,기타,기타,기타
콜라,기타,기타,기타
사이다,기타,기타,기타
매실음료,급식·식품,식자재,식자재
포도맛음료,급식·식품,식자재,식자재
오렌지맛음료,급식·식품,식자재,식자재
식혜,기타,기타,기타
옥수수수염차,기타,기타,기타
바나나우유,기타,기타,기타
두유,기타,기타,기타
요구르트,기타,기타,기타
떠먹는요구르트,기타,기타,기타
복숭아아이스티,기타,기타,기타
코코넛음료,급식·식품,식자재,식자재
매실농축액(매원),기타,기타,기타
증식류 크림빵 구매,급식·식품,식자재,식자재
증식류 피자빵 구매,급식·식품,식자재,식자재
증식류 소시지빵 구매,급식·식품,식자재,식자재
쇄석 등 293종,기타,기타,기타
증식류 치즈케익 구매,기타,기타,기타
증식류 치즈케익 구매,기타,기타,기타
증식류 초코머핀 구매,기타,기타,기타
증식류 견과류형 초코바 구매,기타,기타,기타
증식류 크런키형 초코바 구매,기타,기타,기타
증식류 용기떡볶이 구매,기타,기타,기타
증식류 용기순대 구매,기타,기타,기타
액화석유가스,화학·소재,가스/냉매,가스·냉매
K277장갑차 발전기 보조엔진용 정비,전력·전기전자,발전기/전원,발전기·UPS·충전
K277장갑차 발전기 보조엔진용 정비,전력·전기전자,발전기/전원,발전기·UPS·충전
하이브리드 키폰 구매 설치,기타,기타,기타
00부대(6진) 정비반 물품 구매(3차),기타,기타,기타
00부대(6진) 정비반 물품 구매(4차),기타,기타,기타
16-백령도 도서전투부식 구매,피복·생활·사무,사무/문구,문구·사무기기
16-백령도 분식류 구매,기타,기타,기타
16-백령도 가공식품류 구매,급식·식품,식자재,식자재
16-백령도 개선식 구매,기타,기타,기타
16-백령도 기호식품 구매,급식·식품,식자재,식자재
16-대청도 부대조달부식 구매,기타,기타,기타
16-소청도 부대조달부식 구매,기타,기타,기타
16-백령도 두채류 구매,기타,기타,기타
16-백령도 김치류 납품,급식·식품,식자재,식자재
감압밸브 등 69품목 구매,건설·시설,자재/철물,자재·철물
