0,대분류,중분류,소분류
AT-271및부품,기타,기타,기타
AT-271및부품,기타,기타,기타
AT-271및부품,기타,기타,기타
치약(100g) 등 5항목 구매(물자),기타,기타,기타
치약(100g) 등 5항목 구매(물자),기타,기타,기타
회로카드 조립체 1종,기타,기타,기타
하우징 액체펌프용 1종,공구·설비,공조/펌프,공조·펌프
BTCS용 케이블조립체 등(A),전력·전기전자,조명/전선,LED·전선
BTCS용 케이블조립체 등(B),전력·전기전자,조명/전선,LED·전선
펌프 회전식 1EA,공구·설비,공조/펌프,공조·펌프
워터링 등 12종,기타,기타,기타
대기용활성탄 등 12종,기타,기타,기타
UDT 중절모 등 7종,기타,기타,기타
이디밸브 등 12종,건설·시설,자재/철물,자재·철물
이디밸브 등 12종,건설·시설,자재/철물,자재·철물
체인 용접식 등 25종,공구·설비,용접/가공,용접·절단
체인 용접식 등 25종,공구·설비,용접/가공,용접·절단
전기밥솥 등 2종,급식·식품,주방/급식장비,주방·급식장비
해군 사후생 가방 등 2종,기타,기타,기타
특수수사장비세트 등 3종 구매,기타,기타,기타
부동액 2 186CN,차량·기동,차량/부품,차량부품·소모
부동액 2 186CN,차량·기동,차량/부품,차량부품·소모
광택제 금속용(액체형) 등 2종,기타,기타,기타
기억장치 집적회로 등 4종,기타,기타,기타
천연방충탈취제 등 2종,피복·생활·사무,청소/환경,청소·위생
포탄 조립체 등 4종,기타,기타,기타
판  명시용 등 104종,기타,기타,기타
판  명시용 등 104종,기타,기타,기타
판  명시용 등 104종,기타,기타,기타
교관훈련피복(UDT) 등 6종,기타,기타,기타
개스킷 등 15종,기타,기타,기타
개스킷 등 15종,기타,기타,기타
수영팬티 등 8종,공구·설비,공조/펌프,공조·펌프
청관제 1항목 구매(물자),IT·통신장비,CCTV/출입통제,영상감시·출입
탐지3호용 케이블조립체,전력·전기전자,조명/전선,LED·전선
자동기상관측장비(AWS),기타,기타,기타
자동기상관측장비(AWS),기타,기타,기타
열쇠보관함 등 132종,기타,기타,기타
군범죄 유전자검사 시약재료 구매,의료·의약·위생,의료장비/소모,의료장비·키트
과학수사 감정장비 구매,기타,기타,기타
(17-0046)건식잠수복,기타,기타,기타
인쇄재료(C.T.P판 및 현상보충액) 연간구매,기타,기타,기타
비파괴검사장비(X-RAY)외주정비,기타,기타,기타
비파괴검사장비(X-RAY)외주정비,기타,기타,기타
BTCS용 케이블조립체 등(C),전력·전기전자,조명/전선,LED·전선
BTCS용 케이블조립체 등(C),전력·전기전자,조명/전선,LED·전선
링  피스톤용 등 74종,기타,기타,기타
병기포장재료 1항목 구매(물자),물류/포장,포장/운반자재,포장·운반자재
병기포장재료 1항목 구매(물자),물류/포장,포장/운반자재,포장·운반자재
홍보물품(칫솔살균기 등 2종) 구매,의료·의약·위생,방역/소독,방역·소독
홍보물품(칫솔살균기 등 2종) 구매,의료·의약·위생,방역/소독,방역·소독
베개류,기타,기타,기타
17년 제동유교환유니트,기타,기타,기타
17년 제동유교환유니트,기타,기타,기타
17년 제동유교환유니트,기타,기타,기타
대공감시용 근거리감시레이더 구축사업,기타,기타,기타
00부대 체육관 신축 관급자재(콘크리트파일) 제조,피복·생활·사무,사무/문구,문구·사무기기
00부대 체육관 신축 관급자재(알루미늄시트패널) 제조,기타,기타,기타
독신자숙소 에어컨 조달,공구·설비,공조/펌프,공조·펌프
군위성통신체계 유지보수 정비,IT·통신장비,무선/위성/안테나,무전·위성·안테나
17년 유류펌프류,차량·기동,연료/윤활,연료·윤활유
17년 유류펌프류,차량·기동,연료/윤활,연료·윤활유
17년 유류펌프류,차량·기동,연료/윤활,연료·윤활유
배연기 포강용(구매),기타,기타,기타
17-00장 전자유도 겸용 골프카트 구매,기타,기타,기타
공군 구내방송장치 제조설치,기타,기타,기타
중파송신기 유지보수 정비,기타,기타,기타
중파송신기 유지보수 정비,기타,기타,기타
고정형 3D 스캐너 등 5종 구매,IT·통신장비,PC/주변기기,PC·주변기기
정비용장비(대형차량용리프트),차량·기동,차량/부품,차량부품·소모
씰  봉합조립체류,기타,기타,기타
씰  봉합조립체류,기타,기타,기타
17년 전산운영용품 구매,기타,기타,기타
17년 VolP 교환기용 항온항습기 제조설치,공구·설비,공조/펌프,공조·펌프
특정지역 구매품류 구매,기타,기타,기타
17년 VolP 교환기용 음성동보장치 제조설치,공구·설비,공조/펌프,공조·펌프
참기름,기타,기타,기타
함정 상가대 종대차휠 정비,기타,기타,기타
암조립체류,기타,기타,기타
윈치조립체 및 새클류,기타,기타,기타
윈치조립체 및 새클류,기타,기타,기타
MTU 엔진부품(구매),기타,기타,기타
식초,기타,기타,기타
물엿,기타,기타,기타
이불류,기타,기타,기타
이불커버류,기타,기타,기타
체력단련장 유류(부생연료유 1호) 구매,차량·기동,연료/윤활,연료·윤활유
공기충전기 외 5종 (17-031),전력·전기전자,발전기/전원,발전기·UPS·충전
체력단련장 유류(휘발유  경유) 구매,차량·기동,연료/윤활,연료·윤활유
체력단련장 유류(휘발유  경유) 구매,차량·기동,연료/윤활,연료·윤활유
교량가설단정 나사등75종구매,건설·시설,현장안전/표지,현장안전·표지
교량가설단정 나사등75종구매,건설·시설,현장안전/표지,현장안전·표지
화재 및 화학기호판 9종 제조,공구·설비,안전/소방,소방·안전장비
코드조립체 전기용(230mm급다련장용),기타,기타,기타
17년 가장침구류 제조 / 구매,기타,기타,기타
지상공수  헬기레펠 물자 구매,기타,기타,기타
작전용 고무보트,화학·소재,도료/접착,도료·접착
작전용 고무보트,화학·소재,도료/접착,도료·접착
00부대 케이블트레이 제조납품,전력·전기전자,조명/전선,LED·전선
오존발생기 베셀 교체,기타,기타,기타
병영생활관 신축공사 관급자재 배전반,기타,기타,기타
병영생활관 신축공사 관급자재 분전반,전력·전기전자,발전기/전원,발전기·UPS·충전
병영생활관 신축공사 관급자재 조명기구,전력·전기전자,조명/전선,LED·전선
공사감독 검측장비 구매,기타,기타,기타
보온식관,기타,기타,기타
보온식관,기타,기타,기타
헌병대 병영생활관 신축 조명기구 제조납품,전력·전기전자,조명/전선,LED·전선
헌병대 병영생활관 신축 CCTV 제조설치,IT·통신장비,CCTV/출입통제,영상감시·출입
헌병대 병영생활관 신축 방송영상설비 제조설치,기타,기타,기타
작동기 등 21종 구매,기타,기타,기타
홍보물품(에코백 등 2종) 구매,기타,기타,기타
발간인쇄재료 9종,기타,기타,기타
미8군 초등학교 전자제품(건조기등 5종) 구매 설치,기타,기타,기타
인쇄재료(용지 및 CD)6종구매,기타,기타,기타
K9 자주포 포신  포미 장치부품류(구매),기타,기타,기타
안테나조립체 정비,IT·통신장비,무선/위성/안테나,무전·위성·안테나
17년 6.25 전사자 유전자검사 시약 재료 구매,의료·의약·위생,의료장비/소모,의료장비·키트
00함 RAS 슬라이딩 블록 구동장치 정비,기타,기타,기타
00함 RAS 슬라이딩 블록 구동장치 정비,기타,기타,기타
전산 운용품 구매,기타,기타,기타
00부대 F-CV 케이블 2종 구매,전력·전기전자,조명/전선,LED·전선
유압호스 등 35종 구매,기타,기타,기타
17-F-034  2.5톤 이동배식차 제조,기타,기타,기타
17-F-034  2.5톤 이동배식차 제조,기타,기타,기타
00000 침입차단체계 교체사업(리스물건),기타,기타,기타
2.5톤레버등13종구매,기타,기타,기타
국립서울현충원 외곽담장 디자인 휀스 제작 및 설치,건설·시설,현장안전/표지,현장안전·표지
자일로프 등 10품목,기타,기타,기타
식관,기타,기타,기타
인쇄용지(백상지 등 3종) 구매,기타,기타,기타
ISU 설치 및 제거기 등 43항목 구매(물자),기타,기타,기타
무인감시장비 제조설치,기타,기타,기타
실전적 과학화훈련장 비품 제조납품(2차),기타,기타,기타
특전사 방풍안경 등 3항목 구매(물자),기타,기타,기타
로드휠용 고무,화학·소재,도료/접착,도료·접착
개인 관물함 제조 구매,기타,기타,기타
메탄올등5종구매,기타,기타,기타
슈퍼메탈등4종구매,기타,기타,기타
안전우의등19종구매,피복·생활·사무,군장/피복,군장·피복
킴타올즈와이퍼등163종구매,차량·기동,차량/부품,차량부품·소모
마봉강등35종구매,기타,기타,기타
K200장갑차 스위치등42종구매,IT·통신장비,네트워크/보안,스위치·라우터
UPS(무정전전원공급장치) 구매설치,전력·전기전자,발전기/전원,발전기·UPS·충전
교량가설단정 시동기등15종구매,건설·시설,현장안전/표지,현장안전·표지
K1전차 측풍감지기 회로카드 성능개선 소요자재 구매,공구·설비,안전/소방,소방·안전장비
엔진브로와 138EA,기타,기타,기타
이동형 음원수집장비(음압센서 등 4종) 구매,전력·전기전자,전자부품,센서·모듈
해군 동잠바 깃털 등 8종,기타,기타,기타
전산운영용품 구매,기타,기타,기타
17-냉각수 생산장비 제조 설치,기타,기타,기타
미8군 초등학교 비품 9종 구매 설치,기타,기타,기타
미8군 초등학교 비품 9종 구매 설치,기타,기타,기타
AH-1S헬기 전압제어장치 정비기술개발 소요자재 구매,기타,기타,기타
공기충전기 구매,전력·전기전자,발전기/전원,발전기·UPS·충전
오일씰 등 69종,차량·기동,차량/부품,차량부품·소모
천마 레이더통제용 전원공급장치 소요자재 구매,기타,기타,기타
천마 레이더통제용 전원공급장치 소요자재 구매,기타,기타,기타
17-세탁비누 등 4종,기타,기타,기타
계수식 회전 측정기 등 6종,공구·설비,측정/시험,계측기
BC 구명의 구매,기타,기타,기타
보호안경  산업용 등 64항목 구매(물자),기타,기타,기타
보존식 용기 1항목 구매(물자),기타,기타,기타
통신정밀측정장비(특수땜납장비셋) 1항목 구매(물자),기타,기타,기타
사격통제장치부품류(구매),기타,기타,기타
전자저울(30kg) 등 7항목 구매(물자),기타,기타,기타
전자저울(30kg) 등 7항목 구매(물자),기타,기타,기타
조달(수리)요구서(17-073)[부품대]RADAR 시험기,기타,기타,기타
17년 오리콘포 완충기조립체 및 노리쇠조립체,건설·시설,현장안전/표지,현장안전·표지
VRC-155KA부품(구매),기타,기타,기타
보조보일러(중형/대형),공구·설비,공조/펌프,공조·펌프
보조보일러(중형/대형),공구·설비,공조/펌프,공조·펌프
포장두부(1지역),기타,기타,기타
포장두부(2지역),기타,기타,기타
포장두부(3지역),기타,기타,기타
포장두부(4지역),기타,기타,기타
바란싱측정기 등 1종 구매,공구·설비,측정/시험,계측기
군종시설 비품(천막) 제조,기타,기타,기타
자주식 고소작업대 등 1종 구매,기타,기타,기타
안경 방독면(K5)용,공구·설비,안전/소방,소방·안전장비
열중량분석기 등 1종 구매,공구·설비,측정/시험,계측기
군위성통신장비(수상함용)부품,IT·통신장비,무선/위성/안테나,무전·위성·안테나
군위성통신장비(수상함용)부품,IT·통신장비,무선/위성/안테나,무전·위성·안테나
종이  화학제 탐지기용,기타,기타,기타
체력단련장 코스관리장비 구매,기타,기타,기타
자료연동처리기(DLPS) 유지보수 정비,기타,기타,기타
이동식 작업대 등 7종 구매,기타,기타,기타
전지 재충전불가식(미스트랄용),기타,기타,기타
전지 축전식(BB-7184K),기타,기타,기타
전지  재충전불가식(BA-6468 등 2종),기타,기타,기타
전지 축전식(신형원격무선폭파세트용),기타,기타,기타
헬멧  안전용(백색) 등 9종,기타,기타,기타
도어클로저 등 50종,기타,기타,기타
응급치료 키트 구매,기타,기타,기타
모체기판 8EA,기타,기타,기타
17년 간부숙소 개선공사 비품구매,기타,기타,기타
지형정보제작장비(도형작업기  영상처리기) 구매,기타,기타,기타
시일  밀봉형 67EA,기타,기타,기타
시일  밀봉형 67EA,기타,기타,기타
회로카드 조립체 10EA,기타,기타,기타
17년 계룡스파텔 VoIP교환기 교체사업,공구·설비,공조/펌프,공조·펌프
00전대 도서기지 창고 호이스트 크레인 제조설치,피복·생활·사무,사무/문구,문구·사무기기
BTL 숙소 가전제품(냉장고  세탁기) 구매,급식·식품,주방/급식장비,주방·급식장비
디지털무늬 원단(IR),기타,기타,기타
디지털무늬 원단(IR),기타,기타,기타
디지털무늬 원단(IR),기타,기타,기타
디지털무늬 원단(IR) 해병,기타,기타,기타
디지털무늬 원단(IR) 해병,기타,기타,기타
디지털무늬 원단(IR) 해병,기타,기타,기타
하계 디지털무늬 원단(IR),기타,기타,기타
하계 디지털무늬 원단(IR),기타,기타,기타
하계 디지털무늬 원단(IR)  해병,기타,기타,기타
디지털P/R방투습 원단(IR),기타,기타,기타
철제 가구류 13종 제조납품,기타,기타,기타
목제 가구류 56종 제조납품,기타,기타,기타
공군 병사피복(하운동복) 제조,기타,기타,기타
공군 병사피복(춘추운동복) 제조,기타,기타,기타
17년 체력단련장 경기도우미 피복(하복) 제조,기타,기타,기타
가스취사세트 및 구성품,화학·소재,가스/냉매,가스·냉매
복지지설 통신장비(키폰교환기) 교체사업,공구·설비,공조/펌프,공조·펌프
VRC-155KA부품(제조),기타,기타,기타
장갑세트 화학방호용,의료·의약·위생,의료장비/소모,의료장비·키트
장갑세트 화학방호용,의료·의약·위생,의료장비/소모,의료장비·키트
가전제품 등 6종 구매,기타,기타,기타
노후비품(가전) 구매,기타,기타,기타
노후비품(가전) 구매,기타,기타,기타
부탄-프로판 혼합가스,화학·소재,가스/냉매,가스·냉매
부탄-프로판 혼합가스,화학·소재,가스/냉매,가스·냉매
라벨 등 764종 구매,피복·생활·사무,사무/문구,문구·사무기기
17년 교구잡낭 제조구매,기타,기타,기타
자갈 등 52종,기타,기타,기타
잔디 복합 완효성 비료 등 9종,기타,기타,기타
17년 사이버 침해사고 조사/분석체계 도입사업,기타,기타,기타
복사용지 등 1745종,피복·생활·사무,사무/문구,문구·사무기기
홍보물품(블루투스 키보드) 200개,IT·통신장비,PC/주변기기,PC·주변기기
인쇄재료188종 연간구매,기타,기타,기타
군악대대 하계 연미복 제조납품,기타,기타,기타
군악대대 악기 구매,기타,기타,기타
패널  차량작동용,차량·기동,차량/부품,차량부품·소모
발전기 부품류(궤도장비용),전력·전기전자,발전기/전원,발전기·UPS·충전
발전기 부품류(궤도장비용),전력·전기전자,발전기/전원,발전기·UPS·충전
고속상륙정 부양팬 플랩 정비,공구·설비,공조/펌프,공조·펌프
디지탈P/R방투습 원단(IR) 해병,기타,기타,기타
탐지기  풍향 및 풍속용(정비),기타,기타,기타
탐지기  풍향 및 풍속용(정비),기타,기타,기타
배터리 등 72종,전력·전기전자,발전기/전원,발전기·UPS·충전
미8군 초등학교 가구 제조 설치,기타,기타,기타
17-간부숙소 신축공사 합성수지 창호 제조 설치,화학·소재,도료/접착,도료·접착
여과기 부품 등 4항목 구매(특무),기타,기타,기타
부동액,차량·기동,차량/부품,차량부품·소모
해상작전위성통신체계(SRC-1K) 유지보수 정비,IT·통신장비,무선/위성/안테나,무전·위성·안테나
간부숙소비품(세탁기 등 4종) 구매설치,기타,기타,기타
수영물자류 3종 구매,기타,기타,기타
강의장 비품(수강용탁자) 제조설치,기타,기타,기타
2차 전산운영용품 구매,기타,기타,기타
파티션 등 5종 구매,피복·생활·사무,가구/집기,사무가구·집기
유티피 케이블 등 9종,전력·전기전자,조명/전선,LED·전선
17년 IP교환기 도입사업,공구·설비,공조/펌프,공조·펌프
잠수함(SS-Ⅰ) 디젤 감시장치 PCB 정비,전력·전기전자,전자부품,센서·모듈
잠수함(SS-Ⅰ) 디젤 감시장치 PCB 정비,전력·전기전자,전자부품,센서·모듈
17년 경계작전시설 개선(울타리 제조·설치),기타,기타,기타
동력전달 제어장치 제조,기타,기타,기타
약품포장기 자동식 구매,기타,기타,기타
16년 오리콘 사격통제장치 부품류 외주정비,건설·시설,현장안전/표지,현장안전·표지
장갑전투도자 작동자축압기 소요자재 구매,의료·의약·위생,의료장비/소모,의료장비·키트
라이트류,기타,기타,기타
라이트류,기타,기타,기타
16년 천마 토크식 전동기,기타,기타,기타
표본수집키트  화학작용제용(연속시료공급장치),기타,기타,기타
표본수집키트  화학작용제용(연속시료공급장치),기타,기타,기타
17년 사무자동화장비(노트북) 도입사업(리스물건),IT·통신장비,PC/주변기기,PC·주변기기
경계용 CCTV 제조 설치,IT·통신장비,CCTV/출입통제,영상감시·출입
17년 사무자동화장비(프린터) 도입사업,IT·통신장비,PC/주변기기,PC·주변기기
서브밸브 1종,건설·시설,자재/철물,자재·철물
기어  스퍼형 등 5항목 제조(생산능력  궤도),기타,기타,기타
조절기  트랙  차량용 등 6항목 제조(생산능력  궤도),차량·기동,차량/부품,차량부품·소모
조절기  트랙  차량용 등 6항목 제조(생산능력  궤도),차량·기동,차량/부품,차량부품·소모
부싱-밸브 조립체 등 8항목 제조(생산능력  궤도),건설·시설,자재/철물,자재·철물
부싱-밸브 조립체 등 8항목 제조(생산능력  궤도),건설·시설,자재/철물,자재·철물
체인조립체 등 30항목 제조(기장  생산능력),기타,기타,기타
완충기  직접작동식 등 3항목 제조(기장),기타,기타,기타
완충기  직접작동식 등 3항목 제조(기장),기타,기타,기타
필터 유닛  액체용 압력식 등 32항목 제조(기장),차량·기동,차량/부품,차량부품·소모
필터 유닛  액체용 압력식 등 32항목 제조(기장),차량·기동,차량/부품,차량부품·소모
정수장비 밸브  볼형 등 23항목 구매(기장),건설·시설,자재/철물,자재·철물
정수장비 밸브  볼형 등 23항목 구매(기장),건설·시설,자재/철물,자재·철물
시추기 로드 등 1항목 제조(기장),기타,기타,기타
엔진  가솔린식 등 1항목 제조(기장),차량·기동,연료/윤활,연료·윤활유
후크  고정용 등 111항목 제조(기장  생산능력),기타,기타,기타
펌프  회전식 등 6항목 제조(기장  생산능력),공구·설비,공조/펌프,공조·펌프
펌프  회전식 등 6항목 제조(기장  생산능력),공구·설비,공조/펌프,공조·펌프
힌지  띠줄용 등 30항목 구매(기장),기타,기타,기타
야전책상 등 3종 구매,피복·생활·사무,가구/집기,사무가구·집기
최전방 수호병 명예휘장 제조,기타,기타,기타
미송목재 등 22건 구매,기타,기타,기타
생도 문화체육활동 물품 구매,기타,기타,기타
노후비품(가구) 구매,기타,기타,기타
역삼투조수기 20톤,기타,기타,기타
동력체인톱 40EA,공구·설비,수공구/전동공구,수공구·전동공구
정모 A형 등 3종,기타,기타,기타
패킹 성형식 등 3종,기타,기타,기타
소화호스 등 2종,기타,기타,기타
야전앰프 9EA,기타,기타,기타
식품보존용기 등 6종,급식·식품,식자재,식자재
냉각수 첨가제 85EA,기타,기타,기타
고무판 등 13종,화학·소재,도료/접착,도료·접착
배추김치(포기절단) 등 7종 구매,공구·설비,용접/가공,용접·절단
배추김치(포기절단) 등 7종 구매,공구·설비,용접/가공,용접·절단
여과기 등 18종,기타,기타,기타
로타리스위치 등 29종,IT·통신장비,네트워크/보안,스위치·라우터
월동파카(헌병용) 등 25종,기타,기타,기타
오-링 등 9종,기타,기타,기타
국수(소면)등 170종 구매,기타,기타,기타
고압호스 등 26종,기타,기타,기타
피스톤 내연기관용 등 28종,기타,기타,기타
벤토린흡입액 등 108종,기타,기타,기타
C형 클램프 등 798종,전력·전기전자,조명/전선,LED·전선
텀블러 등 72종,기타,기타,기타
Kischner wire(1.2) 등 5종,기타,기타,기타
SST TUBE 5ml 등 50종,기타,기타,기타
실리콘 등 66종,건설·시설,자재/철물,자재·철물
미8군 한국군지원시설 전자제품 구매 설치,기타,기타,기타
미8군 한국군지원시설 가구 제조 설치,기타,기타,기타
17-76-00대기실 신축 조명기구 제조/구매,전력·전기전자,조명/전선,LED·전선
17-76-00대기실 신축 조명기구 제조/구매,전력·전기전자,조명/전선,LED·전선
장력장치류,기타,기타,기타
육군 상장용지 6종 제조,기타,기타,기타
스위치류,IT·통신장비,네트워크/보안,스위치·라우터
밸브  체크형,건설·시설,자재/철물,자재·철물
플렌지 발전기구동용(K-1전차용),전력·전기전자,발전기/전원,발전기·UPS·충전
예비군부대 컨테이너 제조설치납품,건설·시설,현장안전/표지,현장안전·표지
2017년 의무장비(심전도계 사단용) 구매,기타,기타,기타
2017년 응급처치 마네킹 구매,기타,기타,기타
전산장비 구매,기타,기타,기타
구두솔 등3품목 구매,피복·생활·사무,청소/환경,청소·위생
플룻 등 19종 구매,기타,기타,기타
연결기  플러그형  전기용 등 56종,기타,기타,기타
고정자조립체  교차구동용  변속기용,기타,기타,기타
고정자조립체  교차구동용  변속기용,기타,기타,기타
고정자조립체  교차구동용  변속기용,기타,기타,기타
냉각기  유체식  변속기용,기타,기타,기타
페인트붓등35종구매,건설·시설,자재/철물,자재·철물
오일필터등 31종 구매,차량·기동,차량/부품,차량부품·소모
17년 에어호스,기타,기타,기타
신호발생기 구매,기타,기타,기타
니켈수소전지(BB-96K),기타,기타,기타
17년 추출기 콘넥타용,건설·시설,현장안전/표지,현장안전·표지
인쇄재료(CTP판 현상액)3종 구매,기타,기타,기타
군장품(옷깃표지장) 제조,피복·생활·사무,군장/피복,군장·피복
군장품(옷깃표지장) 제조,피복·생활·사무,군장/피복,군장·피복
항공피복(빨간 마후라) 제조 납품,기타,기타,기타
17-해군 특전/심해잠수사 전투복 제조 납품,피복·생활·사무,군장/피복,군장·피복
17-해군 특전/심해잠수사 전투복 제조 납품,피복·생활·사무,군장/피복,군장·피복
천마유도탄 군직정비용 플라스틱류 수리부속 제조,기타,기타,기타
소토사 120 ton,기타,기타,기타
파노라마식 망원경(방산),기타,기타,기타
마사토 등 2종,기타,기타,기타
마사토 등 2종,기타,기타,기타
정보분석조용 보관낭 구매,기타,기타,기타
Lynx 항공기 레이더용 변조기 정비,기타,기타,기타
심장세동제거기 사단용 등 2종,기타,기타,기타
전기소작기 병원용 등 2종,기타,기타,기타
초음파누설검사기 1EA,기타,기타,기타
초음파누설검사기 1EA,기타,기타,기타
너트 평면 원형 등 4종,건설·시설,자재/철물,자재·철물
와이어컷 방전가공기 구매,기타,기타,기타
불교 의식용 침향 구매,기타,기타,기타
순두부(1지역),기타,기타,기타
순두부(2지역),기타,기타,기타
순두부(3지역),기타,기타,기타
순두부(4지역),기타,기타,기타
순두부(3지역),기타,기타,기타
CNC 방전가공기,기타,기타,기타
기름제거 처리제 등 3종 구매,기타,기타,기타
미8군 한국군지원시설 주방기구 제조 설치,기타,기타,기타
미8군 한국군지원시설 주방기구 제조 설치,기타,기타,기타
K계열 궤도장비 유압장치 부품류(구매),기타,기타,기타
K계열 궤도장비 유압장치 부품류(구매),기타,기타,기타
K계열 궤도장비 유압장치 부품류(구매),기타,기타,기타
17년 105밀리 연습예광탄 등 목상자,기타,기타,기타
오디오제어기판 01A 등 21종,기타,기타,기타
재-전산운영용품 구매 계약,기타,기타,기타
17년 130밀리 연습연막로켓탄,기타,기타,기타
무전기 원격정합기 38EA,IT·통신장비,무선/위성/안테나,무전·위성·안테나
조음기,기타,기타,기타
조음기,기타,기타,기타
스위칭 그룹  디지털 자료용 등 2종,기타,기타,기타
155밀리 7호 추진장약포 등 3종 제조,기타,기타,기타
155밀리 7호 추진장약포 등 3종 제조,기타,기타,기타
DGPS 안테나 등 3종,IT·통신장비,무선/위성/안테나,무전·위성·안테나
17년 증식용 떡 및 케이크 구매,기타,기타,기타
0000 00 체계 분석 자재 구매,기타,기타,기타
베어링 볼형 환상형 등 14종,기타,기타,기타
폭파기구 세트 2EA,기타,기타,기타
개스킷 등 6종,기타,기타,기타
개스킷 등 6종,기타,기타,기타
용접발전기 야전용 1EA,전력·전기전자,발전기/전원,발전기·UPS·충전
프레임리프트 등 3종,기타,기타,기타
탄약링크분해조립기 1EA,기타,기타,기타
17-방한복(정비사용) 제조 납품,피복·생활·사무,군장/피복,군장·피복
송수화기(핸드셋트류),기타,기타,기타
송수화기(핸드셋트류),기타,기타,기타
00부대 전산운용용품 구매 납품,기타,기타,기타
17년 3단 접절식 야전삽,기타,기타,기타
재-국가기술자격검정 장비구매 계약,기타,기타,기타
17년 태극마크,기타,기타,기타
장비운영소모품 수시 구매(Hbs Ag RGT 등 38품목),기타,기타,기타
희석제 우레탄페인트 등 2품목,건설·시설,자재/철물,자재·철물
17-이발가위 등 2종 구매,기타,기타,기타
17-부식운반용기 등 3종 구매,기타,기타,기타
17년 해병대 지휘소 비디오월 교체사업(리스물건),기타,기타,기타
이동식에어컨(5톤 확장식 밴용),공구·설비,공조/펌프,공조·펌프
17년 지상조명지뢰,전력·전기전자,조명/전선,LED·전선
사진인화지 등 8품목,기타,기타,기타
17년 체력단련장 경기도우미 피복 제조,기타,기타,기타
17년 체력단련장 경기도우미 피복 제조,기타,기타,기타
특기학교 교육용 필기도구 2종(수첩 노트) 제조 구매,피복·생활·사무,사무/문구,문구·사무기기
전자전장비(ULQ-11K) 수신기 5 6밴드 정비,기타,기타,기타
K9자주포 냉각기 정비기술개발 소요자재 구매,기타,기타,기타
K9자주포 냉각기 정비기술개발 소요자재 구매,기타,기타,기타
K9자주포 세그먼트 정비기술개발 소요자재 구매,기타,기타,기타
K9자주포 세그먼트 정비기술개발 소요자재 구매,기타,기타,기타
17년 부대조달 LPG 구매(강원지역),화학·소재,가스/냉매,가스·냉매
17년 부대조달 LPG 구매(경기지역),화학·소재,가스/냉매,가스·냉매
17년 부대조달 LPG 구매(경기지역),화학·소재,가스/냉매,가스·냉매
K1A기관단총,기타,기타,기타
자주포 기어류,기타,기타,기타
파노라마식 망원경,기타,기타,기타
파노라마식 망원경,기타,기타,기타
일반광학장비부품(덮개  입구용),기타,기타,기타
일반광학장비부품(화포용수포류),기타,기타,기타
일반광학장비부품(화포용수포류),기타,기타,기타
볼 조립체  부싱용 등 2항목 제조(기장),기타,기타,기타
의료기재 구매 - 병리재료(원심분리관 등 83품목),의료·의약·위생,의료장비/소모,의료장비·키트
종이 휘발성 부식방지제로 등 8항목 제조(특허 총포),기타,기타,기타
종이 휘발성 부식방지제로 등 8항목 제조(특허 총포),기타,기타,기타
의무장비(환자관찰장치 이동형) 구매,기타,기타,기타
의무장비(자동적혈구침강속도 측정기) 구매,공구·설비,측정/시험,계측기
의무장비(혈액응고측정기) 구매,공구·설비,측정/시험,계측기
의무장비(전자동정제 분류포장기) 구매,기타,기타,기타
의무장비(전자동정제 분류포장기) 구매,기타,기타,기타
연료유 정유기,차량·기동,연료/윤활,연료·윤활유
연료유 정유기,차량·기동,연료/윤활,연료·윤활유
(17-0003)전압용 교정기,기타,기타,기타
17-F-041  컴퓨터(항공기 중량-균형용) 구매,기타,기타,기타
X-RAY 수화물 검색기 구매 설치,기타,기타,기타
비호 발전기류 정비,전력·전기전자,발전기/전원,발전기·UPS·충전
17년 취사기구(취반기 등 63종) 구매,기타,기타,기타
방화벽 구매,IT·통신장비,네트워크/보안,스위치·라우터
KF-16 적아식별장비 정비,기타,기타,기타
KF-16 적아식별장비 정비,기타,기타,기타
필름현상기 구매,기타,기타,기타
건빵(개선품) 1지역,급식·식품,식자재,식자재
건빵(개선품) 2지역,급식·식품,식자재,식자재
건빵(개선품) 3지역,급식·식품,식자재,식자재
건빵(개선품) 4지역,급식·식품,식자재,식자재
핵의약품 구매(마이오뷰주사 등 6종),의료·의약·위생,의료장비/소모,의료장비·키트
LED 매입등,전력·전기전자,조명/전선,LED·전선
가스켓 등 8종,화학·소재,가스/냉매,가스·냉매
SPS-95K/100K 레이더 부품(구매),기타,기타,기타
SPS-95K/100K 레이더 부품(구매),기타,기타,기타
문풍지 등 64항목 구매(기장),기타,기타,기타
디스크  클러치  차량용 등 3항목 구매(기장),차량·기동,차량/부품,차량부품·소모
공항관리대 - 맨리프트카(17-16),기타,기타,기타
외부실린더  틸팅실린더 등 17항목 구매(기장),기타,기타,기타
빌지 펌프 등 3항목 구매(기장),공구·설비,공조/펌프,공조·펌프
전산운영용품(토너 등 170종) 구매,IT·통신장비,PC/주변기기,PC·주변기기
취약점 진단 도구 구매,기타,기타,기타
00부대 배수펌프장 신축공사 수배전반 제조 설치,공구·설비,공조/펌프,공조·펌프
배수펌프장 신축공사 감시제어시스템 제조 설치,공구·설비,공조/펌프,공조·펌프
시력측정기 병원용 1EA,공구·설비,측정/시험,계측기
표면오염도검사기 등 2종,기타,기타,기타
시체냉동기 2구용 등 2종,기타,기타,기타
