word,freq,대분류,중분류,소분류
디자인,23,기타,기타,기타
용수철,23,기타,기타,기타
항공우주,23,기타,기타,기타
마대,23,기타,기타,기타
대한,23,기타,기타,기타
샐러드,23,기타,기타,기타
눈금,23,기타,기타,기타
영구,23,기타,기타,기타
지명,23,기타,기타,기타
공동,23,기타,기타,기타
개폐,23,기타,기타,기타
거리,23,기타,기타,기타
단체,23,기타,기타,기타
도넛,23,기타,기타,기타
구부,23,기타,기타,기타
자장,23,기타,기타,기타
프레임,23,기타,기타,기타
삼각대,23,기타,기타,기타
전복,23,기타,기타,기타
염기서열,23,기타,기타,기타
수영,23,기타,기타,기타
컨베이어,23,기타,기타,기타
희다,23,기타,기타,기타
절약,23,기타,기타,기타
예측,22,기타,기타,기타
유기,22,기타,기타,기타
군책,22,기타,기타,기타
하우스,22,기타,기타,기타
간격,22,기타,기타,기타
시추,22,기타,기타,기타
흡인,22,기타,기타,기타
지붕,22,기타,기타,기타
경비정,22,기타,기타,기타
함유,22,기타,기타,기타
국수,22,기타,기타,기타
개정,22,기타,기타,기타
함수,22,기타,기타,기타
배관,22,건설·시설,자재/철물,자재/철물
사자,22,기타,기타,기타
갈래,22,기타,기타,기타
항만,22,기타,기타,기타
주물,22,기타,기타,기타
오븐,22,급식·식품,주방기기,주방/급식장비
시리얼,22,기타,기타,기타
확대,22,기타,기타,기타
패킹등,22,기타,기타,기타
과채,22,기타,기타,기타
중소,22,기타,기타,기타
개수,22,기타,기타,기타
마스터,22,기타,기타,기타
여객,22,기타,기타,기타
포장재,22,기타,기타,기타
김포,22,기타,기타,기타
유조,22,기타,기타,기타
원통,22,기타,기타,기타
진압,22,기타,기타,기타
광케이블,22,IT·통신,PC/주변기기,PC/노트북
현재,22,기타,기타,기타
두건,22,기타,기타,기타
서북,22,기타,기타,기타
특근,22,기타,기타,기타
사병,22,기타,기타,기타
식별,22,기타,기타,기타
파레트,22,기타,기타,기타
분무기,22,의료·의약·위생,방역/위생,방역/소독
오렌지,22,기타,기타,기타
축구,22,기타,기타,기타
나비,22,기타,기타,기타
장력,21,기타,기타,기타
방법,21,기타,기타,기타
주야,21,기타,기타,기타
은행,21,기타,기타,기타
간성,21,기타,기타,기타
호국,21,기타,기타,기타
파다,21,기타,기타,기타
침투,21,기타,기타,기타
표면,21,기타,기타,기타
제품,21,기타,기타,기타
전자제품,21,기타,기타,기타
복합기,21,IT·통신,PC/주변기기,PC/노트북
청진기,21,기타,기타,기타
수술대,21,기타,기타,기타
안면,21,기타,기타,기타
금속탐지기,21,기타,기타,기타
카본,21,기타,기타,기타
자석,21,기타,기타,기타
외피,21,기타,기타,기타
냉온,21,기타,기타,기타
산정,21,기타,기타,기타
가제,21,기타,기타,기타
평판,21,기타,기타,기타
작동기,21,기타,기타,기타
기다,21,기타,기타,기타
점화,21,기타,기타,기타
주머니,21,기타,기타,기타
형광등,21,전력·전기전자,조명/전선,LED/전선
리튬,21,기타,기타,기타
무용,21,기타,기타,기타
비빔냉면,21,기타,기타,기타
유수,21,기타,기타,기타
수평,21,기타,기타,기타
한마음,21,기타,기타,기타
연결봉,21,기타,기타,기타
세면장,21,기타,기타,기타
카키색,21,기타,기타,기타
신발장,21,기타,기타,기타
분광,21,기타,기타,기타
동복,21,기타,기타,기타
윈치,21,기타,기타,기타
게이,21,기타,기타,기타
중요,21,기타,기타,기타
주류,21,기타,기타,기타
초도,21,기타,기타,기타
딩기,21,기타,기타,기타
토성,21,기타,기타,기타
기간,21,기타,기타,기타
유니버설,21,기타,기타,기타
부싱등,21,기타,기타,기타
도금,21,기타,기타,기타
볼펜,21,피복·생활·사무,사무/문서,문구/사무기기
버섯,21,기타,기타,기타
지속,21,기타,기타,기타
간행물,21,기타,기타,기타
전력계,21,기타,기타,기타
냉장,21,기타,기타,기타
볶음,21,기타,기타,기타
진행,21,기타,기타,기타
피해,21,기타,기타,기타
교범,21,기타,기타,기타
전통,21,기타,기타,기타
손목시계,21,기타,기타,기타
황동,20,기타,기타,기타
수레,20,기타,기타,기타
산업혁명,20,기타,기타,기타
사포,20,기타,기타,기타
혈압,20,기타,기타,기타
중심,20,기타,기타,기타
연기,20,기타,기타,기타
육류,20,기타,기타,기타
전지원,20,기타,기타,기타
경고,20,기타,기타,기타
무청,20,기타,기타,기타
명분,20,기타,기타,기타
포트,20,기타,기타,기타
폭탄,20,기타,기타,기타
사과,20,기타,기타,기타
니켈,20,기타,기타,기타
방청,20,기타,기타,기타
새다,20,기타,기타,기타
마봉강,20,기타,기타,기타
연마,20,기타,기타,기타
대등,20,기타,기타,기타
힌지,20,기타,기타,기타
교관,20,기타,기타,기타
진기,20,기타,기타,기타
재목,20,기타,기타,기타
공장,20,기타,기타,기타
매입,20,기타,기타,기타
탄창,20,기타,기타,기타
어제,20,기타,기타,기타
우수,20,기타,기타,기타
자이로스코프,20,기타,기타,기타
유압용,20,기타,기타,기타
세균,20,기타,기타,기타
퇴치,20,기타,기타,기타
사지,20,기타,기타,기타
삽입,20,기타,기타,기타
주방,20,급식·식품,주방기기,주방/급식장비
수준,20,기타,기타,기타
업자,20,기타,기타,기타
프리,20,기타,기타,기타
강도,20,기타,기타,기타
사고,20,기타,기타,기타
격발,20,기타,기타,기타
현대,20,기타,기타,기타
에나멜,20,기타,기타,기타
포류,20,기타,기타,기타
격통,20,기타,기타,기타
귀마개,20,기타,기타,기타
튀기다,20,기타,기타,기타
방위산업,20,기타,기타,기타
방어,20,기타,기타,기타
외국,20,기타,기타,기타
어셈블리,20,기타,기타,기타
수상하다,20,기타,기타,기타
프라이머,20,기타,기타,기타
안정,20,기타,기타,기타
마취,20,기타,기타,기타
친환경,20,기타,기타,기타
투광,20,기타,기타,기타
간섭,20,기타,기타,기타
전남,20,기타,기타,기타
복용,19,기타,기타,기타
우측,19,기타,기타,기타
기동대,19,기타,기타,기타
비석,19,기타,기타,기타
검진,19,기타,기타,기타
정물,19,기타,기타,기타
비누,19,기타,기타,기타
순회,19,기타,기타,기타
일용,19,기타,기타,기타
홀더,19,기타,기타,기타
라스트,19,기타,기타,기타
오리,19,기타,기타,기타
페이,19,기타,기타,기타
리벳,19,기타,기타,기타
함평,19,기타,기타,기타
의학,19,기타,기타,기타
생기,19,기타,기타,기타
내화,19,기타,기타,기타
가전제품,19,기타,기타,기타
학과,19,기타,기타,기타
제한,19,기타,기타,기타
조향기,19,기타,기타,기타
스킷,19,기타,기타,기타
기록관리,19,기타,기타,기타
미소,19,기타,기타,기타
항전,19,기타,기타,기타
요소,19,기타,기타,기타
기정,19,기타,기타,기타
쿠션,19,기타,기타,기타
하이힐,19,기타,기타,기타
엘리베이터,19,기타,기타,기타
누르다,19,기타,기타,기타
개인화기,19,기타,기타,기타
조류,19,기타,기타,기타
그레이,19,기타,기타,기타
온라인,19,기타,기타,기타
신설,19,기타,기타,기타
안티,19,기타,기타,기타
국문,19,기타,기타,기타
숙성,19,기타,기타,기타
발광,19,기타,기타,기타
오이소박이,19,기타,기타,기타
백업,19,IT·통신,서버/스토리지,서버
엑스,19,기타,기타,기타
중거리,19,기타,기타,기타
채소,19,기타,기타,기타
위성영상,19,IT·통신,무선/통신장비,무전기/위성
자켓,19,기타,기타,기타
밀링머신,19,기타,기타,기타
휠용,19,기타,기타,기타
가온,19,기타,기타,기타
고공,19,기타,기타,기타
장화,19,기타,기타,기타
토핑,19,기타,기타,기타
빙과,19,기타,기타,기타
샌드위치,19,기타,기타,기타
욕조,19,기타,기타,기타
전류,19,기타,기타,기타
막대,19,기타,기타,기타
시행,19,기타,기타,기타
곤색,19,기타,기타,기타
공포,19,기타,기타,기타
무선망,19,IT·통신,무선/통신장비,무전기/위성
탑승,19,기타,기타,기타
브라켓,19,기타,기타,기타
전진기,19,기타,기타,기타
코드,19,기타,기타,기타
역삼투,19,기타,기타,기타
통한,19,기타,기타,기타
손상,19,기타,기타,기타
무관,19,기타,기타,기타
방열,18,공구·설비,안전/소방,소방/안전장비
운동화,18,기타,기타,기타
구등,18,기타,기타,기타
통화,18,기타,기타,기타
음파,18,기타,기타,기타
감정평가,18,기타,기타,기타
표창장,18,기타,기타,기타
부탄,18,화학·소재,가스/특수가스,산업가스
청주,18,기타,기타,기타
다이얼,18,기타,기타,기타
포경,18,기타,기타,기타
창조,18,기타,기타,기타
생물,18,기타,기타,기타
흡착,18,기타,기타,기타
세척제,18,기타,기타,기타
수산화,18,기타,기타,기타
보우,18,기타,기타,기타
치장,18,기타,기타,기타
프린트,18,기타,기타,기타
스티,18,기타,기타,기타
도화,18,기타,기타,기타
콘덴서,18,전력·전기전자,전자부품,센서/모듈
무공훈장,18,기타,기타,기타
제로,18,기타,기타,기타
순대,18,기타,기타,기타
주석,18,기타,기타,기타
청국장,18,기타,기타,기타
변화,18,기타,기타,기타
구명구,18,기타,기타,기타
빌다,18,기타,기타,기타
연합,18,기타,기타,기타
석용,18,기타,기타,기타
의장대,18,기타,기타,기타
가능성,18,기타,기타,기타
진찰,18,기타,기타,기타
프로,18,기타,기타,기타
증축,18,기타,기타,기타
물다,18,기타,기타,기타
구동,18,기타,기타,기타
황산,18,기타,기타,기타
여성,18,기타,기타,기타
계단,18,기타,기타,기타
응축,18,기타,기타,기타
작용,18,기타,기타,기타
냉매,18,화학·소재,가스/특수가스,산업가스
대기오염,18,기타,기타,기타
타월,18,기타,기타,기타
방사성,18,기타,기타,기타
축압기,18,기타,기타,기타
연평,18,기타,기타,기타
매실,18,기타,기타,기타
배양기,18,기타,기타,기타
철선,18,기타,기타,기타
셋트,18,기타,기타,기타
메인,18,기타,기타,기타
보기,18,기타,기타,기타
지혈,18,기타,기타,기타
첨단,18,기타,기타,기타
주사,18,의료·의약·위생,의료소모/장비,의료장비/키트
탄력,18,기타,기타,기타
직류,18,기타,기타,기타
발기,18,기타,기타,기타
학사,18,기타,기타,기타
교구,18,기타,기타,기타
규격,18,기타,기타,기타
감독,18,기타,기타,기타
이비인후과,18,기타,기타,기타
참깨,18,기타,기타,기타
유가족,18,기타,기타,기타
클립,18,기타,기타,기타
압력계,18,공구·설비,측정/시험,계측기
유성,18,기타,기타,기타
분류,18,기타,기타,기타
스테레오,18,기타,기타,기타
시험대,18,기타,기타,기타
따르다,18,기타,기타,기타
사수,18,기타,기타,기타
제청,18,기타,기타,기타
무릎,18,기타,기타,기타
이중,18,기타,기타,기타
출입문,18,기타,기타,기타
여행,18,기타,기타,기타
구축함,18,기타,기타,기타
팔꿈치,18,기타,기타,기타
정기용,18,기타,기타,기타
시찰,18,기타,기타,기타
인원,18,기타,기타,기타
광주,18,기타,기타,기타
저항,18,전력·전기전자,전자부품,센서/모듈
조물,18,기타,기타,기타
켓류,18,기타,기타,기타
클라우드,18,기타,기타,기타
군사시설,18,기타,기타,기타
교육장,18,기타,기타,기타
지퍼,17,기타,기타,기타
파이,17,기타,기타,기타
전신,17,기타,기타,기타
한글화,17,기타,기타,기타
학군단,17,기타,기타,기타
타당성,17,기타,기타,기타
간이,17,기타,기타,기타
활성탄,17,기타,기타,기타
멜빵,17,급식·식품,가공/식자재,식자재
영화,17,기타,기타,기타
군직정,17,기타,기타,기타
비빔밥,17,기타,기타,기타
추기,17,기타,기타,기타
즉각,17,기타,기타,기타
고급,17,기타,기타,기타
동시,17,기타,기타,기타
릴리,17,기타,기타,기타
일링,17,기타,기타,기타
플런저,17,기타,기타,기타
경상,17,기타,기타,기타
안과,17,기타,기타,기타
시력,17,기타,기타,기타
프로젝트,17,기타,기타,기타
요구르트,17,기타,기타,기타
원추,17,기타,기타,기타
생화학,17,기타,기타,기타
손원일,17,기타,기타,기타
포털,17,기타,기타,기타
철사,17,기타,기타,기타
마루,17,기타,기타,기타
대류,17,기타,기타,기타
체외,17,기타,기타,기타
비타민,17,기타,기타,기타
선등,17,기타,기타,기타
잠바,17,기타,기타,기타
닦다,17,기타,기타,기타
통신망,17,IT·통신,무선/통신장비,무전기/위성
윤형,17,기타,기타,기타
하운,17,기타,기타,기타
신체,17,기타,기타,기타
소규모,17,기타,기타,기타
품질,17,기타,기타,기타
상장,17,기타,기타,기타
진술,17,기타,기타,기타
도청,17,기타,기타,기타
가위,17,기타,기타,기타
프로판,17,화학·소재,가스/특수가스,산업가스
컨버터,17,전력·전기전자,발전/저장,발전기/배터리
글레이,17,기타,기타,기타
제동기,17,기타,기타,기타
동부,17,기타,기타,기타
건립,17,기타,기타,기타
촬영기,17,기타,기타,기타
산출,17,기타,기타,기타
계측장비,17,기타,기타,기타
그리다,17,기타,기타,기타
삼일절,17,기타,기타,기타
물냉면,17,기타,기타,기타
폭약,17,기타,기타,기타
스텐,17,기타,기타,기타
펀치,17,기타,기타,기타
거제,17,기타,기타,기타
경요,17,기타,기타,기타
압박,17,기타,기타,기타
접합,17,기타,기타,기타
데스크톱,17,IT·통신,PC/주변기기,PC/노트북
인양기,17,기타,기타,기타
강선,17,기타,기타,기타
대상,17,기타,기타,기타
병상,17,기타,기타,기타
증언,17,기타,기타,기타
세제,17,피복·생활·사무,청소/환경,청소/위생
시체,17,기타,기타,기타
필수,17,기타,기타,기타
방폭,17,기타,기타,기타
입구,17,기타,기타,기타
상층,17,기타,기타,기타
식초,17,기타,기타,기타
카바,17,기타,기타,기타
떡국,17,기타,기타,기타
인화점,17,기타,기타,기타
안내,17,기타,기타,기타
컨벤션,17,기타,기타,기타
휀스,17,건설·시설,안전/현장,현장안전/표지
신정,17,기타,기타,기타
열선,17,기타,기타,기타
중장비,17,기타,기타,기타
물통,17,기타,기타,기타
간판,17,기타,기타,기타
비파괴검사,17,기타,기타,기타
오스,16,기타,기타,기타
캐패시터,16,기타,기타,기타
대비,16,기타,기타,기타
순간접착제,16,화학·소재,도료/접착/고분자,도료/접착
기갑,16,기타,기타,기타
수원,16,기타,기타,기타
워크숍,16,기타,기타,기타
침해,16,기타,기타,기타
세라믹,16,기타,기타,기타
접근,16,기타,기타,기타
주름,16,기타,기타,기타
육각형,16,기타,기타,기타
거울,16,기타,기타,기타
스피커,16,기타,기타,기타
인화지,16,기타,기타,기타
팽창,16,기타,기타,기타
박물관,16,기타,기타,기타
인버터,16,전력·전기전자,발전/저장,발전기/배터리
정비공,16,차량·기동,차량/정비,차량부품/소모품
우프,16,기타,기타,기타
버클,16,기타,기타,기타
안전모,16,공구·설비,안전/소방,소방/안전장비
마일,16,기타,기타,기타
협조,16,기타,기타,기타
보고,16,기타,기타,기타
고무밴드,16,화학·소재,도료/접착/고분자,도료/접착
은마,16,기타,기타,기타
바스,16,기타,기타,기타
아이,16,기타,기타,기타
출입,16,기타,기타,기타
수위,16,기타,기타,기타
포탑,16,기타,기타,기타
교도소,16,기타,기타,기타
울산,16,기타,기타,기타
소켓렌치,16,공구·설비,일반공구,수공구/전동공구
적다,16,기타,기타,기타
인식표,16,기타,기타,기타
가스총,16,화학·소재,가스/특수가스,산업가스
알미늄,16,기타,기타,기타
탄도,16,기타,기타,기타
윈드,16,기타,기타,기타
어깨,16,기타,기타,기타
부유,16,기타,기타,기타
혈구,16,기타,기타,기타
공군교육사령부,16,기타,기타,기타
인서트팁등,16,기타,기타,기타
사관,16,기타,기타,기타
임용,16,기타,기타,기타
참모총장,16,기타,기타,기타
샤워,16,기타,기타,기타
소파,16,기타,기타,기타
군종,16,기타,기타,기타
마요네즈,16,기타,기타,기타
피콜로,16,기타,기타,기타
폐쇄망,16,기타,기타,기타
까스,16,기타,기타,기타
강설,16,기타,기타,기타
스테이,16,기타,기타,기타
좌측,16,기타,기타,기타
부동액,16,차량·기동,차량/정비,차량부품/소모품
목티,16,기타,기타,기타
테스트,16,기타,기타,기타
환의,16,기타,기타,기타
조경,16,기타,기타,기타
레이크,16,기타,기타,기타
깻잎,16,기타,기타,기타
보병,16,기타,기타,기타
원격검침,16,기타,기타,기타
코어,16,기타,기타,기타
객실,16,기타,기타,기타
플러스,16,기타,기타,기타
중합,16,기타,기타,기타
성탄절,16,기타,기타,기타
휴대폰,16,기타,기타,기타
결핵,16,기타,기타,기타
황태,16,기타,기타,기타
진급,16,기타,기타,기타
스토리,16,기타,기타,기타
탁구,16,기타,기타,기타
냉면,16,기타,기타,기타
스모크,16,기타,기타,기타
봉제,16,기타,기타,기타
레이져,16,기타,기타,기타
소변,16,기타,기타,기타
플렌,16,기타,기타,기타
관절,16,기타,기타,기타
정류기,16,전력·전기전자,발전/저장,발전기/배터리
소나,16,기타,기타,기타
베다,16,기타,기타,기타
보도,16,기타,기타,기타
과고,16,기타,기타,기타
삼정,16,기타,기타,기타
고용,16,기타,기타,기타
대차,16,급식·식품,가공/식자재,식자재
무균,16,기타,기타,기타
단일,16,기타,기타,기타
특전,16,기타,기타,기타
폭띠,16,기타,기타,기타
강의,16,기타,기타,기타
무치다,16,기타,기타,기타
신속,16,기타,기타,기타
계수,16,기타,기타,기타
오이,16,기타,기타,기타
자물쇠,15,기타,기타,기타
제창,15,기타,기타,기타
심폐소생술,15,기타,기타,기타
메다,15,기타,기타,기타
모뎀,15,IT·통신,무선/통신장비,무전기/위성
비행장,15,기타,기타,기타
증거,15,기타,기타,기타
정단,15,기타,기타,기타
교육사,15,기타,기타,기타
유럽,15,기타,기타,기타
미술대전,15,기타,기타,기타
십자,15,기타,기타,기타
추공,15,기타,기타,기타
적색,15,기타,기타,기타
다리,15,기타,기타,기타
스턴,15,기타,기타,기타
일드,15,기타,기타,기타
접점,15,기타,기타,기타
격자,15,기타,기타,기타
조난,15,기타,기타,기타
운항,15,기타,기타,기타
미니,15,기타,기타,기타
요거트,15,기타,기타,기타
격리,15,기타,기타,기타
재다,15,기타,기타,기타
집기,15,기타,기타,기타
응용,15,기타,기타,기타
드라이,15,기타,기타,기타
랜턴,15,기타,기타,기타
연어,15,기타,기타,기타
한미,15,기타,기타,기타
스키,15,기타,기타,기타
윤곽,15,기타,기타,기타
원주,15,기타,기타,기타
유선,15,기타,기타,기타
서초,15,기타,기타,기타
엔진오일,15,차량·기동,차량/정비,차량부품/소모품
전식,15,기타,기타,기타
수지,15,화학·소재,도료/접착/고분자,도료/접착
수면,15,기타,기타,기타
구간,15,기타,기타,기타
축용,15,기타,기타,기타
테프,15,기타,기타,기타
결박,15,기타,기타,기타
스낵,15,기타,기타,기타
제논,15,기타,기타,기타
컨텐츠,15,기타,기타,기타
자판,15,기타,기타,기타
지방,15,기타,기타,기타
슈퍼,15,기타,기타,기타
자극,15,기타,기타,기타
부양,15,기타,기타,기타
용붓등,15,기타,기타,기타
호기,15,기타,기타,기타
브러시,15,기타,기타,기타
용수,15,기타,기타,기타
양기,15,기타,기타,기타
기공,15,기타,기타,기타
마찰,15,기타,기타,기타
헬륨,15,화학·소재,가스/특수가스,산업가스
가입,15,기타,기타,기타
칸막이,15,기타,기타,기타
의식,15,기타,기타,기타
발광다이오드,15,전력·전기전자,전자부품,센서/모듈
피클,15,기타,기타,기타
지도,15,특수장비,측지/지리공간,GPS/측량
솔류,15,피복·생활·사무,청소/환경,청소/위생
준용,15,기타,기타,기타
비교,15,기타,기타,기타
이송정,15,기타,기타,기타
계수기,15,기타,기타,기타
좋다,15,기타,기타,기타
핵심,15,기타,기타,기타
형기,15,기타,기타,기타
공압기,15,기타,기타,기타
밋션,15,기타,기타,기타
파인애플,15,기타,기타,기타
복무,15,기타,기타,기타
콤비,15,기타,기타,기타
유지비,15,기타,기타,기타
사실,15,기타,기타,기타
화류,15,기타,기타,기타
안전벨트,15,공구·설비,안전/소방,소방/안전장비
영상편집,15,기타,기타,기타
시공,15,기타,기타,기타
비트,15,공구·설비,일반공구,수공구/전동공구
이미지,15,기타,기타,기타
지식,15,기타,기타,기타
교역,15,기타,기타,기타
절충,15,기타,기타,기타
연습장,15,기타,기타,기타
반응,15,기타,기타,기타
사출,15,기타,기타,기타
경미하다,15,기타,기타,기타
계용,15,기타,기타,기타
모래주머니,15,건설·시설,자재/철물,자재/철물
고객,15,기타,기타,기타
기도,15,기타,기타,기타
기숙사,15,기타,기타,기타
승압,14,기타,기타,기타
하반기,14,기타,기타,기타
일동,14,기타,기타,기타
미스트랄,14,기타,기타,기타
감항,14,기타,기타,기타
스테인리스,14,기타,기타,기타
흑산도,14,기타,기타,기타
신기,14,기타,기타,기타
시멘트,14,건설·시설,자재/철물,자재/철물
침전,14,기타,기타,기타
기부,14,기타,기타,기타
구형,14,기타,기타,기타
정식,14,기타,기타,기타
계취,14,기타,기타,기타
경호,14,기타,기타,기타
시간,14,기타,기타,기타
정구,14,기타,기타,기타
조명등,14,전력·전기전자,조명/전선,LED/전선
대검,14,기타,기타,기타
연막탄,14,기타,기타,기타
신병교육대,14,기타,기타,기타
내외,14,기타,기타,기타
팝콘,14,건설·시설,안전/현장,현장안전/표지
충북,14,기타,기타,기타
해머,14,기타,기타,기타
하이,14,기타,기타,기타
동운,14,기타,기타,기타
라면,14,급식·식품,가공/식자재,식자재
가드,14,기타,기타,기타
만능,14,기타,기타,기타
나일론,14,기타,기타,기타
마이크로,14,기타,기타,기타
기자,14,기타,기타,기타
욕기,14,기타,기타,기타
유통,14,기타,기타,기타
고단,14,기타,기타,기타
체인톱,14,공구·설비,일반공구,수공구/전동공구
범퍼,14,기타,기타,기타
용무,14,기타,기타,기타
화강석,14,기타,기타,기타
측량,14,특수장비,측지/지리공간,GPS/측량
페어,14,기타,기타,기타
부트,14,기타,기타,기타
전투조끼,14,기타,기타,기타
몸체,14,기타,기타,기타
데스크,14,기타,기타,기타
초코렛,14,기타,기타,기타
먼지,14,기타,기타,기타
마을,14,기타,기타,기타
기분,14,기타,기타,기타
양면,14,기타,기타,기타
아마추어,14,기타,기타,기타
속정,14,기타,기타,기타
무반동총,14,기타,기타,기타
맞춤,14,기타,기타,기타
유리창,14,기타,기타,기타
스크루,14,기타,기타,기타
챔버,14,기타,기타,기타
침낭,14,피복·생활·사무,피복/보급,군장/피복
포용,14,기타,기타,기타
걸레,14,피복·생활·사무,청소/환경,청소/위생
폐지,14,기타,기타,기타
에이,14,기타,기타,기타
방충,14,기타,기타,기타
제설,14,기타,기타,기타
메추리,14,기타,기타,기타
키위,14,기타,기타,기타
스팀,14,기타,기타,기타
유제품,14,기타,기타,기타
대청도,14,기타,기타,기타
연천,14,기타,기타,기타
선저,14,기타,기타,기타
정리,14,기타,기타,기타
처치,14,기타,기타,기타
진로,14,기타,기타,기타
유두,14,기타,기타,기타
정비사,14,차량·기동,차량/정비,차량부품/소모품
담요,14,피복·생활·사무,피복/보급,군장/피복
표창,14,기타,기타,기타
외진,14,기타,기타,기타
야자,14,기타,기타,기타
보체,14,기타,기타,기타
원함,14,기타,기타,기타
외자식,14,기타,기타,기타
정모,14,기타,기타,기타
착륙,14,기타,기타,기타
구내,14,기타,기타,기타
종합정보시스템,14,기타,기타,기타
인정,14,기타,기타,기타
제외,14,기타,기타,기타
포스트잇,14,피복·생활·사무,사무/문서,문구/사무기기
수신,14,기타,기타,기타
재활용,14,기타,기타,기타
김자,14,기타,기타,기타
폴리,14,기타,기타,기타
로더,14,기타,기타,기타
선용,14,기타,기타,기타
실드,14,기타,기타,기타
링류,14,기타,기타,기타
웨이,14,기타,기타,기타
절임,14,기타,기타,기타
과학기술,14,기타,기타,기타
연금,14,기타,기타,기타
방패,14,기타,기타,기타
가격,14,기타,기타,기타
갈등,14,기타,기타,기타
세다,14,기타,기타,기타
축산,14,기타,기타,기타
소갈비,14,기타,기타,기타
피자,14,기타,기타,기타
유압유,14,기타,기타,기타
특대,14,기타,기타,기타
술용,14,기타,기타,기타
강용,14,기타,기타,기타
악성코드,14,기타,기타,기타
가요,14,기타,기타,기타
책자,14,기타,기타,기타
격납고,14,기타,기타,기타
옥수수,14,기타,기타,기타
태양광,14,전력·전기전자,발전/저장,발전기/배터리
레진,14,기타,기타,기타
수료,14,기타,기타,기타
탄통,14,기타,기타,기타
스햄,13,기타,기타,기타
감사,13,기타,기타,기타
유공,13,기타,기타,기타
족발,13,기타,기타,기타
황실,13,기타,기타,기타
내장,13,기타,기타,기타
수동,13,기타,기타,기타
잔디,13,기타,기타,기타
패킹류,13,기타,기타,기타
내용,13,기타,기타,기타
구함,13,기타,기타,기타
함안,13,기타,기타,기타
걸쇠,13,기타,기타,기타
한식,13,기타,기타,기타
저온,13,기타,기타,기타
삽관기,13,기타,기타,기타
파우더,13,기타,기타,기타
부사관,13,기타,기타,기타
수통,13,기타,기타,기타
임목,13,기타,기타,기타
오토,13,기타,기타,기타
관통,13,기타,기타,기타
현상,13,기타,기타,기타
블랙박스,13,기타,기타,기타
부두,13,기타,기타,기타
이불,13,기타,기타,기타
기법,13,기타,기타,기타
모포,13,기타,기타,기타
구서,13,기타,기타,기타
소면,13,기타,기타,기타
반합,13,기타,기타,기타
보스,13,기타,기타,기타
삼계탕,13,기타,기타,기타
텔레비전,13,기타,기타,기타
국민,13,기타,기타,기타
녹음,13,기타,기타,기타
갈비,13,기타,기타,기타
처리장치,13,기타,기타,기타
속도계,13,기타,기타,기타
밥솥,13,기타,기타,기타
채다,13,기타,기타,기타
접속기,13,기타,기타,기타
마크,13,기타,기타,기타
쉘타,13,기타,기타,기타
척추,13,기타,기타,기타
마이크,13,기타,기타,기타
권선,13,기타,기타,기타
합참,13,기타,기타,기타
멈치,13,기타,기타,기타
호로,13,기타,기타,기타
비궁,13,기타,기타,기타
스페이,13,기타,기타,기타
용다,13,기타,기타,기타
교육과정,13,기타,기타,기타
철도,13,기타,기타,기타
조건,13,기타,기타,기타
떡류,13,기타,기타,기타
판석,13,기타,기타,기타
가변,13,기타,기타,기타
관성,13,기타,기타,기타
중소기업,13,기타,기타,기타
사거리,13,기타,기타,기타
주유,13,기타,기타,기타
연쇄반응,13,기타,기타,기타
미러,13,기타,기타,기타
의료기기,13,의료·의약·위생,의료소모/장비,의료장비/키트
편성,13,기타,기타,기타
표지판,13,건설·시설,안전/현장,현장안전/표지
생물학무기,13,기타,기타,기타
인명구조,13,공구·설비,안전/소방,소방/안전장비
리터,13,기타,기타,기타
상용구,13,기타,기타,기타
대공포,13,기타,기타,기타
전면,13,기타,기타,기타
비엔나,13,기타,기타,기타
타이어체인,13,차량·기동,차량/정비,차량부품/소모품
재질,13,기타,기타,기타
조종간,13,기타,기타,기타
기아,13,기타,기타,기타
연조직,13,기타,기타,기타
중압,13,기타,기타,기타
기보,13,기타,기타,기타
목발,13,기타,기타,기타
모으다,13,기타,기타,기타
약재료,13,기타,기타,기타
이러닝,13,기타,기타,기타
크로마토그래피,13,기타,기타,기타
발판,13,기타,기타,기타
사막,13,기타,기타,기타
샤후트류,13,기타,기타,기타
자선,13,기타,기타,기타
사탄,13,기타,기타,기타
욕지도,13,특수장비,측지/지리공간,GPS/측량
폭발,13,기타,기타,기타
임피던스,13,기타,기타,기타
결정,13,기타,기타,기타
발송,13,기타,기타,기타
출타,13,기타,기타,기타
특별,13,기타,기타,기타
양념장,13,기타,기타,기타
휘발유,13,차량·기동,연료/윤활,연료/윤활유
라이센스,13,기타,기타,기타
비다,13,기타,기타,기타
정훈,13,기타,기타,기타
스포츠,13,기타,기타,기타
토시,13,기타,기타,기타
회의실,13,기타,기타,기타
잔류,13,기타,기타,기타
슬라이드,13,기타,기타,기타
누설,13,공구·설비,측정/시험,계측기
티비,13,기타,기타,기타
실전,13,기타,기타,기타
옥외,13,기타,기타,기타
결함,13,기타,기타,기타
투명,13,기타,기타,기타
연구소,13,기타,기타,기타
땅콩,13,기타,기타,기타
지다,13,기타,기타,기타
오버,13,기타,기타,기타
노고,13,기타,기타,기타
침해사고,13,기타,기타,기타
사랑,13,기타,기타,기타
위험,13,기타,기타,기타
분할,13,기타,기타,기타
컵밥,13,기타,기타,기타
통로,13,기타,기타,기타
멸치,13,기타,기타,기타
앞치마,13,기타,기타,기타
슬러지,13,기타,기타,기타
스탠드,13,기타,기타,기타
