word,freq,대분류,중분류,소분류
밀리,226,기타,기타,기타
통제,223,기타,기타,기타
시뮬레이터,223,기타,기타,기타
방지,222,기타,기타,기타
아파트,221,기타,기타,기타
육성,220,기타,기타,기타
파이프,218,건설·시설,자재/철물,자재/철물
헬기,217,기타,기타,기타
크레인,215,기타,기타,기타
유류,214,차량·기동,연료/윤활,연료/윤활유
환경,214,기타,기타,기타
식기세척기,214,급식·식품,주방기기,주방/급식장비
보일러,213,건설·시설,장비/장치,공조/전열/펌프
회관,213,기타,기타,기타
스프링,213,기타,기타,기타
청소,211,피복·생활·사무,청소/환경,청소/위생
품류,210,기타,기타,기타
후반기,209,기타,기타,기타
개스킷,208,기타,기타,기타
기재,207,기타,기타,기타
토너,206,IT·통신,PC/주변기기,PC/노트북
음료,204,급식·식품,가공/식자재,식자재
드론,204,특수장비,드론/로봇,드론/로봇
김치,203,급식·식품,가공/식자재,식자재
투도,202,기타,기타,기타
병영,202,기타,기타,기타
탐지,201,기타,기타,기타
학교,200,기타,기타,기타
방송,198,기타,기타,기타
포장,197,기타,기타,기타
기반,196,기타,기타,기타
탱크,196,기타,기타,기타
기어,195,기타,기타,기타
회전,194,기타,기타,기타
해상,194,기타,기타,기타
표적,194,기타,기타,기타
음식,194,기타,기타,기타
무전기,193,IT·통신,무선/통신장비,무전기/위성
세척,192,기타,기타,기타
연간,192,기타,기타,기타
안테나,192,IT·통신,무선/통신장비,무전기/위성
화물,190,기타,기타,기타
제어장치,189,기타,기타,기타
배터리,188,차량·기동,차량/정비,차량부품/소모품
증식,187,기타,기타,기타
사단,186,기타,기타,기타
발효,186,기타,기타,기타
보관,186,기타,기타,기타
탐지기,183,기타,기타,기타
점검,183,기타,기타,기타
압축기,183,건설·시설,장비/장치,공조/전열/펌프
투자,182,기타,기타,기타
유압,180,기타,기타,기타
변환기,179,건설·시설,장비/장치,공조/전열/펌프
모의,179,기타,기타,기타
압력,179,기타,기타,기타
야전,179,기타,기타,기타
센터,178,기타,기타,기타
차용,178,기타,기타,기타
선박,178,기타,기타,기타
치과,178,기타,기타,기타
단정,178,기타,기타,기타
소스,177,기타,기타,기타
테러,175,기타,기타,기타
생활관,175,기타,기타,기타
조립,175,기타,기타,기타
자료,175,기타,기타,기타
치료,174,기타,기타,기타
전시,174,기타,기타,기타
도장,174,기타,기타,기타
휴대,170,기타,기타,기타
볼트,170,건설·시설,자재/철물,자재/철물
윤활유,169,차량·기동,연료/윤활,연료/윤활유
가설,169,건설·시설,안전/현장,현장안전/표지
사이버,169,기타,기타,기타
원단,169,기타,기타,기타
컨테이너,168,IT·통신,서버/스토리지,서버
정밀,168,기타,기타,기타
화공,168,기타,기타,기타
아이스크림,168,기타,기타,기타
피스톤,167,기타,기타,기타
장병,166,기타,기타,기타
카메라,166,IT·통신,CCTV/보안,영상감시
해병대,166,기타,기타,기타
배추김치,165,급식·식품,가공/식자재,식자재
확인,165,기타,기타,기타
무인,164,기타,기타,기타
방향,163,기타,기타,기타
표준,161,기타,기타,기타
중형,161,기타,기타,기타
공기청정기,158,기타,기타,기타
강원,158,기타,기타,기타
굴착기,157,기타,기타,기타
진단,157,기타,기타,기타
이전,157,기타,기타,기타
관제,157,IT·통신,CCTV/보안,영상감시
종합,157,기타,기타,기타
보조,156,기타,기타,기타
오리콘,155,건설·시설,안전/현장,현장안전/표지
금융리스,155,기타,기타,기타
소요,154,기타,기타,기타
공급,154,기타,기타,기타
수도,154,기타,기타,기타
이동형,153,기타,기타,기타
목재,153,기타,기타,기타
추진,153,기타,기타,기타
페인트,153,건설·시설,자재/철물,자재/철물
교량,152,기타,기타,기타
에어컨,152,건설·시설,장비/장치,공조/전열/펌프
축전,151,기타,기타,기타
정기,150,기타,기타,기타
충전,148,기타,기타,기타
분야,148,기타,기타,기타
환자,147,의료·의약·위생,의료소모/장비,의료장비/키트
반기,146,기타,기타,기타
유닛,146,기타,기타,기타
자동화,146,기타,기타,기타
광학,145,기타,기타,기타
연결,145,기타,기타,기타
냉장고,145,급식·식품,주방기기,주방/급식장비
이동식,144,기타,기타,기타
파병,144,기타,기타,기타
니트,144,기타,기타,기타
비행,144,기타,기타,기타
너트,143,건설·시설,자재/철물,자재/철물
유체,143,기타,기타,기타
계열,143,기타,기타,기타
버스,141,차량·기동,차량/정비,차량부품/소모품
전용,141,기타,기타,기타
시일,140,기타,기타,기타
고압,140,기타,기타,기타
콘크리트,140,건설·시설,자재/철물,자재/철물
절기,138,기타,기타,기타
시기,138,기타,기타,기타
안보,138,기타,기타,기타
대행,138,기타,기타,기타
관사,138,기타,기타,기타
지게차,138,차량·기동,차량/정비,차량부품/소모품
모델,138,기타,기타,기타
