공고구분,공고번호,공고차수,판단번호,항목번호,입찰명,요구년도,발주기관코드,발주기관,계약방법,입찰방법,낙찰자결정방법,개찰일시,개찰일자,입찰결과
재공고,ER40004,2,7700,***,중앙방공통제소(MCRC) 성능개량사업,2022,ERA,우주지휘통신총괄계약팀,협상에의한계약(서류),총액제,최저가격제,202112311400,20211231,낙찰
긴급공고,LBB0071,1,57502,001,경축특식 (22년 삼일절) 핫바세트+탄산음료 구매,2021,LBB,육군제7789부대,제한경쟁,단가제,적격심사제,202112311030,20211231,낙찰
정상공고,HCR0044,1,54138,***,22년도 하늘회관 식자재 납품,2021,HCR,공군제15특수임무비행단,2단계경쟁(동시),총액제,최저가격제,202112301100,20211230,낙찰
재공고,LCG0094,2,53078,***,육군 수질 유지비 현실화 방안 연구용역,2021,LCG,육군본부,수의계약,총액제,최저가격제,202112301000,20211230,유찰
긴급공고,LFN0026,1,57719,***,'22년 상반기 생도 증식 (돼지등뼈 등 80개 품목),2021,LFN,육군3사관학교,제한경쟁,총액제,적격심사제,202112301100,20211230,낙찰
긴급공고,LFN0027,1,58901,***,3사교 근지단 취사식당 GHP 구매 설치,2021,LFN,육군3사관학교,제한경쟁,총액제,적격심사제,202112301100,20211230,낙찰
긴급공고,LGP0210,1,58804,001,'22년 경축특식 설날 '마카롱',2021,LGP,제1군수지원사령부,일반경쟁,단가제,적격심사제,202112301100,20211230,낙찰
긴급공고,LGP0211,1,58805,001,22년 경축특식 설날 커피,2021,LGP,제1군수지원사령부,일반경쟁,단가제,적격심사제,202112301100,20211230,낙찰
긴급공고,LKT0079,1,58853,***,22년 사령부 영내 생활폐기물 처리용역,2021,LKT,제1989부대,제한경쟁,총액제,적격심사제,202112301030,20211230,낙찰
재공고,LNF0050,2,56447,001,'22년 음식물쓰레기 처리용역,2021,LNF,제1보병사단,일반경쟁,단가제,적격심사제,202112301030,20211230,낙찰
정정공고,LNF0052,2,56462,***,'22년 미래형 취사식당 시범운영 식자재 구매,2021,LNF,제1보병사단,일반경쟁,총액제,적격심사제,202112301030,20211230,유찰
긴급공고,MDG0248,1,57423,***,2022년 VoIP 교환기 정비 유지보수용역,2021,MDG,국군의무사령부,제한경쟁,총액제,적격심사제,202112301100,20211230,유찰
긴급공고,SCQ0206,1,58887,***,22-평 사과 등 11종 구매,2021,SCQ,제9911부대,일반경쟁,총액제,적격심사제,202112301030,20211230,낙찰
긴급공고,SCQ0207,1,58893,***,22-평 구이용삼겹살 등 8종 구매,2021,SCQ,제9911부대,일반경쟁,총액제,적격심사제,202112301030,20211230,낙찰
긴급공고,SCQ0208,1,58896,***,22-평 슬라이스치즈 등 84종 구매,2021,SCQ,제9911부대,일반경쟁,총액제,적격심사제,202112301030,20211230,낙찰
긴급공고,SCQ0209,1,58900,***,22-평 콜라 등 8종 구매,2021,SCQ,제9911부대,일반경쟁,총액제,적격심사제,202112301030,20211230,낙찰
정정공고,UMM0628,2,49736,***,(21F104-G)'21년 육군 복지포탈 개발사업 용역,2021,UMM,국군재정관리단,협상에의한계약(전자),총액제,최저가격제,202112301100,20211230,낙찰
긴급공고,UMM0678,1,51709,***,'22년 ~ '23년 공군 연습용 워게임모델 유지관리용역,2021,UMM,국군재정관리단,2단계경쟁(동시),총액제,최저가격제,202112301300,20211230,낙찰
재공고,EPA0020,2,9042P,***,리프트(전지 포크 LIFT),2021,EPA,항공기총괄계약팀,수의계약,총액제,적격심사제,202112291100,20211229,유찰
긴급공고,HCL0059,1,58545,***,'22년 음식물쓰레기 처리 용역,2021,HCL,공군사관학교,제한경쟁,총액제,적격심사제,202112291030,20211229,낙찰
긴급공고,HCM0134,1,58333,***,2022 배속병력 전세버스 임차,2021,HCM,공군교육사령부,제한경쟁,총액제,적격심사제,202112291300,20211229,낙찰
긴급공고,HCM0135,1,58342,***,2022 남은 음식물 위탁처리,2021,HCM,공군교육사령부,제한경쟁,총액제,적격심사제,202112291300,20211229,낙찰
정정공고,HCQ0076,2,58483,***,특수임무대 종합전술훈련시설 관급자재 집진기,2021,HCQ,공군제5공중기동비행단,일반경쟁,총액제,적격심사제,202112291600,20211229,낙찰
긴급공고,LCH0070,1,58603,***,사격장 표적기 사격시스템 제조 구매(설치),2021,LCH,특수전사령부,일반경쟁,총액제,적격심사제,202112291030,20211229,낙찰
긴급공고,LKQ0022,1,58023,***,22년 비행3종 시뮬레이터 외주정비 용역,2021,LKQ,육군항공학교,수의계약,총액제,적격심사제,202112291030,20211229,유찰
긴급공고,LKQ0023,1,58030,***,22년 전술훈련 시뮬레이터 외주정비 용역,2021,LKQ,육군항공학교,일반경쟁,총액제,적격심사제,202112291030,20211229,낙찰
정상공고,UMM0738,1,52760,***,"22-상병건강검진 (부분,영상판독) 위탁용역",2021,UMM,국군재정관리단,일반경쟁,총액제,적격심사제,202112291100,20211229,유찰
정상공고,UMM0663,1,53119,***,(21G086-H)'22~'23년 위성장비 유지보수 용역,2021,UMM,국군재정관리단,일반경쟁,총액제,적격심사제,202112291100,20211229,낙찰
정상공고,UMM0737,1,53478,***,22년 출근버스 임차 용역,2021,UMM,국군재정관리단,수의계약,총액제,적격심사제,202112291100,20211229,유찰
긴급공고,DSS0095,1,58050,***,22년 사용종료시설 무인경비 용역,2021,DSS,국군제1068부대,제한경쟁,총액제,적격심사제,202112281100,20211228,낙찰
긴급공고,HDE0007,1,57063,***,○○○○호텔 세탁물(린넨 27종) 처리용역,2021,HDE,공군항공안전단,수의계약,총액제,적격심사제,202112281100,20211228,유찰
긴급공고,HDE0008,1,57095,***,○○호텔등2개소세탁물(타올(대)등26종)처리용역,2021,HDE,공군항공안전단,제한경쟁,총액제,적격심사제,202112281100,20211228,낙찰
긴급공고,HDK0037,1,56078,***,22-사업장생활계폐기물 처리 용역,2021,HDK,공군제11전투비행단,제한경쟁,총액제,적격심사제,202112281030,20211228,낙찰
정정공고,HDK0036,2,56102,***,22년 정화시설 관리 용역,2021,HDK,공군제11전투비행단,제한경쟁,총액제,적격심사제,202112281030,20211228,낙찰
긴급공고,HDP0071,1,58337,***,'22년도 간부식당 2개소 식자재 구매,2021,HDP,공군제19전투비행단,제한경쟁,총액제,적격심사제,202112281100,20211228,낙찰
긴급공고,HDP0070,1,58457,***,22년 오폐수처리장 관리용역,2021,HDP,공군제19전투비행단,제한경쟁,총액제,적격심사제,202112281330,20211228,낙찰
긴급공고,LCF0168,1,57290,***,21-충-육-26B 자동제어,2021,LCF,육군군수사령부,제한경쟁,총액제,적격심사제,202112281100,20211228,낙찰
재공고,LCG0096,2,53226,***,육군 유해환경작업장 전수조사 용역,2021,LCG,육군본부,제한경쟁,총액제,적격심사제,202112281030,20211228,낙찰
긴급공고,LCH0067,1,57385,***,렌탈프린터 임차 용역,2021,LCH,특수전사령부,제한경쟁,총액제,적격심사제,202112281030,20211228,낙찰
긴급공고,LCH0069,1,57515,***,렌탈프린터 임차 용역(예-용-17),2021,LCH,특수전사령부,제한경쟁,총액제,적격심사제,202112281030,20211228,순위확정
긴급공고,LCM0062,1,58014,***,소형무장헬기 훈련센터 신축 원격검침,2021,LCM,육군교육사령부,제한경쟁,총액제,적격심사제,202112281030,20211228,낙찰
긴급공고,LCM0063,1,58092,***,소형무장헬기 훈련센터 신축 자동제어,2021,LCM,육군교육사령부,제한경쟁,총액제,적격심사제,202112281030,20211228,낙찰
