공고구분,공고번호,공고차수,판단번호,항목번호,입찰명,요구년도,발주기관코드,발주기관,계약방법,입찰방법,낙찰자결정방법,개찰일시,개찰일자,입찰결과
정상공고,PIB0001,1,3800A,***,7.62mm기관총-II,2021,ELA,화력총괄계약팀,협상에의한계약(서류),총액제,최저가격제,201912311400,20191231,낙찰
재공고,PIB0001,2,3800A,***,7.62mm기관총-II,2021,ELA,화력총괄계약팀,협상에의한계약(서류),총액제,최저가격제,201912311400,20191231,낙찰
긴급공고,HDK0050,1,52759,***,광성회관 식자재 육류 구매 계약,2019,HDK,공군제11전투비행단,제한경쟁,총액제,적격심사제,201912311600,20191231,낙찰
정상공고,HDK0049,1,53059,***,19-광성회관 식자재(김치류) 구매,2019,HDK,공군제11전투비행단,제한경쟁,총액제,적격심사제,201912311400,20191231,낙찰
재공고,HDL0026,3,47621,***,16비 국고 LPG 공급계약,2019,HDL,공군제16전투비행단,제한경쟁,총액제,적격심사제,201912311100,20191231,유찰
재공고,HDL0028,2,51377,***,체력단련장 액화석유가스(LPG) 구매,2019,HDL,공군제16전투비행단,제한경쟁,총액제,적격심사제,201912311100,20191231,낙찰
정상공고,LDH1191,1,54002,***,'20년 물품 적재 및 하역용역,2019,LDH,육군종합정비창,제한경쟁,총액제,적격심사제,201912311300,20191231,순위확정
재공고,LGP0176,2,52648,001,20년 설날 경축 특식(훈제닭다리) 제조 구매,2019,LGP,제1군수지원사령부,일반경쟁,단가제,적격심사제,201912311030,20191231,낙찰
긴급공고,LNQ0045,1,54411,***,개인천막(야영용텐트) 제조구매,2019,LNQ,제17보병사단,제한경쟁,총액제,적격심사제,201912311030,20191231,낙찰
정상공고,MDG0263,1,53863,***,2020년 무한리필프린터 임차용역,2019,MDG,국군의무사령부,제한경쟁,총액제,적격심사제,201912311100,20191231,유찰
긴급공고,SCF0049,1,53960,***,20-보-육로화물 수송용역,2019,SCF,해군군수사령부,제한경쟁,총액제,적격심사제,201912311030,20191231,낙찰
긴급공고,SCH0216,1,53051,***,일반우유 등 14종,2019,SCH,해군작전사령부,제한경쟁,총액제,적격심사제,201912311030,20191231,낙찰
긴급공고,SCH0217,1,53057,***,감자수제비 등 96종,2019,SCH,해군작전사령부,제한경쟁,총액제,적격심사제,201912311030,20191231,낙찰
긴급공고,SCH0215,1,53069,***,감귤 등 12종,2019,SCH,해군작전사령부,제한경쟁,총액제,적격심사제,201912311030,20191231,낙찰
긴급공고,SCL0151,1,54455,***,생도피복(여행가방 등 4종) 구매,2019,SCL,해군사관학교,일반경쟁,총액제,적격심사제,201912311030,20191231,낙찰
정상공고,SFC0163,1,53885,***,분말짜장 등 173품목 구매,2019,SFC,제9691부대,제한경쟁,총액제,적격심사제,201912311030,20191231,낙찰
정상공고,SFC0164,1,53906,***,물비누 등 50품목 구매,2019,SFC,제9691부대,제한경쟁,총액제,적격심사제,201912311030,20191231,낙찰
긴급공고,SFL0131,1,54011,***,20-교-이동식 화장실 임차 용역,2019,SFL,제3283부대,제한경쟁,총액제,적격심사제,201912311100,20191231,낙찰
정상공고,UMM0007,1,00111,***,'20년 프린터 임대용역,2020,UMM,국군재정관리단,제한경쟁,총액제,적격심사제,201912311100,20191231,낙찰
