공고구분,공고번호,공고차수,판단번호,항목번호,입찰명,요구년도,발주기관코드,발주기관,계약방법,입찰방법,낙찰자결정방법,개찰일시,개찰일자,입찰결과
정상공고,PIP0001,1,9100,***,중요시설경계시스템 1차사업,2016,EGH,지휘정찰계약팀 (구:19.09.16),협상에의한계약(서류),총액제,최저가격제,201612301200,20161230,낙찰
긴급공고,LFC0043,1,45002,001,장거리 이동 신병 도시락 제조납품,2016,LFC,육군훈련소,2단계경쟁(동시),단가제,최저가격제,201612301000,20161230,낙찰
정상공고,SFL0160,1,47669,***,임시명찰 등 2품목 구매,2016,SFL,제3283부대,일반경쟁,총액제,적격심사제,201612301230,20161230,낙찰
재공고,UMM0792,2,41871,***,"17년 직접입영장병 신체검사 용역(경기 연천,파주)",2016,UMM,국군재정관리단,2단계경쟁(동시),총액제,최저가격제,201612301100,20161230,낙찰
긴급공고,UMM0829,1,45191,***,17년 직접입영장병 신체검사 용역(인천 부평등 3개소),2016,UMM,국군재정관리단,2단계경쟁(동시),총액제,최저가격제,201612301100,20161230,낙찰
재공고,HCF0026,2,47471,***,초음파 세척기 제조,2016,HCF,공군군수사령부,제한경쟁,총액제,최저가격제,201612291100,20161229,유찰
긴급공고,HCL0099,1,47697,***,2017 생도증식 (사과식초 등 152종),2016,HCL,공군사관학교,제한경쟁,총액제,적격심사제,201612291030,20161229,유찰
긴급공고,HCL0100,1,48057,***,2017년 난방연료,2016,HCL,공군사관학교,제한경쟁,총액제,적격심사제,201612291030,20161229,낙찰
긴급공고,LGT0034,1,48136,***,0부대 중대시설 분전반 제조설치(16-312),2016,LGT,제2307부대,제한경쟁,총액제,적격심사제,201612291100,20161229,낙찰
긴급공고,LGT0035,1,48138,***,00부대 중대시설 조명기구 제조납품(16-314),2016,LGT,제2307부대,제한경쟁,총액제,적격심사제,201612291100,20161229,낙찰
긴급공고,LKF0029,1,46383,***,17년 직접입영장병 신체검사 용역,2016,LKF,제6755부대,2단계경쟁(동시),총액제,최저가격제,201612291400,20161229,유찰
재공고,MCN0104,2,42964,***,17년 식자재(농산품)구매,2016,MCN,국방부근무지원단,2단계경쟁(동시),총액제,최저가격제,201612291100,20161229,유찰
재공고,SCK0200,2,45806,***,입영신체검사 위탁 용역,2016,SCK,해군교육사령부,일반경쟁,총액제,적격심사제,201612291030,20161229,유찰
긴급공고,SFM0127,1,48007,***,17-S-생활폐기물 처리 용역,2016,SFM,제3170부대,제한경쟁,총액제,적격심사제,201612291030,20161229,유찰
긴급공고,UMM0651,1,46580,***,17년 응용체계통합/온나라시스템 유지보수 용역,2016,UMM,국군재정관리단,제한경쟁,총액제,적격심사제,201612291100,20161229,낙찰
정상공고,UMM0839,1,48049,***,13-본-국대-01 00학교 가구 및 비품 제조설치,2016,UMM,국군재정관리단,제한경쟁,총액제,적격심사제,201612291100,20161229,낙찰
재공고,HCL0097,2,46235,***,군수처 취사연료,2016,HCL,공군사관학교,제한경쟁,총액제,적격심사제,201612281030,20161228,낙찰
정상공고,HCM0002,1,00019,001,17년 액화석유가스(LPG) 구매,2017,HCM,공군교육사령부,제한경쟁,단가제,최저가격제,201612281100,20161228,낙찰
재공고,HFK0001,3,00009,***,천궁 CBT 유지보수용역,2017,HFK,제1방공유도탄여단,제한경쟁,총액제,적격심사제,201612281400,20161228,낙찰
긴급공고,LKM0081,1,46789,***,입영장병 신체검사 위탁 용역(전북 임실),2016,LKM,제2632부대,2단계경쟁(동시),총액제,적격심사제,201612281500,20161228,낙찰
재공고,LKS0037,2,44729,***,체력단련장 식자재(주류) 구매 (연간 단가계약),2016,LKS,육군인사사령부,제한경쟁,총액제,최저가격제,201612281030,20161228,유찰
긴급공고,LPG0062,1,48186,***,토양정화사업 액화석유가스(LPG) 구매,2016,LPG,제5보병사단,제한경쟁,총액제,최저가격제,201612281030,20161228,낙찰
긴급공고,SFC0227,1,47817,***,다목적작업차,2016,SFC,제9691부대,제한경쟁,총액제,최저가격제,201612281030,20161228,낙찰
긴급공고,SFC0228,1,47822,***,감자전분 등 211품목(덕산스포텔),2016,SFC,제9691부대,제한경쟁,총액제,최저가격제,201612281030,20161228,낙찰
긴급공고,SFC0229,1,47835,***,우갈비 등 15품목 (덕산스포텔),2016,SFC,제9691부대,제한경쟁,총액제,최저가격제,201612281030,20161228,낙찰
정정공고,SFD0188,2,47796,***,17-P-01 청림관사 청소 용역,2016,SFD,제9227부대,일반경쟁,총액제,적격심사제,201612281030,20161228,낙찰
정정공고,SFD0189,2,47797,***,17-P-02 문덕관사 청소 용역,2016,SFD,제9227부대,일반경쟁,총액제,적격심사제,201612281030,20161228,낙찰
재공고,UMM0833,2,42900,***,17년 작전지속지원분석모델 유지보수 용역,2016,UMM,국군재정관리단,일반경쟁,총액제,적격심사제,201612281100,20161228,유찰
재공고,UMM0832,2,42902,***,17년 분석용 모델 유지보수 용역,2016,UMM,국군재정관리단,일반경쟁,총액제,적격심사제,201612281100,20161228,낙찰
긴급공고,UMM0838,1,45526,***,17년 국군수도병원 환자 급식보조원 용역,2016,UMM,국군재정관리단,일반경쟁,총액제,적격심사제,201612281100,20161228,낙찰
