공고구분,공고번호,공고차수,판단번호,항목번호,입찰명,요구년도,발주기관코드,발주기관,계약방법,입찰방법,낙찰자결정방법,개찰일시,개찰일자,입찰결과
재공고,ER70001,2,6100,***,해상작전위성통신체계-Ⅱ,2024,ERA,우주지휘통신총괄계약팀,협상에의한계약(서류),총액제,최저가격제,202412311400,20241231,낙찰
긴급공고,HCF0252,1,62129,***,'25년 해외임무 긴급 수리부속 수송 용역(개인수하물),2024,HCF,공군군수사령부,제한경쟁,총액제,적격심사제,202412311030,20241231,유찰
정상공고,HDQ0087,1,63865,***,20비 24-통합간부식당 식자재(가공품),2024,HDQ,제20전투비행단,일반경쟁,총액제,적격심사제,202412311100,20241231,낙찰
긴급공고,LHG0064,1,63941,***,'24년 임차사업(식기세척기) 계약,2024,LHG,제1862부대,일반경쟁,총액제,적격심사제,202412311100,20241231,낙찰
긴급공고,LKH0055,1,63522,***,'25년 사단 직할대 음식물류 폐기물 처리용역,2024,LKH,제6128부대,제한경쟁,총액제,적격심사제,202412311030,20241231,유찰
재공고,MDP0013,2,62289,***,2025년 인원수송버스 임차용역,2024,MDP,한미연합군사령부,제한경쟁,총액제,적격심사제,202412311100,20241231,유찰
재공고,SCF1120,2,53600,***,모터드라이버 AZ/CL 구동용 등 2종 구매,2024,SCF,해군군수사령부,일반경쟁,총액제,적격심사제,202412311030,20241231,유찰
긴급공고,SCN0211,1,63774,***,가지 등 69종 구매,2024,SCN,제7001부대,제한경쟁,총액제,적격심사제,202412311030,20241231,낙찰
긴급공고,SDQ0127,1,61399,***,"제한기, 유체유동형 등 52종 구매",2024,SDQ,해군제2수리창,제한경쟁,총액제,적격심사제,202412311330,20241231,낙찰
긴급공고,SFG0154,1,64216,***,25-K-전기안전관리대행(김포),2024,SFG,제9181부대,제한경쟁,총액제,적격심사제,202412311030,20241231,낙찰
재공고,MDG0234,3,49113,***,25년 상병건강검진결과 모바일 서비스 용역,2024,MDG,국군의무사령부,일반경쟁,총액제,적격심사제,202412301100,20241230,낙찰
정정공고,MGA0007,2,61401,***,전략사 억제심포지엄 주제연구 및 발표,2024,MGA,전략사령부,협상에의한계약(전자),총액제,최저가격제,202412301100,20241230,유찰
긴급공고,HDM0060,1,58514,***,17비 항공관제레이더 3차전력화기지 수배전반,2024,HDM,공군제17전투비행단,일반경쟁,총액제,적격심사제,202412271030,20241227,낙찰
긴급공고,HDM0061,1,58520,***,17비 항공관제레이더 3차전력화기지 자동제어,2024,HDM,공군제17전투비행단,일반경쟁,총액제,적격심사제,202412271030,20241227,낙찰
긴급공고,LCH0085,1,63133,***,모의고공훈련장(윈드터널)성능개량및유지보수정비용역,2024,LCH,특수전사령부,제한경쟁,총액제,적격심사제,202412271030,20241227,유찰
긴급공고,LCP0057,1,62959,***,'25년 헬기위치추적체계(HAPS) SW 유지보수 용역,2024,LCP,육군항공사령부,제한경쟁,총액제,적격심사제,202412271130,20241227,낙찰
재공고,SCF1052,2,51576,001,냉동유부슬라이스 구매,2024,SCF,해군군수사령부,제한경쟁,단가제,적격심사제,202412271030,20241227,유찰
정상공고,SCF1128,1,59534,***,'25년 국외항공 특송 수송용역,2024,SCF,해군군수사령부,제한경쟁,총액제,적격심사제,202412271030,20241227,낙찰
긴급공고,SCF1127,1,60919,001,팥빙수(빙과류) 구매,2024,SCF,해군군수사령부,제한경쟁,단가제,적격심사제,202412271030,20241227,낙찰
긴급공고,SCP0126,1,61302,***,25-동 음식물류폐기물 처리 용역,2024,SCP,제8385부대,제한경쟁,총액제,적격심사제,202412271030,20241227,낙찰
긴급공고,SCP0128,1,61318,***,수육용 돼지고기 등 9종 구매,2024,SCP,제8385부대,일반경쟁,총액제,적격심사제,202412271030,20241227,낙찰
긴급공고,SCP0127,1,61352,***,오렌지 등 14종 구매,2024,SCP,제8385부대,일반경쟁,총액제,적격심사제,202412271030,20241227,낙찰
긴급공고,SCR0137,1,62711,***,25-0함대 민간 예선 위탁 용역,2024,SCR,해군제3함대사령부,제한경쟁,총액제,적격심사제,202412271030,20241227,유찰
긴급공고,SFD0131,1,63175,***,25년 전관방송 및 광전송장비 외주정비 용역,2024,SFD,제9227부대,제한경쟁,총액제,적격심사제,202412271030,20241227,낙찰
정상공고,UMM1375,1,52764,***,25-D-계룡대 출입통제체계 유지보수,2024,UMM,국군재정관리단,제한경쟁,총액제,적격심사제,202412271100,20241227,낙찰
정상공고,UMM1372,1,61570,***,24-F-국방 5G 특화망 무선네트워크 등 3건 금융리스,2024,UMM,국군재정관리단,일반경쟁,총액제,최저가격제,202412271100,20241227,유찰
