공고구분,공고번호,공고차수,판단번호,항목번호,입찰명,요구년도,발주기관코드,발주기관,계약방법,입찰방법,낙찰자결정방법,개찰일시,개찰일자,입찰결과
긴급공고,HDF0064,1,63150,***,23년 음식물쓰레기 처리용역,2022,HDF,공군 제8전투비행단,제한경쟁,총액제,적격심사제,202212301100,20221230,낙찰
긴급공고,LHG0107,1,62567,***,12사단 간부숙소150실 신축 관급자재 - 콘크리트 말뚝,2022,LHG,제1862부대,제한경쟁,총액제,최저가격제,202212301100,20221230,낙찰
긴급공고,LKH0030,1,63490,***,117 예비군훈련대 개편(통합배선),2022,LKH,제6128부대,제한경쟁,총액제,적격심사제,202212301030,20221230,낙찰
정상공고,UMM0754,1,57157,***,23-해병대 전세버스 수송 용역(22H149-H),2022,UMM,국군재정관리단,제한경쟁,총액제,적격심사제,202212301100,20221230,유찰
긴급공고,LBA0181,1,60518,001,'23년 1~3월 식자재 다수품목 단가계약,2022,LBA,제 2167부대,2단계경쟁(동시),단가제,최저가격제,202212291030,20221229,낙찰
긴급공고,LCP0038,1,62477,***,VR 훈련장비 구매,2022,LCP,육군항공사령부,일반경쟁,총액제,적격심사제,202212291100,20221229,유찰
긴급공고,LDF0012,1,62034,***,'19년 사이버대응 훈련센터 보강사업 유지보수 용역,2022,LDF,육군정보통신학교,제한경쟁,총액제,적격심사제,202212291030,20221229,낙찰
긴급공고,LHG0110,1,62622,***,22-41차 부대구매(인플루엔자진단키트),2022,LHG,제1862부대,제한경쟁,총액제,적격심사제,202212291100,20221229,낙찰
정상공고,MDD0161,1,59502,***,2023년 국군수도병원 환자식재료 납품,2022,MDD,국군수도병원,수의계약,총액제,적격심사제,202212291100,20221229,유찰
재공고,SFC0142,2,57878,***,체단장 스킨 등 42품목 구매,2022,SFC,제9691부대,제한경쟁,총액제,적격심사제,202212291100,20221229,낙찰
긴급공고,SFD0114,1,62312,***,23-P-생활폐기물 위탁처리용역,2022,SFD,제9227부대,제한경쟁,총액제,적격심사제,202212291100,20221229,낙찰
정상공고,UMM0753,1,52614,***,"23-공-천궁, 발칸 CBT 교육훈련장비 유지보수",2022,UMM,국군재정관리단,제한경쟁,총액제,적격심사제,202212291100,20221229,낙찰
정상공고,UMM0750,1,54981,***,23-해병-프린터 렌탈 용역(22H141-H),2022,UMM,국군재정관리단,제한경쟁,총액제,적격심사제,202212291100,20221229,낙찰
정상공고,UMM0751,1,56299,***,23-공본지역 임대프린터 임차용역(22J073-H),2022,UMM,국군재정관리단,제한경쟁,총액제,적격심사제,202212291100,20221229,낙찰
긴급공고,UMM0761,1,60918,***,((22F214-A)전자유도카트 위탁관리용역,2022,UMM,국군재정관리단,제한경쟁,총액제,적격심사제,202212291100,20221229,낙찰
정상공고,UMM0752,1,61427,***,23-해병-워게임모델 H/W 유지보수,2022,UMM,국군재정관리단,일반경쟁,총액제,적격심사제,202212291100,20221229,낙찰
