공고구분,공고번호,공고차수,판단번호,항목번호,입찰명,요구년도,발주기관코드,발주기관,계약방법,입찰방법,낙찰자결정방법,개찰일시,개찰일자,입찰결과
정정공고,LCI0001,2,59702,001,'24년 방공진지 신규 단체급식 납품,2023,LCI,육군제6501부대,2단계경쟁(동시),단가제,최저가격제,202312291000,20231229,낙찰
긴급공고,LGI0149,1,58335,001,'24-1차 식자재(부식) 구매 -양구지역-,2023,LGI,제3군수지원여단,2단계경쟁(동시),단가제,최저가격제,202312291030,20231229,낙찰
정상공고,MCS0135,1,62411,***,계룡대 아파트 개선공사 (가구) 제조 납품,2023,MCS,국방부계룡대근무지원단,제한경쟁,총액제,적격심사제,202312291030,20231229,낙찰
긴급공고,MCS0138,1,63388,***,`24년 간부식당 김치류 구매,2023,MCS,국방부계룡대근무지원단,일반경쟁,총액제,적격심사제,202312291030,20231229,낙찰
정상공고,MDD0154,1,59152,***,2024~2025 국군수도병원 승강기 유지관리 용역,2023,MDD,국군수도병원,제한경쟁,총액제,적격심사제,202312291700,20231229,낙찰
긴급공고,SCR0092,1,60463,***,24년 거문도 운용대 급식 구매,2023,SCR,해군제3함대사령부,제한경쟁,총액제,적격심사제,202312291030,20231229,낙찰
긴급공고,SCR0093,1,60464,***,24년 욕지도 운용대 급식 구매,2023,SCR,해군제3함대사령부,제한경쟁,총액제,적격심사제,202312291030,20231229,낙찰
긴급공고,SCR0095,1,62304,***,24년 흑산도 운용대 급식 구매,2023,SCR,해군제3함대사령부,제한경쟁,총액제,적격심사제,202312291030,20231229,낙찰
긴급공고,SCR0096,1,62316,***,24년 흑산도 000전진기지대 급식 구매,2023,SCR,해군제3함대사령부,제한경쟁,총액제,적격심사제,202312291030,20231229,낙찰
긴급공고,SCR0097,1,62329,***,24년 추자도 운용대 급식 구매,2023,SCR,해군제3함대사령부,제한경쟁,총액제,적격심사제,202312291030,20231229,낙찰
