공고구분,공고번호,공고차수,판단번호,항목번호,입찰명,요구년도,발주기관코드,발주기관,계약방법,입찰방법,낙찰자결정방법,개찰일시,개찰일자,입찰결과
긴급공고,HCR0043,1,47553,***,복지대대 - 장교식당 식자재 구매,2017,HCR,공군제15특수임무비행단,2단계경쟁(동시),총액제,최저가격제,201712291030,20171229,유찰
긴급공고,LFC0044,1,45857,001,장거리 이동 신병 도시락 제조납품,2017,LFC,육군훈련소,2단계경쟁(동시),단가제,최저가격제,201712291000,20171229,낙찰
정상공고,LKS0047,1,49376,***,계룡 체력단련장 액화석유가스(LPG)구매,2017,LKS,육군인사사령부,제한경쟁,총액제,최저가격제,201712291030,20171229,낙찰
정상공고,UMM0757,1,49318,***,18~20년 학군교 전세버스 수송용역(서울경기),2017,UMM,국군재정관리단,일반경쟁,총액제,적격심사제,201712291100,20171229,유찰
정상공고,UMM0758,1,49324,***,18~20년 학군교 전세버스 수송용역(경상),2017,UMM,국군재정관리단,일반경쟁,총액제,적격심사제,201712291100,20171229,유찰
정상공고,UMM0759,1,49329,***,18~20년 학군교 전세버스 수송용역(충청),2017,UMM,국군재정관리단,제한경쟁,총액제,적격심사제,201712291100,20171229,낙찰
정상공고,UMM0762,1,49365,***,18-오·폐수 처리시설 관리 용역,2017,UMM,국군재정관리단,일반경쟁,총액제,적격심사제,201712291100,20171229,낙찰
긴급공고,HCL0106,1,48616,***,18년 생도학사관리통합체계 유지보수 용역,2017,HCL,공군사관학교,제한경쟁,총액제,적격심사제,201712281100,20171228,낙찰
긴급공고,LKM0030,1,47190,***,18년 예비군 도시락 제조납품(1권역),2017,LKM,제2632부대,제한경쟁,총액제,적격심사제,201712281000,20171228,유찰
긴급공고,LKM0032,1,47191,***,18년 예비군 도시락 제조납품(3권역),2017,LKM,제2632부대,제한경쟁,총액제,적격심사제,201712281000,20171228,낙찰
긴급공고,LKM0031,1,47209,***,18년 예비군 도시락 제조납품(2권역),2017,LKM,제2632부대,제한경쟁,총액제,적격심사제,201712281000,20171228,낙찰
긴급공고,LQH0031,1,49602,***,디지털 판초우의 제조납품,2017,LQH,제3697부대,일반경쟁,총액제,적격심사제,201712281030,20171228,낙찰
재공고,MCT0053,2,47363,***,'18년 선수급식(김치류 20종) 구매,2017,MCT,국군체육부대,제한경쟁,총액제,최저가격제,201712281100,20171228,유찰
긴급공고,MDI0022,1,48814,***,18년 전산장비 유지보수 용역,2017,MDI,제7016부대,제한경쟁,총액제,적격심사제,201712281100,20171228,낙찰
재공고,SCF0002,2,00161,018,감자튀김 등 23종,2018,SCF,해군군수사령부,제한경쟁,단가제,최저가격제,201712281030,20171228,유찰
