공고구분,공고번호,공고차수,판단번호,항목번호,입찰명,요구년도,발주기관코드,발주기관,계약방법,입찰방법,낙찰자결정방법,개찰일시,개찰일자,입찰결과
정상공고,EL50001,1,3707,***,특수작전용기관단총 체계개발,2020,ELA,화력총괄계약팀,협상에의한계약(전자),총액제,최저가격제,202012311400,20201231,유찰
정상공고,LIK0071,1,56018,001,21년 설날경축특식(티라미수조각케익),2020,LIK,제2군수지원여단,제한경쟁,단가제,적격심사제,202012311030,20201231,낙찰
정상공고,LIK0072,1,56040,001,21년 삼일절 경축특식(핫바),2020,LIK,제2군수지원여단,제한경쟁,단가제,적격심사제,202012311030,20201231,유찰
재공고,LKD0037,2,54454,001,21년 상병건강검진 민간위탁 용역,2020,LKD,제32보병사단,제한경쟁,단가제,적격심사제,202012311030,20201231,유찰
정상공고,LKD0039,1,57673,***,21년 렌탈프린터 임차 용역,2020,LKD,제32보병사단,제한경쟁,총액제,적격심사제,202012311100,20201231,낙찰
긴급공고,SCH0214,1,57370,***,21-부 00회관 승강기 유지보수용역,2020,SCH,해군작전사령부,제한경쟁,총액제,적격심사제,202012311030,20201231,낙찰
정상공고,UMM0005,1,00180,***,21년 전세버스 수송용역(21H017-B),2021,UMM,국군재정관리단,일반경쟁,총액제,적격심사제,202012311100,20201231,낙찰
정상공고,UMM0606,1,55158,***,(20F178-A)대기오염측정용역(일반물질),2020,UMM,국군재정관리단,제한경쟁,총액제,적격심사제,202012311100,20201231,낙찰
정상공고,UMM0607,1,55159,***,(20F179-A)대기오염측정용역(특정물질),2020,UMM,국군재정관리단,제한경쟁,총액제,적격심사제,202012311100,20201231,낙찰
정상공고,UMM0628,1,55878,***,21년 항공교통관제 CBT 유지보수 용역(21J011-I),2020,UMM,국군재정관리단,제한경쟁,총액제,적격심사제,202012311100,20201231,낙찰
정정공고,HCL0005,2,00217,***,21-복지대대 음식물쓰레기 처리 용역,2021,HCL,공군사관학교,제한경쟁,총액제,적격심사제,202012301100,20201230,낙찰
긴급공고,HDC0048,1,57690,***,21-용-4 생활 폐기물 위탁처리 용역,2020,HDC,공군제1전투비행단,일반경쟁,총액제,적격심사제,202012301030,20201230,낙찰
긴급공고,LGP0201,1,57152,001,'21년 경특식 설날 조각케익 계약,2020,LGP,제1군수지원사령부,일반경쟁,단가제,적격심사제,202012301100,20201230,낙찰
긴급공고,LGP0200,1,57153,001,'21년 경특식 설날 커피 구매 계약,2020,LGP,제1군수지원사령부,일반경쟁,단가제,적격심사제,202012301100,20201230,낙찰
재공고,LKQ0020,2,52660,***,21년 비행3종 시뮬레이터 외주정비 용역,2020,LKQ,육군항공학교,일반경쟁,총액제,적격심사제,202012301030,20201230,낙찰
긴급공고,LMB0008,1,57145,***,21년도 음식물쓰레기 처리용역,2020,LMB,제8278부대,제한경쟁,총액제,적격심사제,202012301100,20201230,낙찰
정상공고,MCN0110,1,55162,***,21년 생활쓰레기 및 임목폐기물 처리 용역,2020,MCN,국방부근무지원단,일반경쟁,총액제,적격심사제,202012301500,20201230,낙찰
재공고,MDD0193,2,55194,***,21년 의료폐기물 위탁 처리용역,2020,MDD,국군수도병원,제한경쟁,총액제,적격심사제,202012301100,20201230,낙찰
정상공고,UMM0004,1,00114,***,"21-상병건강검진(부분, 영상판독) 위탁용역",2021,UMM,국군재정관리단,일반경쟁,총액제,적격심사제,202012301100,20201230,낙찰
정상공고,UMM0605,1,53366,***,(206325-F)21년 포제명찰 새김 및 벨크로 부착 제조,2020,UMM,국군재정관리단,일반경쟁,총액제,적격심사제,202012301100,20201230,낙찰
정상공고,UMM0627,1,55981,***,21년 공군 기록관련 전산체계 통합 유지보수 용역,2020,UMM,국군재정관리단,제한경쟁,총액제,적격심사제,202012301100,20201230,낙찰
