입찰공고번호,입찰공고차수,입찰공고명,계약체결형태명,계약체결방법명,낙찰자결정방법명,적격심사여부,공고기관명,공고기관코드,수요기관명,수요기관코드,낙찰하한율,예정가격,기초금액,추정가격,개찰일자,개찰시각,개찰결과구분명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체사업자등록번호,최종낙찰업체주소
UMM0004,2,00부대 물절약 투자대행사업(WASCO  15-A048),총액계약,협상에의한계약(전자),협상,N,국군재정관리단,ZD00303,국군재정관리단,ZD00303,,,,0.0,2016-02-03,11:00:00,유찰,,,,,,,,
EGG0109,2,155밀리 모의신관류,총액계약,일반경쟁,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,,700119000.0,0.0,2016-01-05,14:00:00,유찰,,,,,,,,
EGG0109,3,155밀리 모의신관류,총액계약,일반경쟁,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,,700119000.0,0.0,2016-01-12,14:00:00,유찰,,,,,,,,
EGG0109,4,155밀리 모의신관류,총액계약,일반경쟁,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,,700119000.0,0.0,2016-01-26,14:00:00,순위확정,,,,,,,,
UMM0014,1,스펙트럼용 분석기 구매,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,80917831.0,82029000.0,0.0,2016-01-29,11:00:00,개찰완료,71225000.0,88.021,2016-01-29,미래상사,김정윤,김정윤,301-29-35140,충청북도 청주시 상당구 월평로250번길6-0 (용암동)
MDJ0008,1,16년 대전병원 장비운영유지비(외과장비3) 구매,총액계약,제한경쟁,최저가격제,N,국군대전병원,ZD00241,국군대전병원,ZD00241,0.0,45733531.0,46450000.0,0.0,2016-02-04,10:30:00,개찰완료,35000000.0,76.53,2016-02-04,주식회사 아폴론상사,김대한,신승만,105-87-91807,"경기도 남양주시 가운로1길7, 307호 (가운동, 드림프라자)"
MDJ0007,1,16년 대전병원 장비운영유지비(외과장비1) 구매,총액계약,제한경쟁,최저가격제,N,국군대전병원,ZD00241,국군대전병원,ZD00241,0.0,26066573.0,25992400.0,0.0,2016-02-04,10:30:00,개찰완료,25900000.0,99.36,2016-02-04,(주)이삭메디칼,김지회,김지회,212-81-56557,충청북도 충주시 노은면 안락안골1길65
LPH0005,1,팥빙수 구매,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,1213.0,1213.0,0.0,2016-02-04,11:00:00,개찰완료,1007.0,83.002,2016-02-04,용마로지스주식회사,이종철,강동성,211-86-40630,"경기도 김포시 고촌읍 아라육로78, 2동"
LPH0006,1,바나나우유 구매,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,832.0,825.0,0.0,2016-02-04,11:00:00,개찰완료,697.0,83.742,2016-02-04,(주)청우식품,박윤구,김두현,132-81-02380,경기도 포천시 영중면 먼재길129
LPH0007,1,콜라 구매,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,529.0,533.0,0.0,2016-02-04,11:00:00,개찰완료,439.0,83.002,2016-02-04,태림농산,김심선,백미영,622-12-61815,경상남도 김해시 장재로520번안길8-14 (생림면)
LPH0009,1,과일탄산 구매,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,487.0,485.0,0.0,2016-02-04,11:00:00,개찰완료,404.0,82.998,2016-02-04,농심태경 주식회사,천영규,김필주,118-81-10754,서울특별시 동작구 여의대방로112 (농심빌딩) 도연관 13층
MDJ0009,1,16년 대전병원 장비운영유지비(영상장비) 구매,총액계약,제한경쟁,최저가격제,N,국군대전병원,ZD00241,국군대전병원,ZD00241,0.0,,21157520.0,0.0,2016-02-04,10:30:00,유찰,,,,,,,,
MDJ0009,2,16년 대전병원 장비운영유지비(영상장비) 구매,총액계약,제한경쟁,최저가격제,N,국군대전병원,ZD00241,국군대전병원,ZD00241,0.0,21117851.0,21157520.0,0.0,2016-02-16,10:30:00,개찰완료,21000000.0,99.441,2016-02-18,(주)도원씨앤씨,김경호,김경호,408-81-72992,전라남도 화순군 화순읍 만연중앙길19
LPH0010,1,혼합음료 구매,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,536.0,533.0,0.0,2016-02-04,11:00:00,개찰완료,448.0,83.651,2016-02-04,미가온,변정순,이용진,106-02-51645,경기도 파주시 장명산길174-20 (오도동)
LPH0011,1,탄산수 구매,단가계약,제한경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,87.995,532.0,533.0,0.0,2016-02-04,11:00:00,개찰완료,469.0,88.035,2016-02-04,주식회사 엔에이치,이남택,조승희,141-81-34270,경기도 남양주시 진접읍 내각1로73번길38-1
LPH0012,1,이온음료 구매,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,471.0,467.0,0.0,2016-02-04,11:00:00,개찰완료,394.0,83.753,2016-02-04,미가온,변정순,이용진,106-02-51645,경기도 파주시 장명산길174-20 (오도동)
LPH0013,1,알로에음료 구매,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,483.0,485.0,0.0,2016-02-04,11:00:00,개찰완료,401.0,83.007,2016-02-04,주식회사 에스피씨삼립,황종현,임동혁,133-81-22244,경기도 시흥시 공단1대로 101(정왕동)
LPH0014,1,마시는발효유 구매,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,577.0,582.0,0.0,2016-02-04,11:00:00,개찰완료,480.0,83.198,2016-02-04,(주)비락,이항용,조봉래,617-81-07886,부산광역시 남구 자성로152 (문현동) 한일오피스텔 12층
LPH0015,1,떠먹는발효유 구매,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,392.0,398.0,0.0,2016-02-04,11:00:00,개찰완료,327.0,83.431,2016-02-04,주식회사 에치와이,김병진,정철희,114-81-70065,서울특별시 서초구 강남대로577-0 (잠원동)
LPH0016,1,짜먹는발효유 구매,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,240.0,242.0,0.0,2016-02-04,11:00:00,개찰완료,199.0,83.009,2016-02-04,주식회사 에스피씨삼립,황종현,임동혁,133-81-22244,경기도 시흥시 공단1대로 101(정왕동)
LPH0017,1,떠먹는 젤리 구매,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,722.0,728.0,0.0,2016-02-04,11:00:00,개찰완료,599.0,83.012,2016-02-04,주식회사 에스피씨삼립,황종현,임동혁,133-81-22244,경기도 시흥시 공단1대로 101(정왕동)
LPH0018,1,한줌견과 구매,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,678.0,679.0,0.0,2016-02-04,11:00:00,개찰완료,563.0,83.002,2016-02-04,롯데칠성음료(주),박윤기,고성재,214-81-07770,서울특별시 서초구 서초대로70길15 (서초동)
LPH0019,1,특근자용 치즈케이크(제조),단가계약,제한경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,87.995,,679.0,0.0,2016-02-05,11:00:00,유찰,,,,,,,,
LPH0019,2,특근자용 치즈케이크(제조),단가계약,제한경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,87.995,673.0,679.0,0.0,2016-02-19,11:00:00,개찰완료,593.0,88.064,2016-02-19,유한회사징코푸드시스템,문요환,임형근,404-81-36427,전라북도 부안군 주산면 주산동로80-7
LPH0020,1,콘브레드(제조),단가계약,제한경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,87.995,,679.0,0.0,2016-02-05,11:00:00,유찰,,,,,,,,
LPH0020,2,콘브레드(제조),단가계약,제한경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,87.995,670.0,679.0,0.0,2016-02-19,11:00:00,개찰완료,598.0,89.226,2016-02-19,유한회사징코푸드시스템,문요환,임형근,404-81-36427,전라북도 부안군 주산면 주산동로80-7
LPH0023,1,짜장컵밥 구매,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,1452.0,1456.0,0.0,2016-02-05,11:00:00,개찰완료,1207.0,83.129,2016-02-05,주식회사 에스아이케이,손일식,이태영,303-81-39780,경기도 여주시 세종대왕면 양화로438-0
LPH0024,1,허니감자스낵 구매,단가계약,제한경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,87.995,1165.0,1165.0,0.0,2016-02-05,11:00:00,개찰완료,1025.0,88.005,2016-02-05,(주)동진푸드,안교영,안혜윤,132-81-46146,경기도 남양주시 진접읍 부마로137번길 16()
SCH0018,1,해상사격표적(풍선 등 2종) 구매,총액계약,일반경쟁,최저가격제,N,해군작전사령부,ZD00137,해군작전사령부,ZD00137,0.0,53608754.0,54600000.0,0.0,2016-02-02,14:00:00,개찰완료,29920800.0,55.813,2016-02-02,알티하이텍,박영민,박영민,212-24-52766,"서울특별시 강동구 구천면로192, 720호(천호동,천호역 한강 푸르지오시티)"
LCF0012,1,넬라톤카테터 등 234품목 구매(물품),총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,74325117.0,74749000.0,0.0,2016-02-02,10:30:00,개찰완료,65480000.0,88.099,2016-02-02,주식회사 소망약품,박현주,배선아,410-81-78382,전라남도 나주시 산포면 매성길75
LPH0028,1,신병증식용 치즈케이크 구매(제조),단가계약,제한경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,87.995,,679.0,0.0,2016-02-05,11:00:00,유찰,,,,,,,,
LPH0028,2,신병증식용 치즈케이크 구매(제조),단가계약,제한경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,87.995,674.0,679.0,0.0,2016-02-19,11:00:00,개찰완료,596.0,88.352,2016-02-19,유한회사징코푸드시스템,문요환,임형근,404-81-36427,전라북도 부안군 주산면 주산동로80-7
LPH0027,1,탄산음료 구매,단가계약,제한경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,87.995,524.0,533.0,0.0,2016-02-05,11:00:00,개찰완료,461.0,88.047,2016-02-05,(주)제이에스와이글로벌,윤진수,윤진수,234-81-07774,경기도 김포시 양촌읍 황금로128번길88-0
LPH0026,1,신병증식용 핫바 구매,단가계약,제한경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,87.995,671.0,679.0,0.0,2016-02-05,11:00:00,개찰완료,592.0,88.183,2016-02-05,대승상사,이대창,이대창,128-39-88532,경기도 파주시 파주읍 오봉골길254
UMM0030,1,13-본-국대-01 00학교이전 공기조화기 제조설치,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,483537073.0,480490120.0,0.0,2016-02-12,11:00:00,개찰완료,426478300.0,88.199,2016-02-12,한국냉열공사,노세환,진미숙,603-09-91128,부산광역시 서구 구덕로250번길14-1 (부용동1가)
UMM0031,1,13-본-국대-01 00학교이전 PE전선관 등 2종 제조,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,80916523.0,81924530.0,0.0,2016-02-12,11:00:00,개찰완료,79320483.0,98.027,2016-02-12,영진화학주식회사,이성배,이성배,303-81-46831,충청북도 충주시 노은면 점터길 17()
LDH0107,1,충전기집적회로등17종구매,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,32052173.0,31785000.0,0.0,2016-02-12,11:30:00,개찰완료,28924350.0,90.241,2016-02-12,시온테크,박혜성,박혜성,312-27-10674,충청남도 천안시 서북구 백석공단1로10-0 (백석동)
LDH0108,1,D형들고리등13종구매,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,11266102.0,11353000.0,0.0,2016-02-12,11:30:00,개찰완료,9977000.0,88.557,2016-02-12,진흥기계공업,박영진,박영진,609-54-75198,경상남도 창원시 의창구 도계로 48()
LDH0109,1,락카스프레이황색등24종구매,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,5580720.0,5635000.0,0.0,2016-02-12,11:30:00,개찰완료,4989261.0,89.401,2016-02-12,한결통상,이진숙,이진숙,484-10-00167,"충청남도 당진시 대호만로30-33 (채운동), 상가동 102호"
LCG0003,1,16-1차 전산운영용품 구매,총액계약,제한경쟁,적격심사제,Y,육군본부,1290298,육군본부,1290298,87.995,43785017.0,43781950.0,0.0,2016-02-11,11:00:00,개찰완료,38578200.0,88.108,2016-02-11,주식회사 링크글로벌,박인규,박인규,106-86-91026,서울특별시 용산구 효창원로39-0 (신창동)
UMM0018,1,보장구 80종 구매,총액계약,일반경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,82.995,599297857.0,611273400.0,0.0,2016-01-29,11:00:00,개찰완료,500205850.0,83.465,2016-01-29,성모의지,곽동주,곽동희,501-10-71327,대구광역시 동구 매여로102-0 (각산동)
LMS0039,1,크림빵 구매(제조),단가계약,일반경쟁,적격심사제,Y,제7789부대,ZD00074,제7789부대,ZD00074,82.995,,465.0,0.0,2016-01-28,14:00:00,유찰,,,,,,,,
LMS0039,2,크림빵 구매(제조),단가계약,일반경쟁,적격심사제,Y,제7789부대,ZD00074,제7789부대,ZD00074,82.995,,465.0,0.0,2016-02-04,14:00:00,유찰,,,,,,,,
LMS0040,1,크림빵 구매(제조),단가계약,일반경쟁,적격심사제,Y,제7789부대,ZD00074,제7789부대,ZD00074,82.995,,465.0,0.0,2016-01-28,14:00:00,유찰,,,,,,,,
LMS0040,2,크림빵 구매(제조),단가계약,일반경쟁,적격심사제,Y,제7789부대,ZD00074,제7789부대,ZD00074,82.995,,465.0,0.0,2016-02-04,14:00:00,유찰,,,,,,,,
UMM0016,1,컨테이너 2종 제조 설치,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,144201842.0,145966000.0,0.0,2016-01-29,10:30:00,개찰완료,126908000.0,88.007,2016-01-29,유한회사 은광기업,고영남,남선미,411-81-74429,전라북도 정읍시 3산단3길95-0 (북면)
UMM0019,1,미세먼지 방지마스크 구매,총액계약,일반경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,82.995,257666301.0,259912000.0,0.0,2016-01-29,11:00:00,개찰완료,215253520.0,83.539,2016-01-29,케이웨더 주식회사,김동식,김영준,110-81-37628,"서울특별시 구로구 디지털로26길5, 4층 401호 (구로동, 에이스하이엔드타워)"
HCC0002,1,스위치  칼날형 등 9품목,총액계약,일반경쟁,최저가격제,N,해군제1정비대대,Z023413,해군제1정비대대,Z023413,0.0,7022378.0,7111000.0,0.0,2016-01-28,13:30:00,개찰완료,5524000.0,78.662,2016-01-28,(주)동건,윤영현,윤영현,215-86-62413,강원특별자치도 동해시 전천로245-2 (북평동)
LDH0062,1,K1채널씰등12종구매,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,13765438.0,13753000.0,0.0,2016-02-02,11:30:00,개찰완료,12178000.0,88.467,2016-02-02,에스투 (S2) 테크,박성신,박성신,602-09-68022,부산광역시 영도구 절영로101번길 3-1
LDH0063,1,K1베어링등11종구매,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,,13038000.0,0.0,2016-02-02,11:30:00,유찰,,,,,,,,
LDH0063,2,K1베어링등11종구매,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,13199793.0,13038000.0,0.0,2016-02-12,11:30:00,개찰완료,12516000.0,94.819,2016-02-12,덕산베아링,신복승,신복승,605-01-99630,부산광역시 부산진구 서전로9번길 38()
LDH0064,1,자주발칸 케이블조립체등2종구매,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,,35569000.0,0.0,2016-02-02,11:30:00,유찰,,,,,,,,
LDH0064,2,자주발칸 케이블조립체등2종구매,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,35922384.0,35569000.0,0.0,2016-02-12,11:30:00,개찰완료,31700000.0,88.245,2016-02-12,주식회사 애덱스,안영현,안영현,209-81-49235,경기도 군포시 엘에스로13-0 (당정동). 606호 (신일아이티유토지식산업센터)
LDH0065,1,K1링등29종구매,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,,17874000.0,0.0,2016-02-02,11:30:00,유찰,,,,,,,,
LDH0065,2,K1링등29종구매,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,,17874000.0,0.0,2016-02-12,11:30:00,유찰,,,,,,,,
LPH0025,1,핫바 구매,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,688.0,679.0,0.0,2016-02-05,11:00:00,개찰완료,576.0,83.691,2016-02-05,(주)일화,김상균,손규홍,132-81-01004,경기도 구리시 벌말로96-0 (토평동)
LGR0004,1,16년 증식용 떡 및 케이크 구매,총액계약,2단계경쟁(동시),최저가격제,N,제1288부대,ZD00348,제1288부대,ZD00348,0.0,261965275.0,258446601.0,0.0,2016-02-05,10:00:00,개찰완료,229900000.0,87.759,2016-02-05,소당식품,김용호,김용호,221-04-36059,강원도 춘천시 동내로103-13 (동내면)
LMS0054,1,1분기 식품검사 재료 구매,총액계약,제한경쟁,최저가격제,N,제7789부대,ZD00074,제7789부대,ZD00074,0.0,14839605.0,14768000.0,0.0,2016-02-12,11:00:00,개찰완료,12940000.0,87.199,2016-02-12,랩피온,박웅,박웅,206-21-48010,"경기도 남양주시 순화궁로249, M동 8층 820호(별내동, 별내역 파라곤스퀘어)"
HDT0004,1,액화석유가스(LPG) 공급,총액계약,제한경쟁,최저가격제,N,공군작사근무지원단,ZD00282,공군작사근무지원단,ZD00282,0.0,82471283.0,84300000.0,0.0,2016-02-15,11:00:00,개찰완료,63251400.0,76.695,2016-02-15,원진에너지주식회사,강수만,강수만,134-86-78329,경기도 안산시 단원구 대부동동1191
LGP0050,2,조리병교육대 교육 재료,총액계약,제한경쟁,적격심사제,Y,제5378부대,ZD00217,제5378부대,ZD00217,87.995,,95497488.0,0.0,2016-02-18,11:00:00,유찰,,,,,,,,
UMM0032,1,대전병원 병리재료 소모품 67종 구매,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,65538038.0,65142800.0,0.0,2016-02-16,11:00:00,개찰완료,57887000.0,88.325,2016-02-16,아이비케이 주식회사,박창환,박창환,410-86-48942,"전라남도 나주시 교육길13, 디2동 503호(빛가람동, 스마트파크, 지식산업센터)"
HCL0003,1,16-014 쉽게 생각하고 쉽게 배우는 수영 등 143종,총액계약,제한경쟁,적격심사제,Y,공군사관학교,7002962,공군사관학교,7002962,90.0,160102982.0,159599430.0,0.0,2016-02-12,10:30:00,개찰완료,144264300.0,90.107,2016-02-12,주식회사 지커뮤니케이션,권혁일,신영철,301-81-59005,"충청북도 청주시 서원구 1순환로1109, 303호(분평동, 호인리더스빌딩)"
UMM0034,1,대전병원 외과장비 소모품 5종 구매,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,66199787.0,66943500.0,0.0,2016-02-16,11:00:00,개찰완료,58371095.0,88.174,2016-02-16,라바열융합기술,문홍진,임순택,128-15-78848,경기도 파주시 탄현면 필승로506 (301호)
UMM0033,1,대전병원 보장구 50종 구매,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,81900417.0,82832750.0,0.0,2016-02-16,11:00:00,개찰완료,72086000.0,88.016,2016-02-16,주식회사 에스티앤지,임수진,임수진,107-86-64876,서울특별시 영등포구 양산로43-0 (양평동3가)우림 E-Biz Center 911호
LCF0020,1,아산화질소 1항목 구매(물품),총액계약,일반경쟁,최저가격제,N,육군군수사령부,1290307,육군군수사령부,1290307,0.0,,12978000.0,0.0,2016-02-19,14:30:00,유찰,,,,,,,,
LCF0020,2,아산화질소 1항목 구매(물품),총액계약,일반경쟁,최저가격제,N,육군군수사령부,1290307,육군군수사령부,1290307,0.0,12823125.0,12978000.0,0.0,2016-03-08,14:30:00,개찰완료,12801600.0,99.832,2016-03-08,단일시스켐 주식회사,장세훈,김성수,211-81-29514,서울특별시 강남구 논현로158길8-0 (신사동)
UMM0058,1,세척재료(세척제  용제) 구매,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,81226854.0,82376000.0,0.0,2016-02-19,11:00:00,개찰완료,72367000.0,89.092,2016-02-19,주식회사 우석,이희학,이희학,615-81-71515,경상남도 김해시 한림면 장재로193
SFM0014,1,취사용 LPG 구매,총액계약,일반경쟁,적격심사제,Y,제3170부대,ZD00464,제3170부대,ZD00464,82.995,393341872.0,392892019.0,0.0,2016-02-17,10:30:00,개찰완료,331600864.0,84.303,2016-02-17,주식회사 천일가스텍,이석철,김선용,505-81-36910,경상북도 포항시 남구 오천읍 기림로 1187()
HCC0008,1,더블에이 복사용지 등 243품목,총액계약,일반경쟁,최저가격제,N,해군제1정비대대,Z023413,해군제1정비대대,Z023413,0.0,7895858.0,8057000.0,0.0,2016-02-17,10:30:00,개찰완료,6533700.0,82.748,2016-02-17,영동문구센타,이석순,김인하,222-01-59281,강원특별자치도 동해시 동굴로 153-2()
HCC0009,1,버니어 켈리퍼스  등 174품목,총액계약,일반경쟁,최저가격제,N,해군제1정비대대,Z023413,해군제1정비대대,Z023413,0.0,12766481.0,12870000.0,0.0,2016-02-17,11:00:00,개찰완료,10744000.0,84.157,2016-02-17,(주)동건,윤영현,윤영현,215-86-62413,강원특별자치도 동해시 전천로245-2 (북평동)
LMS0044,1,00부대(6진) 정비반 물품 구매(1차),총액계약,일반경쟁,최저가격제,N,제7789부대,ZD00074,제7789부대,ZD00074,0.0,69466963.0,68936200.0,0.0,2016-02-02,11:00:00,개찰완료,60263873.0,86.751,2016-02-02,서림산업,조명자,오용식,609-22-69259,경상남도 창원시 진해구 남영로552번길21-0 (남양동)
LMS0045,1,00부대(6진) 정기재보급 물품 구매(1차),총액계약,일반경쟁,최저가격제,N,제7789부대,ZD00074,제7789부대,ZD00074,0.0,68384422.0,69545060.0,0.0,2016-02-02,11:00:00,개찰완료,52128700.0,76.228,2016-02-02,오상푸드시스템,김경미,김경미,676-23-00238,경상북도 칠곡군 동명면 백송로829-0
MDC0001,1,손목시계 제조납품,총액계약,2단계경쟁(동시),최저가격제,N,제1363부대,ZD00231,제1363부대,ZD00231,0.0,28814805.0,29000000.0,0.0,2016-02-22,14:00:00,개찰완료,20242000.0,70.248,2016-02-22,(주)에스더블유씨(SWC),김동순,서영수,215-81-72575,"경기도 성남시 분당구 야탑로69번길 18, 동아프라자 5층(야탑동)"
LDH0117,1,접착제등55종구매,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,108948871.0,107944000.0,0.0,2016-02-15,11:30:00,개찰완료,96349500.0,88.435,2016-02-15,주식회사 유민기업,전은희,전은희,621-81-99196,제주특별자치도 제주시 한림읍 대림로101-4
UAC0002,1,디지털 인쇄재료 38종 구매,총액계약,제한경쟁,적격심사제,Y,국방출판지원단,ZD00908,국방출판지원단,ZD00908,87.995,53384149.0,54152340.0,0.0,2016-02-12,11:00:00,개찰완료,47012000.0,88.063,2016-02-12,더페이퍼,장창배,장창배,109-07-42908,"서울특별시 중구 마른내로12길7-4 (충무로5가, 충무로 현대 프레스타워)"
MDG0001,1,대구병원 공조기필터 교체 설치납품,총액계약,제한경쟁,적격심사제,Y,국군의무사령부,1290291,국군의무사령부,1290291,87.995,16715336.0,16831067.0,0.0,2016-02-11,17:00:00,개찰완료,14759500.0,88.299,2016-02-15,주식회사 크린필텍,문현정,문영철,132-86-09850,경기도 남양주시 불암로89-22 (별내동)
UAC0003,1,인쇄용지 3종 구매,총액계약,제한경쟁,적격심사제,Y,국방출판지원단,ZD00908,국방출판지원단,ZD00908,87.995,42134188.0,41779060.0,0.0,2016-02-12,11:00:00,개찰완료,37104380.0,88.062,2016-02-12,우솔아이앤씨,최경태,최경태,780-04-00157,서울특별시 금천구 남부순환로1314-0 (독산동) 519호 독산아네스트
MDG0002,1,부산병원 공조기필터 교체 설치납품,총액계약,제한경쟁,적격심사제,Y,국군의무사령부,1290291,국군의무사령부,1290291,87.995,18195625.0,18337864.0,0.0,2016-02-11,17:00:00,개찰완료,16059835.0,88.262,2016-02-15,동성ENG,김영배,김영태,119-04-78926,경기도 남양주시 화도읍 가곡로88번길54
SFH0020,1,16- 백령도 빵류 납품,총액계약,제한경쟁,적격심사제,Y,제9196부대,ZD00370,제9196부대,ZD00370,87.995,187706123.0,190320000.0,0.0,2016-02-15,11:00:00,개찰완료,165299680.0,88.063,2016-02-15,주식회사 동영상사,이주열,이주열,137-86-39868,"인천광역시 서구 백범로630번길22, 308-1호, 216호 (가좌동)"
MCM0001,1,교육용 패킷 분석장비 라이선스 구매,총액계약,제한경쟁,적격심사제,Y,4284부대,ZD00924,4284부대,ZD00924,87.995,38767113.0,39200000.0,0.0,2016-02-19,11:00:00,개찰완료,36645400.0,94.527,2016-02-19,(주)아이디어정보기술,유흥배,최진아,211-87-75209,서울특별시 구로구 디지털로34길55-0 (구로동)
UMM0047,1,의료재료 395종 구매,총액계약,일반경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,82.995,611488349.0,621717260.0,0.0,2016-02-19,11:00:00,개찰완료,515924000.0,84.371,2016-02-19,(주)메디콘,김강애,장덕운,215-87-64572,경기도 하남시 미사강변서로25 1층 F110호(미사테스타타워 지식산업센터)
LMC0001,1,00부대 간부식당 식자재 구매(육류),총액계약,2단계경쟁(동시),최저가격제,N,제7851부대,ZD00792,제7851부대,ZD00792,0.0,74696443.0,74424271.0,0.0,2016-02-29,15:00:00,개찰완료,63732600.0,85.322,2016-02-29,(주)이십일세기미트뱅크,김좌근,김정애,131-81-53566,인천광역시 서구 가좌로96번길36-0 (가좌동)대동상가2층
MDR0003,4,북한 및 해외 간행물 구매,총액계약,지명경쟁,최저가격제,N,제9965부대,ZD00075,제9965부대,ZD00075,0.0,8492591.0,8542087.0,0.0,2016-02-24,11:30:00,개찰완료,6783000.0,79.869,2016-02-24,아시아저널,정정옥,조윤화,209-06-22281,"서울특별시 강서구 공항대로200, 713호, 714호(마곡동)"
MDR0003,3,북한 및 해외 간행물 구매,총액계약,지명경쟁,최저가격제,N,제9965부대,ZD00075,제9965부대,ZD00075,0.0,,8542087.0,0.0,2016-02-18,11:30:00,유찰,,,,,,,,
LDH0124,1,온도센서 등 32종 구매,총액계약,제한경쟁,적격심사제,Y,제2879부대,ZD00347,제2879부대,ZD00347,87.995,18763975.0,18570000.0,0.0,2016-02-19,11:30:00,개찰완료,16610000.0,88.52,2016-02-22,창신기업,김병주,김병주,606-14-26130,"부산광역시 사상구 괘감로 37, 산업용품유통상가 24-205(괘법동)"
EGG0016,1,16년 오리콘용 탄약장진기,총액계약,제한경쟁,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,119911209.0,119367000.0,0.0,2016-04-12,14:00:00,개찰완료,103168890.0,86.037,2016-04-12,보령엔지니어링,김인영,신현경,107-02-93949,경기도 포천시 군내면 포천로1160번길87-51
