입찰공고번호,입찰공고차수,입찰공고명,계약체결형태명,계약체결방법명,낙찰자결정방법명,적격심사여부,공고기관명,공고기관코드,수요기관명,수요기관코드,낙찰하한율,예정가격,기초금액,추정가격,개찰일자,개찰시각,개찰결과구분명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체사업자등록번호,최종낙찰업체주소
SCH0087,1,잉크 등292종,총액계약,제한경쟁,최저가격제,N,해군작전사령부,ZD00137,해군작전사령부,ZD00137,0.0,89765393.0,91000000.0,0.0,2017-05-30,10:30:00,개찰완료,76908400.0,85.677,2017-05-30,전산&오피스 솔루션,신주희,이광호,603-08-99138,"부산광역시 남구 고동골로40-2, 2층(문현동)"
SFD0081,2,00대 생활관 신축 관급자재 통합배선 제조 설치,총액계약,일반경쟁,적격심사제,Y,제9227부대,ZD00150,제9227부대,ZD00150,87.995,76355211.0,75174757.0,0.0,2017-05-30,10:30:00,개찰완료,67452920.0,88.34,2017-05-30,건웅신호산전(주),박정현,박민규,105-86-22531,서울특별시 마포구 희우정로 14(합정동)
SFD0082,2,00대 생활관 신축 관급자재 방송 및 A.V 제조 설치,총액계약,일반경쟁,적격심사제,Y,제9227부대,ZD00150,제9227부대,ZD00150,87.995,51290241.0,51452427.0,0.0,2017-05-30,10:30:00,개찰완료,45135260.0,87.999,2017-05-30,주식회사 엠제이케이,이옥배,최성안,135-81-68741,"인천광역시 부평구 부평대로283, 씨동 907호(청천동, 우림라이온스밸리)"
LMN0017,2,00대대 정비고 폴딩 도어 설치납품,총액계약,제한경쟁,적격심사제,Y,제6955부대,ZD00477,제6955부대,ZD00477,88.0,34341586.0,34969890.0,0.0,2017-05-30,11:00:00,개찰완료,31000000.0,90.269,2017-05-30,세명 에스디,김일동,김일동,596-16-00521,경기도 의정부시 흥선로168번길32-0 (의정부동)201호
LMN0016,2,00대대 정비고 오버해드 도어 설치납품,총액계약,제한경쟁,적격심사제,Y,제6955부대,ZD00477,제6955부대,ZD00477,88.0,24603863.0,25030000.0,0.0,2017-05-30,11:00:00,개찰완료,22420000.0,91.123,2017-05-30,세명 에스디,김일동,김일동,596-16-00521,경기도 의정부시 흥선로168번길32-0 (의정부동)201호
UMM0272,1,인쇄 재단기 구매 설치,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,62838786.0,62370000.0,0.0,2017-05-19,11:00:00,개찰완료,55356282.0,88.092,2017-05-19,(주)다천씨에스,이병연,이병연,108-81-16197,서울특별시 동작구 동작대로43길1-1 (동작동)
SCF0124,1,리모트콘트롤써킷브레이커 등 2종,총액계약,제한경쟁,최저가격제,N,해군군수사령부,ZD00289,해군군수사령부,ZD00289,0.0,5459025.0,5560000.0,0.0,2017-05-19,10:30:00,개찰완료,4914000.0,90.016,2017-05-19,(주)동건,윤영현,윤영현,215-86-62413,강원특별자치도 동해시 전천로245-2 (북평동)
HCF0075,1,알곤 등 6종 구매,총액계약,제한경쟁,최저가격제,N,공군군수사령부,ZD00306,공군군수사령부,ZD00306,0.0,,24408992.0,0.0,2017-05-19,10:30:00,유찰,,,,,,,,
HCF0075,2,알곤 등 6종 구매,총액계약,제한경쟁,최저가격제,N,공군군수사령부,ZD00306,공군군수사령부,ZD00306,0.0,,24408992.0,0.0,2017-05-30,10:30:00,유찰,,,,,,,,
UMM0388,1,엔진브로와 등 3종 구매,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,69295178.0,70580000.0,0.0,2017-05-25,11:00:00,개찰완료,60984640.0,88.007,2017-05-25,삼보,한영수,한영수,863-39-00250,"대구광역시 북구 연경중앙로55, 101동 302호(연경동, 대구연경 연경숲)"
SCF0072,1,00함 대형도어 및 램프 정비,총액계약,일반경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,82.995,,540000000.0,0.0,2017-05-24,10:30:00,유찰,,,,,,,,
SCF0072,2,00함 대형도어 및 램프 정비,총액계약,일반경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,82.995,534895642.0,540000000.0,0.0,2017-06-15,10:30:00,개찰완료,470000000.0,87.867,2017-06-15,주식회사 일성이엔지,오세만,좌은경,602-81-53151,부산광역시 영도구 대교로2번길22-6 (봉래동3가) 2층
LMS0160,1,파병부대 춘추운동복 등 2종 구매,총액계약,2단계경쟁(동시),최저가격제,N,제7789부대,ZD00074,제7789부대,ZD00074,0.0,46305607.0,46880000.0,0.0,2017-05-29,14:00:00,개찰완료,40639100.0,87.762,2017-05-29,에프엔씨(f&c),최성애,최성애,335-38-00291,인천광역시 동구 송미로11-3 (송림동)
LMS0161,1,파병부대 운동화 등 5종 구매,총액계약,2단계경쟁(동시),최저가격제,N,제7789부대,ZD00074,제7789부대,ZD00074,0.0,47583577.0,48139000.0,0.0,2017-05-29,14:00:00,개찰완료,46880000.0,98.521,2017-05-29,해성스포츠,정광수,신경재,104-05-65052,"서울특별시 송파구 충민로10, A동 7층 18호(문정동, 가든파이브툴)"
HDQ0025,1,에어컨필터 등 106종 구매,총액계약,제한경쟁,최저가격제,N,제20전투비행단,ZD00161,제20전투비행단,ZD00161,0.0,15149318.0,14925495.0,0.0,2017-05-24,11:00:00,개찰완료,13129740.0,86.668,2017-05-24,서화테크,조미숙,조미숙,209-13-99401,서울특별시 성북구 북악산로 713(정릉동) 산장빌라7-304지하
UMM0389,1,AFCCS 군사정보통신망 노후장비 교체사업(리스물건),총액계약,2단계경쟁(동시),최저가격제,N,국군재정관리단,ZD00303,국군재정관리단,ZD00303,0.0,8725807796.0,8781936000.0,0.0,2017-06-23,11:00:00,개찰완료,8214900000.0,94.144,2017-06-23,(주)글로벌텔레콤,서승현,송지은,220-81-43387,"서울특별시 영등포구 영등포로150,A동 L152호,1304호~1313호"
EHD0052,1,17년 하계 전투복,총액계약,수의계약,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,,10347865000.0,0.0,2017-06-02,10:30:00,유찰,,,,,,,,
EHD0052,2,17년 하계 전투복,총액계약,수의계약,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,,10347865000.0,0.0,2017-06-08,10:30:00,유찰,,,,,,,,
EHD0052,3,17년 하계 전투복,총액계약,수의계약,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,,10347865000.0,0.0,2017-06-14,11:00:00,유찰,,,,,,,,
SFD0079,1,00대 생활관 신축 관급자재 플라스틱 창호 제조 구매,총액계약,일반경쟁,적격심사제,Y,제9227부대,ZD00150,제9227부대,ZD00150,87.995,71846581.0,71543689.0,0.0,2017-05-30,10:30:00,개찰완료,63369000.0,88.2,2017-05-30,라보산업 주식회사,이예슬,조성윤,120-81-20013,"서울특별시 강남구 밤고개로1길 10,(현대벤쳐빌 1711호) (수서동)"
UMM0407,1,침대생산자재 철재류(사각파이프 등 29종 제조,총액계약,일반경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,82.995,903033637.0,914731000.0,0.0,2017-06-01,10:30:00,개찰완료,758120000.0,83.952,2017-06-01,주식회사 디에스나이키,김준홍,박성태,101-81-45895,"서울특별시 구로구 구로중앙로134, 4층(구로동, 리치몰)"
