,입찰명,발주기관코드,발주기관,2종_Pick,2종_Remove,10종_Pick,10종_Remove
0,인쇄용지8종 제조/구매,UAC,국방출판지원단,인쇄,,용지,
1,병영도서 구매,LNF,제1보병사단,도서,,도서,
2,병영도서 구매,LNF,제1보병사단,도서,,도서,
3,병영도서 구매,LNF,제1보병사단,도서,,도서,
4,병영도서 구매,LNF,제1보병사단,도서,,도서,
5,인쇄용지 3종 제조/구매,UAC,국방출판지원단,인쇄,,용지,
6,00부대 창설사업 CCTV 제조설치(16-222),LGT,제2307부대,TV,,사업,
7,16-도서관 국외간행물 40종 구매,UAZ,합동군사대학교,도서,,도서,
8,복사용지 등 56종 구매,SCR,해군제3함대사령부,복사,,용지,
9,000사업 핸드형 네트워크 분석기 구매,MDS,제3707부대,네트워크,,사업,
10,군 상용차량 후방카메라 구매,LMK,제6보병사단,카메라,,상용,
11,00부대 도서구매,LGK,제5897부대,도서,,도서,
12,00부대 도서구매,LGK,제5897부대,도서,,도서,
13,00부대 도서구매,LGK,제5897부대,도서,,도서,
14,00부대 도서구매,LGK,제5897부대,도서,,도서,
15,00부대 도서구매,LGK,제5897부대,도서,,도서,
16,복사용지 등 7종,SCN,제7001부대,복사,,용지,
17,복사용지 등 7종,SCN,제7001부대,복사,,용지,
18,ATCIS 상용HW 유지보수 물품 구매,LNG,육군 제1군단,"물품, 유지보수",,상용,
19,교육재료(복사용지 등 56종) 구매,MDQ,국군의무학교,"교육, 복사",,용지,
20,복사용지 750box 구매,SCP,제8385부대,복사,,용지,
21,상용 샌드박스 서버(HW) 구매,MCM,4284부대,서버,,상용,
22,국방정보보호 부교재(도서) 구매,MCM,4284부대,"교재, 도서",,도서,
23,"입시홍보물품(3색 볼펜) 7,000개 구매",SCL,해군사관학교,"물품, 볼펜",,홍보물,
24,"복사용지 1,670박스",SCH,해군작전사령부,복사,,용지,
25,복사용지 등 3종 구매,SCP,제8385부대,복사,,용지,
26,복사용지 등 3종 구매,SCP,제8385부대,복사,,용지,
