,입찰명,발주기관코드,발주기관,2종_Pick,2종_Remove,6종_Pick,6종_Remove
0,스마트폰거치대 등 3종 구매,LCG,육군본부,거치대,,마트,
1,노후비품 가전제품 구매,HCF,공군군수사령부,비품,,가전제품,
2,'16년 마트용 물품봉투 제조,UMM,국군재정관리단,"물품, 봉투",,마트,
3,"마트 판매비품(냉장고,냉동고) 제조",UMM,국군재정관리단,"냉동고, 냉장고, 비품",,마트,
4,인쇄소모용품 76종(문구류) 구매,UAC,국방출판지원단,"문구, 인쇄",,문구,
5,신병교육 행정용품(문구류) 구매,LPG,제5보병사단,"교육, 문구",,문구,
6,어린이집 가전제품 22종 구매,MDR,제9965부대,어린이,,가전제품,
7,스마트 노트 등 85종,SFG,제9181부대,노트,,마트,
8,16년 신병교육 문구 구매,LNQ,제17보병사단,"교육, 문구",,문구,
9,17-마트 판매비품(워크인쿨러 냉장고) 제조 납품,UMM,국군재정관리단,"냉장고, 비품",,마트,
10,17-마트 판매 비품(수직형냉동고) 제조 납품,UMM,국군재정관리단,"냉동고, 비품",,마트,
11,스마트 보드 등 5종 제조설치,UMM,국군재정관리단,보드,,마트,
12,17년 마트 판매비품 냉장고/냉동고 제조 납품,UMM,국군재정관리단,"냉동고, 냉장고, 비품",,마트,
13,가전제품(TV 41대) 구매설치납품,MCX,자운대근무지원연대,TV,,가전제품,
14,"BTL 숙소 가전제품(냉장고, 세탁기) 구매",HDK,공군제11전투비행단,"냉장고, 세탁기",,가전제품,
15,'17년 마트용 물품봉투 제조 납품,UMM,국군재정관리단,"물품, 봉투",,마트,
16,군 마트 냉장·냉동고 구매,UAB,국군복지단,냉동고,,마트,
17,스마트 노트 등 59종 구매,SCK,해군교육사령부,노트,,마트,
18,18-항공과학고 스마트교실 교육망 개선사업,UMM,국군재정관리단,교육,,마트,
19,18-마트판매비품 워크인쿨러 등 2종 제조 납품,UMM,국군재정관리단,비품,,마트,
20,18-군 마트 물품봉투 제조,UMM,국군재정관리단,"물품, 봉투",,마트,
21,18-마트판매비품 대형냉장고 등 5종 제조 납품,UMM,국군재정관리단,"냉장고, 비품",,마트,
22,냉장고 등 가전제품 3종 구매,HDQ,제20전투비행단,냉장고,,가전제품,
23,18년 일반비품 가전제품 구매,MDG,국군의무사령부,비품,,가전제품,
24,마트 냉장고 등 4종 구매,UAB,국군복지단,냉장고,,마트,
25,마트 냉난방기 구매 설치,UAB,국군복지단,냉난방,,마트,
26,스마트해군 홍보 수건 등 3종,SCG,해군본부,수건,,마트,
27,직영휴양시설 물품(가전제품) 구매,UAB,국군복지단,물품,,가전제품,
28,마트 계산대 의자 등 7종 구매,UAB,국군복지단,의자,,마트,
29,캐릭터 차량용 스마트폰 거치대 400개,SCG,해군본부,거치대,,마트,
30,19년 마트용 물품봉투 제조(201910015-E),UMM,국군재정관리단,"물품, 봉투",,마트,
31,마트판매비품 워크인쿨러 구매,UAB,국군복지단,비품,,마트,
32,20-스마트 교육환경 구축(208161-A),UMM,국군재정관리단,교육,,마트,
33,간부숙소 통합비품 구매(가전제품),LGS,육군 제8군단,비품,,가전제품,
34,스마트 관제탑 성능개선 물품구매,HDQ,제20전투비행단,물품,,마트,
35,스마트폰 가슴밴드형 거치대 등 3종 구매,SCG,해군본부,거치대,,마트,
36,간부숙소 가전제품(냉장고 등 4종)구매,HDP,공군제19전투비행단,냉장고,,가전제품,
37,간부숙소 가전제품(냉장고 등 4종)구매,HDP,공군제19전투비행단,냉장고,,가전제품,
38,간부숙소 가전제품(냉장고 등 4종)구매,HDP,공군제19전투비행단,냉장고,,가전제품,
39,간부숙소 가전제품(냉장고 등 4종)구매,HDP,공군제19전투비행단,냉장고,,가전제품,
40,21-00원 기초생활용품(주방용품) 구매,UAZ,합동군사대학교,생활용품,,생활용품,
41,21-00원 기초생활용품(침구류) 구매,UAZ,합동군사대학교,"생활용품, 침구",,생활용품,
42,24년 학군사관 모집홍보물품(생활용품 7종세트) 구매,LGC,육군학생군사학교,"물품, 생활용품",,생활용품,
43,24년 학군사관 모집홍보물품(생활용품 7종세트) 구매,LGC,육군학생군사학교,"물품, 생활용품",,생활용품,
44,24년 학군사관 모집홍보물품(생활용품 7종세트) 구매,LGC,육군학생군사학교,"물품, 생활용품",,생활용품,
45,24년 학군사관 모집홍보물품(생활용품 7종세트) 구매,LGC,육군학생군사학교,"물품, 생활용품",,생활용품,
46,23년도 마트 판매용 종이봉투 제조,UAB,국군복지단,봉투,,마트,
47,23-D-마트 쇼핑용 종이봉투 제조(2310053-F),UMM,국군재정관리단,봉투,,마트,
48,23-D-마트 냉난방기 구매,UMM,국군재정관리단,냉난방,,마트,
49,24-N-스마트쉽 무선네트워크 구축 금융리스,UMM,국군재정관리단,네트워크,,마트,
50,24-09-312  취사기구(스마트 야채절단기 등) 14품목,HCM,공군교육사령부,취사기구,,마트,
51,24-D-마트용 종이봉투 제조,UMM,국군재정관리단,봉투,,마트,
