,입찰명,발주기관코드,발주기관,4종_Pick,4종_Remove,5종_Pick,5종_Remove
0,16년 지상조명지뢰,EGG,유도무기계약팀 (구:19.09.16),조명,,지뢰,
1,'16년 오성지상 신호조명탄,EGG,유도무기계약팀 (구:19.09.16),조명,,조명탄,
2,탄두회수장치 제조설치 납품,LCK,수도방위사령부,제조설치,,탄두,
3,17년 지상조명지뢰,EGG,유도무기계약팀 (구:19.09.16),조명,,지뢰,
4,17년 해상연막조명신호탄,EGG,유도무기계약팀 (구:19.09.16),조명,,신호탄,
5,탄두회수장치 고무블럭 TYPE 제조설치,UMM,국군재정관리단,제조설치,,탄두,
6,탄두회수장치 제조설치납품,SDG,제2002부대,제조설치,,탄두,
7,18년 지상조명지뢰,EGG,유도무기계약팀 (구:19.09.16),조명,,지뢰,
8,수류탄시험장비세트 제조설치(20196094-F),UMM,국군재정관리단,제조설치,,수류탄,
9,00지역 통신공사 FC통신관 제조 납품,LNT,제28보병사단,공사,,신관,
10,00지역 통신공사 FC통신관 제조 납품(A-19064),LPG,제5보병사단,공사,,신관,
11,20년 LED 연습용 조명지뢰,EBB,지상공통전력운영계약팀,"LED, 조명",,지뢰,
12,21년 LED 연습용 조명지뢰,EBB,지상공통전력운영계약팀,"LED, 조명",,지뢰,
13,22년 LED 연습용 조명지뢰,EBB,지상공통전력운영계약팀,"LED, 조명",,지뢰,
14,22-충-공-4D도장부스(00비 항공탄약 방부처리장 신축),HDP,공군제19전투비행단,신축,,항공탄,
15,23년 LED 연습용 조명지뢰,EBB,지상공통전력운영계약팀,"LED, 조명",,지뢰,
16,"23-N-펌프,원심식(EHC40B) 제조",UMM,국군재정관리단,펌프,,C4,
17,24-미-5 미사일방어태세 보강 공사 방호벽 제조설치,HDS,공군미사일방어사령부,"공사, 제조설치",,미사일,
