,입찰명,발주기관코드,발주기관,4종_Pick,4종_Remove,7종_Pick,7종_Remove
0,시설공사 관급자재(화물용엘리베이터)제조 설치납품,MCN,국방부근무지원단,"공사, 제조 설치",,엘리베이터,
1,00사 군관사 개선공사 엘리베이터 제조 설치,UMM,국군재정관리단,"공사, 제조 설치",,엘리베이터,
2,분전반(지상전술전자장비),SFG,제9181부대,분전반,,"장비, 전자장비",
3,다목적체육관 관급자재 무대장치 제조설치,LNS,제55보병사단,제조설치,,장치,
4,"16-해군제2기관장비실습장 수배전반, 분전반 제조)",UMM,국군재정관리단,분전반,,장비,
5,4개 개편부대 크레인 제조설치 납품,LNR,수도기계화보병사단,제조설치,,크레인,
6,16-공-본-17 관급자재(전관방송 AV포함) 제조설치,UMM,국군재정관리단,제조설치,,방송,
7,LED 원형센서등 등 113품목,SFH,제9196부대,LED,,센서,
8,과학화 출입시스템 제조 설치(2),UMM,국군재정관리단,제조 설치,,시스템,
9,131사업(2차) 관급자재(출입통제시스템) 제조설치,MCM,4284부대,제조설치,,시스템,
10,16-충-공-12 방송설비(305대대 통합건물 신축),HDR,공군방공관제사령부,신축,,방송,
11,16-충-공-12 무대장치(305대대 통합건물 신축),HDR,공군방공관제사령부,신축,,장치,
12,자동화 사격장비 제조설치,UMM,국군재정관리단,제조설치,,장비,
13,16-해-격납고 크레인 제조 설치,SCR,해군제3함대사령부,제조 설치,,크레인,
14,아파트 태양광 발전장치 제조설치,LMQ,제7297부대,"아파트, 제조설치",,장치,
15,통신센터 관급자재-태양광발전장치 제조 설치,HCR,공군제15특수임무비행단,제조 설치,,장치,
16,성당 신축 AV방송설비 제조설치,LPK,제8기동사단,"신축, 제조설치",,방송,
17,군차량 적재함 방수포 제조납품,LMQ,제7297부대,방수,,차량,
18,000사업 출입통제시스템 제조 설치,MDS,제3707부대,제조 설치,,시스템,
19,16-해-지원시설 방송설비 제조 설치,SCR,해군제3함대사령부,제조 설치,,방송,
20,00부대 창설사업 AV방송설비 제조설치,UMM,국군재정관리단,제조설치,,방송,
21,차량용 방수포(호루) 등 196품목 구매,SEE,제9해병여단,방수,,차량,
22,난방 및 급수시설 보수장비 설치납품,LFC,육군훈련소,보수,,장비,
23,차기다련장 2차 시설공사 방송설비 제조 설치납품,LNG,육군 제1군단,"공사, 제조 설치",,방송,
24,16-본-공-3 객실관리 시스템 제조설치,UMM,국군재정관리단,제조설치,,시스템,
25,00지역  광 단국장비 제조설치,UMM,국군재정관리단,제조설치,,장비,
26,자동화 사격장비 제조 설치납품,LKG,육군제53보병사단,제조 설치,,장비,
27,겐트리크레인 방수옥외등 등 8종 구매,LDH,육군종합정비창,방수,,크레인,
28,발전기 30kw 제조 설치,UMM,국군재정관리단,제조 설치,,발전기,
29,16-P-전력제어시스템 설비 제조 설치,UMM,국군재정관리단,제조 설치,,시스템,
30,00사단 호이스트크레인 제조설치,UMM,국군재정관리단,제조설치,,크레인,
31,인터컴 세트(전관방송설비) 제조설치,UMM,국군재정관리단,제조설치,,방송,
32,고수방어진지 개선 발전기 제조설치,UMM,국군재정관리단,제조설치,,발전기,
33,계룡스파텔 조명제어 시스템 설치 납품,LKS,육군인사사령부,조명,,시스템,
34,14-본-육-07 00대대 이전사업 전관방송/AV 제조 설치,UMM,국군재정관리단,제조 설치,,방송,
35,누전차단기 등 85종,SCU,해군 기동함대사령부,차단기,,전차,
36,00병원 이전사업 발전기 제조 설치,UMM,국군재정관리단,제조 설치,,발전기,
37,5톤 메가트럭 듀얼 밸브 등 40항목 구매(해파)(기동),LCF,육군군수사령부,밸브,,기동,
38,무정전전원장치(UPS) 제조설치(리스물건),UMM,국군재정관리단,제조설치,,장치,
39,00사령부 위병소 과학화 출입시스템 제조설치,UMM,국군재정관리단,제조설치,,시스템,
40,00지역 영상전송체계 노후장비 제조설치(2),UMM,국군재정관리단,제조설치,,장비,
41,00지역 영상전송체계 노후장비 제조설치(3),UMM,국군재정관리단,제조설치,,장비,
42,00부대 00진지 전원공급기 제조설치,LNG,육군 제1군단,제조설치,,공급기,
43,대형 콘크리트 절단기 구매,UMM,국군재정관리단,콘크리트,,절단기,
44,전원공급기 시험장비 TPS 제어부 랙 제조설치,UMM,국군재정관리단,제조설치,,"공급기, 시험장비, 장비",
45,16-덕-광전송장치 제조 설치,UMM,국군재정관리단,제조 설치,,장치,
46,LED구동장치 등 5품목,HCQ,공군제5공중기동비행단,LED,,장치,
47,덤웨이터 제조설치,LFC,육군훈련소,제조설치,,덤웨이터,
48,전관방송장비 제조 설치,UMM,국군재정관리단,제조 설치,,"방송, 장비",
49,위병소 과학화 출입시스템 제조 설치,UMM,국군재정관리단,제조 설치,,시스템,
50,노후 WAN 장비 제조설치,UMM,국군재정관리단,제조설치,,장비,
51,계룡대 발전기 병렬운전반 제조 설치,UMM,국군재정관리단,제조 설치,,발전기,
52,000사업 발전기(200Kw) 제조설치,MDS,제3707부대,제조설치,,발전기,
53,고각조절기 제조 설치,SFG,제9181부대,제조 설치,,조절기,
54,205항공대대 00사업 발전기 제조설치납품,LHK,제2군단,제조설치,,"발전기, 항공",
55,205항공대대 00사업 혼합골재 제조,LHK,제2군단,골재,,항공,
56,00병원 리모델링 공기조화기 제조설치,UMM,국군재정관리단,제조설치,,조화기,
57,00부대 전원공급장치(DC-48V 등 4품목) 제조 설치,UMM,국군재정관리단,제조 설치,,장치,
58,화포공장 호이스트크레인 제조설치,LDH,육군종합정비창,제조설치,,"크레인, 화포",
59,16-공-디젤발전기 60KW 등 5종 제조설치,UMM,국군재정관리단,제조설치,,발전기,
60,공사 생도학사정보체계 서버교체사업,UMM,국군재정관리단,공사,,정보체계,
61,전차포 사격장 모래구매,UMM,국군재정관리단,모래,,전차,
62,K계열전차 변속기 성능시험장비 제조설치,UMM,국군재정관리단,제조설치,,"시험장비, 장비, 전차",
63,16-본-육-4 방송설비 제조 설치,UMM,국군재정관리단,제조 설치,,방송,
64,00부대 무정전전원장비 제조설치,MDC,제1363부대,제조설치,,장비,
65,나사류(K-1전차용),EGF,기동화력계약팀 (구:19.09.16),나사,,전차,
66,16-본-육-9 호이스트크레인 제조설치,UMM,국군재정관리단,제조설치,,크레인,
67,TA-512K(A) 전화기 스위치등 2항목 구매(물품),LCF,육군군수사령부,스위치,,전화기,
68,"밸브 조립체,차단용(76미리함포 부품)",EGC,함정계약팀 (구:19.09.16),밸브,,함포,
69,"밸브 조립체,차단용(76미리함포 부품)",EGC,함정계약팀 (구:19.09.16),밸브,,함포,
70,무인감시장비 제조설치,LCG,육군본부,제조설치,,"감시장비, 장비",
71,무인감시장비 제조설치,LCG,육군본부,제조설치,,"감시장비, 장비",
72,무인감시장비 제조설치,LCG,육군본부,제조설치,,"감시장비, 장비",
73,"연결기, 배기 파이프용 등 7항목 구매(궤도)",LCF,육군군수사령부,파이프,,연결기,
74,기계실 이전 무정전전원장치(UPS)제조 설치,UMM,국군재정관리단,제조 설치,,장치,
75,K1전차 나사등87종구매,LDH,육군종합정비창,나사,,전차,
76,16-해-변전실 비상발전기 제조설치,UMM,국군재정관리단,제조설치,,발전기,
77,13-본-국대-01 00학교이전 송풍기 제조설치,UMM,국군재정관리단,제조설치,,송풍기,
78,차량밸브류,EHA,일반장비계약팀 (구:19.09.16),밸브,,차량,
79,K1 전차 나사류,EGF,기동화력계약팀 (구:19.09.16),나사,,전차,
80,00부대 수배전반 전력제어장치 제조 설치,UMM,국군재정관리단,제조 설치,,장치,
81,00부대 관급자재(발전기) 제조설치,UMM,국군재정관리단,제조설치,,발전기,
82,00부대 관급자재(발전기) 제조설치,UMM,국군재정관리단,제조설치,,발전기,
83,잠수함용 회전주파수 변환기 제조 설치,UMM,국군재정관리단,제조 설치,,잠수함,
84,디젤발전기 500KW 제조 설치,UMM,국군재정관리단,제조 설치,,발전기,
85,"스위치,압력식(K-1전차용)",EGF,기동화력계약팀 (구:19.09.16),스위치,,전차,
86,산불진화장비(고압펌프 등 9종 set) 구매,LPG,제5보병사단,펌프,,장비,
87,'16년 VoIP 교환기용 자동안내장치 제조설치,UMM,국군재정관리단,제조설치,,장치,
88,'16년 VoIP 교환기용 음성동보장치 제조설치,UMM,국군재정관리단,제조설치,,장치,
89,"펌프장치,유압식,동력구동식 등 2항목 구매(기장)",LCF,육군군수사령부,펌프,,장치,
90,RAPCON 통신통제장비 제조설치,UMM,국군재정관리단,제조설치,,장비,
91,무선기동 영상전송장비 제조 설치,UMM,국군재정관리단,제조 설치,,"기동, 장비",
92,휴대용 영상전송장비 제조 설치,UMM,국군재정관리단,제조 설치,,장비,
93,(16-030)기타일반장비획득(전동카트),HDM,공군제17전투비행단,타일,,"일반장비, 장비",
94,이동형 발전기 제조설치,UMM,국군재정관리단,제조설치,,발전기,
95,00학교 이전 무정전전원장치(UPS) 제조설치,UMM,국군재정관리단,제조설치,,장치,
96,사격장 방송장비시스템 제조설치,UMM,국군재정관리단,제조설치,,"방송, 시스템, 장비",
