,입찰명,발주기관코드,발주기관,8종_Pick,8종_Remove,9종_Pick,9종_Remove
0,응급처치 실습재료(제세동기 패드 등 7종) 구매,MDQ,국군의무학교,응급,,패드,
1,의무장비(7차) 드릴셋 신경외과용 구매,MDD,국군수도병원,"신경, 외과, 의무",,드릴,
2,수술드릴및쏘셋배터리식 구매,UMM,국군재정관리단,수술,,"드릴, 배터리",
3,수술드릴및쏘셋전기식 구매,UMM,국군재정관리단,수술,,드릴,
4,특수수술재료(금속성ANCHOR 등 2종) 구매,UMM,국군재정관리단,수술,,금속,
5,전기온열패드 3항목 구매(의무),LCF,육군군수사령부,의무,,패드,
6,의료기재 구매(내성발톱 교정기),MDJ,국군대전병원,의료,,톱,
7,응급흉부외상패드 1항목 구매(의무),LCF,육군군수사령부,"외상, 응급, 의무",,패드,
8,의료장비소모품(도우넛젤 헤드패드 외 32종) 구매,MCS,국방부계룡대근무지원단,의료,,패드,
9,상처용 드레싱 패드 등 15항목 구매(의무),LCF,육군군수사령부,의무,,패드,
10,상처용드레싱 패드 등 15항목 구매(의무),LCF,육군군수사령부,의무,,패드,
11,2017년 의무장비 오실로스코프 구매,MDG,국군의무사령부,의무,,오실로스코프,
12,의료재료(내성발톱교정 재료) 구매,UMM,국군재정관리단,의료,,톱,
13,양주병원 UPS축전지 교체,MDG,국군의무사령부,병원,,전지,
14,6차 의무장비 구매(미세수술드릴 성형외과용),MDD,국군수도병원,"수술, 외과, 의무",,드릴,
15,의료기재구매(내성발톱교정기),MDJ,국군대전병원,의료,,톱,
16,재투자 의무장비 구매(기공용 마이크로엔진),MDJ,국군대전병원,의무,,엔진,
17,수도병원 수변전설비 UPS 오버홀,MDG,국군의무사령부,병원,,오버홀,
18,의무장비(수술드릴 및 쏘셋 밧데리식) 구매,MDD,국군수도병원,"수술, 의무",,"드릴, 밧데리",
19,중금속가열분석기 1항목 구매(의무),LCF,육군군수사령부,의무,,금속,
20,중금속가열분석기 1항목 구매(의무),LCF,육군군수사령부,의무,,금속,
21,하트신테크톨로지사마리안패드350P등11종(의료기재),SCN,제7001부대,의료,,패드,
22,20년 의무장비(기공용 마이크로엔진 등 3품목) 구매,MDG,국군의무사령부,의무,,엔진,
23,20년 의무장비(고속연마기 등 3품목) 구매,MDG,국군의무사령부,의무,,연마기,
24,중금속가열분석기 1항목 구매(의무),LCF,육군군수사령부,의무,,금속,
25,중금속가열분석기 1항목 구매(의무),LCF,육군군수사령부,의무,,금속,
26,(207123-F)의무장비(미세수술드릴 신경외과용)구매,UMM,국군재정관리단,"수술, 신경, 외과, 의무",,드릴,
27,의료기재(HearStart HS1 패드 등 30종),SCN,제7001부대,의료,,패드,
28,20년 3차 의무장비(고속연마기 치과용) 구매,MDD,국군수도병원,"의무, 치과",,연마기,
29,20년 3차 의무장비(기공용마이크로엔진등 2종)구매,MDD,국군수도병원,의무,,엔진,
30,(217355-C) 수술드릴 및 쏘셋밧데리식 미들본용 구매,UMM,국군재정관리단,수술,,"드릴, 밧데리",
31,21년 의무장비(3차 수술드릴 및 쏘셋밧데리식 라지본),MDD,국군수도병원,"수술, 의무",,"드릴, 밧데리",
32,의무장비 재투자 조달-수술드릴 및 쏘셋,MDJ,국군대전병원,"수술, 의무",,드릴,
33,21년 의무장비(흡입기 야전용(배터리)) 구매,MDG,국군의무사령부,의무,,배터리,
34,2021년 특수수술재료 (외고정장치용 HALF PIN) 구매,MDG,국군의무사령부,수술,,장치용,
35,Heartpro NT-280 패드 등 13종 구매(의료기재),SCN,제7001부대,의료,,패드,
36,2022 재투자 의무장비(임플란트엔진) 구매,MDD,국군수도병원,의무,,엔진,
37,22년 예비군 육성지원(응급처치키트/야전지혈대 구매),LPF,제51보병사단,"응급, 지혈",,전지,
38,상처드레싱패드 1품목 구매(의무),LCF,육군군수사령부,의무,,패드,
39,공조기필터 교체(함평병원),MDG,국군의무사령부,병원,,필터,
40,포천병원 UPS 및 축전지 교체,MDG,국군의무사령부,병원,,전지,
41,중금속 가열분석기 등 1항목 구매(의무),LCF,육군군수사령부,의무,,금속,
42,22년 의무장비(공기식드릴 신경외과용) 구매,MDG,국군의무사령부,"신경, 외과, 의무",,드릴,
43,(의료기재)Hearton A15-G4 배터리 등 67종  구매,SCH,해군작전사령부,의료,,배터리,
44,의료기재(마취가스HME필터 등 29종) 구매,SCN,제7001부대,의료,,필터,
45,의무장비-수술드릴 및 쏘셋(밧데리식) 구매,MDJ,국군대전병원,"수술, 의무",,"드릴, 밧데리",
46,의료기재(AED 패드 등 7종) 구매,SCU,해군 기동함대사령부,의료,,패드,
47,의무물자(근관모터 등 129종) 구매,SCN,제7001부대,의무,,모터,
48,23년 의무장비(수술드릴 및 쏘셋) 구매,MDG,국군의무사령부,"수술, 의무",,드릴,
49,의무장비(HeartSine Smaritan 패드/배터리) 구매,SCN,제7001부대,의무,,"배터리, 패드",
50,"패드, 복부용 등 6항목 구매(의무)",LCF,육군군수사령부,의무,,패드,
51,의무물자(폐활량필터 등 42종) 구매,SCN,제7001부대,의무,,필터,
52,24년 의무장비(흡인기 야전용 배터리식) 구매,MDG,국군의무사령부,의무,,배터리,
