,입찰명,발주기관코드,발주기관,3종_Pick,3종_Remove,8종_Pick,8종_Remove
0,의료용 액화질소 등 23종,SFG,제9181부대,질소,,의료,
1,장비운영소모품 의료가스 구매,MDD,국군수도병원,가스,,의료,
2,16년 의료용 산소 구매,LGP,제1군수지원사령부,산소,,의료,
3,(16-007)일반의무장비획득(산소소생기외 3품목),HDM,공군제17전투비행단,산소,,의무,
4,손 소독제 등 36항목 구매(의무),LCF,육군군수사령부,소독제,,의무,
5,2017년 의무장비 산소소생기자동식 병원용 구매,MDG,국군의무사령부,산소,,"병원, 의무",
6,17-3차 일반 및 의무비품(산소유량계 등 10품목) 구매,MDG,국군의무사령부,산소,,의무,
7,아산화질소 1항목 구매(의무),LCF,육군군수사령부,질소,,의무,
8,17년 부대조달 의료가스 구매,MDD,국군수도병원,가스,,의료,
9,'18년 의료용산소 충전 및 용기검사(밸브교체),LIK,제2군수지원여단,산소,,의료,
10,의료용 가스 구매(의료용액체산소 등 5품목),MDJ,국군대전병원,"가스, 산소",,의료,
11,의료용 가스 구매(의료용액체산소 등 5품목),MDJ,국군대전병원,"가스, 산소",,의료,
12,의료용 가스 구매(의료용액체산소 등 5품목),MDJ,국군대전병원,"가스, 산소",,의료,
13,의료용 가스 구매(의료용액체산소 등 5품목),MDJ,국군대전병원,"가스, 산소",,의료,
14,19-34차 의무장비 고유량 산소치료기 구매,MDD,국군수도병원,산소,,"의무, 치료",
15,의무장비(산소호흡기) 구매(20196299-D),UMM,국군재정관리단,산소,,의무,
16,19-12차(3) 의무장비 혈액가스분석기 소형 구매,MDD,국군수도병원,가스,,의무,
17,19-8차 의무장비(6.고유량 산소공급기) 구매,MDD,국군수도병원,산소,,의무,
18,의료용산소혼합공급기(습식) 등 60종,SCN,제7001부대,산소,,의료,
19,19년 병리장비소모품(13) 혈액가스분석기 구매,MDD,국군수도병원,가스,,병리,
20,코로나19 긴급조달의무장비 고유량 산소치료기구매,MDD,국군수도병원,산소,,"의무, 치료",
21,"20년 의료용 산소 구매 및 용기안전검사,밸브교체",LGI,제3군수지원여단,산소,,의료,
22,의료용산소 구매 및 용기검사(밸브교체),LIK,제2군수지원여단,산소,,의료,
23,의료용 가스(의료용액체산소(LO2) 등 6종) 구매,MDJ,국군대전병원,"가스, 산소",,의료,
24,20년 의료가스(액화산소등 7품목) 구매,MDD,국군수도병원,"가스, 산소",,의료,
25,21년  의무장비 구매 (2차 호기산화질소 측정기),MDD,국군수도병원,질소,,의무,
26,(217098-C) 의무장비(의료가스중앙공급장치) 구매,UMM,국군재정관리단,가스,,"의료, 의무",
27,21년 의무장비(고유량 산소치료기) 구매,MDG,국군의무사령부,산소,,"의무, 치료",
28,21년 의무장비(혈액가스 분석기 중형) 구매,MDG,국군의무사령부,가스,,의무,
29,21년 의무장비(소독기저온멸균형(EO가스)),MDG,국군의무사령부,가스,,의무,
30,"21년 의료용품(의료가스,용기안전감시및밸브교체)구매",LGP,제1군수지원사령부,가스,,의료,
31,'21년 의료용산소 부대조달 계약 의뢰,LBB,육군제7789부대,산소,,의료,
32,"21년 의료용 산소 구매 및 용기안전검사,밸브교체",LGI,제3군수지원여단,산소,,의료,
33,장비운영소모품-의료용 가스(액체산소 등 6종) 구매,MDJ,국군대전병원,"가스, 산소",,의료,
34,21년 의무장비(혈액가스분석기 중형) 구매,MDG,국군의무사령부,가스,,의무,
35,21년 의료용산소 구매 및 용기검사(밸브교체),LIK,제2군수지원여단,산소,,의료,
36,21년 의료가스(액화산소 등 8품목) 구매,MDD,국군수도병원,"가스, 산소",,의료,
37,22년 의무장비(혈액가스분석기 중형) 구매,MDG,국군의무사령부,가스,,의무,
38,혈액가스분석기 병리장비운영소모품(13) 구매계약,MDD,국군수도병원,가스,,병리,
39,2022년 의무장비(혈액가스및전해질분석기) 구매,MDD,국군수도병원,가스,,의무,
40,2022년 의무장비(혈액가스및전해질분석기) 구매,MDD,국군수도병원,가스,,의무,
41,2022년 의무장비(혈액가스및전해질분석기) 구매,MDD,국군수도병원,가스,,의무,
42,2022년 의무장비(혈액가스및전해질분석기) 구매,MDD,국군수도병원,가스,,의무,
43,(226100-F)의무장비(산소소생기 자동식)구매,UMM,국군재정관리단,산소,,의무,
44,22년 의무장비(혈액가스분석기 소형) 구매,MDG,국군의무사령부,가스,,의무,
