,입찰명,발주기관코드,발주기관,2종_Pick,2종_Remove,4종_Pick,4종_Remove
231,(긴급) 실린더 구동 밸브 블럭 등 6종,SCF,해군군수사령부,실린더,,밸브,
232,23-004 프린터 유지보수 박스 등 40 품목,HCQ,공군제5공중기동비행단,"유지보수, 프린터",,보수,
233,병영생활관 세탁기 구매,MCS,국방부계룡대근무지원단,세탁기,,생활관,
234,00부대 실내체육관 자동제어 제조설치,LPG,제5보병사단,체육,,제조설치,
235,써보니 접지개별 스위치부착 6구 멀티탭 등 57종,SDF,제5738부대,멀티탭,,스위치,
236,세탁기 수도꼭지 등 24종 구매,SDF,제5738부대,세탁기,,수도꼭지,
237,스위치 부착 4구 멀티탭 등 2005종 구매,SDF,제5738부대,멀티탭,,스위치,
238,(23군책-물품016)00부대 팔레트 저장랙 구매 및 설치,LCJ,종합보급창,물품,,저장랙,
239,"밸브,앵글형 등 14종",SCR,해군제3함대사령부,앵글,,밸브,
240,(23G043-A)네트워크개선 통신공사 금융리스,UMM,국군재정관리단,네트워크,,공사,
241,유지보수상자 등 120품목 구매 납품,SFD,제9227부대,"상자, 유지보수",,보수,
242,"앵글, 게이트밸브 등 7종 구매",SCF,해군군수사령부,앵글,,밸브,
243,안보교육관 관급자재(오디오믹서 등) 제조 설치,SEE,제9해병여단,교육,,제조 설치,
244,"(긴급)실린더 밸브,3방향용 등 9종 구매",SCF,해군군수사령부,실린더,,밸브,
245,00해안 감시기동대대 개편 공사(주방기구6종) 구매,LKH,제6128부대,주방기구,,공사,
246,[60전대] 실린더 버터플라이 밸브 등 90종,HCF,공군군수사령부,실린더,,밸브,
247,(246342-C) 교육생생활관 관급자재(자동제어) 제조,UMM,국군재정관리단,교육,,생활관,
248,(육성) 00부대 PC(본체) 제조 설치 납품,LQG,육군 52보병사단,PC,,제조 설치,
249,[24-04]00부대 실내체육관 신축 자동제어 제조설치,LMK,제6보병사단,체육,,"신축, 제조설치",
250,상무아파트 간부숙소 세탁기 구매,LGH,육군상무대근무지원단,세탁기,,아파트,
251,상무아파트 간부숙소 세탁기 구매,LGH,육군상무대근무지원단,세탁기,,아파트,
252,상무아파트 간부숙소 세탁기 구매,LGH,육군상무대근무지원단,세탁기,,아파트,
253,상무아파트 간부숙소 세탁기 구매,LGH,육군상무대근무지원단,세탁기,,아파트,
254,24년 2차 시설물 유지보수 자재 구매,LCN,육군사관학교,유지보수,,보수,
255,24년 시설물 유지보수 자재 구매,LCN,육군사관학교,유지보수,,보수,
256,배관보수테이프 등 82종 구매,SCQ,제9911부대,테이프,,"배관, 보수",
257,실리콘 테이프(회색) 등 89종 구매,SCF,해군군수사령부,테이프,,실리콘,
258,'24-1차 병영생활관 에어컨 구매(제조),LNH,육군제7163부대,에어컨,,생활관,
259,(24군책-물품023)파렛트 3단 저장랙 제조,LCJ,종합보급창,"물품, 파렛트",,저장랙,
260,콘크리트믹서기 등 3종 3대 구매,SCF,해군군수사령부,믹서기,,콘크리트,
261,"실린더, 나사용 1종 구매",SCF,해군군수사령부,실린더,,나사,
262,"(긴급)앵글,건축용 등 36종",SCF,해군군수사령부,앵글,,건축,
263,"(긴급) 밸브, 앵글형 등 41종",SCF,해군군수사령부,앵글,,밸브,
264,(24육군-물품016)부대운영자재(합판) 구매,LCJ,종합보급창,물품,,합판,
265,24-신영-01 실내체육관 신축 무대장치 제조설치,LHN,제7보병사단,체육,,"신축, 제조설치",
266,24-신영-01 실내체육관 자동제어 제조 설치(수정),LHN,제7보병사단,체육,,제조 설치,
267,'24년 지형분석재료(전산운영용품) 구매(24-GP-15),LGT,제2307부대,전산,,석재,
268,재난안전물품(등짐펌프등 15품목) 구매 납품,SFD,제9227부대,물품,,펌프,
269,"포장재료, 방수, 가요성 1품목 제조(물자)",LCF,육군군수사령부,포장재,,방수,
270,교육생 숙소 신축 관급(자동제어),LFH,육군부사관학교,교육,,신축,
271,교육생 숙소 신축 관급(자동제어),LFH,육군부사관학교,교육,,신축,
272,교육생 숙소 신축 관급(자동제어),LFH,육군부사관학교,교육,,신축,
273,교육생 숙소 신축 관급(자동제어),LFH,육군부사관학교,교육,,신축,
274,교육생 숙소 신축 관급자재 (타일),LFH,육군부사관학교,교육,,"신축, 타일",
