,입찰명,발주기관코드,발주기관,9종_Pick,9종_Remove,10종_Pick,10종_Remove
0,신호처리기 조립체 등 16항목 구매(기장),LCF,육군군수사령부,조립체,,처리,
1,관급자재(전관방송 및 AV설비) 제조 설치납품,MCN,국방부근무지원단,관급자재,,방송,
2,종교센타 리모델링 관급자재(조명기구) 제조납품,MCN,국방부근무지원단,관급자재,,종교,
3,16-공-본-17 관급자재(전관방송 AV포함) 제조설치,UMM,국군재정관리단,관급자재,,방송,
4,16-본-공-5 도서관 리모델링 관급자재(조명기구),HCL,공군사관학교,관급자재,,도서,
5,131사업(2차) 관급자재(출입통제시스템) 제조설치,MCM,4284부대,관급자재,,사업,
6,차기다련장 3차 시설사업 관급자재(크레인) 설치납품,LFK,육군종합군수학교,관급자재,,사업,
7,차기다련장 3차 시설사업 관급자재(보일러) 설치납품,LFK,육군종합군수학교,관급자재,,사업,
8,ATCIS 상용HW 유지보수 물품 구매,LNG,육군 제1군단,유지보수,,상용,
9,16년 원격정비지원체계 구축사업 등 4건 리스,UMM,국군재정관리단,정비,,"구축, 사업",
10,00부대개편사업 관급자재(크레인) 설치납품,LNM,제5181부대,관급자재,,사업,
11,00학교 이전사업 관급자재(디자인휀스) 제조설치,UMM,국군재정관리단,관급자재,,사업,
12,00부대 이전사업 관급자재(타일 4종) 설치납품,MDG,국군의무사령부,관급자재,,사업,
13,"처리장치,통신접속장치용",SDQ,해군제2수리창,장치용,,처리,
14,00부대 이전사업 관급자재(진공온수보일러) 구매,LMH,제7군단,관급자재,,사업,
15,K5 브레이크패드 등 134종,SDF,제5738부대,"브레이크, 패드",,레이크,
16,방송중계장비 배터리 교체,MDI,제7016부대,배터리,,방송,
17,브레이크 패드 앞 등 97품목,SFH,제9196부대,"브레이크, 패드",,레이크,
18,16년 원격정비지원체계 구축사업(리스물건),UMM,국군재정관리단,정비,,"구축, 사업",
19,브레이크 드럼 등 166종,HCF,공군군수사령부,브레이크,,레이크,
20,브레이크 시험기 등 4항목 제조(기장),LCF,육군군수사령부,브레이크,,레이크,
21,브레이크 시험기 등 4항목 제조(기장),LCF,육군군수사령부,브레이크,,레이크,
22,000사업 UPS 및 배터리 제조설치,MDS,제3707부대,배터리,,사업,
23,000사업 UPS 및 배터리 제조설치,MDS,제3707부대,배터리,,사업,
24,앵카 윈드라스 브레이크 패드 등 13종 구매,SCR,해군제3함대사령부,"브레이크, 패드",,레이크,
25,00부대 이전사업 관급자재(온수저장탱크)(16-특별-03),LMR,제5군단사령부,관급자재,,사업,
26,풋살장 3개소 관급자재(인조잔디 및 충진재) 설치납품,LKG,육군제53보병사단,관급자재,,잔디,
27,음향장비 노후 부속품 교체,MDI,제7016부대,부속품,,음향,
28,"케이블 조립체,특수목적용 등 43항목 제조(궤도)",LCF,육군군수사령부,조립체,,수목,
29,16년 금속휘장류,EHD,물자계약팀,금속,,휘장,
30,브레이크 드럼 등 130종,HCF,공군군수사령부,브레이크,,레이크,
31,16년 사무자동화장비(데스크톱PC) 도입사업(리스물건),UMM,국군재정관리단,톱,,사업,
32,브레이크액,EHC,급식유류계약팀,브레이크,,레이크,
33,브레이크액,EHC,급식유류계약팀,브레이크,,레이크,
34,브레이크액,EHC,급식유류계약팀,브레이크,,레이크,
35,브레이크액,EHC,급식유류계약팀,브레이크,,레이크,
36,브레이크액,EHC,급식유류계약팀,브레이크,,레이크,
37,브레이크액,EHC,급식유류계약팀,브레이크,,레이크,
38,브레이크 슈 세트 등 2항목 제조(기장),LCF,육군군수사령부,브레이크,,레이크,
39,국방대 이전사업 관급자재(PE관및이음관),MFH,국방시설본부,관급자재,,사업,
40,작전영상전송장비(KAISHOT) 유지보수 정비,SCF,해군군수사령부,"유지보수, 정비",,영상,
41,작전영상전송장비(KAISHOT) 유지보수 정비,SCF,해군군수사령부,"유지보수, 정비",,영상,
42,자료연동처리기(DLPS) 유지보수 정비,SCF,해군군수사령부,"유지보수, 정비",,처리,
43,자료연동처리기(DLPS) 유지보수 정비,SCF,해군군수사령부,"유지보수, 정비",,처리,
44,함정용 위성방송수신안테나 유지보수 정비,SCF,해군군수사령부,"유지보수, 정비",,방송,
45,함정용 위성방송수신안테나 유지보수 정비,SCF,해군군수사령부,"유지보수, 정비",,방송,
46,함정용 위성방송수신안테나 유지보수 정비,SCF,해군군수사령부,"유지보수, 정비",,방송,
47,함정용 위성방송수신안테나 유지보수 정비,SCF,해군군수사령부,"유지보수, 정비",,방송,
48,도서(최강건설기계 정비 기능사) 등 192종,SCK,해군교육사령부,정비,,도서,
49,329사업 2차 시설공사(금속재패널 제조 설치),LMD,제7821부대,금속,,사업,
50,D004 남양이전사업 시설공사 관급자재-방송AV,UHD,공군 작사예하 방포사예하 제3여단,관급자재,,"방송, 사업",
51,D004 남양이전사업 시설공사 관급자재- 통합배선,UHD,공군 작사예하 방포사예하 제3여단,관급자재,,사업,
52,교육훈련상황실 전시장비 정비/교체 사업,SCL,해군사관학교,정비,,사업,
53,17-00부대 세병관(명량홀) 전시장비 정비/교체 사업,UMM,국군재정관리단,정비,,사업,
54,과학화경계시스템 성능개선사업(노후부품 교체) 계약,LQP,제1891부대,부품,,사업,
55,17-00부대 상황공유체계 정비/교체 사업,UMM,국군재정관리단,정비,,사업,
56,롤필터 외 3종 제조납품 및 폐 필터 수거/처리,MCS,국방부계룡대근무지원단,필터,,처리,
57,"바라쿠다 브레이크 밸브 등 25항목 구매(기장, 해파)",LCF,육군군수사령부,브레이크,,레이크,
58,다목적전술차 브레이크및라이닝구매,LDH,육군종합정비창,"라이닝, 브레이크",,레이크,
59,155mm 교체시설사업(연천) 관급자재 혼합골재,LQC,제7856부대,관급자재,,사업,
60,"브레이크 시험기 등 4항목 제조(기장, 추가)",LCF,육군군수사령부,브레이크,,레이크,
61,17년 금속휘장류,EHD,물자계약팀,금속,,휘장,
62,17년 노후 축전지 교체사업,MDF,국군지휘통신사령부,전지,,사업,
63,디스크 브레이크 슈 등 20항목 제조(기장),LCF,육군군수사령부,브레이크,,레이크,
64,브레이크 시험기 등 4항목 제조(기장),LCF,육군군수사령부,브레이크,,레이크,
65,브레이크 시험기 등 4항목 제조(기장),LCF,육군군수사령부,브레이크,,레이크,
66,브레이크아웃 등 22품목(도서),SFG,제9181부대,브레이크,,"도서, 레이크",
67,'17년 00부대 상황공유체계 정비/교체사업,UMM,국군재정관리단,정비,,사업,
68,17-00부대 세병관 전시장비 정비/교체 사업,UMM,국군재정관리단,정비,,사업,
69,17년 함정 원격정비지원체계 구축사업(리스물건),UMM,국군재정관리단,정비,,"구축, 사업",
70,00대 생활관 신축 관급자재 방송 및 A.V 제조 설치,SFD,제9227부대,관급자재,,방송,
71,00대 생활관 신축 관급자재 방송 및 A.V 제조 설치,SFD,제9227부대,관급자재,,방송,
72,00대 생활관 신축 관급자재 방송 및 A.V 제조 설치,SFD,제9227부대,관급자재,,방송,
73,00대 생활관 신축 관급자재 방송 및 A.V 제조 설치,SFD,제9227부대,관급자재,,방송,
74,조달(17-147)[수송]브레이크시험기등 4종 제조및설치,HCQ,공군제5공중기동비행단,브레이크,,레이크,
75,17년 사무자동화장비(데스크톱PC) 도입사업(리스물건),UMM,국군재정관리단,톱,,사업,
76,000사업 UPS 및 배터리 제조설치,MDS,제3707부대,배터리,,사업,
77,000사업 UPS 및 배터리 제조설치,MDS,제3707부대,배터리,,사업,
78,고성능 영상감시체계 유지보수 정비,SCF,해군군수사령부,"유지보수, 정비",,영상,
79,고성능 영상감시체계 유지보수 정비,SCF,해군군수사령부,"유지보수, 정비",,영상,
80,함정용 위성방송수신안테나 유지보수 정비,SCF,해군군수사령부,"유지보수, 정비",,방송,
81,함정용 위성방송수신안테나 유지보수 정비,SCF,해군군수사령부,"유지보수, 정비",,방송,
82,함정용 위성방송수신안테나 유지보수 정비,SCF,해군군수사령부,"유지보수, 정비",,방송,
83,함정용 위성방송수신안테나 유지보수 정비,SCF,해군군수사령부,"유지보수, 정비",,방송,
84,브레이크액,EHC,급식유류계약팀,브레이크,,레이크,
85,브레이크액,EHC,급식유류계약팀,브레이크,,레이크,
86,브레이크액,EHC,급식유류계약팀,브레이크,,레이크,
87,브레이크액,EHC,급식유류계약팀,브레이크,,레이크,
88,브레이크액,EHC,급식유류계약팀,브레이크,,레이크,
89,브레이크액,EHC,급식유류계약팀,브레이크,,레이크,
90,"케이블조립체,특수목적용,전기용 등 7항목 구매(기장)",LCF,육군군수사령부,조립체,,수목,
91,"케이블조립체,특수목적용,전기용 등 8항목 제조(기장)",LCF,육군군수사령부,조립체,,수목,
92,조사리강하훈련장 관급자재 스틸그레이팅 제조 설치,SFD,제9227부대,관급자재,,조사,
93,발칸 브레이크판B등5종구매,LDH,육군종합정비창,브레이크,,레이크,
94,"18-00사 관급자재(방송,AV) 제조설치",UMM,국군재정관리단,관급자재,,방송,
95,00사업 관급자재(자동제어시스템) 제조 설치,UMM,국군재정관리단,관급자재,,사업,
96,부대개편사업 관급자재(크레인) 제조설치,UMM,국군재정관리단,관급자재,,사업,
97,18년 상황전시기 노후 및 정비불가장비 교체사업,UMM,국군재정관리단,정비,,사업,
98,00부대 이전사업 관급자재 합성수지창호 제조설치,UMM,국군재정관리단,관급자재,,사업,
99,홍보물품(휴대용보조배터리등 12품목)구매,UMM,국군재정관리단,배터리,,홍보물,
100,18-06-144(전처리필터 등 3종 구매),HDL,공군제16전투비행단,필터,,처리,
101,00부대 이전사업 관급자재 타일 구매,LNQ,제17보병사단,관급자재,,사업,
102,잠수함 잠망경 헤드윈도우 부품국산화 개발사업,UMM,국군재정관리단,부품,,사업,
103,00부대 이전사업 관급자재(통합배선) 제조,UMM,국군재정관리단,관급자재,,사업,
104,5차사업(83정비) 크레인 제조설치(18-136),LGT,제2307부대,정비,,사업,
105,UPS 배터리 교체사업,UMM,국군재정관리단,배터리,,사업,
106,"케이블 조립체, 특수목적용 등 2종 구매",SCI,제9121부대,조립체,,수목,
107,'18년 소음저감사업 시설공사 관급자재(냉난방기),HDL,공군제16전투비행단,관급자재,,사업,
108,5차사업(83정비대대) 콘크리트파일제조(18-135),LGT,제2307부대,정비,,사업,
109,변환기조립체(구축함용),EGH,지휘정찰계약팀 (구:19.09.16),조립체,,구축,
110,변환기조립체(구축함용),EGH,지휘정찰계약팀 (구:19.09.16),조립체,,구축,
111,항공기타장비 부품(방전램프 등 5종),HCF,공군군수사령부,부품,,기타,
112,00단 작전영상전송장비(KAISHOT) 유지보수 정비,SCF,해군군수사령부,"유지보수, 정비",,영상,
113,"키,브레이크 디스크 드라이브(항공기용)",EGD,항공기계약팀 (구:19.09.16),브레이크,,레이크,
114,"케이블 조립체,특수목적용,전기용",EGC,함정계약팀 (구:19.09.16),조립체,,수목,
115,"케이블 조립체,특수목적용,전기용",EGC,함정계약팀 (구:19.09.16),조립체,,수목,
116,"케이블 조립체,특수목적용,전기용",EGC,함정계약팀 (구:19.09.16),조립체,,수목,
117,"케이블 조립체,특수목적용,전기용",EGC,함정계약팀 (구:19.09.16),조립체,,수목,
118,"케이블 조립체,특수목적용,전기용",EGC,함정계약팀 (구:19.09.16),조립체,,수목,
119,브레이크시스템 부품류(구매),EGF,기동화력계약팀 (구:19.09.16),"부품, 브레이크",,레이크,
120,155mm 교체시설사업(연천) 관급자재 크레인,LQC,제7856부대,관급자재,,사업,
121,전자석 브레이크 마찰판 등 19품목,HCC,해군제1수리창,브레이크,,레이크,
122,"실런더, 유압브레이크용",EGF,기동화력계약팀 (구:19.09.16),브레이크,,레이크,
123,OO부대 이전사업 관급자재(가구),MDN,국군화생방방호사령부,관급자재,,사업,
124,"케이블 조립체,특수목적용,전기용외 1종(해성)",EGC,함정계약팀 (구:19.09.16),조립체,,수목,
125,브레이크액,EHC,급식유류계약팀,브레이크,,레이크,
126,브레이크액,EHC,급식유류계약팀,브레이크,,레이크,
127,브레이크액,EHC,급식유류계약팀,브레이크,,레이크,
128,브레이크액,EHC,급식유류계약팀,브레이크,,레이크,
129,브레이크액,EHC,급식유류계약팀,브레이크,,레이크,
130,브레이크액,EHC,급식유류계약팀,브레이크,,레이크,
131,18년 사무자동화장비(데스크톱) 도입사업(리스물건),UMM,국군재정관리단,톱,,사업,
132,다목적굴착기 브레이크용캘리퍼등3종구매,LDH,육군종합정비창,브레이크,,레이크,
133,"케이블 조립체,특수목적용,전기용 2항목 구매(특무)",LCF,육군군수사령부,조립체,,수목,
134,"케이블조립체,특수목적용 등 44항목 제조(자주포)",LCF,육군군수사령부,조립체,,수목,
135,"케이블조립체,특수목적용 등 18항목 제조(특무)",LCF,육군군수사령부,조립체,,수목,
136,자료연동처리기(DLPS) 유지보수 정비,SCF,해군군수사령부,"유지보수, 정비",,처리,
137,자료연동처리기(DLPS) 유지보수 정비,SCF,해군군수사령부,"유지보수, 정비",,처리,
138,"케이블 조립체,특수목적용,전기용 등 3종",SCF,해군군수사령부,조립체,,수목,
139,브레이크 시험기 등 12항목 제조(장비)(기장),LCF,육군군수사령부,브레이크,,레이크,
140,함정용 위성방송수신안테나 유지보수 정비,SCF,해군군수사령부,"유지보수, 정비",,방송,
141,함정용 위성방송수신안테나 유지보수 정비,SCF,해군군수사령부,"유지보수, 정비",,방송,
142,함정용 위성방송수신안테나 유지보수 정비,SCF,해군군수사령부,"유지보수, 정비",,방송,
143,함정용 위성방송수신안테나 유지보수 정비,SCF,해군군수사령부,"유지보수, 정비",,방송,
144,유가족 DNA 시료채취 참여 기념품(손톱깍이) 구매,MHP,국방부유해발굴감식단,톱,,기념품,
145,다목적굴착기 브레이크패드구매,LDH,육군종합정비창,"브레이크, 패드",,레이크,
146,전자회로설계 실습모듈 등 6종 구매,SCK,해군교육사령부,모듈,,설계,
147,간성아파트 신축공사 관급자재(기타가구) 제조설치,LHP,제22보병사단,관급자재,,기타,
148,관급자재(구내방송장치) 제조설치(20198250-F),UMM,국군재정관리단,관급자재,,방송,
149,간부숙소 신축 사업 관급자재(MCC 및 분전반),SFN,연평부대,관급자재,,사업,
150,[도서] 자동차정비산업기사 실기 등 28종,HCC,해군제1수리창,정비,,도서,
151,공병대대 이전사업 관급자재(주방가구) 구매,LQH,제3697부대,관급자재,,사업,
152,테니스장 개선공사 관급자재 인조잔디 제조 설치,HDP,공군제19전투비행단,관급자재,,잔디,
153,부대개편사업 관급자재(화강석),LNS,제55보병사단,관급자재,,사업,
154,통합정비관리체계 장비 교체사업(20196157-G),UMM,국군재정관리단,정비,,사업,
155,[도서]자동차정비기사 실기 등 23종,HCC,해군제1수리창,정비,,도서,
156,'19년 정비용 장비 예비부품(기타 정비장비류) 구매,LDH,육군종합정비창,"부품, 예비부품, 정비",,기타,
