개찰결과구분명,개찰시각,개찰일자,계약체결방법명,계약체결형태명,공고기관명,공고기관코드,기초금액,낙찰자결정방법명,낙찰하한율,수요기관명,수요기관코드,업무구분명,예정가격,입찰공고명,입찰공고번호,입찰공고차수,적격심사여부,최종낙찰금액,최종낙찰업체담당자명,최종낙찰업체대표자명,최종낙찰업체명,최종낙찰업체사업자등록번호,최종낙찰업체주소,최종낙찰율,최종낙찰일자,추정가격,분류
개찰완료,14:00,2016-01-11,협상에의한계약(서류),총액계약,방위사업청(운영지원과),1690000,,협상,,방위사업청(운영지원과),1690000,용역,30000000.00,상륙기동헬기 조종시뮬레이터 선행연구,MHD0102,4,N,28000000.00,,박재복,재단법인 한국군사문제연구원,126-82-20298,"경기도 성남시 수정구 위례대로83(창곡동, 국방문화센터)",93.333,2016-02-11,0.0,국방부직할
개찰완료,14:00,2016-01-05,협상에의한계약(서류),총액계약,방위사업청(운영지원과),1690000,,협상,,방위사업청(운영지원과),1690000,용역,74092000.00,특수작전용 유탄발사기사업 선행연구,MHD0130,2,N,71000000.00,,전건욱,사단법인 안보경영연구원,120-82-07415,"서울특별시 강남구 언주로527, 10층 (역삼동)",95.826,2016-01-06,0.0,국방부직할
개찰완료,11:00,2016-01-29,협상에의한계약(전자),총액계약,국군재정관리단,ZD00303,,협상,,국군재정관리단,ZD00303,용역,667000000.00,00부대 물절약 투자대행사업(WASCO  15-A047),UMM0003,2,N,535467000.00,유근영,박승우,주식회사 도화엔지니어링,211-81-08009,서울특별시 강남구 삼성로 438(대치동),80.279,2016-01-29,0.0,기타
유찰,11:00,2016-02-03,협상에의한계약(전자),총액계약,국군재정관리단,ZD00303,,협상,,국군재정관리단,ZD00303,물품,,00부대 물절약 투자대행사업(WASCO  15-A048),UMM0004,2,N,,,,,,,,,0.0,기타
개찰완료,11:00,2016-01-05,일반경쟁,총액계약,국군재정관리단,ZD00303,464429250.00,적격심사제,86.745,국군재정관리단,ZD00303,용역,456378904.00,'16년 음향 영상장비 유지보수 용역,UMM0860,2,Y,396923000.00,전대석,송관섭,주식회사 케이원,107-81-54150,"서울특별시 금천구 가산디지털2로14,  14층 1405, 1406호(가산동)",86.972,2016-01-05,0.0,기타
유찰,11:00,2016-01-05,일반경쟁,총액계약,국군재정관리단,ZD00303,312830000.00,적격심사제,86.745,국군재정관리단,ZD00303,용역,,16년 M&S센터 용역 사업,UMM0922,2,Y,,,,,,,,,0.0,기타
개찰완료,14:00,2016-02-01,협상에의한계약(서류),총액계약,방위사업청(운영지원과),1690000,,협상,,방위사업청(운영지원과),1690000,용역,81180000.00,국방연구시설·장비 종합관리 방안 연구,MHD0136,1,N,70626600.00,,백훈,(재)한국산업개발연구원,214-82-00279,서울특별시 서초구 남부순환로319길 13(서초동),87.000,2016-02-26,0.0,국방부직할
개찰완료,11:00,2016-01-06,일반경쟁,총액계약,국군재정관리단,ZD00303,534811880.00,적격심사제,86.745,국군재정관리단,ZD00303,용역,529210266.00,16년 국방통합데이터센터 시설관리용역,UMM0831,4,Y,459068540.00,이유진,손병종,주식회사 장풍에치알,106-81-66158,서울특별시 서초구 강남대로202 (양재동) 모산빌딩 4F,86.745,2016-01-06,0.0,기타
개찰완료,11:00,2016-01-06,일반경쟁,총액계약,국군재정관리단,ZD00303,486960000.00,적격심사제,86.745,국군재정관리단,ZD00303,용역,481530581.00,16년 국방통합데이터센터 시설관리용역(2),UMM0001,4,Y,417746630.00,이유진,손병종,주식회사 장풍에치알,106-81-66158,서울특별시 서초구 강남대로202 (양재동) 모산빌딩 4F,86.753,2016-01-06,0.0,기타
유찰,14:00,2016-01-05,일반경쟁,총액계약,방위사업청,1690000,700119000.00,적격심사제,,방위사업청,1690000,물품,,155밀리 모의신관류,EGG0109,2,Y,,,,,,,,,0.0,국방부직할
유찰,14:00,2016-01-12,일반경쟁,총액계약,방위사업청,1690000,700119000.00,적격심사제,,방위사업청,1690000,물품,,155밀리 모의신관류,EGG0109,3,Y,,,,,,,,,0.0,국방부직할
순위확정,14:00,2016-01-26,일반경쟁,총액계약,방위사업청,1690000,700119000.00,적격심사제,,방위사업청,1690000,물품,,155밀리 모의신관류,EGG0109,4,Y,,,,,,,,,0.0,국방부직할
개찰완료,10:30,2016-01-26,일반경쟁,총액계약,제3283부대,ZD00157,87378640.00,적격심사제,87.745,제3283부대,ZD00157,용역,86480377.00,16-교-입영신체검사(흉부검사) 위탁용역,SFL0014,1,Y,76670388.00,유찬국,김인원,(사) 한국건강관리협회경상북도지부,504-82-00814,대구광역시 북구 팔달로25-0 (노원동3가),88.656,2016-01-26,0.0,육군
개찰완료,11:00,2016-01-29,제한경쟁,총액계약,국군재정관리단,ZD00303,82029000.00,적격심사제,87.995,국군재정관리단,ZD00303,물품,80917831.00,스펙트럼용 분석기 구매,UMM0014,1,Y,71225000.00,김정윤,김정윤,미래상사,301-29-35140,충청북도 청주시 상당구 월평로250번길6-0 (용암동),88.021,2016-01-29,0.0,기타
개찰완료,14:00,2016-03-03,협상에의한계약(서류),총액계약,방위사업청(운영지원과),1690000,,협상,,방위사업청(운영지원과),1690000,용역,130000000.00,2016년 군용항공기 감항인증 국제회의 행사진행,MHD0003,1,N,123300000.00,,백승우,주식회사 빅앤츠,114-87-08087,"서울특별시 서초구 서초대로57, 3층 (방배동)",94.846,2016-03-08,0.0,국방부직할
개찰완료,10:30,2016-02-04,제한경쟁,총액계약,국군대전병원,ZD00241,46450000.00,최저가격제,0.000,국군대전병원,ZD00241,물품,45733531.00,'16년 대전병원 장비운영유지비(외과장비3) 구매,MDJ0008,1,N,35000000.00,신승만,김대한,주식회사 아폴론상사,105-87-91807,"경기도 남양주시 가운로1길7, 307호 (가운동, 드림프라자)",76.530,2016-02-04,0.0,기타
개찰완료,10:30,2016-02-04,제한경쟁,총액계약,국군대전병원,ZD00241,25992400.00,최저가격제,0.000,국군대전병원,ZD00241,물품,26066573.00,'16년 대전병원 장비운영유지비(외과장비1) 구매,MDJ0007,1,N,25900000.00,김지회,김지회,(주)이삭메디칼,212-81-56557,충청북도 충주시 노은면 안락안골1길65,99.360,2016-02-04,0.0,기타
개찰완료,11:00,2016-02-04,일반경쟁,단가계약,제2167부대,ZD00053,1213.00,적격심사제,82.995,제2167부대,ZD00053,물품,1212.92,팥빙수 구매,LPH0005,1,Y,1006.75,강동성,금중식,용마로지스주식회사,211-86-40630,"경기도 김포시 고촌읍 아라육로78, 2동",83.002,2016-02-04,0.0,육군
개찰완료,11:00,2016-02-04,일반경쟁,단가계약,제2167부대,ZD00053,825.00,적격심사제,82.995,제2167부대,ZD00053,물품,831.92,바나나우유 구매,LPH0006,1,Y,696.67,김두현,박윤구,(주)청우식품,132-81-02380,경기도 포천시 영중면 먼재길129,83.742,2016-02-04,0.0,육군
개찰완료,11:00,2016-02-04,일반경쟁,단가계약,제2167부대,ZD00053,533.00,적격심사제,82.995,제2167부대,ZD00053,물품,529.31,콜라 구매,LPH0007,1,Y,439.34,백미영,김심선,태림농산,622-12-61815,경상남도 김해시 장재로520번안길8-14 (생림면),83.002,2016-02-04,0.0,육군
개찰완료,11:00,2016-02-04,일반경쟁,단가계약,제2167부대,ZD00053,485.00,적격심사제,82.995,제2167부대,ZD00053,물품,486.72,과일탄산 구매,LPH0009,1,Y,403.97,김필주,천영규,태경농산(주),118-81-10754,서울특별시 동작구 여의대방로112 (농심빌딩) 도연관 13층,82.998,2016-02-04,0.0,육군
유찰,10:30,2016-02-04,제한경쟁,총액계약,국군대전병원,ZD00241,21157520.00,최저가격제,0.000,국군대전병원,ZD00241,물품,,'16년 대전병원 장비운영유지비(영상장비) 구매,MDJ0009,1,N,,,,,,,,,0.0,기타
개찰완료,10:30,2016-02-16,제한경쟁,총액계약,국군대전병원,ZD00241,21157520.00,최저가격제,0.000,국군대전병원,ZD00241,물품,21117851.00,'16년 대전병원 장비운영유지비(영상장비) 구매,MDJ0009,2,N,21000000.00,김경호,김경호,(주)도원씨앤씨,408-81-72992,전라남도 화순군 화순읍 만연중앙길19,99.441,2016-02-18,0.0,기타
개찰완료,11:00,2016-02-04,일반경쟁,단가계약,제2167부대,ZD00053,533.00,적격심사제,82.995,제2167부대,ZD00053,물품,535.94,혼합음료 구매,LPH0010,1,Y,448.32,이용진,변정순,미가온,106-02-51645,경기도 파주시 장명산길174-20 (오도동),83.651,2016-02-04,0.0,육군
개찰완료,11:00,2016-02-04,제한경쟁,단가계약,제2167부대,ZD00053,533.00,적격심사제,87.995,제2167부대,ZD00053,물품,532.33,탄산수 구매,LPH0011,1,Y,468.64,조승희,이동규,주식회사 엔에이치,141-81-34270,경기도 남양주시 진접읍 내각1로73번길38-1,88.035,2016-02-04,0.0,육군
개찰완료,11:00,2016-02-04,일반경쟁,단가계약,제2167부대,ZD00053,467.00,적격심사제,82.995,제2167부대,ZD00053,물품,470.55,이온음료 구매,LPH0012,1,Y,394.10,이용진,변정순,미가온,106-02-51645,경기도 파주시 장명산길174-20 (오도동),83.753,2016-02-04,0.0,육군
개찰완료,11:00,2016-02-04,일반경쟁,단가계약,제2167부대,ZD00053,485.00,적격심사제,82.995,제2167부대,ZD00053,물품,482.51,알로에음료 구매,LPH0013,1,Y,400.52,임동혁,황종현,주식회사 에스피씨삼립,133-81-22244,경기도 시흥시 공단1대로 101(정왕동),83.007,2016-02-04,0.0,육군
개찰완료,11:00,2016-02-04,일반경쟁,단가계약,제2167부대,ZD00053,582.00,적격심사제,82.995,제2167부대,ZD00053,물품,577.03,마시는발효유 구매,LPH0014,1,Y,480.08,조봉래,이항용,(주)비락,617-81-07886,부산광역시 남구 자성로152 (문현동) 한일오피스텔 12층,83.198,2016-02-04,0.0,육군
개찰완료,11:00,2016-02-04,일반경쟁,단가계약,제2167부대,ZD00053,398.00,적격심사제,82.995,제2167부대,ZD00053,물품,391.64,떠먹는발효유 구매,LPH0015,1,Y,326.75,정철희,김병진,주식회사 에치와이,114-81-70065,서울특별시 서초구 강남대로577-0 (잠원동),83.431,2016-02-04,0.0,육군
개찰완료,11:00,2016-02-04,일반경쟁,단가계약,제2167부대,ZD00053,242.00,적격심사제,82.995,제2167부대,ZD00053,물품,239.78,짜먹는발효유 구매,LPH0016,1,Y,199.04,임동혁,황종현,주식회사 에스피씨삼립,133-81-22244,경기도 시흥시 공단1대로 101(정왕동),83.009,2016-02-04,0.0,육군
개찰완료,11:00,2016-02-04,일반경쟁,단가계약,제2167부대,ZD00053,728.00,적격심사제,82.995,제2167부대,ZD00053,물품,722.10,떠먹는 젤리 구매,LPH0017,1,Y,599.43,임동혁,황종현,주식회사 에스피씨삼립,133-81-22244,경기도 시흥시 공단1대로 101(정왕동),83.012,2016-02-04,0.0,육군
개찰완료,11:00,2016-02-04,일반경쟁,단가계약,제2167부대,ZD00053,679.00,적격심사제,82.995,제2167부대,ZD00053,물품,678.17,한줌견과 구매,LPH0018,1,Y,562.90,고성재,박윤기,롯데칠성음료(주),214-81-07770,서울특별시 서초구 서초대로70길15 (서초동),83.002,2016-02-04,0.0,육군
유찰,11:00,2016-02-05,제한경쟁,단가계약,제2167부대,ZD00053,679.00,적격심사제,87.995,제2167부대,ZD00053,물품,,특근자용 치즈케이크(제조),LPH0019,1,Y,,,,,,,,,0.0,육군
개찰완료,11:00,2016-02-19,제한경쟁,단가계약,제2167부대,ZD00053,679.00,적격심사제,87.995,제2167부대,ZD00053,물품,673.26,특근자용 치즈케이크(제조),LPH0019,2,Y,592.90,임형근,문요환,유한회사징코푸드시스템,404-81-36427,전라북도 부안군 주산면 주산동로80-7,88.064,2016-02-19,0.0,육군
유찰,11:00,2016-02-05,제한경쟁,단가계약,제2167부대,ZD00053,679.00,적격심사제,87.995,제2167부대,ZD00053,물품,,콘브레드(제조),LPH0020,1,Y,,,,,,,,,0.0,육군
개찰완료,11:00,2016-02-19,제한경쟁,단가계약,제2167부대,ZD00053,679.00,적격심사제,87.995,제2167부대,ZD00053,물품,670.09,콘브레드(제조),LPH0020,2,Y,597.90,임형근,문요환,유한회사징코푸드시스템,404-81-36427,전라북도 부안군 주산면 주산동로80-7,89.226,2016-02-19,0.0,육군
개찰완료,11:00,2016-02-05,일반경쟁,단가계약,제2167부대,ZD00053,1456.00,적격심사제,82.995,제2167부대,ZD00053,물품,1452.07,짜장컵밥 구매,LPH0023,1,Y,1207.10,이태영,손일식,주식회사 에스아이케이,303-81-39780,경기도 여주시 능서면 양화로438-0,83.129,2016-02-05,0.0,육군
개찰완료,11:00,2016-02-05,제한경쟁,단가계약,제2167부대,ZD00053,1165.00,적격심사제,87.995,제2167부대,ZD00053,물품,1164.86,허니감자스낵 구매,LPH0024,1,Y,1025.14,안혜윤,안교영,(주)동진푸드,132-81-46146,경기도 남양주시 진접읍 부마로137번길 16(),88.005,2016-02-05,0.0,육군
개찰완료,14:00,2016-02-02,일반경쟁,총액계약,해군작전사령부,ZD00137,54600000.00,최저가격제,0.000,해군작전사령부,ZD00137,물품,53608754.00,해상사격표적(풍선 등 2종) 구매,SCH0018,1,N,29920800.00,박영민,박영민,알티하이텍,212-24-52766,"서울특별시 강동구 구천면로192, 720호(천호동,천호역 한강 푸르지오시티)",55.813,2016-02-02,0.0,해군
개찰완료,10:30,2016-02-02,제한경쟁,총액계약,육군군수사령부,1290307,74749000.00,적격심사제,87.995,육군군수사령부,1290307,물품,74325117.00,넬라톤카테터 등 234품목 구매(물품),LCF0012,1,Y,65480000.00,배선아,박현주,주식회사 소망약품,410-81-78382,전라남도 나주시 산포면 매성길75 1층,88.099,2016-02-02,0.0,육군
유찰,11:00,2016-02-05,제한경쟁,단가계약,제2167부대,ZD00053,679.00,적격심사제,87.995,제2167부대,ZD00053,물품,,신병증식용 치즈케이크 구매(제조),LPH0028,1,Y,,,,,,,,,0.0,육군
개찰완료,11:00,2016-02-19,제한경쟁,단가계약,제2167부대,ZD00053,679.00,적격심사제,87.995,제2167부대,ZD00053,물품,674.46,신병증식용 치즈케이크 구매(제조),LPH0028,2,Y,595.90,임형근,문요환,유한회사징코푸드시스템,404-81-36427,전라북도 부안군 주산면 주산동로80-7,88.352,2016-02-19,0.0,육군
개찰완료,11:00,2016-02-05,제한경쟁,단가계약,제2167부대,ZD00053,533.00,적격심사제,87.995,제2167부대,ZD00053,물품,523.89,탄산음료 구매,LPH0027,1,Y,461.27,윤진수,윤진수,(주)제이에스와이글로벌,234-81-07774,경기도 김포시 양촌읍 황금로128번길88-0,88.047,2016-02-05,0.0,육군
개찰완료,11:00,2016-02-05,제한경쟁,단가계약,제2167부대,ZD00053,679.00,적격심사제,87.995,제2167부대,ZD00053,물품,671.45,신병증식용 핫바 구매,LPH0026,1,Y,592.11,이대창,이대창,대승상사,128-39-88532,경기도 파주시 파주읍 오봉골길254,88.183,2016-02-05,0.0,육군
개찰완료,11:00,2016-02-12,제한경쟁,총액계약,국군재정관리단,ZD00303,480490120.00,적격심사제,87.995,국군재정관리단,ZD00303,물품,483537073.00,13-본-국대-01 00학교이전 공기조화기 제조설치,UMM0030,1,Y,426478300.00,진미숙,노세환,한국냉열공사,603-09-91128,부산광역시 서구 구덕로250번길14-1 (부용동1가),88.199,2016-02-12,0.0,기타
개찰완료,11:00,2016-02-12,제한경쟁,총액계약,국군재정관리단,ZD00303,81924530.00,적격심사제,87.995,국군재정관리단,ZD00303,물품,80916523.00,13-본-국대-01 00학교이전 PE전선관 등 2종 제조,UMM0031,1,Y,79320483.00,이성배,이성배,영진화학주식회사,303-81-46831,충청북도 충주시 노은면 점터길 17(),98.027,2016-02-12,0.0,기타
개찰완료,11:30,2016-02-12,제한경쟁,총액계약,제2879부대,ZD00347,31785000.00,적격심사제,87.995,제2879부대,ZD00347,물품,32052173.00,충전기집적회로등17종구매,LDH0107,1,Y,28924350.00,박혜성,박혜성,시온테크,312-27-10674,충청남도 천안시 서북구 백석공단1로10-0 (백석동),90.241,2016-02-12,0.0,육군
개찰완료,11:30,2016-02-12,제한경쟁,총액계약,제2879부대,ZD00347,11353000.00,적격심사제,87.995,제2879부대,ZD00347,물품,11266102.00,D형들고리등13종구매,LDH0108,1,Y,9977000.00,박영진,박영진,진흥기계공업,609-54-75198,경상남도 창원시 의창구 도계로 48(),88.557,2016-02-12,0.0,육군
개찰완료,11:30,2016-02-12,제한경쟁,총액계약,제2879부대,ZD00347,5635000.00,적격심사제,87.995,제2879부대,ZD00347,물품,5580720.00,락카스프레이황색등24종구매,LDH0109,1,Y,4989261.00,이진숙,이진숙,한결통상,484-10-00167,"충청남도 당진시 대호만로30-33 (채운동), 상가동 102호",89.401,2016-02-12,0.0,육군
개찰완료,11:00,2016-02-11,제한경쟁,총액계약,육군본부,1290298,43781950.00,적격심사제,87.995,육군본부,1290298,물품,43785017.00,16-1차 전산운영용품 구매,LCG0003,1,Y,38578200.00,박인규,박인규,주식회사 링크글로벌,106-86-91026,서울특별시 용산구 효창원로39-0 (신창동),88.108,2016-02-11,0.0,육군
개찰완료,11:00,2016-02-12,제한경쟁,총액계약,제1968부대,ZD00507,56411320.00,적격심사제,87.745,제1968부대,ZD00507,용역,56114829.00,16년 군숙소 도배 장판 교체용역(단가),LMP0002,1,Y,49287790.00,김은수,김종순,썬샤인창호산업(유),222-81-15984,강원도 태백시 철암공단길 37(),87.833,2016-02-12,0.0,육군
개찰완료,10:00,2016-02-12,2단계경쟁(동시),총액계약,육군본부,1290298,41000000.00,최저가격제,0.000,육군본부,1290298,용역,40738157.00,인권교육용 영상교재 제작 용역,LCG0002,2,N,40100000.00,최윤희,최윤희,(주)자우미디어,114-86-52548,"서울특별시 서초구 동광로65, 3층(방배동, 방배빌딩)",98.433,2016-02-12,0.0,육군
개찰완료,11:00,2016-01-29,일반경쟁,총액계약,국군재정관리단,ZD00303,611273400.00,적격심사제,82.995,국군재정관리단,ZD00303,물품,599297857.00,보장구 80종 구매,UMM0018,1,Y,500205850.00,곽동희,곽동주,성모의지,501-10-71327,대구광역시 동구 매여로102-0 (각산동),83.465,2016-01-29,0.0,기타
유찰,14:00,2016-01-28,일반경쟁,단가계약,제7789부대,ZD00074,465.00,적격심사제,82.995,제7789부대,ZD00074,물품,,크림빵 구매(제조),LMS0039,1,Y,,,,,,,,,0.0,육군
유찰,14:00,2016-02-04,일반경쟁,단가계약,제7789부대,ZD00074,465.00,적격심사제,82.995,제7789부대,ZD00074,물품,,크림빵 구매(제조),LMS0039,2,Y,,,,,,,,,0.0,육군
유찰,14:00,2016-01-28,일반경쟁,단가계약,제7789부대,ZD00074,465.00,적격심사제,82.995,제7789부대,ZD00074,물품,,크림빵 구매(제조),LMS0040,1,Y,,,,,,,,,0.0,육군
유찰,14:00,2016-02-04,일반경쟁,단가계약,제7789부대,ZD00074,465.00,적격심사제,82.995,제7789부대,ZD00074,물품,,크림빵 구매(제조),LMS0040,2,Y,,,,,,,,,0.0,육군
개찰완료,14:00,2016-02-03,협상에의한계약(서류),총액계약,방위사업청(운영지원과),1690000,,협상,,방위사업청(운영지원과),1690000,용역,141400000.00,2016년 방산기술보호 국제 컨퍼런스 행사진행,MHD0004,1,N,138990000.00,,이정우,(주)피오디커뮤니케이션즈,105-86-86781,서울특별시 영등포구 당산로41길11 당산 SK V1 센터 W동 1002호-1003호,98.295,2016-02-05,0.0,국방부직할
개찰완료,10:30,2016-02-25,제한경쟁,총액계약,방위사업청,1690000,1138760000.00,적격심사제,,방위사업청,1690000,용역,1132147900.00,16년 대공표적기지원용역(오리콘  비호용),EGG0003,1,Y,976500000.00,정지수,정지수,아주실업주식회사,120-81-17070,경기도 용인시 처인구 포곡읍 한금로 162-15(아주실업),86.251,2016-02-25,0.0,국방부직할
개찰완료,10:30,2016-01-29,제한경쟁,총액계약,국군재정관리단,ZD00303,145966000.00,적격심사제,87.995,국군재정관리단,ZD00303,물품,144201842.00,컨테이너 2종 제조 설치,UMM0016,1,Y,126908000.00,남선미,고영남,유한회사 은광기업,411-81-74429,전라북도 정읍시 3산단3길95-0 (북면),88.007,2016-01-29,0.0,기타
개찰완료,11:00,2016-01-29,일반경쟁,총액계약,국군재정관리단,ZD00303,259912000.00,적격심사제,82.995,국군재정관리단,ZD00303,물품,257666301.00,미세먼지 방지마스크 구매,UMM0019,1,Y,215253520.00,김영준,김동식,케이웨더 주식회사,110-81-37628,"서울특별시 구로구 디지털로26길5, 4층 401호 (구로동, 에이스하이엔드타워)",83.539,2016-01-29,0.0,기타
개찰완료,11:00,2016-01-27,일반경쟁,총액계약,국군재정관리단,ZD00303,236140000.00,적격심사제,86.745,국군재정관리단,ZD00303,용역,233342228.00,'16년 MW EMS 유지보수 용역,UMM0020,1,Y,202958940.00,주부연,강창선,한일통신 주식회사,314-81-93654,"대전광역시 유성구 테크노8로28, 2층(용산동)",86.979,2016-01-27,0.0,기타
유찰,10:00,2016-02-03,2단계경쟁(동시),총액계약,육군인사사령부,ZD00788,97087378.00,최저가격제,0.000,육군인사사령부,ZD00788,용역,,대형 전광판 및 중계시스템 임차용역,LKS0004,1,N,,,,,,,,,0.0,육군
개찰완료,13:30,2016-01-28,일반경쟁,총액계약,해군제1정비대대,Z023413,7111000.00,최저가격제,0.000,해군제1정비대대,Z023413,물품,7022378.00,스위치  칼날형 등 9품목,HCC0002,1,N,5524000.00,윤영현,윤영현,(주)동건,215-86-62413,강원도 동해시 전천로245-2 (북평동),78.662,2016-01-28,0.0,해군
개찰완료,11:30,2016-02-02,제한경쟁,총액계약,제2879부대,ZD00347,13753000.00,적격심사제,87.995,제2879부대,ZD00347,물품,13765438.00,K1채널씰등12종구매,LDH0062,1,Y,12178000.00,박성신,박성신,에스투 (S2) 테크,602-09-68022,부산광역시 영도구 절영로101번길 3-1,88.467,2016-02-02,0.0,육군
유찰,11:30,2016-02-02,제한경쟁,총액계약,제2879부대,ZD00347,13038000.00,적격심사제,87.995,제2879부대,ZD00347,물품,,K1베어링등11종구매,LDH0063,1,Y,,,,,,,,,0.0,육군
개찰완료,11:30,2016-02-12,제한경쟁,총액계약,제2879부대,ZD00347,13038000.00,적격심사제,87.995,제2879부대,ZD00347,물품,13199793.00,K1베어링등11종구매,LDH0063,2,Y,12516000.00,신복승,신복승,덕산베아링,605-01-99630,부산광역시 부산진구 서전로9번길 38(),94.819,2016-02-12,0.0,육군
유찰,11:30,2016-02-02,제한경쟁,총액계약,제2879부대,ZD00347,35569000.00,적격심사제,87.995,제2879부대,ZD00347,물품,,자주발칸 케이블조립체등2종구매,LDH0064,1,Y,,,,,,,,,0.0,육군
개찰완료,11:30,2016-02-12,제한경쟁,총액계약,제2879부대,ZD00347,35569000.00,적격심사제,87.995,제2879부대,ZD00347,물품,35922384.00,자주발칸 케이블조립체등2종구매,LDH0064,2,Y,31700000.00,안영현,안영현,주식회사 애덱스,209-81-49235,경기도 군포시 엘에스로13-0 (당정동). 606호 (신일아이티유토지식산업센터),88.245,2016-02-12,0.0,육군
유찰,11:30,2016-02-02,제한경쟁,총액계약,제2879부대,ZD00347,17874000.00,적격심사제,87.995,제2879부대,ZD00347,물품,,K1링등29종구매,LDH0065,1,Y,,,,,,,,,0.0,육군
유찰,11:30,2016-02-12,제한경쟁,총액계약,제2879부대,ZD00347,17874000.00,적격심사제,87.995,제2879부대,ZD00347,물품,,K1링등29종구매,LDH0065,2,Y,,,,,,,,,0.0,육군
유찰,13:00,2016-02-02,제한경쟁,총액계약,공군작사근무지원단,ZD00282,52000000.00,적격심사제,87.745,공군작사근무지원단,ZD00282,용역,,생활쓰레기 위탁처리 용역,HDT0002,1,Y,,,,,,,,,0.0,공군
개찰완료,14:00,2016-03-08,협상에의한계약(서류),총액계약,방위사업청(운영지원과),1690000,,협상,,방위사업청(운영지원과),1690000,용역,60000000.00,국방우주력 발전을 위한 민·군 기술협력 방안 연구,MHD0005,1,N,51000000.00,,전건욱,사단법인 안보경영연구원,120-82-07415,"서울특별시 강남구 언주로527, 10층 (역삼동)",85.000,2016-03-11,0.0,국방부직할
개찰완료,11:00,2016-02-05,일반경쟁,단가계약,제2167부대,ZD00053,679.00,적격심사제,82.995,제2167부대,ZD00053,물품,688.49,핫바 구매,LPH0025,1,Y,576.21,손규홍,김상균,(주)일화,132-81-01004,경기도 구리시 벌말로96-0 (토평동),83.691,2016-02-05,0.0,육군
개찰완료,10:00,2016-02-05,2단계경쟁(동시),총액계약,제1288부대,ZD00348,258446601.00,최저가격제,0.000,제1288부대,ZD00348,물품,261965275.00,16년 증식용 떡 및 케이크 구매,LGR0004,1,N,229900000.00,김용호,김용호,소당식품,221-04-36059,강원도 춘천시 동내로103-13 (동내면),87.759,2016-02-05,0.0,육군
개찰완료,11:00,2016-02-12,제한경쟁,총액계약,제7789부대,ZD00074,14768000.00,최저가격제,0.000,제7789부대,ZD00074,물품,14839605.00,1분기 식품검사 재료 구매,LMS0054,1,N,12940000.00,박웅,박웅,랩피온,206-21-48010,서울특별시 중랑구 동일로152길14-0 (묵동),87.199,2016-02-12,0.0,육군
개찰완료,11:00,2016-02-15,제한경쟁,총액계약,공군작사근무지원단,ZD00282,84300000.00,최저가격제,0.000,공군작사근무지원단,ZD00282,물품,82471283.00,액화석유가스(LPG) 공급,HDT0004,1,N,63251400.00,강수만,강수만,원진에너지주식회사,134-86-78329,경기도 안산시 단원구 대부동동1191,76.695,2016-02-15,0.0,공군
개찰완료,11:00,2016-02-17,2단계경쟁(동시),총액계약,해군본부,1290326,148800000.00,최저가격제,0.000,해군본부,1290326,용역,146237997.00,'16년 해군지 제작 용역,SCG0009,1,N,142980000.00,이동순,김채수,(주)대원문화사,218-81-09601,경기도 파주시 직지길356 (문발동),97.772,2016-02-17,0.0,해군
유찰,11:00,2016-02-18,제한경쟁,총액계약,제5378부대,ZD00217,95497488.00,적격심사제,87.995,제5378부대,ZD00217,물품,,조리병교육대 교육 재료,LGP0050,2,Y,,,,,,,,,0.0,육군
개찰완료,11:00,2016-02-16,제한경쟁,총액계약,국군재정관리단,ZD00303,65142800.00,적격심사제,87.995,국군재정관리단,ZD00303,물품,65538038.00,대전병원 병리재료 소모품 67종 구매,UMM0032,1,Y,57887000.00,박창환,박창환,아이비케이 주식회사,410-86-48942,"전라남도 나주시 교육길13 (빛가람동), D2동 503호",88.325,2016-02-16,0.0,기타
개찰완료,10:30,2016-02-12,제한경쟁,총액계약,공군사관학교,7002962,159599430.00,적격심사제,90.000,공군사관학교,7002962,물품,160102982.00,16-014 쉽게 생각하고 쉽게 배우는 수영 등 143종,HCL0003,1,Y,144264300.00,신영철,권혁일,주식회사 지커뮤니케이션,301-81-59005,"충청북도 청주시 서원구 1순환로1109, 303호(분평동, 호인리더스빌딩)",90.107,2016-02-12,0.0,공군
개찰완료,10:00,2016-02-22,2단계경쟁(동시),총액계약,육군사관학교,1290305,186240000.00,최저가격제,0.000,육군사관학교,1290305,용역,188686567.00,00부대 간부식당 위탁관리 용역 업체 선정,LCN0007,1,N,182400000.00,정성진,김신환,주식회사 리딩푸드시스템,211-88-23367,서울특별시 강남구 언주로153길10-5(신사동) 해담빌딩3층,96.668,2016-02-22,0.0,육군
개찰완료,11:00,2016-02-16,제한경쟁,총액계약,국군재정관리단,ZD00303,66943500.00,적격심사제,87.995,국군재정관리단,ZD00303,물품,66199787.00,대전병원 외과장비 소모품 5종 구매,UMM0034,1,Y,58371095.00,임순택,문홍진,라바열융합기술,128-15-78848,경기도 파주시 탄현면 필승로506 (301호),88.174,2016-02-16,0.0,기타
개찰완료,11:00,2016-02-16,제한경쟁,총액계약,국군재정관리단,ZD00303,82832750.00,적격심사제,87.995,국군재정관리단,ZD00303,물품,81900417.00,대전병원 보장구 50종 구매,UMM0033,1,Y,72086000.00,임수진,임수진,주식회사 에스티앤지,107-86-64876,서울특별시 영등포구 양산로43-0 (양평동3가)우림 E-Biz Center 911호,88.016,2016-02-16,0.0,기타
