개찰결과구분명,개찰시각,개찰일자,계약체결방법명,계약체결형태명,공고기관명,공고기관코드,기초금액,낙찰자결정방법명,낙찰하한율,수요기관명,수요기관코드,업무구분명,예정가격,입찰공고명,입찰공고번호,입찰공고차수,적격심사여부,최종낙찰금액,최종낙찰업체담당자명,최종낙찰업체대표자명,최종낙찰업체명,최종낙찰업체사업자등록번호,최종낙찰업체주소,최종낙찰율,최종낙찰일자,추정가격,분류
개찰완료,15:00,2016-04-22,제한경쟁,총액계약,방위사업청,1690000,1320280000.00,적격심사제,,방위사업청,1690000,물품,1323500327.00,특전복,EHD0022,1,Y,1168713110.00,변기용,오명석,엠플러스에프엔씨 주식회사,361-86-00307,강원도 원주시 우산공단길167(우산동),88.304,2016-04-22,0.0,국방부직할
개찰완료,11:00,2016-04-06,제한경쟁,총액계약,국군재정관리단,ZD00303,199803120.00,적격심사제,87.995,국군재정관리단,ZD00303,물품,197067639.00,00 0000 분석체계 구축,UMM0164,2,Y,173417737.00,박재성,박재성,(주)한컴네트워크,408-81-40826,광주광역시 서구 화정로280번길3(농성동),87.999,2016-04-06,0.0,기타
유찰,10:00,2016-04-08,2단계경쟁(동시),총액계약,육군공병학교,ZD00038,22450000.00,최저가격제,0.000,육군공병학교,ZD00038,용역,,공병분야 M&S 연구용역,LFT0003,1,N,,,,,,,,,0.0,육군
유찰,11:00,2016-04-15,2단계경쟁(동시),총액계약,육군공병학교,ZD00038,22450000.00,최저가격제,0.000,육군공병학교,ZD00038,용역,,공병분야 M&S 연구용역,LFT0003,2,N,,,,,,,,,0.0,육군
유찰,15:00,2016-05-17,일반경쟁,총액계약,방위사업청,1690000,129817000.00,적격심사제,,방위사업청,1690000,물품,,제어장치조립체 및 축 조립체류,EGF0060,1,Y,,,,,,,,,0.0,국방부직할
개찰완료,15:00,2016-05-24,일반경쟁,총액계약,방위사업청,1690000,129817000.00,적격심사제,,방위사업청,1690000,물품,129452497.00,제어장치조립체 및 축 조립체류,EGF0060,2,Y,114000000.00,전태식,고상택,한미케이블,606-03-81501,부산광역시 사상구 모라로192번길9-0 (모라동)신모라공단 404,88.063,2016-05-24,0.0,국방부직할
개찰완료,11:00,2016-03-31,일반경쟁,총액계약,국군재정관리단,ZD00303,497719000.00,적격심사제,82.995,국군재정관리단,ZD00303,물품,486978709.00,인쇄판(C.T.P) 및 현상약품 연간 구매,UMM0164,1,Y,419500000.00,이상혁,곽혁진,일우씨엔에스 주식회사,201-81-95389,경기도 고양시 덕양구 통일로140-0 (동산동)삼송테크노밸리 A동 101호,86.143,2016-03-31,0.0,기타
개찰완료,15:00,2016-04-29,일반경쟁,총액계약,방위사업청,1690000,128355000.00,적격심사제,,방위사업청,1690000,물품,128064080.00,밸브류,EGF0033,1,Y,112560000.00,김수영,김일천,삼호정밀,622-02-60419,부산광역시 강서구 평강로217-1 (대저1동),87.893,2016-04-29,0.0,국방부직할
개찰완료,13:30,2016-03-31,제한경쟁,총액계약,공군군수사령부,ZD00306,101244000.00,적격심사제,87.745,공군군수사령부,ZD00306,용역,100056915.00,제2MCRC 음성통신장비 유지보수,HCF0026,1,Y,87894000.00,이현재,이경미,엠에스온(주),117-81-69252,"서울특별시 금천구 가산디지털2로46(가산동, 에이스태세라타워), 813호",87.844,2016-03-31,0.0,공군
개찰완료,10:30,2016-06-15,일반경쟁,총액계약,방위사업청,1690000,871022000.00,적격심사제,,방위사업청,1690000,물품,866418141.00,16년 발칸 사격통제부부품(구매),EGG0068,1,Y,748207000.00,문덕쇠,문덕쇠,주식회사 디와이콤,609-81-69921,경상남도 김해시 주촌면 서부로1637번길149-0,86.356,2016-06-15,0.0,국방부직할
