,입찰공고명,공고기관명
246,쇄석 등 293종,제5738부대
254,액화석유가스,공군제11전투비행단
255,K277장갑차 발전기 보조엔진용 정비,육군군수사령부
256,K277장갑차 발전기 보조엔진용 정비,육군군수사령부
257,하이브리드 키폰 구매 설치,국군재정관리단
258,00부대(6진) 정비반 물품 구매(3차),제7789부대
259,00부대(6진) 정비반 물품 구매(4차),제7789부대
262,16-백령도 가공식품류 구매,제9196부대
263,16-백령도 개선식 구매,제9196부대
264,16-백령도 기호식품 구매,제9196부대
269,감압밸브 등 69품목 구매,제3283부대
270,6각 빗트 소켓 등 907종,해군군수사령부
271,식품작업용그릇 등 8종 구매,국군재정관리단
273,유해발굴 수습물자(관 등 4종) 제조납품,국방부유해발굴감식단
274,유해발굴 수습물자(스폰지 등 15종) 구매납품,국방부유해발굴감식단
279,이마형 체온계 등 7항목  구매(물품),육군군수사령부
280,흑구습구온도계 등 4항목 구매(물품),육군군수사령부
281,포제명찰 새김 및 벨크로 부착 제조,국군재정관리단
282,뉴PD수첩 등 363종,해군작전사령부
283,00부대 육아보육시설 교재교구류 구매,수도기계화보병사단
284,PC-132A 건전지 등 9항목 구매(물자),육군군수사령부
285,LBP-6535K 토너/드럼(슈퍼재생) 등 7항목 제조,육군군수사령부
286,HP-CLJ5550DN 검정(정품) 등 70항목 구매,육군군수사령부
287,밸브  솔레노이드용 등 22품목,해군제1정비대대
288,부품키트  스로틀  조절레버용 등 17품목,해군제1정비대대
289,워터젯추진기용 실린더,방위사업청
290,케이블조립체(TPQ-36 37용),방위사업청
291,케이블조립체(TAS-970K용),방위사업청
292,볼펜 등 438품목 구매,제3283부대
293,에프시 듀라토프 디피 등 20품목,해군제1정비대대
294,지뢰제거작전 보호의 등 장비구매,제7862부대
296,파병 티셔츠 등 3종,해군작전사령부
297,스텐망등8종구매,제2879부대
298,육각볼트등17종구매,제2879부대
299,K1케이블조립체등6종구매,제2879부대
300,K1 베어링등11종구매,제2879부대
301,리본부교 튜브조립체등10종구매,제2879부대
302,다목적전술차 케이블등2종구매,제2879부대
303,5톤 나사등18종구매,제2879부대
304,5톤유압크레인 호스조립체등2종구매,제2879부대
305,5톤유압크레인 호스조립체등2종구매,제2879부대
306,M48전차 플랜지구매,제2879부대
307,16년 발칸 증폭기조립체 정비,방위사업청
308,16년 발칸 증폭기조립체 정비,방위사업청
309,16년 발칸 증폭기조립체 정비,방위사업청
310,K55A1자주포 호스조립체등8종구매,제2879부대
311,5톤 브래킷 구매,제2879부대
312,K288장갑차 로프등11종구매,제2879부대
313,화강석(성곽석) 385㎡ 제조,해군사관학교
316,수직천공기 2EA,해군군수사령부
318,UPS(무정전전원장치)제조 설치,국군재정관리단
320,연료유 승압유지밸브,해군제1정비대대
321,K1개스킷등33종구매,제2879부대
322,K1개스킷등33종구매,제2879부대
323,K1와셔등84종구매,제2879부대
324,2016년 합동임관식 기념품(호부) 제조,육군인사사령부
325,임시명찰 등 2품목 제조 구매,제3283부대
326,엔진브로와 구매,국군재정관리단
330,웰부트린 엑스엘 정 등 122품목,제9196부대
331,쇄석골재 등 3종 구매,공군제10전투비행단
332,체력단련장 유류 (휘발유  경유) 구매,육군인사사령부
333,제빙기 구매 설치,국군재정관리단
334,가지 등 279종 구매(흑산도 000운용대),해군제3함대사령부
335,가지 등 279종 구매(흑산도 000전진기지대),해군제3함대사령부
336,가지 등 306종 구매(욕지도 000전진기지대),해군제3함대사령부
337,가지 등 306종 구매(욕지도 000감시대),해군제3함대사령부
342,00부대 음식물류폐기물 처리용역,제28보병사단
344,16-D-022 회전의자 등 6종 제조 납품,국군재정관리단
345,컵스프,제5378부대
349,00부대(6진) 민사반 물품 구매(2차),제7789부대
350,덴탈 마스크 50개 등 43품목(물품),육군군수사령부
351,오니푸랄 주사 등 11품목(물품),육군군수사령부
352,오니푸랄 주사 등 11품목(물품),육군군수사령부
353,교과서 163종 구매,국군재정관리단
