,입찰공고명,공고기관명
16681,교정(간격조정) 부품류,방위사업청
16682,제50주년 예비군의 날 기념품(타월) 제조구매,육군본부
16683,K1전차 트랙 C형 등 8종 정비,육군군수사령부
16684,K1전차 트랙 C형 등 8종 정비,육군군수사령부
16685,발신기 표시등 등 32종 구매,제20전투비행단
16686,손잡이 조립체,방위사업청
16687,구동제어장치류,방위사업청
16688,구동제어장치류,방위사업청
16689,SPS-100K 레이더 부품(구매),방위사업청
16690,SPS-100K 레이더 부품(구매),방위사업청
16691,SPS-100K 레이더 부품(구매),방위사업청
16692,램프  핵용 등(구매),방위사업청
16693,램프  핵용 등(구매),방위사업청
16694,18-주파수편이용 분석기 구매,국군재정관리단
16695,구명구(항공용) 제조,국군재정관리단
16696,수레  수동식 등 3종,공군군수사령부
16697,인체제독셋 수리부속(구매),방위사업청
16698,인체제독셋 수리부속(구매),방위사업청
16699,헌병 피복 레펠장갑 등 4종 제조,국군재정관리단
16700,00사령부 전산장비 구매[리스물건],국군재정관리단
16701,육군 상장용지 6종 제조납품,국군재정관리단
16702,망원경 파노라마식(일반),방위사업청
16703,망원경 파노라마식(일반),방위사업청
16704,일반광학장비부품(덮개  입구용),방위사업청
16705,일반광학장비부품(화포용수포류),방위사업청
16706,일반광학장비부품(화포용수포류),방위사업청
16707,광학장비부품류,방위사업청
16708,광학장비부품류,방위사업청
16709,공드럼 플러그,방위사업청
16710,공드럼 개스킷,방위사업청
16711,분광계용 표준오일,방위사업청
16712,분광계용 표준오일,방위사업청
16713,K1나사구매,제2879부대
16714,K1나사구매,제2879부대
16715,K1판구매,제2879부대
16716,시동기,방위사업청
16717,디스크휠,방위사업청
16718,디스크휠,방위사업청
16719,패킹 등 85종 구매,해군군수사령부
16720,18년 소켓렌치류,방위사업청
16722,수사관 외투 등 3종 제조,육군본부
16723,헌병피복(동계행사복 등 3종) 제조,육군본부
16727,CV전선 등 86종 구매,제20전투비행단
16728,표본수집키트 화학작용제용,방위사업청
16729,표본수집키트 화학작용제용,방위사업청
16730,온도감지기 142EA 구매,해군군수사령부
16731,음성교환 조립체 등 4종 구매,해군군수사령부
16732,만함등 26EA 구매,해군군수사령부
16733,특수보호의(Level A),방위사업청
16734,특수보호의(Level A),방위사업청
16735,특수보호의(구형),방위사업청
16736,선박 2종 수리부속 구매,제9965부대
16737,컴퓨터 디지털형 등 2종,해군군수사령부
16738,컴퓨터 디지털형 등 2종,해군군수사령부
16739,볼트 유체 통로용 등 18종,해군군수사령부
16740,봉합링 1종,해군군수사령부
16741,비호 스프링등8종구매,제2879부대
16742,비호 스프링등8종구매,제2879부대
16743,반자동식부교 부품(제조),방위사업청
16744,반자동식부교 부품(구매),방위사업청
16745,유류시험장비(연료성분분석기 등 2종) 구매,국군재정관리단
16746,라디에터,방위사업청
16747,라디에터,방위사업청
16748,피스톤 링 등 16종,해군군수사령부
16749,베어링 볼형 환상형 등 22종,해군군수사령부
16750,플렉시브 커플링 엘리먼트 1종,해군군수사령부
16751,조종화(하계),방위사업청
16752,2018년 위병 및 군무원 정비피복 제조 구매 계약 의뢰,제9965부대
16758,18-1학기 생도 교과서 2차 구매,육군3사관학교
16759,18-공군 디지털 교실 정보화 사업(PC)(리스물건),국군재정관리단
16760,중파송신기(TRT-20V1) 유지보수 정비,해군군수사령부
16761,LPG,국군의무사령부
16762,펌프유닛 회전식 2항목 생산능력 제조(궤도),육군군수사령부
16763,펌프유닛 회전식 2항목 생산능력 제조(궤도),육군군수사령부
16764,기어 스퍼형 9항목 생산능력 제조(궤도),육군군수사령부
16765,기어뭉치 11항목 생산능력 제조(궤도),육군군수사령부
16766,스프링 소용돌이 등 51생산능력 제조(궤도),육군군수사령부
16767,스프링 소용돌이 등 51생산능력 제조(궤도),육군군수사령부
16768,베어링 롤러식 원통형 18항목 생산능력 제조(궤도),육군군수사령부
16769,베어링 롤러식 원통형 18항목 생산능력 제조(궤도),육군군수사령부
16770,전화받침대 등 289품목 구매,연평부대
16771,롱노우즈플라이어 등 178품목 구매,연평부대
16772,압력계 등 74품목 구매,연평부대
16773,엔진오일캡 등 181품목 구매,연평부대
16774,교과서 45종 구매,국군재정관리단
16776,예비군훈련용 소화기 탄피받이 구매,육군본부
16785,18-기동장비(트렉터) 구매,국군재정관리단
16786,18-기동장비(트렉터) 구매,국군재정관리단
16790,18-안전 하네스 등  3종 구매,국군재정관리단
16792,18년 신병증식(패스트리),제2167부대
16797,임의파형발생기 1EA,해군군수사령부
16798,임의파형발생기 1EA,해군군수사령부
16801,클리어북 등 946품목 구매,제9691부대
16802,구명식량 13 600BX 구매,해군군수사령부
16803,구명식량 13 600BX 구매,해군군수사령부
16811,넙적당면,해군군수사령부
16814,00부대 훈련통제실 통제시스템(영상장비) 구매 / 설치,육군과학화전투훈련단
16815,포제명찰 새김 및 벨크로 부착 제조,국군재정관리단
16816,CCTV 등 9품목 제조 구매 ,제9227부대
16817,자동기상관측장비 등 7종 유지보수 정비,해군군수사령부
16819,실리카겔등9종구매(항정단),제2879부대
16820,실리카겔등9종구매(항정단),제2879부대
16821,컵  세라믹제 등 15품목 구매,해군군수사령부
16822,락카스프레이황색등26종구매(항정단),제2879부대
16824,퓨즈  통형 등 4종 구매,해군군수사령부
16825,퓨즈  통형 등 4종 구매,해군군수사령부
16826,18-3D형상출력기(3D프린터) 구매 설치,국군재정관리단
16827,끈  고정용  전기제품용 등 5종 구매,해군군수사령부
16828,덮개  총구용 등 10종 구매,해군군수사령부
16829,인쇄용지 28종 연간 구매,국군재정관리단
16835,에이드,제3130부대
16842,K9자주포 베어링등3종 구매,제2879부대
16843,K9자주포 베어링등3종 구매,제2879부대
16844,K9자주포 베어링등3종 구매,제2879부대
16845,K9자주포 베어링등3종 구매,제2879부대
16846,K9자주포 패킹등23종 구매,제2879부대
16847,배출펌프 등 5종,해군군수사령부
16848,속도 감지기 1종,해군군수사령부
16849,초음파두께측정기 1EA 구매,해군군수사령부
16850,프린트 드럼 등 105종,제5738부대
16851,비상소화펌프 60GPM 6EA 구매,해군군수사령부
16852,광택연마기 1EA 구매,해군군수사령부
16853,세균배양기 등 11항목 구매(물품),육군군수사령부
16854,비닐끈 등 24항목 구매(물자),육군군수사령부
16855,부력(BC)자켓 등 5종,제7001부대
16856,모의인체장치 4항목 구매(물품),육군군수사령부
16857,항온수조 등 11항목 구매(물품),육군군수사령부
16858,18년 사무자동화장비(노트북) 도입사업(리스물건),국군재정관리단
16859,잔류염소측정기 등 9항목 구매(물품),육군군수사령부
16860,잔류염소측정기 등 9항목 구매(물품),육군군수사령부
16861,제동기 진동식 엔진용 등 16항목 구매(궤도),육군군수사령부
16862,봉합 조립체 등 21항목 구매(궤도),육군군수사령부
16863,칼라 폐쇄기 고리용 등 25항목 구매 (궤도),육군군수사령부
16864,케이스 탐조등용 등 4항목 구매 (궤도),육군군수사령부
16865,연료펌프조립체 등 10항목 구매 (궤도),육군군수사령부
16866,변환기조립체 등 3항목 구매 (궤도),육군군수사령부
16867,스위치 압력식 등 22항목 구매(궤도),육군군수사령부
16868,스위치 압력식 등 22항목 구매(궤도),육군군수사령부
16869,시트 및 플렛 홈 등 29항목 구매 (궤도),육군군수사령부
16870,시트 및 플렛 홈 등 29항목 구매 (궤도),육군군수사령부
16871,봉합재 후측 격자용 등 17항목 구매(궤도),육군군수사령부
16872,봉합재 후측 격자용 등 17항목 구매(궤도),육군군수사령부
16874,오일쿨러,해군제1정비대대
16875,도서 서가 제조,제9691부대
16876,18년 해병대 교육 및 홍보용 영상 제작,제9691부대
16877,회전형 IP카메라 제조 납품,제9227부대
16878,호스 조립체 비금속제 등 13항목 제조(자주포),육군군수사령부
16879,다목적전술차 방열기구매,제2879부대
16880,다목적전술차 방열기구매,제2879부대
16881,발칸 계전기구매,제2879부대
16882,헬멧  안전용 등 9종,해군군수사령부
16883,18년 강원지역 취사용 LPG 구매,제2167부대
16884,다목적굴착기 좌석구매,제2879부대
16885,오-링 등 8종 구매,해군군수사령부
16886,광택제  금속용 등 2종 구매,해군군수사령부
16887,디스플레이어 유닛 2EA 구매,해군군수사령부
16888,화장지 109 943EA 구매,해군군수사령부
16889,자물쇠 등 5종 구매,해군군수사령부
16890,여과기 부품  침전물용 등 20종 구매,해군군수사령부
16894,2018년 취사피복 제조납품,제2136부대
16895,18년 방수포장백류,방위사업청
16896,18년 방수포장백류,방위사업청
16898,육군 실감형콘텐츠 제작시스템 구축 장비 구매설치,국군재정관리단
16901,18년 발칸 전기주파수용 합성기 정비,방위사업청
16903,국가기술자격검정 장비 구매,제7789부대
16905,대잠립충격흡수형폼분리형튜브,해군제1정비대대
16906,디지털모뎀 집선기(A형 B형) 수리부속 구매,방위사업청
16907,관악대 연미복 구매,국방부근무지원단
16908,씰  봉합조립체류,방위사업청
16909,접절식 식수탱크 등 8종 구매,국군재정관리단
16910,18-108 학과가방 구매,공군교육사령부
16911,18년 발칸용 전원공급기,방위사업청
16912,18년 발칸용 전원공급기,방위사업청
16913,자주포 장치대,방위사업청
16914,필터류(장갑차),방위사업청
16915,필터류(장갑차),방위사업청
16916,액화석유가스(LPG) 벌크/용기 구매,해군제3함대사령부
16917,액화석유가스(LPG) 벌크/용기 구매,해군제3함대사령부
16918,액화석유가스(LPG) 벌크/용기 구매,해군제3함대사령부
16919,액화석유가스(LPG) 벌크/용기 구매,해군제3함대사령부
16920,액화석유가스(LPG) 벌크/용기 구매,해군제3함대사령부
16921,액화석유가스(LPG) 벌크/용기 구매,해군제3함대사령부
16922,액화석유가스(LPG) 벌크/용기 구매,해군제3함대사령부
16923,액화석유가스(LPG) 벌크/용기 구매,해군제3함대사령부
16924,4 000G/A 유조차,방위사업청
16925,플라스틱박스 제조,국군재정관리단
16926,2 500G/A 유조차,방위사업청
16927,2 500G/A 유조차,방위사업청
16928,K계열 궤도장비 부품류,방위사업청
16929,다목적전술차 배선구매,제2879부대
16930,다목적전술차 배선구매,제2879부대
16931,18-1차 복지기금 가전제품 구매,국군의무사령부
16932,18-1차 복지기금 가전제품 구매,국군의무사령부
16933,파노라마식 망원경(방산),방위사업청
16934,파노라마식 망원경(방산),방위사업청
16944,18년 태극마크,방위사업청
16945,LPH 항공기용 승강기 정비,해군군수사령부
16946,탄약적재 운송용 트레일러,방위사업청
16947,K9자주포 호스등7종구매,제2879부대
16948,다목적굴착기 T형광등2종구매,제2879부대
16949,다목적굴착기 T형광등2종구매,제2879부대
16950,장갑전투도자 덮개등4종구매,제2879부대
16951,장갑전투도자 덮개등4종구매,제2879부대
16952,장갑전투도자 덮개등4종구매,제2879부대
16953,장갑전투도자 케이블조립체등2종구매,제2879부대
16954,장갑전투도자 케이블조립체등2종구매,제2879부대
16955,장갑전투도자 클램프구매,제2879부대
16956,공업용 산소 및 아세틸렌 구매,제7789부대
16957,휴대용무전기 건전지 등 10종 구매,육군본부
16958,다목적굴착기 계전기구매,제2879부대
16959,장갑전투도자 와셔등9종구매,제2879부대
16960,가죽끈구매,제2879부대
16961,일반 및 정밀공구 등 20종,공군군수사령부
16963,전산운영용품(토너 등 65종) 구매,제9965부대
16964,하네스류,방위사업청
16965,00운영용품(토너 등 40종) 구매,제9965부대
16966,18-086 스틸그레이팅 등 3종 구매,공군사관학교
16967,악기보관용 렉박스 구매,국방부근무지원단
16968,전투실험용 휴대형 통합 네트워크 분석기 구매,육군정보통신학교
16969,수정테이프 등 106품목,제9181부대
16970,K계열전차 포가  대포용,방위사업청
16971,예비군훈련용 00분해도 4종 구매,육군본부
16972,청관제 등 2항목 구매(물자),육군군수사령부
16973,부대표지용 휘장 등 2항목 제조(물자),육군군수사령부
16974,말라리아조사세트 1항목 구매(물품),육군군수사령부
16975,걸상 직립형 등 22항목 구매(물품),육군군수사령부
16976,00시설 방카카본 필터 설치납품,국방부근무지원단
16980,유압임팩 등 11품목 구매,연평부대
16985,18년 특근자증식(패스트리),제2167부대
16995,18년 특근자증식(영양바),제2167부대
16997,18-연료유 이송펌프 66GPM(비자성) 8EA 제조,국군재정관리단
16998,18-카고 연료유펌프 3EA 제조 설치,국군재정관리단
17001,특정지역 휘장류(마크 등 11종) 제조,국군재정관리단
17002,18년 보안용지 구매,국군재정관리단
17003,조바틴 등 75항목 구매(해파 물품),육군군수사령부
17004,함정용 TACAN(NRBP-2BK) 부품 정비,해군군수사령부
17005,18년 LPG 구매(경기남부),제7789부대
17006,18년 LPG 구매(경기남부),제7789부대
17007,18년 LPG 구매(경기북부),제7789부대
17008,18년 LPG 구매(서울),제7789부대
17009,18년 LPG 구매(서울),제7789부대
17010,18년 LPG 구매(인천),제7789부대
17011,18년 LPG 구매(인천),제7789부대
17012,표시등 등 14종,해군군수사령부
17013,청소용 릴호스 70EA,해군군수사령부
17014,LED모니터 등 7종 구매 납품,제9196부대
17015,K9자주포 심등14종 구매,제2879부대
17016,K9자주포 심등14종 구매,제2879부대
17017,컷터날 등 120종 구매 납품,제9196부대
17018,수직 천공기 1EA 구매,해군군수사령부
17019,위성방송수신안테나 2EA 구매,해군군수사령부
17022,인입광케이블 등 9품목,제9181부대
17023,확성기 조립체 등 2종 구매,해군군수사령부
17024,기억장치 데이터 저장용 등 4종 구매,해군군수사령부
17025,TV받침대 등 6품목,제9181부대
17026,회전식 원형식탁 등 2종 제조 납품,제9196부대
17027,18년 인식표,방위사업청
17028,18년 천마 토크식 전동기,방위사업청
17029,18년 천마 토크식 전동기,방위사업청
17030,상부브러쉬 조립체 등 55항목 구매(궤도),육군군수사령부
17031,수압기중기 모터(휀) 등 3항목 구매(궤도),육군군수사령부
17032,수압기중기 모터(휀) 등 3항목 구매(궤도),육군군수사령부
17033,필터 유체용 등 3항목 구매 (궤도),육군군수사령부
17034,회로카드 조립체 등 9항목 구매 (궤도),육군군수사령부
17035,기어 및 축 조립체 베벨형 등 4항목 구매(궤도),육군군수사령부
17036,압력 감지기 등 1항목 구매 (궤도),육군군수사령부
17037,오실로스코프 1항목 구매(항공),육군군수사령부
17038,순간접착제등21종구매(항정단),제2879부대
17039,18-062 점보롤 화장지 등 2품목,공군교육사령부
17040,18-062 점보롤 화장지 등 2품목,공군교육사령부
17041,18-065 방화복 세트 등 2품목,공군교육사령부
17042,브레이크액,방위사업청
17043,브레이크액,방위사업청
17044,다목적굴착기 브레이크용캘리퍼등3종구매,제2879부대
17045,18년 복지시설 식자재 구매,국방부근무지원단
17046,AM무전기부품(구매),방위사업청
17052,TAS-970K부품(정비),방위사업청
17053,18년 정비피복 일반품목 구매,수도방위사령부
17054,잠수함(SS-I)디젤 감시장치 PCB정비,해군군수사령부
17055,천마 베어링등4종구매,제2879부대
17056,천마 베어링등4종구매,제2879부대
17057,18-제논탐조등(1KW) 31EA 제조,국군재정관리단
17058,장갑전투도자 부품키트등4종구매,제2879부대
17060,시력측정기 자동식 1EA 구매,해군군수사령부
17061,장갑전투도자 판등7종구매,제2879부대
17062,18-소형표적기 완제품 제조,국군재정관리단
17063,18-장의자 등 5종 제조,국군재정관리단
17064,18-동/하정비복 6종 제조,국군재정관리단
17065,알루미늄판등6종구매,제2879부대
17069,니카드전지(BB-851K 등 4종),방위사업청
17070,00부대 경계용 CCTV 제조 설치,국군재정관리단
17071,00부대 경계용 CCTV 제조 납품,국군재정관리단
17072,K55판및반사경등2종구매,제2879부대
17073,선박강습 사다리용 폴대 등 4종 구매,국군재정관리단
17074,K55창 광학기구용구매,제2879부대
17075,장갑전투도자 엘보등5종구매,제2879부대
17076,업체호 방탄문 경보장치 설치자재 구매,국군재정관리단
17077,교량가설단정 덮개등11종구매,제2879부대
17078,핸드맥스 니트로 등 847종,제5738부대
17079,케이블조립체(차폐용),방위사업청
17080,장갑전투도자 리드선등4종구매,제2879부대
17081,하우징류,방위사업청
17082,자주포 유지용 일반부품류,방위사업청
17083,견인식 제초기(디스크 모어) 구매,제20전투비행단
17084,시트 등 17종 구매,제2879부대
17085,잠망경,방위사업청
17087,컨테이너 제조,국군재정관리단
17089,18-Y-냉·온 정수기 임차 용역,연평부대
17090,자주포 유압장치 부품류,방위사업청
17091,자주포 유압장치 부품류,방위사업청
17092,UPS 베터리 구매.,공군제19전투비행단
17093,K2전차 변속기 부품류(구매),방위사업청
17094,K2전차 변속기 부품류(구매),방위사업청
17096,호스등18종구매,제2879부대
17097,튜브등6종구매,제2879부대
17098,슬리브등12종구매,제2879부대
17099,우드스크류등12종구매,제2879부대
17100,스티카비닐등34종구매,제2879부대
17101,송수화기(H-930K),방위사업청
17102,송수화기(H-930K),방위사업청
17103,소화기  화재진압용 등 2종 구매,해군군수사령부
17104,18년 기관총 주야조준경 부품류(구매),방위사업청
17105,18년 기관총 주야조준경 부품류(구매),방위사업청
17106,레진코라셋등6종구매,제2879부대
17107,18년 이동형 화재진압장비 구매,제5861부대
17108,에틸알콜등10종구매,제2879부대
17109,지도용지 구매,국군재정관리단
17110,지도용지 구매,국군재정관리단
17111,18년 포제계급장,방위사업청
17112,18년 포제휘장류,방위사업청
17113,18년 부대표지(전투복용),방위사업청
17114,지뢰발견표지판 제조,육군본부
17115,연구소 장비(분광광도계 등 4종)구매,육군 제3808부대
17116,연구소 장비(분광광도계 등 4종)구매,육군 제3808부대
17117,부품키트  오일 팬용 등 84항목 제조(생산능력),육군군수사령부
17118,부품키트  오일 팬용 등 84항목 제조(생산능력),육군군수사령부
17121,기어  스퍼형 등 8항목 제조(기장  생산능력),육군군수사령부
17122,기어  스퍼형 등 8항목 제조(기장  생산능력),육군군수사령부
17123,안전실린더 등 2항목 제조(기장  생산능력),육군군수사령부
17124,안전실린더 등 2항목 제조(기장  생산능력),육군군수사령부
17133,K1전차 계전기등2종구매,제2879부대
17134,K1전차 계전기등2종구매,제2879부대
17135,기념휘장 셋트 제조 납품,제9691부대
17136,건다시마 등 106 폼목 구매,제9691부대
17137,K1전차 덮개구매,제2879부대
17138,K1전차 컵등7종구매,제2879부대
17139,K1전차 볼트등32종구매,제2879부대
17140,K1전차 그로밋등21종구매,제2879부대
17141,K1전차 부품키트등2종구매,제2879부대
17142,K1전차 손잡이등7종구매,제2879부대
17143,K1전차 저항기등10종구매,제2879부대
17144,K1전차 충전선등3종구매,제2879부대
17145,K1전차 표시기등14종구매,제2879부대
17146,K1전차 표시기등14종구매,제2879부대
17147,K1전차 패드등23종구매,제2879부대
17148,K1전차 고무호스등2종구매,제2879부대
17149,위치보고접속장치 회로카드조립체10항목 구매(통신),육군군수사령부
17150,위치보고접속장치 연결기조립체 등 24항목 구매(통신),육군군수사령부
17151,특정전투화 등 2종 구매,수도방위사령부
17152,TMR 케이블조립체 등 18항목 제조(통신),육군군수사령부
17153,무정전 전원공급기 회로카드조립체15항목 구매(통신),육군군수사령부
17154,통신장비 케이블류 24항목 구매(통신),육군군수사령부
17155,다기능접속장치세트 회로카드조립체15항목 구매(통신),육군군수사령부
17156,특정지역 구매품류 구매,수도방위사령부
17157,특정지역 장구류 제조 납품,수도방위사령부
17158,특정지역 장구류 제조 납품,수도방위사령부
17159,특정기능성 방한복(내.외피포함) 제조,수도방위사령부
17160,송풍기 조립체 등 16항목 구매(물자),육군군수사령부
17161,통신장비 라이트류 9항목 구매(통신),육군군수사령부
17162,통신장비 라이트류 9항목 구매(통신),육군군수사령부
17163,위치보고접속장치 전지조립체 등 5항목 구매(통신),육군군수사령부
17164,위치보고접속장치 전지조립체 등 5항목 구매(통신),육군군수사령부
17165,GOP 다용도 방호벽 구매,제6685부대
17166,체인 렌치 등 44항목 구매(물자),육군군수사령부
17167,RFID 라벨태그등 5종 구매,공군군수사령부
17168,유지물자(의자 등 00종) 구매,제7789부대
17169,유지물자(전기 취반기) 구매,제7789부대
17170,케이블 조립체 특수목적용 전기용 갈래형,방위사업청
17171,케이블 조립체 특수목적용 전기용 갈래형,방위사업청
17172,방탄복 해병대(특대),방위사업청
17173,방탄복 특전사(대),방위사업청
17174,방탄복 해병대(중),방위사업청
17175,17-4차 교관용 참고도서 구매,육군본부
17176,모니터 받침대 등 181품목 구매 납품,제9227부대
17177,군사훈련용 가방 3종 구매,해군사관학교
17178,공기청정기 등 3품목,제9181부대
17179,루츠송풍기 등 13품목,제9181부대
17180,LED스탠드 등 30품목,제9181부대
17181,00작전지역 노후 CCTV 및 관제시스템 납품 및 설치,제1보병사단
17183,[육성]공병우의 구매,육군제53보병사단
17184,18년 차량정비용(기아) 수리부속 구매,국방부근무지원단
17185,18년 차량정비용(기아) 수리부속 구매,국방부근무지원단
17186,18년 차량정비용(버스/트럭) 수리부속 구매,국방부근무지원단
17187,18년 차량정비용(현대) 수리부속 구매,국방부근무지원단
17188,18년 차량정비용(현대) 수리부속 구매,국방부근무지원단
17190,대기배출시설 소모품 구매,국방부근무지원단
17191,노후 시설 보수자재 납품 설치,해군사관학교
17193,00함 추진제어계통(MCAM) 정비,해군군수사령부
17195,전기자재 사이렌등 69종,공군제19전투비행단
17196,보온대 구매,제7162부대
17197,17년 연말 재투자사업(노후 차양대 보수 자재구매),제6955부대
17198,도금정비고 관급자재(수배전반) 제조 설치,제2879부대
17199,00학교 전산장비 유지보수 용역,국군간호사관학교
17201,18-K-액화석유가스(LPG)  인천강화,제9181부대
17208,18-K-액화석유가스(LPG)  강화도서,제9181부대
17210,00지역 주거시설 관급자재 프라스틱창호 제조,국군재정관리단
17211,원격검침설비 구매 설치,국군재정관리단
17212,라면 등 28품목 구매,제9691부대
17213,병 건강검진 소모품 구매(ALT 등 25품목),국군대전병원
17214,17년 군단급 화면전시체계 교체사업 리스,국군재정관리단
17219,평창 동계올림픽 경비 및 운영지원 대상자 피복 구매,제36보병사단
17224,영상장비소모품 구매(조영제 자동주입 실린지 등 4종),국군대전병원
17225,플라스틱 박스 등 398종,해군작전사령부
17226,18-해-탐조등(12인치) 10EA 제조,국군재정관리단
17227,18-해-탐조등(12인치) 10EA 제조,국군재정관리단
17228,18-해-비상소화펌프(250GPM) 11EA 구매,국군재정관리단
17231,특수방수용 헤드셋 등 2종 구매,국군재정관리단
17234,(17-세-011) 청파 12동 씽크대 교체,공군제18전투비행단
17235,17-체력단련장 골프카트 납 배터리 구매,국군재정관리단
17236,플라이어 등 86항목 구매(물자),육군군수사령부
17237,후반기 전산운영용품 구매,국군재정관리단
17239,후반기 전산운영용품 구매(2),국군재정관리단
17240,소형굴삭기(트랙형) 구매,제6955부대
17241,전동지게차 등 9종 구매,국군재정관리단
17242,지뢰보호헬멧 구매,국군재정관리단
17243,17-금속판막형 울타리 구매/설치,제20전투비행단
17244,17-금속판막형 울타리 구매/설치,제20전투비행단
17245,관급자재(건식제습기) 제조 설치,국군재정관리단
17246,간식류 등 9품목,제9181부대
17247,다목적방탄판(레벨4용)(대),방위사업청
17248,다목적방탄판(레벨4용)(대),방위사업청
17249,다목적방탄판(레벨4용)(대),방위사업청
17250,다목적방탄판(레벨4용)(중),방위사업청
17251,다목적방탄판(레벨4용)(중),방위사업청
17252,다목적방탄판(레벨4용)(중),방위사업청
17253,프린터토너 등 61종(11월),제9918부대
17254,전자감응식 헤드셋 2종 구매,국군재정관리단
17255,행사장 AV설비 제조 설치,국군재정관리단
17256,롤테이너 등 6개 구매,제6955부대
17257,사무용도품 359종(11월),제9918부대
17258,군사훈련용 가방 2종 구매,해군사관학교
17259,00부대 방송용 장비 구매,제7821부대
17261,00함 기뢰부설장치 정비,해군군수사령부
17262,잠수함(SS-Ⅱ) 양강마스트 정비,해군군수사령부
17263,입식비세트 등 289종,해군제3함대사령부
17264,00수신체계 직저장서버 등 8종 구매,제9965부대
17265,GPS 수신 킷트  4종 구매/설치,공군제19전투비행단
17266,전시자원소요분석모델 장비 교체사업 리스,국군재정관리단
17267,전시자원소요분석모델 장비 교체사업 리스,국군재정관리단
17268,전투조끼 등 5품목,제9181부대
17270,17-제주 종합훈련장 분전반 제조,제9해병여단
17271,전령문서낭 3종 제조 구매,해군본부
17272,굴삭기 방탄탑 구매,제3723부대
17273,굴삭기 착암기 구매,제3723부대
17274,창고 중량물 저장대 설치납품,제2167부대
17276,물류취급물자 설치납품(3종),제2167부대
17277,프린터 토너 등 42종 구매,합동군사대학교
17278,17-00대대 종합훈련장 관급자재(통합배선) 제조 설치,국군재정관리단
17288,세면비누 등 42품목 구매,제9691부대
17289,모듬두텁떡 등 6종 제조,제3170부대
17290,모듬두텁떡 등 6종 제조,제3170부대
17291,복지시설 연봉회관 식자재 구매 납품,제9196부대
17292,격리병상 시설공사 관급자재 공조기 설치납품,국군수도병원
17295,목재형 총기진공포장박스 제조,국군재정관리단
17296,18-002 18년도 1학기 교과서(국내서) 구매,공군사관학교
17297,차아염소산칼슘 등 6항목 구매(물자),육군군수사령부
17298,K200장갑차 오링등21종구매,제2879부대
17299,K200장갑차 오링등21종구매,제2879부대
17304,감지장치 전기자기유도식 1종,해군군수사령부
17311,시일 밀봉형 등 212항목 제조(기장),육군군수사령부
17312,시일 밀봉형 등 212항목 제조(기장),육군군수사령부
17313,필터 엘리먼트 유체용 등 49항목 제조(기장),육군군수사령부
17314,필터 엘리먼트 유체용 등 49항목 제조(기장),육군군수사령부
17315,핀 분할형 등 649항목 제조(기장),육군군수사령부
17316,회전관이음쇠 수력용 등 62항목 제조(기장),육군군수사령부
17317,호스 공기통용 등 129항목 제조(기장),육군군수사령부
17318,롤라 등 3항목 제조(기장),육군군수사령부
17319,튜브조립체 금속제 등 152항목 구매(기장),육군군수사령부
17320,릴리스 베어링 조립체 등 14항목 구매(기장),육군군수사령부
17321,손잡이 등 155항목 구매(기장),육군군수사령부
17322,액화석유가스,연평부대
17323,지뢰보호의 제조,국군재정관리단
17324,TRU케이블 등 21종 구매,제20전투비행단
17325,전패드 등 36종,제5738부대
17326,전패드 등 36종,제5738부대
17327,Defibrillation electrode 등 42종,제5738부대
17328,Defibrillation electrode 등 42종,제5738부대
17329,연주용의자 등 4품목 구매 납품,제9227부대
17330,17년 천궁 수리부속류(발사대),방위사업청
17331,17-00부대 세병관(명량홀) 전시장비 정비/교체 사업,국군재정관리단
17332,전시 이동용 MW 전송장비(광전송장비) 제조 사업,국군재정관리단
17333,세면기 등 29종 구매,제20전투비행단
17334,폭발물탐지/제거로봇,방위사업청
17335,동축케이블 등 91품목 구매 납품,제9227부대
17336,가습기 등 10품목 구매 납품,제9227부대
17337,17년 부대비품(책상 등) 현금예산 계약,육군보병학교
17338,스텐집게 등 274종 구매,해군제3함대사령부
17339,Thromborel S 등 39종,제5738부대
17340,바리게이트 등 443종 구매,해군제3함대사령부
17341,수집안테나/RF부속장비 제작 부푸/자재 구매,제3707부대
17342,수집안테나/RF부속장비 제작 부푸/자재 구매,제3707부대
17343,oo부대 공중동작 훈련장치 설치납품,특수전사령부
17344,교육훈련상황실 전시장비 정비/교체 사업,해군사관학교
17345,캡스위치 등 12품목,해군제1정비대대
17346,지역통제소 통제장비 노후 광케이블 교체,제20전투비행단
17347,표창장 표지 제조,육군인사사령부
17348,액화석유가스(LPG) 구매(단가제),제9691부대
17349,인쇄용지(DVD포함)4종 구매,국방출판지원단
17350,00지역 방열기 설치납품,제17보병사단
17351,체력단련장 유류 구매 (휘발유  경유),육군인사사령부
17355,임시명찰 등 2품목,제3283부대
17357,심폐소생술 마네킹 구매,육군본부
17358,K200장갑차 펌프등4종구매,제2879부대
17359,K9자주포 패킹등16종구매,제2879부대
17360,K9자주포 스프링등37종구매,제2879부대
17361,K9자주포 스프링등37종구매,제2879부대
17362,K9자주포 베어링등18종구매,제2879부대
17363,K9자주포 베어링등18종구매,제2879부대
17368,K9자주포 부품킷트등4종구매,제2879부대
17369,K9자주포 단열수관등7종구매,제2879부대
17370,K9자주포 단열수관등7종구매,제2879부대
17371,K9자주포 너트등39종구매,제2879부대
17372,K9자주포 차폐유리구매,제2879부대
17373,K9자주포 차폐유리구매,제2879부대
17374,K9자주포 차폐유리구매,제2879부대
