,입찰명,발주기관
41168,햄,급식유류계약팀
41169,햄,급식유류계약팀
41260,콩나물,급식유류계약팀
41261,콩나물,급식유류계약팀
41262,콩나물,급식유류계약팀
41263,콩나물,급식유류계약팀
41484,도서(침묵의 봄 등 61품목) 구매,제9해병여단
41852,"20-033 20년 영내자 증식(떡, 케이크) 제조납품",수도방위사령부
41856,20년 영내자 증식용 떡 및 생일자 케이크 구매,제2236부대
42099,충전 햄머드릴 1항목 구매(물자),육군군수사령부
42103,20년 영내자용 떡 및 케이크 구매,제15보병사단
42114,`20년 영내자 증식 떡 및 생일자 케이크 증식,제1288부대
42150,통닭박스 등 23종,해군군수사령부
42222,'20년 영내자 증식(떡 및 생일자 케이크) 제조/납품,제3697부대
42309,20년 영내자 증식용 떡 및 케이크 구매,제1862부대
42325,쌀 햄버거빵 등 16품목 구매,연평부대
42360,증실용 떡 및 케이크 구매,제5925부대
42779,영내자 증식용 떡 및 생일자 케이크 구매,제21보병사단
42925,떡갈비 소용량 구매,해군군수사령부
43058,20년 영내자 떡 및 케이크 구매,육군사관학교
43062,20년 영내자 떡 및 케이크 구매,육군사관학교
43105,20년 영내자증식용 떡 및 생일케이크 구매,제5767부대
43172,군단직할 영내자증식용 떡 및 생일자 쌀케이크 납품,제2군단
43254,냉장염지조각닭 등 13종 구매,해군군수사령부
43259,20년 영내자 증식(떡) 제조구매,제7군단
43437,떡국떡 등 11종 구매,해군군수사령부
43438,떡국떡 등 11종 구매,해군군수사령부
43439,떡국떡 등 11종 구매,해군군수사령부
43440,떡국떡 등 11종 구매,해군군수사령부
43441,떡국떡 등 11종 구매,해군군수사령부
43442,떡국떡 등 11종 구매,해군군수사령부
43443,떡국떡 등 11종 구매,해군군수사령부
43444,떡국떡 등 11종 구매,해군군수사령부
43524,냉찜질기 등 8항목 구매(물품),육군군수사령부
43684,떡류 등 14품목 제조 구매,제9181부대
43688,'20년 삼일절 경축 특식(훈제닭다리) 구매,5군수지원사령부
43705,떡류 구매,제3170부대
43729,닭고기 등 12종,제7001부대
43868,22-목 콩나물 등 21종 구매,해군제3함대사령부
43999,소떡소떡 등 8종 구매,해군 기동함대사령부
44005,즉석밥 등 5종 구매,해군 기동함대사령부
44008,떡국떡 등 9종 구매,해군 기동함대사령부
44657,'22년 신정 경축특식 훈제닭다리(제조/구매),제2군수지원여단
44668,파병부대 즉석밥 등 40품목 구매,육군군수사령부
45076,'22년 신정 경축특식(훈제조각닭다리),제 2167부대
45077,'21년 성탄절 경축특식(훈제조각닭다리),제 2167부대
45218,'22년 경축특식 신정(훈제닭다리) 계약,제1군수지원사령부
46202,쌀(백미) 10kg 700포 구매,해군 기동함대사령부
46440,'21년 추석 경축특식 훈제닭다리 계약,제1군수지원사령부
46683,'21년 영내자용 떡 및 케이크 구매계약,제7보병사단
47456,떡갈비 소용량 구매,해군군수사령부
47799,21-자유형 단조햄머 구매,국군재정관리단
48018,21년 군마 톱밥(펠릿) 구매,육군사관학교
48239,다목적 세정제(산도깨비) 등 12종,해군 기동함대사령부
48459,불닭마요덮밥 등 13종,해군 기동함대사령부
49108,충전햄머드릴 등 3항목 구매(궤도공구),육군군수사령부
49482,"21년 영내자 증식(떡, 케이크) 제조납품",수도방위사령부
49626,`21년 생일특식(쌀 케이크) 제조납품,제8기동사단
49627,`21년 영내자 증식(떡) 제조납품,제8기동사단
49864,`21년 영내자 증식용 떡 및 생일자 케이크 납품계약,제5767부대
49865,`21년 영내자 증식 떡 및 생일자케이크 구매,제1288부대
49868,’21년 영내자용 떡 및 케이크 구매,제15보병사단
49981,쌀 햄버거빵 등  22품목 구매,연평부대
50034,21년 영내증식용 떡 및 샐일자 쌀케이크 구매,제2236부대
50035,21년 영내자 증식용 떡 및 케이크 제조납품,제3공병여단
50137,21-002 영내자증식(떡),공군교육사령부
50199,떡라면 등 85품목 구매,연평부대
50235,21년 생일자 쌀 케이크 제조납품,육군사관학교
50239,21년 생일자 쌀 케이크 제조납품,육군사관학교
50475,21년 영내자 증식 떡 제조납품,육군사관학교
50511,'21년 부대조달 후식 구매(쌀음료),제 2167부대
50671,2021 증식용 떡 및 생일자 쌀케이크 계약,제5925부대
51008,영내자증식용 떡 및 생일자 쌀케이크 제조납품,제2군단
51009,영내자증식용 떡 및 생일자 쌀케이크 제조납품,제2군단
51157,프레스햄 통조림 구매,해군군수사령부
51172,21년 영내자 증식용 떡 및 생일자 특식용 케이크 계약,제1862부대
51173,21년 영내자 증식용 떡 및 생일자 특식용 케이크 계약,제1862부대
51175,21년 영내자 증식용 떡 및 생일자 특식용 케이크 계약,제1862부대
51192,21년 영내자 증식용 떡 및 생일자 특식용 케이크 계약,제1862부대
51193,21년 영내자 증식용 떡 및 생일자 특식용 케이크 계약,제1862부대
51306,"21년 영내자증식(떡,쌀케이크) 제조납품",제3697부대
51342,떡갈비 구매,해군군수사령부
51355,떡갈비 소용량 구매,해군군수사령부
51413,땅콩분태 구매,해군군수사령부
51469,'21년 경특식 삼일절 훈제닭다리 계약,제1군수지원사령부
51489,'21년 영내자 증식(떡) 제조,육군 제37보병사단
51511,냉동콩비지 구매,해군군수사령부
51536,떡류 등 22품목 제조 구매,제9181부대
51552,냉장염지조각닭 등 13종 구매,해군군수사령부
51580,땅콩조림 구매,해군군수사령부
51581,떡국떡 구매,해군군수사령부
51594,떡볶이떡 구매,해군군수사령부
51601,뼈발골 닭다리 정육 구매,해군군수사령부
51607,씻어나온쌀 구매,해군군수사령부
51608,모듬콩조림 구매,해군군수사령부
51685,떡류(쑥경단등 4품목) 제조(직접생산업체 대상),제3170부대
51695,닭고기 등  12종,제7001부대
51727,23년1월_부대계약_식자재납품_식육가공품(햄),제1862부대
51732,23년1월부대계약식자재납품(빵류),제1862부대
51733,23년 1~3월 부대조달 부식(오색모듬어묵) 제조/구매,제 2167부대
51734,23년 1~3월 부대조달 부식(부대찌개모듬햄)제조/구매,제 2167부대
51752,'23년 1~3월 부대조달 부식(통밀식빵) 구매,제 2167부대
51753,'23년 1~3월 부대조달 부식(마늘바게뜨빵) 구매,제 2167부대
51754,'23년 1~3월 부대조달 부식(모닝빵) 구매,제 2167부대
51755,'23년 1~3월 부대조달 부식(스팸형햄) 구매,제 2167부대
51840,"23년 1월,2월 부대조달 급식품목(빵류) 구매",제1989부대
51842,23년 1~3월 부대계약 부식 빵류(제조/구매),제7보병사단
51899,닭고기 등 12종 구매,제7001부대
51903,'23년 삼일절 경축특식 훈제닭다리 제조/구매,제2군수지원여단
51908,'23년 부대계약(1~3월) 부식(빵류) 제조/구매,제2군수지원여단
51909,'23년 삼일절 경축특식 훈제닭다리 제조/구매,제2군수지원여단
51930,'23년 삼일절 경축특식(훈제닭다리) 제조,5군수지원사령부
51973,'22년 추가 경축특식(훈제닭다리) 제조,5군수지원사령부
51980,23-1차 빵류 다수품목 단가계약(경기서부),제1군수지원사령부
51981,23-1차 빵류 다수품목 단가계약(경기남부),제1군수지원사령부
51982,23-1차 빵류 다수품목 단가계약(강원동부),제1군수지원사령부
51983,23-1차 빵류 다수품목 단가계약(강원서부),제1군수지원사령부
51994,23-목 콩나물 등 23종 구매,해군제3함대사령부
52003,경쟁계약 품목 23년(1~3월) 닭순살꼬치 등 26개구매,육군훈련소
52016,'22년 1~2월 부대급식계약(어묵류),육군제53보병사단
52264,22년 12월 부대조달 급식품목(빵류) 제조구매,제1989부대
52285,12월 부대조달 식자재 납품(식육가공품류 - 햄),제1862부대
52287,12월 부대조달 식자재 납품(빵류),제1862부대
52327,22년 추가특식 (훈제닭다리),육군제7789부대
52370,22년 추가특식 (훈제닭다리),육군제7789부대
52371,22년 추가특식 (훈제닭다리),육군제7789부대
52418,'22년 크리스마스 추가 경축특식(훈제닭다리) 제조,5군수지원사령부
52470,슬라이스햄 등 8종 구매,해군 기동함대사령부
52483,식빵 등 12종 구매,해군 기동함대사령부
52485,떡국떡 등 7종 구매,해군 기동함대사령부
52488,슬라이스햄 등 8종 구매,해군 기동함대사령부
52496,잡채말이어묵 등 6종 구매,해군 기동함대사령부
52797,23년 신정 경축특식(훈제닭다리) 제조,5군수지원사령부
53306,22-5차 부대조달 식자재 납품(냉동빵류) (구매),제3군수지원여단
53499,'22년 11~12월 부대조달 부식(스팸형햄) 구매,제 2167부대
53955,'22년 국군의날 경축특식 훈제닭다리 구매,제3군수지원여단
54362,9월 부대계약 (식육가공품류) - 햄,제1862부대
54378,민군상생발전 선물(쌀) 구매,해군 기동함대사령부
54391,'22년 9~10월 부대조달 부식(모닝빵) 구매,제 2167부대
54392,'22년 9~10월 부대조달 부식(스팸형햄) 구매,제 2167부대
54393,'22년 9~10월 부대조달 부식(모듬햄) 구매,제 2167부대
54394,'22년 9~10월 부대조달 부식(꽃빵) 구매,제 2167부대
54396,'22년 국군의날 경축특식(훈제닭다리) 구매(제조),5군수지원사령부
54455,22년 추석 경축특식 훈제닭다리 제조/구매,제1군수지원사령부
54493,'22년 9~10월 부대조달 부식(볼어묵) 제조,제 2167부대
54528,'22년 9~12월 부대계약 부식(빵류) 제조/구매,제2군수지원여단
54625,22년 9월 부대급식품목(어묵류),육군제53보병사단
54632,큐브매콤덮밥소스 등 25종 구매,해군 기동함대사령부
54699,'22년 국군의날 경축특식 훈제닭다리 제조/구매,제2군수지원여단
54726,(22육군-해파042)00부대 식품류 구매(햄통조림 등),종합보급창
54817,22-2차 식용유(콩기름) 구매,제25보병사단
55059,22년 8월 부대급식품목(어묵류),육군제53보병사단
55142,'22년 7~8월 부대조달 부식(납작어묵) 제조,제 2167부대
55299,22년 부대계약 식용유(콩기름) 구매,제22보병사단
55384,도서류 양들의 침묵 등 84종 구매 납품,제3283부대
55458,깨끗한나라 물티슈 등174종 구매,제7001부대
55488,'22년 제헌절 경축특식(훈제닭다리) 구매(제조),5군수지원사령부
55649,22년 6~8월 식용유(콩기름) 구매,제25보병사단
55894,경쟁계약 품목(미니떡 스테이크 등 50개품목)구매,육군훈련소
56009,'22년 6월 부식(스모크햄) 제조,제 2167부대
56191,불닭마요덮밥 등 13종 구매,해군 기동함대사령부
56208,22년 경축특식(제헌절) 훈제닭다리,육군제7789부대
56412,식자재 부대 계약(6월 7월 8월) 빵류,제9보병사단사령부
56527,'22년 6~8월 부대계약 부식(빵류 2개 품목),제2군수지원여단
56568,'22년 부대조달 부식(꽃빵) 구매,제 2167부대
56573,'22년 부대조달 부식(꽃빵) 구매,제 2167부대
56639,통닭박스 등 2종,해군군수사령부
56702,떡볶이떡 구매,해군군수사령부
56704,떡국떡 구매,해군군수사령부
57114,불닭마요덮밥 등 13종 구매,해군 기동함대사령부
57238,쌀과자제조기 구매,제9911부대
57308,충전햄머드릴 등 3항목 구매(궤도공구),육군군수사령부
57898,00부대 급식류 구매(즉석밥 등 44품목),종합보급창
58015,경쟁계약 품목 구매(미니떡 스테이크 등 61종),육군훈련소
58263,햄버거빵 등 14품목 구매,연평부대
58361,'22년 부대급식품목 계약(어묵류),육군제53보병사단
58422,사각어묵(냉동) 등 4종 구매,해군군수사령부
58765,씻어나온쌀 구매,해군군수사령부
58804,떡갈비 소용량 구매,해군군수사령부
58888,로타리 햄머드릴 등 18종,해군군수사령부
58917,닭고기 덮밥소스 구매,해군군수사령부
58918,컵밥 구매,해군군수사령부
59354,냉장염지조각닭 등 11종 구매,해군군수사령부
59386,뼈발골 닭다리 정육 구매,해군군수사령부
59486,모듬콩조림 구매,해군군수사령부
59489,땅콩조림 구매,해군군수사령부
59525,카메라 어깨스트랩 하네스 등 77종 구매 납품,제3283부대
59575,'22년 삼일절 경축특식 훈제닭다리(제조/구매),제2군수지원여단
59642,도토리묵 등 44종 구매,해군작전사령부
59660,'22년 삼일절 경축특식 훈제닭다리,제1군수지원사령부
59693,22년 설날 경축특식(훈제닭다리),5군수지원사령부
59749,닭고기 등 12종 구매,제7001부대
59759,떡국떡 등 119종 구매,제2002부대
59766,'24년1월-3월 부대조달 식자재 구매(빵류),제17보병사단
59770,'24-1차 부대계약 영내자증식(컵밥 등 11종),제3군수지원여단
59812,24년 1월~2월 부대조달 급식품목(빵류) 구매,제1989부대
59827,24-1차 빵류 다수품목 단가계약(경기 남부),제1군수지원사령부
59828,24-1차 빵류 다수품목 단가계약(경기 서부),제1군수지원사령부
59829,24-1차 빵류 다수품목 단가계약(강원 서부),제1군수지원사령부
59840,냉장염지조각닭 등 10종 구매,해군군수사령부
59882,'24-1차 식자재(부식) 구매 (빵류),제3군수지원여단
59916,‘24년 부대계약 부식(1~3월)(빵류) 제조 / 구매,제2군수지원여단
59993,24-1차 부대계약 식자재 납품(빵류),제7군수지원단
59996,23년 추가특식 구매(호빵),육군제7789부대
59999,사각어묵 등 2종 제조납품,제9911부대
60159,‘23년 경축특식(신정) 빵류 3품목 구매,제 2167부대
60160,‘23년 경축특식(신정) 훈제닭다리 등 2품목 구매,제 2167부대
60182,슬라이스햄 등 9종 구매,해군 기동함대사령부
60183,콩조림 등 12종 구매,해군 기동함대사령부
60317,‘24년 1~3월 부대조달 부식(빵류 35품목) 구매,제 2167부대
60354,‘24년 1~3월 부대조달 부식(스팸형 햄) 구매,제 2167부대
60488,육군훈련소 24년 신정 경축특식 훈제닭다리 제조구매,육군훈련소
60680,23-2차 추가특식 우유생크림빵 제조,제1군수지원사령부
60919,'23년 경축특식(성탄절) 훈제닭다리 제조/구매,제2군수지원여단
60920,’24년 신정 경축특식 훈제닭다리 (제조),제3군수지원여단
60939,씻어나온 쌀 등 15종 구매,제2002부대
60945,11월-12월 부대조달 식자재 구매(빵류),제17보병사단
61064,'23년 경축특식(추가 급식) 빵류 2품목 구매,제 2167부대
61144,23년 11월~12월 부대계약 식자재납품(빵류),제1862부대
61147,23년 11월~12월 부대조달 급식(빵류) 구매,제1989부대
61222,'24년 설날 경축특식(훈제닭다리) 제조,5군수지원사령부
61388,도서(깨어있는 숲속의 공주 등 269종) 구매,제7001부대
61670,'23년 4분기 부대계약 증식(컵밥 등 5종),제3군수지원여단
61672,‘23년 10~12월 부대조달 부식(빵류 18품목) 구매,제 2167부대
61770,23년 간편식(즉석밥 등 26종) 급식품목 구매,제6보병사단
61824,23년 10~12월 부대계약 부식(빵류) 제조/구매,제7보병사단
61851,‘23년 10~12월 부대조달 부식(스팸형 햄) 구매,제 2167부대
61861,'23년 부대계약(10~12월) 부식(빵류)  제조/구매,제2군수지원여단
61918,23-4차 부대계약 식자재 납품(빵류),제3군수지원여단
61921,23-4차 부대계약 부식 (빵류),육군제7789부대
61925,‘23년 경축특식(추석/국군의날) 빵류 4품목 구매,제 2167부대
61932,`22년 경축특식(추석/국군의 날) 훈제닭다리 등 구매,제 2167부대
61944,23-ㅇ전단 쌀(백미/10kg) 구매,해군 기동함대사령부
61962,23년 10~12월 부대계약(빵류),제15보병사단
62290,'23년 추석 경축특식 훈제닭다리(제조),제3군수지원여단
62292,육훈소 국군의날 경축특식 훈제닭다리 제조/구매,육군훈련소
62296,23년 9월~10월 부대계약 식자재납품(햄류),제1862부대
62298,23년 9월~10월 부대계약 식자재납품(빵류),제1862부대
62383,23년 9~10월 부대조달 급식품목(빵류) 구매,제1989부대
62429,'23년 성탄절 경축특식(훈제닭다리) 제조,5군수지원사령부
62650,‘23년 경축특식(광복절) 훈제닭다리 구매,제 2167부대
62885,23-3차 경축특식 닭윙 or 닭봉 구매,제1군수지원사령부
63130,'23년 경축특식(국군의 날) 훈제닭다리 제조/구매,제2군수지원여단
63317,23년 영내자증식(컵밥 등 3종)구매,육군제53보병사단
63320,23년 7월~8월 부대계약 식자재납품(햄류),제1862부대
63327,23년 7월~8월 부대계약 식자재납품(빵류),제1862부대
63328,23년 7월~8월 부대계약 식자재납품(햄류),제1862부대
63349,"'23년 7,8월 부대조달 급식품목(빵류) 구매",제1989부대
63628,23-2차 부대계약 증식(컵밥 등 2종) 구매,제3군수지원여단
63741,육군훈련소 제헌절 경축특식 훈제닭다리 제조/구매,육군훈련소
63750,육군훈련소 제헌절 경축특식 훈제닭다리 제조/구매,육군훈련소
63835,‘23년 7~9월 부대조달 부식(스팸형햄)구매,제 2167부대
63836,'23년 부대계약(7~9월) 부식(빵류) 제조/구매,제2군수지원여단
63912,7~9월 부대조달 부식(꼬치어묵 등 2품목) 제조/구매,제 2167부대
63913,‘23년 7~9월 부대조달 부식(모닝빵 등 3종) 구매,제 2167부대
64121,23년 6월 부대계약 식자재납품(빵류),제1862부대
64122,23년 6월 부대계약 식자재납품(식육가공품-햄류),제1862부대
64126,23-3차 빵류 다수품목 단가계약(경기 북부) 수정,제1군수지원사령부
64127,23-3차 빵류 다수품목 단가계약(경기 남부) 수정,제1군수지원사령부
64128,23-3차 빵류 다수품목 단가계약(강원 서부) 수정,제1군수지원사령부
64129,23-3차 빵류 다수품목 단가계약(경기 서부) 수정,제1군수지원사령부
64350,23년 7~9월 부대계약(빵류),제15보병사단
64610,'23년 6~9월 부대조달 부식(콩나물) 구매,제 2167부대
64690,'23년 부처님 오신 날 경축특식(훈제닭다리)제조/구매,제 2167부대
64739,콩나물 구매,해군군수사령부
64778,육훈소 콩나물 세척구매,육군훈련소
64911,23년 5월 부대계약 식자재납품(식육가공품-햄류),제1862부대
64912,23년 5월 부대계약 식자재납품(빵류),제1862부대
64995,'23년 광복절 경축특식(훈제닭다리) 제조,5군수지원사령부
65023,전투부식(김치날치알밥 등 14품목) 구매,제9해병여단
65041,23년 석가탄신일 경축특식 훈제닭가슴살 구매,제1군수지원사령부
65164,"23년 5,6월 부대조달 급식품목(빵류) 구매",제1989부대
65175,"23년 5,6월 부대조달 급식품목(빵류) 구매",제1989부대
65407,(수정)23년 영내자 증식 조달(떡류),제3보병사단
65487,계약)병사식당 식사재(자율부식비 및 즉석밥) 구매,공군교육사령부
65621,참치마요덮밥 등 15종 구매,해군 기동함대사령부
65696,23년 5~6월 부대급식계약(어묵류),육군제53보병사단
65724,4~6월 부대조달 부식(오색모듬어묵 등 3종) 제조/구매,제 2167부대
65870,씻어나온 쌀 구매,해군군수사령부
65905,충전햄머드릴 등 3항목 구매(궤도공구),육군군수사령부
65925,23년 4월 부대계약 식자재납품(빵류),제1862부대
65930,23년 4월 부대계약 식자재납품(식육가공품-햄류),제1862부대
66055,'23년 4~6월 부대계약 식자재 납품(냉동빵),제1보병사단
66068,'23년 4~6월 부대계약 식자재 납품(상온빵류),제1보병사단
66098,컵밥 구매,해군군수사령부
66146,햄버거빵 등 14품목 제조,연평부대
66152,순살햄 구매,해군군수사령부
66170,떡볶이떡 구매,해군군수사령부
66171,떡국떡 구매,해군군수사령부
66174,땅콩조림 구매,해군군수사령부
66177,모듬콩조림 구매,해군군수사령부
66184,4~6월 경쟁계약품목(닭순살꼬치 등 27개) 구매,육군훈련소
66251,'23년 부대계약(4~6월) 부식(빵류) 제조/구매,제2군수지원여단
66388,‘23년 4~6월 부대조달 부식(모닝빵 등 2종) 구매,제 2167부대
66389,‘23년 4~6월 부대조달 부식(스팸형햄)구매,제 2167부대
66390,4~6월 부대조달 부식(수제어묵바(가래떡)) 제조/구매,제 2167부대
66456,23년 4~6월 부대계약(빵류),제15보병사단
66525,"'23년 빵류 제조 납품(백령도, 대청도, 소청도)",제9196부대
66541,뼈발골닭다리정육 구매,해군군수사령부
66607,냉장염지조각닭 등 11종 구매,해군군수사령부
66763,23-2차 빵류 다수품목 단가계약(강원 동부),제1군수지원사령부
66764,23-2차 빵류 다수품목 단가계약(강원 서부),제1군수지원사령부
66765,23-2차 빵류 다수품목 단가계약(경기 북부),제1군수지원사령부
66766,23-2차 빵류 다수품목 단가계약(경기 서부),제1군수지원사령부
66767,23-2차 빵류 다수품목 단가계약(경기 남부),제1군수지원사령부
66894,23년 3월 부대계약 식자재납품(빵류),제1862부대
66898,23년 3월 부대계약 식자재납품(식육가공품-햄류),제1862부대
67082,'23년 삼일절 경축특식 훈제닭다리 제조/구매,제3군수지원여단
67156,"23년 3,4월 부대조달 급식품목(빵류) 구매",제1989부대
67246,육군훈련소 삼일절 경축특식 훈제닭다리 제조/구매,육군훈련소
67257,육군훈련소 삼일절 경축특식 훈제닭다리 제조/구매,육군훈련소
67263,'23년 3~4월 부대급식계약(어묵류),육군제53보병사단
67264,즉석 쌀밥 등 13종 구매,제2002부대
67419,23년 3.1절 특식 (훈제닭다리),육군제7789부대
67427,23년 2월 부대계약 식자재납품(식육가공품-햄류),제1862부대
67430,23년 2월 부대계약 식자재납품(빵류),제1862부대
67435,씻어나온 쌀 등 17종 구매,제2002부대
67460,23년 생도증식(떡 만두 등 225종) 구매,육군사관학교
67493,‘23년 설날 경축특식(훈제닭다리) 제조/구매,제 2167부대
67497,23년 설날 경축특식 훈제닭다리 제조/구매,제1군수지원사령부
67566,떡국떡 등 119종 구매,제2002부대
67633,25년 1~3월 부대계약 급식품목(빵류) 구매,제1989부대
67738,'25년 1분기 부대계약부식(빵류) 제조/구매,5군수지원사령부
67749,(25-급-004) '25-1차 부대계약 식자재 (빵류) 계약,제7군수지원단
67758,콩나물 구매,해군군수사령부
67762,냉장염지닭 등 10종 구매,해군군수사령부
67850,25-1차 빵류 다수품목 단가계약(구매),제1군수지원사령부
67886,'25-1차 부대계약 부식(빵류) 구매,제3군수지원여단
67942,씻어나온쌀 구매,해군군수사령부
67950,씻어나온쌀 구매,해군군수사령부
67953,뼈발골닭다리정육 구매,해군군수사령부
68026,모듬콩조림 구매,해군군수사령부
68030,떡볶이떡 구매,해군군수사령부
68069,'25년 1~3월 부대계약(빵류) 구매,육군제53보병사단
68116,땅콩조림 구매,해군군수사령부
68117,떡국떡 구매,해군군수사령부
68132,컵밥 구매,해군군수사령부
68175,식빵 등 18종 구매,해군 기동함대사령부
68178,즉석밥 등 11종 구매,해군 기동함대사령부
68187,부대찌개모듬햄 등 12종 구매,해군 기동함대사령부
68189,어묵 등 9종 구매,해군 기동함대사령부
68258,순살햄 구매,해군군수사령부
68286,찹쌀떡 아이스크림,해군군수사령부
68310,씻어나온 쌀 등 11종 구매,제2002부대
68387,24년 11~12월 부대조달 급식품목(빵류) 구매,제1989부대
68393,‘25년 1~3월 부대조달 부식(빵류 58품목) 구매,제 2167부대
68394,‘25년 1~3월 부대조달 부식(햄류 2품목) 구매,제 2167부대
68438,‘25년 부대계약 부식(1~3월)(빵류) 제조/구매,제2군수지원여단
69172,24년 4분기 부대계약부식(빵류) 제조/구매,5군수지원사령부
69341,'24년 10~12월 부대계약(빵류) 구매,육군제53보병사단
69563,'24-4차 부대계약 식자재(부식) 구매(빵류),제3군수지원여단
69578,(24-급-038) '24-4차 부대계약 식자재 납품(빵류)계약,제7군수지원단
69589,24년 10~12월 부대조달 급식품목(빵류) 제조/납품,제1989부대
69681,24-4차 빵류 다수품목 단가계약,제1군수지원사령부
69716,‘24년 부대계약 부식(10~12월)(빵류) 제조/구매,제2군수지원여단
69717,‘24년 10~12월 부대조달 부식(햄류 4품목) 구매,제 2167부대
69718,‘24년 10~12월 부대조달 부식(빵류 62품목) 구매,제 2167부대
69854,24-ㅇ전단 쌀(백미/10kg) 구매,해군 기동함대사령부
69888,깨끗한 나라 물티슈 등 413종 구매,제2002부대
69940,(24-급-031) `24-2차 경축특식(훈제닭다리) 계약,제7군수지원단
69957,씻어나온쌀 구매,해군군수사령부
69965,'24년 추석 경축특식(훈제닭다리) 구매,제3군수지원여단
70247,전투부식(김치날치알밥 등 13품목) 구매,제9해병여단
70360,24년 국군의날 경축특식(훈제닭다리) 제조/구매,육군훈련소
70412,씻어나온 쌀 등 11종 구매,제2002부대
70427,'24년 경축특식(추석·국군의날) 빵류 6품목 구매,제 2167부대
70444,'24년 경축특식(추석·국군의날) 훈제닭다리 구매,제 2167부대
70831,뼈발골닭다리정육 구매,해군군수사령부
70903,24년 3분기 부대계약부식(빵류) 제조/구매,5군수지원사령부
71176,(24-급-030) '24-2차 부대계약 식자재(빵류) 계약,제7군수지원단
71348,24-3차 빵류 다수품목 단가계약(구매),제1군수지원사령부
71397,24년 7~9월 부대조달 급식품목(빵류) 제조납품,제1989부대
71399,‘24-3차 부대계약 식자재 납품(빵류),제3군수지원여단
71680,24년 7~9월 부대계약(빵류) 구매,육군제53보병사단
71695,‘24년 7~9월 부대조달 부식(햄류 2품목) 구매,제 2167부대
71697,‘24년 7~9월 부대조달 부식(빵류 55품목) 구매,제 2167부대
71890,충전 햄머 드릴 등 3항목 구매(궤도공구),육군군수사령부
71915,‘24년 부대계약 부식(7~9월)(빵류) 제조/구매,제2군수지원여단
72318,24년 부대조달 콩나물(세척) 구매,육군훈련소
72659,전기보온밥통 등 15종 구매,제7001부대
72778,24년 5~6월 부대조달 급식품목(빵류) 구매,제1989부대
73417,24년 의무장비(냉찜질기) 구매,국군의무사령부
73463,'24-2차 식자재(부식) 구매 (빵류)(수정),제3군수지원여단
73520,"24-Y-부대조달부식(면류, 빵류, 식육, 어육) 구매납품",연평부대
73529,찹쌀떡 아이스크림 구매,해군군수사령부
73540,24년 2분기 부대계약부식(빵-23종) 제조/구매,5군수지원사령부
73667,컵밥 등 5종구매,제2002부대
73708,(24-급-005) '24-2차 부대계약 식자재(빵류) 계약,제7군수지원단
73727,24년 2분기 부대계약(빵류-8종) 제조/구매,5군수지원사령부
73779,‘24년 부대계약(4~6월) 부식(빵류) 제조/구매,제2군수지원여단
73795,24-2차 빵류 다수품목 단가계약,제1군수지원사령부
73955,24년 4~6월 부대급식계약(빵류),육군제53보병사단
73973,철판김치덮밥 등 28종 구매,해군 기동함대사령부
74008,‘24년 4~6월 부대조달 부식(잡채어묵) 제조/구매,제 2167부대
74111,‘24년 4~6월 부대조달 부식(빵류 60품목) 구매,제 2167부대
74179,떡볶이떡 구매,해군군수사령부
74187,24년 3~4월 부대조달 급식품목(빵류) 구매,제1989부대
74188,‘24년 4~6월 부대조달 부식(스팸형 햄) 구매,제 2167부대
74364,24년 부대조달부식(빵류) 제조 납품(도서 지역),제9196부대
74602,뼈발골닭다리정육 구매,해군군수사령부
74606,모듬콩조림 구매,해군군수사령부
74610,떡국떡 구매,해군군수사령부
74611,땅콩조림 구매,해군군수사령부
74632,24년 생도 증식(떡 만두 등 213개 품목) 구매,육군사관학교
74660,컵밥 구매,해군군수사령부
74666,콩나물 구매,해군군수사령부
74669,24-1차 경축특식 우유생크림빵 제조,제1군수지원사령부
74674,‘24년 경축특식(설날) 닭다리 등 구매,제 2167부대
74675,‘24년 경축특식(설날) 빵류 2종 구매,제 2167부대
74691,씻어나온쌀 구매,해군군수사령부
74695,순살햄 구매,해군군수사령부
74719,24년 설날 경축특식 훈제닭다리 제조구매,육군훈련소
