,입찰명,발주기관,낙찰자(상호)
1095,360도 장거리 스피커등 6종 설치 납품,국방부계룡대근무지원단,삼화텔콤
1098,바인더 등 247종 구매,제8385부대,가나안상사
1102,샤프 등 321종 구매,제9911부대,헤럴드
1105,플러스펜 등 322종,해군교육사령부,대광산업
1106,부직포가방 등 2종,해군교육사령부,주식회사 나누리
1107,군용레포트화일 등 181품목 구매,제9691부대,금호전기조명(주)
1109,3D 커브가위 등 48종,해군교육사령부,대하종합상사
1112,특전조끼 등 2품목 구매,제3283부대,코아미
1121,디지털케비넷 등 2품목 구매,제9691부대,참마음유통
1127,축구공 등 45종,해군 기동함대사령부,샬롬
1138,"창, 관찰용 등 8항목 구매(궤도)",육군군수사령부,주식회사 지컴
1143,사철둥근양장 제작/구매,국방출판지원단,대전인재사
1151,앰범 등 113종,해군작전사령부,세종종합상사
1152,원격단말기 구매(16-299호),제9691부대,(주)지슨
1154,생활하수탱크압력형 전송기 등 3종 구매,해군제3함대사령부,(유)목포신도digitalOA
1155,컷터날 등 65종,해군본부,현대상사
1156,물티슈 등 126품목 구매,제3283부대,거성유통
1163,16-4차 정보화 운영재료 구매,국군재정관리단,주식회사 링크글로벌
1172,00부대 대형전시체계 구매설치,국군재정관리단,첨단제어시스템(주)
1176,블랙박스 등 17종 구매,제9121부대,대하종합상사
1182,케이엠시프겔 등 94종 구매,해군제3함대사령부,티엠이바이오 주식회사
1184,CO2 WIRE 등 16종 구매,제9911부대,태영통상
1190,탄약정비용 전자스텐실기 등 7종 구매,육군 탄약지원사령부,주식회사 성보
1192,HDMI 매트릭스 등 4종 설치납품,제51보병사단,(주)기선
1205,"오븐, 실험실용(건조기)",제5738부대,포항케이피엘(KPL)
1210,'16년 군수부대 창고 중량물 저장대(팔레트랙),제2167부대,다인테크
1213,스덴장닛블(32A) 외 69종 (16-124),공군제38전투비행전대,가빈
1214,접착필름 등 33종 구매,제8385부대,대광종합상사
1224,SSD 등 11종,제9181부대,우진통상
1226,구리양극봉 등 6종,해군제2수리창,세일상사
1228,판석 등 3종 구매,제9911부대,태영통상
1250,워킹 만보계 등 40종,제5738부대,일월종합상사
1251,테이블 등 7종,제5738부대,토탈프라자
